"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.021166657E-3,-5.408064842E0,3.689296722E1,3.935911560E1
1.607616665E-2,-5.382552147E0,3.684235382E1,3.974151611E1
2.613116664E-2,-5.364476204E0,3.693721771E1,3.982312012E1
3.618616666E-2,-5.290909767E0,3.691837311E1,4.004916382E1
4.624116665E-2,-5.199519157E0,3.667618561E1,4.014498901E1
5.629616664E-2,-5.176150322E0,3.687647247E1,4.000083923E1
6.635074998E-2,-5.239722252E0,3.701145172E1,4.019407654E1
7.640674998E-2,-5.256625175E0,3.679586029E1,3.999531555E1
8.646174998E-2,-5.151970863E0,3.680324554E1,3.947198486E1
9.651675000E-2,-5.058075905E0,3.684683990E1,3.989611816E1
1.065717500E-1,-5.148251534E0,3.660951996E1,3.994435120E1
1.166267500E-1,-5.216597557E0,3.693221283E1,3.946138000E1
1.266817500E-1,-4.903342247E0,3.685509491E1,3.997785950E1
1.367367500E-1,-5.039578438E0,3.683977509E1,3.964707947E1
1.467917500E-1,-5.176270485E0,3.689643097E1,3.979049683E1
1.568467500E-1,-5.261610985E0,3.682228851E1,3.967648315E1
1.669017500E-1,-5.094170570E0,3.692259979E1,3.993704224E1
1.769567500E-1,-5.483504295E0,3.698291779E1,3.970716858E1
1.870117500E-1,-5.411469460E0,3.700237274E1,3.987457275E1
1.970667500E-1,-5.568942070E0,3.697776031E1,4.000173950E1
2.071217500E-1,-5.156184196E0,3.691437531E1,4.030570984E1
2.171767500E-1,-5.390280724E0,3.669969940E1,4.022315979E1
2.272327500E-1,-5.292086601E0,3.683506012E1,4.001800537E1
2.372877500E-1,-5.096512794E0,3.668265533E1,4.007228088E1
2.473427500E-1,-5.049048424E0,3.674047089E1,4.006578064E1
2.573977500E-1,-5.291356087E0,3.694623566E1,3.971607971E1
2.674527500E-1,-5.217919350E0,3.682125092E1,3.955555725E1
2.775077500E-1,-5.219681740E0,3.667632294E1,3.960565186E1
2.875627500E-1,-5.266346931E0,3.656250763E1,3.986108398E1
2.976177500E-1,-5.152020454E0,3.657572174E1,3.955076599E1
3.076727500E-1,-5.160700798E0,3.676824188E1,3.934413147E1
3.177277500E-1,-5.267516136E0,3.694576263E1,3.973178101E1
3.277827500E-1,-5.348076820E0,3.676805878E1,3.957307434E1
3.378377500E-1,-5.081206322E0,3.685820770E1,3.969517517E1
3.478927500E-1,-5.001704216E0,3.685155487E1,3.940400696E1
3.579477500E-1,-5.073752403E0,3.678862762E1,3.991934204E1
3.680027500E-1,-5.237683296E0,3.682239532E1,3.990466309E1
3.780587500E-1,-5.270497322E0,3.680324554E1,3.944592285E1
3.881137500E-1,-5.321066856E0,3.666245270E1,3.988206482E1
3.981687500E-1,-5.167124748E0,3.665679169E1,3.978471375E1
4.082237500E-1,-5.038329124E0,3.659664154E1,4.006658936E1
4.182787500E-1,-5.172791481E0,3.671364594E1,4.013224792E1
4.283337500E-1,-5.176764488E0,3.655107880E1,4.007511902E1
4.383887500E-1,-5.154097557E0,3.647965240E1,4.009159851E1
4.484437500E-1,-5.012364388E0,3.664266205E1,4.001824951E1
4.584987500E-1,-4.915186882E0,3.673853302E1,4.020954895E1
4.685537500E-1,-5.221602440E0,3.684427643E1,4.013404846E1
4.786087500E-1,-5.281279564E0,3.665189362E1,3.997994995E1
4.886637500E-1,-5.206538200E0,3.655663300E1,3.982240295E1
4.987187500E-1,-5.369603157E0,3.667934418E1,4.000941467E1
5.087737500E-1,-5.265952110E0,3.664807892E1,3.975221252E1
5.188297500E-1,-5.179043770E0,3.675566864E1,3.952238464E1
5.288847500E-1,-5.411751747E0,3.665328217E1,3.987973022E1
5.389397500E-1,-5.466040611E0,3.660739899E1,3.994209290E1
5.489947500E-1,-5.413954735E0,3.671898651E1,3.942631531E1
5.590497500E-1,-5.432314873E0,3.677431488E1,3.989114380E1
5.691047500E-1,-5.244141579E0,3.669141388E1,3.947930908E1
5.791597500E-1,-5.496605873E0,3.654965973E1,3.966116333E1
5.892147500E-1,-5.173485756E0,3.647980499E1,3.968954468E1
5.992697500E-1,-5.387585640E0,3.685417938E1,3.981106567E1
6.093247500E-1,-5.475831032E0,3.678719330E1,3.991210938E1
6.193797500E-1,-5.209980965E0,3.678624725E1,3.976014709E1
6.294347500E-1,-5.112748146E0,3.695812225E1,3.975476074E1
6.394897500E-1,-5.330477715E0,3.690355682E1,4.011474609E1
6.495447500E-1,-5.325201988E0,3.688129425E1,4.018519592E1
6.595997500E-1,-5.442008018E0,3.675885773E1,4.009791565E1
6.696557500E-1,-5.326521873E0,3.687305450E1,4.013702393E1
6.797107500E-1,-5.103585243E0,3.681467438E1,4.019760132E1
6.897657500E-1,-5.072510719E0,3.676798248E1,4.011651611E1
6.998207500E-1,-5.353148460E0,3.676261139E1,4.002070618E1
7.098757500E-1,-5.090519905E0,3.663004303E1,4.001710510E1
7.199307500E-1,-5.353426933E0,3.681105804E1,4.005279541E1
7.299857500E-1,-5.064270973E0,3.677396393E1,3.979928589E1
7.400407500E-1,-5.053790092E0,3.685248566E1,3.974760437E1
7.500957500E-1,-4.987570763E0,3.708654022E1,3.964317322E1
7.601507500E-1,-4.928149223E0,3.702753448E1,3.944628906E1
7.702057500E-1,-5.074770927E0,3.720005035E1,3.953569031E1
7.802607500E-1,-4.901629448E0,3.692281342E1,3.961701965E1
7.903157500E-1,-4.994336128E0,3.688069916E1,3.967077637E1
8.003707500E-1,-5.072222710E0,3.697214508E1,3.993095398E1
8.104257500E-1,-4.929121971E0,3.697765350E1,4.013214111E1
8.204817500E-1,-5.132191658E0,3.687824249E1,3.964636230E1
8.305367500E-1,-5.533099174E0,3.688658905E1,3.988546753E1
8.405917500E-1,-5.124413490E0,3.688930511E1,3.985290527E1
8.506467500E-1,-5.209977150E0,3.686637115E1,3.970518494E1
8.607017500E-1,-5.175372124E0,3.687958527E1,3.972392273E1
8.707567500E-1,-5.211403847E0,3.687305450E1,3.973622131E1
8.808117500E-1,-5.144711494E0,3.670313263E1,3.949288940E1
8.908667500E-1,-5.468121529E0,3.663007355E1,3.968376160E1
9.009217500E-1,-5.098059654E0,3.661785126E1,3.957998657E1
9.109767500E-1,-5.105465889E0,3.644243622E1,3.967021179E1
9.210317500E-1,-4.962468147E0,3.673015594E1,3.971180725E1
9.310867500E-1,-5.085694313E0,3.686890411E1,3.966218567E1
9.411417500E-1,-4.984873772E0,3.669602203E1,3.990211487E1
9.511967500E-1,-5.069115639E0,3.664855194E1,3.959564209E1
9.612517500E-1,-5.006920815E0,3.680208588E1,3.962695312E1
9.713077500E-1,-5.073884010E0,3.685359955E1,3.984420776E1
9.813627500E-1,-5.046679497E0,3.683940887E1,4.015559387E1
9.914177500E-1,-5.024800301E0,3.679424286E1,3.992622375E1
1.001472750E0,-5.084027290E0,3.698567963E1,3.966682434E1
1.011527750E0,-5.224102974E0,3.689490509E1,3.995820618E1
1.021582750E0,-4.978079796E0,3.682462311E1,3.981248474E1
1.031637750E0,-4.748368263E0,3.675102997E1,3.969564819E1
1.041692750E0,-5.093213081E0,3.659113312E1,3.967938232E1
1.051747750E0,-5.100539207E0,3.647774506E1,3.974427795E1
1.061803542E0,-5.361845970E0,3.667824554E1,4.019335938E1
1.071858542E0,-5.514702797E0,3.663121796E1,3.974746704E1
1.081913542E0,-5.415087700E0,3.657132721E1,3.951322937E1
1.091968542E0,-5.400195122E0,3.670700836E1,3.974285889E1
1.102023542E0,-5.227065086E0,3.666670990E1,3.971438599E1
1.112078542E0,-5.410387993E0,3.654062653E1,3.955618286E1
1.122134542E0,-5.182623863E0,3.663182831E1,3.953135681E1
1.132189542E0,-5.162402153E0,3.677075958E1,3.955586243E1
1.142244542E0,-5.132664680E0,3.675601959E1,3.973628235E1
1.152299542E0,-5.303757668E0,3.688732147E1,3.942842102E1
1.162354542E0,-5.214081764E0,3.670121002E1,3.934353638E1
1.172409542E0,-5.177227974E0,3.654802704E1,3.925132751E1
1.182464542E0,-5.071562767E0,3.645099640E1,3.951464844E1
1.192519542E0,-5.149645805E0,3.649832916E1,3.938969421E1
1.202574542E0,-5.128739357E0,3.649088287E1,3.978683472E1
1.212629542E0,-5.222887993E0,3.678217316E1,3.967106628E1
1.222684542E0,-5.220843315E0,3.656616974E1,3.994352722E1
1.232739542E0,-5.399218559E0,3.651274872E1,3.982357788E1
1.242794542E0,-4.980511665E0,3.634066010E1,3.982763672E1
1.252849542E0,-4.862368584E0,3.654965973E1,3.946267700E1
1.262905542E0,-4.604966164E0,3.642768097E1,3.923764038E1
1.272960542E0,-4.528290749E0,3.610858917E1,3.946011353E1
1.283015542E0,-4.554116249E0,3.612537384E1,3.960421753E1
1.293070542E0,-4.538466454E0,3.596446991E1,3.939552307E1
1.303125542E0,-4.604104042E0,3.606020355E1,3.958078003E1
1.313180542E0,-4.516451836E0,3.596015167E1,3.953477478E1
1.323235542E0,-4.467610359E0,3.552201080E1,3.935119629E1
1.333290542E0,-4.338120461E0,3.530411530E1,3.958177185E1
1.343345542E0,-4.289969444E0,3.537372589E1,3.926834106E1
1.353400542E0,-4.126912117E0,3.498641205E1,3.954934692E1
1.363455542E0,-3.958811760E0,3.471909332E1,3.963821411E1
1.373510542E0,-3.753146172E0,3.456903839E1,3.987855530E1
1.383565542E0,-3.718691826E0,3.397472382E1,4.027114868E1
1.393620542E0,-3.711430550E0,3.362264252E1,4.058290100E1
1.403675542E0,-3.711430550E0,3.362264252E1,4.058290100E1
1.413731542E0,-3.600071907E0,3.324645233E1,4.098175049E1
1.423786542E0,-3.560671806E0,3.296665192E1,4.125593567E1
1.433841542E0,-3.391863823E0,3.236551666E1,4.157235718E1
1.443896542E0,-3.268597603E0,3.190781403E1,4.228955078E1
1.453951542E0,-3.271830559E0,3.182350922E1,4.289389038E1
1.464006542E0,-3.518446922E0,3.124373627E1,4.350627136E1
1.474061542E0,-3.373253822E0,3.069736481E1,4.481407166E1
1.484116542E0,-3.596653938E0,3.023223114E1,4.526860046E1
1.494171542E0,-3.733973503E0,2.997217560E1,4.625779724E1
1.504226542E0,-3.599492073E0,2.952559662E1,4.747889709E1
1.514281542E0,-3.790867805E0,2.960469818E1,4.885089111E1
1.524336542E0,-4.246617317E0,2.961423492E1,4.999789429E1
1.534391542E0,-4.417437553E0,2.941878510E1,5.134164429E1
1.544446542E0,-4.878165245E0,2.976712799E1,5.264865112E1
1.554502542E0,-5.461880684E0,3.020554352E1,5.443400574E1
