"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.791166659E-3,-1.862550853E-4,4.578274093E-5,8.731367998E-4
1.784716666E-2,3.618234477E-4,-9.068300133E-4,-2.637442201E-3
2.790216665E-2,-9.948234074E-4,8.052129997E-4,1.094951294E-3
3.795816665E-2,-6.273072213E-4,5.029442254E-4,2.245703712E-3
4.801316667E-2,3.028437961E-3,1.389880665E-3,7.500099018E-4
5.806916667E-2,5.740686902E-4,7.033176953E-4,2.101563849E-3
6.812416666E-2,-5.936396774E-4,-1.140039181E-3,4.174539819E-3
7.818054166E-2,-1.462096581E-3,5.012669717E-4,1.414705999E-3
8.823554165E-2,1.762586879E-3,1.097076689E-3,3.205354325E-3
9.829154165E-2,-9.097316070E-5,1.546884654E-3,1.799471676E-3
1.083465417E-1,1.695116807E-4,-1.095576910E-3,4.858640488E-3
1.184025417E-1,-1.497627120E-3,1.496477751E-3,2.389356960E-3
1.284575417E-1,2.720588818E-3,-7.608383894E-4,3.202639520E-3
1.385135417E-1,-8.879946545E-4,6.615559105E-4,-5.289819092E-4
1.485685417E-1,1.627605874E-3,7.822822081E-4,2.742949873E-3
1.586245417E-1,3.067577025E-3,-6.627489347E-4,1.278211363E-3
1.686795416E-1,2.234124113E-3,-1.479658997E-3,2.282178029E-3
1.787355417E-1,1.317730290E-3,-1.119599678E-3,-1.769555267E-3
1.887915417E-1,-3.106108867E-3,-1.294285990E-3,1.690789592E-3
1.988465417E-1,2.989867004E-3,-1.926786616E-3,4.487641621E-3
2.089025417E-1,-2.060187049E-3,-2.483187942E-3,3.317808732E-4
2.189575417E-1,2.523912117E-3,1.558957854E-3,-2.842174377E-3
2.290135417E-1,-6.410042406E-4,-4.266546573E-3,-5.767459050E-3
2.390685416E-1,-5.973284715E-4,1.530622481E-3,-3.000967205E-3
2.491245417E-1,1.506704721E-3,5.410298763E-5,-5.268434063E-3
2.591795417E-1,7.282628212E-4,-1.782412990E-3,-1.686748583E-3
2.692355417E-1,-6.894204998E-4,-6.927803624E-4,1.629549079E-3
2.792905417E-1,-3.881027806E-5,3.639314673E-5,1.618895680E-3
2.893465417E-1,-1.571933273E-3,3.306192113E-3,7.317029871E-3
2.994015416E-1,-4.811025574E-4,-1.318120747E-3,3.622959368E-3
3.094575416E-1,1.062219264E-3,-1.979615306E-3,2.488253172E-3
3.195125417E-1,7.676736568E-4,2.788241953E-3,-4.132098518E-3
3.295685417E-1,4.094279720E-4,-1.127681462E-3,-4.426135682E-3
3.396235417E-1,3.258046927E-4,1.386875170E-3,-5.710844882E-3
3.496795417E-1,-2.593305544E-5,3.993978025E-4,-3.358217189E-3
3.597345416E-1,-2.129297704E-3,6.843560841E-4,2.961722203E-4
3.697905416E-1,1.919729169E-3,1.709039207E-3,4.315234255E-3
3.798465416E-1,1.866199542E-3,1.008361462E-3,6.621265318E-3
3.899015417E-1,-1.333576860E-3,-3.472650133E-4,6.167352200E-3
3.999575417E-1,8.598025888E-4,3.209220886E-4,1.234645024E-3
4.100125417E-1,-5.325593520E-6,2.027286682E-3,-1.883711200E-3
4.200685417E-1,3.410178237E-3,-1.242829603E-5,-4.795345478E-3
