"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.995487500E-2,-3.521520412E-4,6.226014812E-4,-3.006800544E-3
3.001087499E-2,-4.834458814E-4,5.080855917E-4,3.178124316E-3
4.006587499E-2,-1.777308527E-3,-2.388946479E-3,6.264708936E-3
5.012087498E-2,1.759635750E-3,-2.314644400E-3,8.008013479E-3
6.017687498E-2,5.675859284E-4,-1.267374610E-4,7.518738508E-3
7.023187500E-2,4.051330907E-4,1.237067278E-3,4.920824431E-3
8.028687499E-2,2.982006408E-3,-2.012849553E-3,2.583611291E-3
9.034287499E-2,3.729075834E-4,2.183759585E-3,-1.697952393E-3
1.003978750E-1,1.426806703E-4,-1.549171866E-4,-4.742261022E-3
1.104528750E-1,5.831675371E-4,-3.587387619E-5,-8.813168854E-3
1.205088750E-1,3.575798182E-4,1.954113133E-3,-8.858028799E-3
1.305638750E-1,1.512060058E-3,-5.500573316E-4,-4.573529586E-4
1.406198750E-1,-1.439929241E-3,-4.086869885E-4,5.161238834E-3
1.506748750E-1,2.590232529E-3,2.072580159E-3,7.069926709E-3
1.607298750E-1,-1.836390584E-3,-1.463036169E-3,7.474191021E-3
1.707858750E-1,5.466058501E-4,-1.293659094E-3,3.308474552E-3
1.808408750E-1,8.633263642E-4,-1.185618807E-3,-3.049506806E-3
1.908958750E-1,2.920351923E-3,-3.348371945E-3,-9.069582447E-3
2.009518750E-1,3.529876412E-4,-1.312127337E-3,-9.590568952E-3
2.110068750E-1,9.468725184E-4,-2.718966862E-4,-5.006736144E-3
2.210618750E-1,-6.613378646E-4,3.054208064E-4,6.360188127E-4
2.311178750E-1,-6.741209654E-4,3.003607853E-4,5.706678145E-3
2.411728750E-1,-7.621429395E-4,1.771409297E-3,9.507248178E-3
2.512288750E-1,-2.412286703E-4,6.416963879E-4,7.425987627E-3
2.612838750E-1,-3.415993415E-3,3.590354230E-3,1.720964443E-3
2.713388750E-1,-2.185346559E-3,-3.383399453E-3,-3.243434243E-3
2.813948750E-1,-3.028099425E-3,-2.256145235E-3,-7.582933176E-3
2.914498750E-1,1.312853070E-3,1.769755268E-3,-6.589307915E-3
3.015048750E-1,7.480097702E-4,-2.600379521E-3,-9.975688532E-3
3.115608750E-1,2.058339305E-6,-7.883647340E-4,-2.642142121E-3
3.216158750E-1,-2.225778997E-3,-3.110037651E-3,2.517683432E-3
3.316708750E-1,4.664105072E-4,-8.183874306E-4,9.811015800E-3
3.417268750E-1,-2.366170229E-4,-7.845334476E-4,1.182630286E-2
3.517818750E-1,-2.161816228E-3,-1.002646284E-3,6.583071314E-3
3.618368750E-1,5.001043901E-3,5.338956835E-4,-4.138750955E-4
3.718928750E-1,-2.120781457E-3,-7.100668736E-4,-3.801149782E-3
3.819478750E-1,-2.110842848E-3,2.851327183E-3,-9.193938226E-3
3.920038750E-1,3.025137412E-4,1.955972519E-3,-8.340395987E-3
4.020588750E-1,-4.110470880E-3,1.996929757E-3,-6.074722391E-3
4.121138750E-1,-8.686049841E-4,4.126153071E-4,9.698714130E-4
4.221698750E-1,1.706556184E-3,3.197195474E-3,3.653011750E-3
4.322248750E-1,-2.207757905E-3,7.164610433E-4,9.512763470E-3
4.422798750E-1,1.550736371E-3,-2.266929368E-5,9.252095595E-3
4.523358750E-1,2.783779986E-3,-2.509022015E-4,3.247997724E-3
4.623908750E-1,-8.312906139E-4,-1.644732663E-3,-5.640373565E-4
4.724458750E-1,-7.575179916E-5,1.679425128E-3,-5.904207937E-3
4.825018750E-1,-1.904106699E-3,-3.254295792E-3,-7.186217699E-3
4.925568750E-1,-1.541117788E-3,-1.322888420E-5,-5.212549120E-3
5.026118750E-1,-7.807291113E-4,-1.062229509E-3,1.164526679E-3
5.126678750E-1,-2.223896096E-3,-8.531713975E-4,4.233286716E-3
5.227228750E-1,1.205251901E-3,1.616947586E-3,8.873267099E-3
5.327788750E-1,-6.200786447E-4,2.112029353E-3,5.534994882E-3
5.428338750E-1,-8.291740087E-4,-2.551074605E-3,4.406985361E-3
5.528888750E-1,1.014798763E-3,-2.162814781E-4,-3.598476527E-3
5.629448750E-1,-2.287795767E-3,-6.559989997E-4,-6.286488380E-3
5.729998750E-1,1.803352148E-3,9.578766185E-4,-7.101682015E-3
5.830548750E-1,-7.204789435E-4,4.655912053E-3,-5.387130193E-3
5.931108750E-1,-6.499051815E-4,3.154688049E-3,-3.675118089E-2
6.031658750E-1,2.157758689E-3,3.831110429E-3,-1.488299817E-1
6.132208750E-1,3.204647452E-3,3.915000241E-3,-1.993003488E-1
6.232768750E-1,-2.441885008E-4,4.200547934E-3,-1.927271783E-1
6.333318750E-1,9.909298387E-5,5.010149442E-3,-1.619487554E-1
6.433868750E-1,-2.030297648E-3,3.150031203E-3,-1.447061002E-1
6.534428750E-1,3.143493668E-4,1.460255357E-3,-1.391020119E-1
6.634978750E-1,5.761703942E-4,1.338451402E-3,-1.191986278E-1
6.735538750E-1,-2.358274069E-4,1.347506186E-3,-6.049962714E-2
6.836088750E-1,3.356090165E-4,3.497623838E-3,-6.193349604E-3
6.936638750E-1,1.445880858E-3,2.564718481E-3,-7.919610478E-3
7.037198750E-1,-3.155250743E-4,9.077469003E-4,-1.923789643E-2
7.137748750E-1,-1.599964744E-4,1.235848409E-3,-3.925368190E-2
7.238298750E-1,-1.664174953E-3,8.825914119E-4,-6.473729759E-2
7.338858750E-1,-2.764859237E-3,1.639124379E-2,-9.988703579E-2
7.439408750E-1,-1.368248835E-2,-2.650748752E-2,-1.465054005E-1
7.539958750E-1,-7.603823673E-3,-2.474420890E-2,-1.692184359E-1
7.640518750E-1,-3.702200484E-3,-1.951356605E-2,-1.709220111E-1
7.741068750E-1,-3.354924265E-3,-1.549219433E-2,-1.961570531E-1
7.841628750E-1,-8.017272339E-4,-1.373039093E-2,-2.473847270E-1
7.942178750E-1,2.353852382E-3,-9.267998859E-3,-3.207897246E-1
8.042728750E-1,-1.545248204E-3,-1.089395583E-2,-3.926282227E-1
8.143288750E-1,5.069837207E-4,-9.899531491E-3,-3.711418509E-1
8.243838750E-1,-1.033554785E-3,-1.157335471E-2,-1.955288202E-1
8.344388750E-1,-4.748236388E-4,-1.231770776E-2,-5.459033698E-2
8.444948750E-1,1.479903352E-3,-9.183868766E-3,-3.595644236E-2
8.545498750E-1,-5.377075286E-4,-1.012769248E-2,-3.393376991E-2
8.646048750E-1,-2.061892767E-3,-6.533781532E-3,-4.433322325E-2
8.746608750E-1,-4.291087389E-4,-3.918025177E-3,-4.966167361E-2
8.847158750E-1,-1.716508297E-3,-2.307752613E-3,-2.336233854E-2
8.947708750E-1,-2.018244471E-3,-1.741031883E-3,7.760662585E-2
