"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.029870835E-2,1.031786815E-4,1.544866478E-3,2.914129756E-3
3.035470835E-2,-3.431671357E-4,-3.499726881E-4,5.910185166E-3
4.040970834E-2,5.875797360E-4,-1.460259518E-4,4.765787628E-3
5.046470833E-2,-1.343212090E-3,-1.932740794E-3,5.342894699E-3
6.051970835E-2,1.735271653E-3,1.622835058E-3,5.363013130E-3
7.057470834E-2,1.154436148E-3,-1.216360950E-3,2.785872202E-3
8.062970833E-2,1.151315228E-4,9.808069444E-5,1.620679628E-3
9.068470835E-2,-1.444948255E-3,5.055443617E-4,-1.314656343E-3
1.007397083E-1,6.696378114E-5,1.783042448E-3,-4.832694773E-3
1.107957083E-1,-4.262536240E-4,-8.982281433E-4,-5.127772689E-3
1.208507083E-1,-6.287065917E-4,5.478720996E-4,-2.931933152E-3
1.309057083E-1,-2.017428051E-5,6.320279790E-4,-3.582543461E-3
1.409607083E-1,7.027867250E-4,-1.874367357E-3,-1.293090172E-3
1.510157083E-1,1.323303208E-3,1.997024228E-4,5.280656740E-3
1.610707083E-1,1.372009749E-3,-1.453316654E-3,5.341579206E-3
1.711257084E-1,3.344421857E-4,-1.254658855E-5,3.064310178E-3
1.811807083E-1,1.517332857E-3,3.051407984E-4,1.800903585E-3
1.912367083E-1,2.084053587E-3,2.344589680E-3,2.403843682E-3
2.012917083E-1,4.446459352E-4,-3.028197389E-4,-3.914971836E-3
2.113467084E-1,1.708049560E-3,7.773584221E-4,-4.836425651E-3
2.214017083E-1,-5.850495072E-4,-1.075631939E-3,-9.098039009E-4
2.314567083E-1,3.419013228E-3,1.139319036E-3,-3.551926231E-3
2.415117083E-1,-1.409351244E-3,1.137076877E-3,5.520537961E-3
2.515667083E-1,-5.944240256E-4,1.767979818E-3,5.694709253E-3
2.616217083E-1,-2.076821169E-3,1.399274566E-3,5.322395358E-3
2.716767083E-1,4.414638388E-4,-9.070228552E-4,5.489642266E-3
2.817327083E-1,-7.982330862E-5,-3.025812330E-3,-2.424870152E-3
2.917877084E-1,-1.826856867E-3,1.658954425E-3,-5.219857674E-3
3.018427083E-1,4.061327490E-4,-2.309515607E-3,-4.980899394E-3
3.118977083E-1,3.247725544E-3,-2.053319477E-3,-3.850121284E-3
3.219527083E-1,2.523112635E-4,-1.034719753E-3,-3.377544461E-3
3.320077083E-1,-9.176915046E-5,-2.416900359E-3,-2.115738578E-3
3.420627083E-1,6.122429622E-4,1.233577495E-3,4.062699154E-4
3.521177083E-1,6.197157782E-3,3.835074313E-5,-7.625916041E-4
3.621737083E-1,5.702104536E-4,1.523859333E-3,3.383218311E-3
3.722287084E-1,-6.521979230E-5,-1.946505741E-3,-1.503949054E-3
3.822837083E-1,-2.754315501E-3,4.935515462E-4,-2.577537671E-3
3.923387083E-1,-1.782794250E-3,-7.778416038E-4,-2.630001865E-3
4.023937084E-1,-1.449405216E-3,6.657337653E-4,9.558168240E-4
4.124487083E-1,-4.757534771E-4,1.470008399E-3,-2.292897552E-4
4.225037083E-1,-1.514541451E-3,8.918940148E-5,2.960840240E-3
4.325587083E-1,9.667096310E-5,2.738235751E-3,3.427426331E-3
4.426137084E-1,2.866050345E-4,-1.091848128E-3,3.665450960E-3
4.526697083E-1,-3.856691183E-5,3.909998923E-4,8.520879783E-4
4.627247083E-1,1.369794365E-3,-1.343934797E-3,-2.217069268E-4
4.727797083E-1,-2.060090890E-3,1.047583879E-3,-1.333310734E-3
4.828347084E-1,-2.032574732E-3,2.573253587E-3,-1.221186016E-3
4.928897083E-1,-4.077799967E-4,7.239545230E-4,-6.603244692E-4
5.029447083E-1,1.661253977E-3,-7.049151463E-4,-7.597231306E-4
5.129997083E-1,1.215174445E-3,6.082896143E-4,2.628883347E-3
5.230547083E-1,-7.425148506E-4,-1.453309436E-3,3.376293927E-3
5.331107083E-1,-7.489064010E-4,-6.590547506E-3,2.360297367E-3
5.431657083E-1,9.525193309E-5,-8.089586161E-3,1.812225673E-3
5.532208333E-1,-9.327282896E-4,-8.064553142E-3,1.129654050E-2
5.632758334E-1,-1.726226765E-3,-5.626201630E-3,5.976565927E-2
