"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.156908335E-2,-3.070284843E0,3.536180878E1,4.158625793E1
2.162408334E-2,-3.160487175E0,3.550969696E1,4.176393127E1
3.168008334E-2,-3.058352470E0,3.554824066E1,4.175016785E1
4.173508333E-2,-2.950938225E0,3.572956085E1,4.201316833E1
5.179008335E-2,-3.170725822E0,3.562076569E1,4.202607727E1
6.184508334E-2,-3.248900414E0,3.546732330E1,4.175904846E1
7.190108334E-2,-3.071835518E0,3.555138397E1,4.158529663E1
8.195608333E-2,-3.057976723E0,3.572324371E1,4.174403381E1
9.201108335E-2,-3.011853218E0,3.561363983E1,4.142646790E1
1.020670834E-1,-3.139225960E0,3.576461029E1,4.168708801E1
1.121220833E-1,-3.192996025E0,3.575676727E1,4.137945557E1
1.221770833E-1,-3.217263222E0,3.572866058E1,4.141528320E1
1.322330833E-1,-3.547587395E0,3.565166473E1,4.122012329E1
1.422880834E-1,-3.409756660E0,3.564882660E1,4.138998413E1
1.523430833E-1,-3.233914375E0,3.569245148E1,4.131114197E1
1.623990833E-1,-2.939896584E0,3.558895111E1,4.094253540E1
1.724540833E-1,-3.229411125E0,3.562772369E1,4.108158875E1
1.825090833E-1,-3.353444099E0,3.587377167E1,4.136639404E1
1.925650833E-1,-3.117024422E0,3.565010834E1,4.150181580E1
2.026200833E-1,-3.370688438E0,3.570681000E1,4.139845276E1
2.126750833E-1,-3.096966743E0,3.543654633E1,4.169592285E1
2.227310833E-1,-3.291876793E0,3.553040314E1,4.162049866E1
2.327860833E-1,-3.464957237E0,3.563588715E1,4.175407410E1
2.428410834E-1,-3.174042702E0,3.576165009E1,4.196726990E1
2.528970834E-1,-3.216267586E0,3.573349762E1,4.179551697E1
2.629520833E-1,-3.446581841E0,3.575873566E1,4.162681580E1
2.730070833E-1,-3.465695381E0,3.581851959E1,4.181262207E1
2.830630833E-1,-3.159899712E0,3.563677216E1,4.148989868E1
2.931180834E-1,-3.200222969E0,3.571221161E1,4.156912231E1
3.031730833E-1,-3.337637901E0,3.558576202E1,4.140753174E1
3.132290833E-1,-3.178774834E0,3.563607025E1,4.123710632E1
