"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.228333318E-4,1.740879822E-1,4.984634399E-2,-9.766290894E0
1.087783332E-2,4.326004028E-2,1.405577087E-1,-9.856702881E0
2.093283331E-2,-7.544311523E-2,2.195933533E-1,-9.714947662E0
3.098783334E-2,-1.065783691E-1,2.875520325E-1,-9.807455292E0
4.104283333E-2,-5.029541016E-2,3.255729675E-1,-9.818083191E0
5.109783332E-2,2.739303589E-2,3.182382202E-1,-9.727371826E0
6.115283331E-2,6.750961304E-2,2.568658447E-1,-9.823471985E0
7.120783333E-2,6.511459351E-2,2.076182556E-1,-9.783056030E0
8.126283332E-2,-2.559677124E-2,1.553768921E-1,-9.754764862E0
9.131783331E-2,-1.582209778E-1,1.130149841E-1,-9.828561401E0
1.013728333E-1,-2.806663513E-1,9.131011963E-2,-9.761201477E0
1.114278333E-1,-3.159928894E-1,1.131646729E-1,-9.795330505E0
1.214828333E-1,-2.540217590E-1,1.372645569E-1,-9.831704865E0
1.315378333E-1,-9.116043091E-2,1.719923401E-1,-9.724677429E0
1.415928333E-1,1.389111328E-1,2.062710571E-1,-9.798024902E0
1.516478333E-1,3.016227722E-1,2.216889954E-1,-9.810748444E0
1.617028333E-1,3.583547974E-1,2.335144043E-1,-9.723779297E0
1.717571667E-1,2.963836670E-1,2.427951050E-1,-9.806257782E0
1.818121666E-1,1.336720276E-1,2.436932373E-1,-9.783205719E0
1.918671667E-1,-7.454498291E-2,2.243833923E-1,-9.739945679E0
2.019221667E-1,-2.577639771E-1,1.935475159E-1,-9.830657043E0
2.119771666E-1,-3.333567810E-1,1.657054138E-1,-9.793384552E0
2.220321667E-1,-2.924917603E-1,1.282832336E-1,-9.774673462E0
2.320871667E-1,-1.745370483E-1,1.037342834E-1,-9.804760895E0
2.421421667E-1,-2.709365845E-2,1.109193420E-1,-9.754465485E0
2.521971666E-1,6.631210327E-2,1.318757629E-1,-9.790390778E0
2.622521667E-1,9.220825195E-2,1.691482544E-1,-9.788295135E0
2.723071667E-1,3.891906738E-2,2.222877502E-1,-9.746981049E0
2.823621666E-1,-1.990859985E-2,2.701881409E-1,-9.806407471E0
2.924171667E-1,-6.242019653E-2,2.853067017E-1,-9.787097626E0
3.024721667E-1,-4.999603271E-2,2.647993469E-1,-9.762398987E0
3.125271667E-1,2.230361938E-2,2.272274780E-1,-9.817334747E0
3.225821666E-1,1.188528442E-1,1.709445190E-1,-9.766141205E0
3.326371667E-1,1.896556091E-1,1.167572021E-1,-9.762997742E0
3.426921667E-1,1.806742859E-1,9.894424438E-2,-9.798324280E0
3.527471666E-1,8.637039185E-2,9.086105347E-2,-9.768685913E0
3.628021667E-1,-7.125183105E-2,1.216969299E-1,-9.788145447E0
3.728571667E-1,-2.348616028E-1,1.727407837E-1,-9.799970856E0
3.829121666E-1,-3.433859253E-1,2.143542480E-1,-9.770482178E0
3.929671666E-1,-3.396437073E-1,2.351609802E-1,-9.800120544E0
4.030221667E-1,-2.318678284E-1,2.499801636E-1,-9.786648560E0
4.130771667E-1,-5.538482666E-2,2.399510193E-1,-9.777966614E0
4.231321666E-1,1.224453735E-1,2.101629639E-1,-9.789642334E0
