"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.112791667E-3,-1.249900818E-1,2.317181396E-1,-9.795929260E0
1.116779167E-2,-1.273851013E-1,2.474354553E-1,-9.795480194E0
2.122279167E-2,-9.909393311E-2,2.468367004E-1,-9.778715057E0
3.127779167E-2,-5.433700562E-2,2.245330811E-1,-9.792486420E0
4.133179167E-2,-1.362167358E-2,1.945953369E-1,-9.771380310E0
5.138679167E-2,7.484436035E-3,1.655557251E-1,-9.774823151E0
6.144179167E-2,1.347198486E-2,1.275347900E-1,-9.790091400E0
7.149679167E-2,7.334747314E-3,1.050814819E-1,-9.782756653E0
8.155179167E-2,-1.496887207E-4,1.100212097E-1,-9.781409454E0
9.160679167E-2,-2.933898926E-2,1.501377869E-1,-9.773775330E0
1.016607917E-1,-6.526428223E-2,1.824705505E-1,-9.789043579E0
1.117157917E-1,-1.661544800E-2,2.145039368E-1,-9.754615173E0
1.217707917E-1,4.775070190E-2,2.043251038E-1,-9.808353424E0
1.318257917E-1,-4.064048767E-1,2.930905151E-1,-9.805808716E0
1.418807917E-1,-4.755610657E-1,3.552113342E-1,-9.728120270E0
1.519357917E-1,-4.010160828E-1,3.125500488E-1,-9.866582336E0
1.619897917E-1,-2.953358459E-1,2.396516418E-1,-9.761949921E0
1.720447917E-1,-1.258882141E-1,1.725910950E-1,-9.725725250E0
1.820997917E-1,1.871109009E-2,1.372645569E-1,-9.888736267E0
1.921547917E-1,1.218466187E-1,9.026229858E-2,-9.758058014E0
2.022097917E-1,1.353186035E-1,7.679031372E-2,-9.726024628E0
2.122647917E-1,1.022373962E-1,1.125659180E-1,-9.857002258E0
2.223187917E-1,3.338058472E-2,1.603166199E-1,-9.705666962E0
2.323737917E-1,-2.335144043E-2,2.167492676E-1,-9.782756653E0
2.424287917E-1,-5.224136353E-2,2.541714478E-1,-9.830806732E0
2.524837917E-1,-5.852828979E-2,2.793191528E-1,-9.701026611E0
2.625387917E-1,-7.679031372E-2,2.740800476E-1,-9.811197510E0
2.725937917E-1,-8.876541138E-2,2.522254944E-1,-9.796528015E0
2.826477917E-1,-1.100212097E-1,2.022294617E-1,-9.739496613E0
2.927027917E-1,-1.516346741E-1,1.489402771E-1,-9.828262024E0
3.027577917E-1,-1.760339355E-1,1.413061523E-1,-9.747130737E0
3.128127917E-1,-1.844165039E-1,1.252894592E-1,-9.771529999E0
3.228677917E-1,-1.746867371E-1,1.157093811E-1,-9.836943970E0
3.329227917E-1,-1.074765015E-1,1.318757629E-1,-9.718839569E0
3.429767917E-1,-1.796264648E-2,1.826202393E-1,-9.822274475E0
3.530317917E-1,6.436614990E-2,2.127076721E-1,-9.797126770E0
3.630867917E-1,9.160949707E-2,2.383044434E-1,-9.737101593E0
3.731417917E-1,7.993377686E-2,2.538720703E-1,-9.815688171E0
3.831967917E-1,2.918930054E-2,2.531236267E-1,-9.773026886E0
3.932507917E-1,-5.553451538E-2,2.189945984E-1,-9.760902100E0
4.033057917E-1,-1.511856079E-1,1.857637024E-1,-9.804611206E0
4.133607917E-1,-2.186952209E-1,1.642085266E-1,-9.758956146E0
4.234157917E-1,-2.357597351E-1,1.410067749E-1,-9.797426147E0
4.334707917E-1,-1.950444031E-1,1.305285645E-1,-9.795779572E0
4.435257917E-1,-1.284329224E-1,1.434017944E-1,-9.761949921E0
4.535796667E-1,-5.508544922E-2,1.739382935E-1,-9.809550934E0
4.636346667E-1,-2.993774414E-4,2.197430420E-1,-9.778715057E0
4.736896667E-1,2.888992310E-2,2.409988403E-1,-9.761800232E0
4.837446667E-1,1.766326904E-2,2.429447937E-1,-9.808652802E0
4.937996667E-1,-2.185455322E-2,2.357597351E-1,-9.744136963E0
5.038546667E-1,-6.900650024E-2,2.098635864E-1,-9.786498871E0
5.139086667E-1,-9.969268799E-2,1.766326904E-1,-9.803713074E0
5.239636667E-1,-1.227447510E-1,1.402583313E-1,-9.783355408E0
5.340186667E-1,-1.116677856E-1,1.288819885E-1,-9.774523773E0
5.440736667E-1,-1.026864624E-1,1.393601990E-1,-9.791139221E0
5.541286667E-1,-7.499404907E-2,1.770817566E-1,-9.770033112E0
5.641836667E-1,-7.469467163E-2,2.188449097E-1,-9.803114319E0
5.742376667E-1,-6.511459351E-2,2.380050659E-1,-9.777966614E0
5.842926667E-1,-5.164260864E-2,2.408491516E-1,-9.803713074E0
5.943476667E-1,-5.628295898E-2,2.243833923E-1,-9.767189026E0
6.044026667E-1,-4.999603271E-2,1.974394226E-1,-9.763746185E0
6.144576667E-1,-6.526428223E-2,1.636097717E-1,-9.799072723E0
6.245126667E-1,-5.583389282E-2,1.347198486E-1,-9.811945953E0
6.345666667E-1,-6.571334839E-2,1.398092651E-1,-9.756411438E0
6.446216667E-1,-8.352630615E-2,1.559756470E-1,-9.814340973E0
6.546766667E-1,-1.017883301E-1,1.555265808E-1,-9.748627625E0
6.647316667E-1,-1.017883301E-1,2.133064270E-1,-9.767189026E0
