"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.413166687E-3,1.362167358E-1,2.303709412E-1,9.856702881E0
1.246816668E-2,1.448986816E-1,2.320175171E-1,9.850266266E0
2.252316667E-2,1.435514832E-1,2.354603577E-1,9.868079224E0
3.257816669E-2,1.281335449E-1,2.339634705E-1,9.875863037E0
4.263216667E-2,1.008901978E-1,2.288740540E-1,9.848470001E0
5.268716667E-2,9.894424438E-2,2.203417969E-1,9.834099884E0
6.274216669E-2,1.047821045E-1,2.221380615E-1,9.871372375E0
7.279716668E-2,1.187031555E-1,2.091151428E-1,9.859696655E0
8.285116669E-2,1.324745178E-1,2.053729248E-1,9.851014709E0
9.290616668E-2,1.517843628E-1,2.097138977E-1,9.871971130E0
1.029611667E-1,1.553768921E-1,2.191442871E-1,9.850266266E0
1.130161667E-1,1.326242065E-1,2.248324585E-1,9.843829651E0
1.230701667E-1,1.035845947E-1,2.339634705E-1,9.864786072E0
1.331251667E-1,8.607101440E-2,2.366578674E-1,9.862989807E0
1.431801667E-1,7.125183105E-2,2.456391907E-1,9.858199768E0
1.532351667E-1,6.735992432E-2,2.383044434E-1,9.872120819E0
1.632891667E-1,7.155120850E-2,2.317181396E-1,9.855954437E0
1.733441667E-1,9.220825195E-2,2.161505127E-1,9.843081207E0
1.833991667E-1,1.050814819E-1,2.061213684E-1,9.855505371E0
1.934541667E-1,1.260379028E-1,2.127076721E-1,9.864935760E0
2.035081667E-1,1.347198486E-1,2.062710571E-1,9.854008484E0
2.135631667E-1,1.073268127E-1,2.109114075E-1,9.845476227E0
2.236181667E-1,3.861968994E-2,2.083666992E-1,9.863738251E0
2.336721667E-1,4.610412598E-2,2.025288391E-1,9.876312103E0
2.437269167E-1,3.236270142E-1,2.598596191E-1,9.838889923E0
2.537819167E-1,3.486250305E-1,2.788700867E-1,9.791737976E0
2.638369167E-1,4.022135925E-1,3.251239014E-1,9.906998291E0
2.738909167E-1,5.441184998E-1,4.146377563E-1,9.834099884E0
2.839459167E-1,4.168830872E-1,3.623963928E-1,9.845027161E0
2.940009167E-1,2.457888794E-1,2.844085693E-1,9.887389069E0
3.040559167E-1,5.882766724E-2,1.902543640E-1,9.899214478E0
3.141099167E-1,4.026626587E-2,1.154100037E-1,9.743388519E0
3.241649167E-1,4.131408691E-2,7.753875732E-2,9.819430389E0
3.342199167E-1,-2.230361938E-2,6.706054688E-2,9.869576111E0
3.442749167E-1,-4.550537109E-2,9.430389404E-2,9.805659027E0
3.543289167E-1,-7.409591675E-2,1.484912109E-1,9.927655334E0
3.643839167E-1,-1.028361511E-1,2.206411743E-1,9.906848602E0
3.744389167E-1,-1.317260742E-1,2.845582581E-1,9.800419922E0
3.844939167E-1,-1.038839722E-1,3.415896606E-1,9.829010468E0
3.945479167E-1,-2.439926147E-2,3.629951477E-1,9.841434631E0
4.046029167E-1,1.190025330E-1,3.433859253E-1,9.804760895E0
4.146579167E-1,2.891986084E-1,3.146456909E-1,9.876162415E0
4.247129167E-1,4.435276794E-1,2.580633545E-1,9.911039886E0
4.347669167E-1,5.364843750E-1,2.016307068E-1,9.834399261E0
4.448219167E-1,5.539979553E-1,1.508862305E-1,9.877808990E0
4.548769167E-1,4.674778748E-1,1.188528442E-1,9.900861053E0
4.649319167E-1,2.939886475E-1,1.254391479E-1,9.837991791E0
4.749859167E-1,9.160949707E-2,1.426533508E-1,9.863887939E0
4.850409167E-1,-9.714797974E-2,1.818717957E-1,9.877210236E0
4.950959167E-1,-2.219883728E-1,2.462379456E-1,9.796977081E0
5.051499167E-1,-2.595602417E-1,3.007246399E-1,9.801617432E0
5.152049167E-1,-1.938468933E-1,3.356021118E-1,9.864337006E0
5.252599167E-1,-6.511459351E-2,3.359014893E-1,9.857002258E0
5.353149167E-1,6.556365967E-2,3.053649902E-1,9.863588562E0
5.453689167E-1,1.721420288E-1,2.543211365E-1,9.891879730E0
5.554239167E-1,2.580633545E-1,2.040257263E-1,9.853858795E0
5.654789167E-1,2.983296204E-1,1.465452576E-1,9.845176849E0
5.755339167E-1,3.309617615E-1,1.190025330E-1,9.865534515E0
5.855879167E-1,3.483256531E-1,1.222956848E-1,9.852810974E0
5.956429167E-1,3.290158081E-1,1.508862305E-1,9.847571869E0
6.056979167E-1,3.308120728E-1,2.100132751E-1,9.875413971E0
6.157529167E-1,2.746788025E-1,2.616558838E-1,9.862690430E0
6.258069167E-1,1.860630798E-1,3.020718384E-1,9.853559418E0
6.358619167E-1,5.942642212E-2,3.198847961E-1,9.863139496E0
6.459169167E-1,-7.274871826E-2,3.144960022E-1,9.840985565E0
6.559719167E-1,-1.721420288E-1,2.845582581E-1,9.829309845E0
6.660259167E-1,-2.070195007E-1,2.348616028E-1,9.851164398E0
6.760809167E-1,-1.586700439E-1,1.966909790E-1,9.836345215E0
6.861359167E-1,-3.787124634E-2,1.676513672E-1,9.836494904E0
6.961909167E-1,1.300794983E-1,1.627116394E-1,9.850415955E0
7.062449167E-1,2.932402039E-1,1.728904724E-1,9.854756927E0
7.162999167E-1,4.043092346E-1,1.908531189E-1,9.851014709E0
7.263549167E-1,4.453239441E-1,2.118095398E-1,9.845176849E0
7.364089167E-1,4.161346436E-1,2.342628479E-1,9.866432648E0
7.464639167E-1,3.394940186E-1,2.507286072E-1,9.870773621E0
7.565189167E-1,2.260299683E-1,2.703378296E-1,9.880952454E0
7.665739167E-1,1.216969299E-1,2.900967407E-1,9.874964905E0
7.766279167E-1,2.619552612E-2,2.924917603E-1,9.852661285E0
7.866829167E-1,-3.143463135E-2,2.863545227E-1,9.828262024E0
7.967379167E-1,-5.134323120E-2,2.598596191E-1,9.852212219E0
8.067929167E-1,-4.400848389E-2,2.171983337E-1,9.858199768E0
8.168469167E-1,-3.861968994E-2,1.842668152E-1,9.865833893E0
8.269019167E-1,-2.874023438E-2,1.648072815E-1,9.821825409E0
8.369569167E-1,5.987548828E-3,1.444496155E-1,9.791588287E0
8.470119167E-1,9.520202637E-2,1.392105103E-1,9.911189575E0
8.570659167E-1,1.788780212E-1,1.787283325E-1,9.904752960E0
8.671209167E-1,2.951861572E-1,2.107617188E-1,9.841135254E0
8.771759167E-1,3.839515686E-1,2.555186462E-1,9.853110352E0
8.872309167E-1,4.343966675E-1,3.014730835E-1,9.845775604E0
8.972849167E-1,4.221221924E-1,3.125500488E-1,9.851164398E0
9.073399167E-1,3.356021118E-1,3.112028503E-1,9.874216461E0
9.173949167E-1,1.930984497E-1,2.824626160E-1,9.880054321E0
9.274499167E-1,4.221221924E-2,2.502795410E-1,9.858050079E0
9.375039167E-1,-9.849517822E-2,1.989363098E-1,9.821975098E0
9.475589167E-1,-1.661544800E-1,1.748364258E-1,9.810898132E0
9.576139167E-1,-1.558259583E-1,1.522334290E-1,9.821376343E0
9.676679167E-1,-5.523513794E-2,1.535806274E-1,9.886191559E0
9.777229167E-1,7.694000244E-2,1.676513672E-1,9.948312378E0
9.877779167E-1,1.598675537E-1,2.112107849E-1,9.879455566E0
9.978329167E-1,2.146536255E-1,2.456391907E-1,9.766141205E0
1.007886917E0,2.640509033E-1,2.763253784E-1,9.823322296E0
1.017941917E0,2.826123047E-1,3.010240173E-1,9.842632141E0
1.027996917E0,2.680924988E-1,2.917433167E-1,9.877958679E0
1.038051917E0,2.546205139E-1,2.773731995E-1,9.889933777E0
1.048105917E0,2.341131592E-1,2.653981018E-1,9.889784088E0
1.058160917E0,2.059716797E-1,2.510279846E-1,9.795629883E0
1.068215917E0,1.642085266E-1,2.326162720E-1,9.871072998E0
1.078270917E0,1.032852173E-1,2.040257263E-1,9.832153931E0
1.088324917E0,3.847000122E-2,1.709445190E-1,9.829010468E0
1.098379917E0,-3.592529297E-2,1.642085266E-1,9.887239380E0
1.108434917E0,-8.577163696E-2,1.648072815E-1,9.914183350E0
1.118489917E0,-9.101074219E-2,1.794767761E-1,9.827064514E0
1.128543917E0,-3.966751099E-2,2.085163879E-1,9.836494904E0
1.138598917E0,8.487350464E-2,2.100132751E-1,1.001342697E1
1.148653917E0,3.198847961E-1,-1.303788757E-1,1.019245468E1
1.158708917E0,7.475454712E-1,-5.733078003E-2,1.026340714E1
1.168762917E0,1.012045441E0,4.191284180E-1,9.618697815E0
1.178817917E0,-3.128494263E-2,3.592529297E-2,8.084987183E0
1.188872917E0,-1.051563263E0,-8.846603394E-2,1.048300049E1
1.198927917E0,-2.463876343E-1,6.384223938E-1,1.102412521E1
1.208981917E0,-2.125579834E-1,-1.267863464E-1,9.701325989E0
1.219036917E0,-6.837780762E-1,-7.126679993E-1,9.813143463E0
1.229091917E0,-6.738986206E-1,-7.804769897E-1,9.985884247E0
1.239145917E0,-1.447489929E-1,-4.062551880E-1,9.584868164E0
1.249201167E0,2.731819153E-1,7.155120850E-2,9.907746735E0
1.259256167E0,3.065625000E-1,9.804611206E-2,1.041668839E1
1.269311167E0,8.101153564E-1,9.539662170E-1,1.039228912E1
1.279365167E0,1.085542603E0,1.191522217E0,1.015009277E1
1.289420167E0,9.663903809E-1,8.993298340E-1,1.061727127E1
1.299475167E0,1.336720276E-1,7.213499451E-1,1.171284302E1
1.309530167E0,-1.751358032E-1,6.611750793E-1,1.210951813E1
1.319584167E0,1.308279419E-1,2.230361938E-1,1.204245758E1
1.329639167E0,-3.098556519E-2,-3.833528137E-1,1.154174881E1
1.339694167E0,-2.171983337E-1,-8.321195984E-1,1.107382187E1
1.349749167E0,-2.074386292E0,-1.488354950E0,1.048554520E1
1.359803167E0,-3.606300659E0,-1.792073364E0,1.088551346E1
1.369858167E0,-3.531905365E0,-1.193917236E0,1.213526459E1
1.379913167E0,-3.718866577E0,-9.586065674E-1,1.152258865E1
1.389968167E0,-3.930077362E0,-1.252295837E0,1.000190094E1
1.400022167E0,-5.000950470E0,-1.525028687E0,1.029065048E1
1.410077167E0,-6.102360077E0,-1.447190552E0,1.024050476E1
1.420132167E0,-6.808591461E0,-1.056502991E0,1.010024643E1
1.430187167E0,-7.146438904E0,-8.475375366E-1,1.020368134E1
1.440241167E0,-7.109166412E0,-7.123686218E-1,1.003707779E1
1.450296167E0,-6.973847809E0,-6.358776855E-1,9.781110077E0
1.460351167E0,-6.609206085E0,-5.258564758E-1,9.358538818E0
1.470406167E0,-6.491550751E0,-3.342549133E-1,8.686436462E0
1.480460167E0,-6.781348114E0,-8.696914673E-2,7.976163483E0
1.490515167E0,-7.415279846E0,2.291734314E-1,7.366331635E0
1.500570167E0,-8.043074341E0,6.149212646E-1,6.898704071E0
1.510625167E0,-8.356522522E0,9.036708069E-1,6.672225037E0
1.520679167E0,-8.472980347E0,9.372010803E-1,6.436315613E0
1.530734167E0,-8.840615845E0,5.631289673E-1,6.037993927E0
1.540789167E0,-9.645043030E0,1.755848694E-1,5.371280365E0
1.550843167E0,-1.026909531E1,2.625540161E-1,4.420906677E0
1.560898167E0,-1.035337006E1,2.258802795E-1,3.764072571E0
1.570953167E0,-9.841584320E0,1.134640503E-1,3.611390076E0
1.581008167E0,-8.938811646E0,5.204676819E-1,3.612138519E0
1.591062167E0,-8.059989166E0,1.309177551E0,3.475772095E0
1.601117167E0,-7.424859924E0,2.001936951E0,3.285517731E0
1.611172167E0,-7.031627655E0,2.470762024E0,3.035537567E0
1.621227167E0,-6.699917450E0,2.739752655E0,2.554587708E0
1.631281167E0,-6.460116119E0,2.834355927E0,1.965861969E0
1.641336167E0,-6.589147797E0,3.079096985E0,1.238075409E0
1.651391167E0,-6.893614655E0,3.401227112E0,2.140548706E-1
1.661446167E0,-7.418423309E0,3.758833466E0,-7.289840698E-1
1.671500167E0,-8.240214386E0,4.209695892E0,-1.372795258E0
1.681555167E0,-9.095386047E0,4.536017303E0,-1.737886047E0
1.691610167E0,-9.814340973E0,4.775519257E0,-1.926194458E0
1.701665167E0,-9.690099335E0,4.905748444E0,-2.187401276E0
1.711719167E0,-8.879235535E0,4.799918518E0,-2.491568756E0
