"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.589683333E-2,1.924870594E-5,1.464557135E-5,1.728229690E-3
2.595183333E-2,9.289845475E-4,-8.655291167E-4,2.490159590E-3
3.600683334E-2,4.349931260E-6,-2.889363677E-4,2.600796521E-3
4.606083334E-2,-1.678501489E-3,-2.673647832E-4,1.350709237E-3
5.611583334E-2,-1.554704038E-3,1.282403362E-3,1.493395772E-3
6.617083334E-2,-8.199379081E-4,1.284556929E-4,1.551452558E-3
7.622583333E-2,2.821163507E-4,-5.298473989E-4,1.699216198E-3
8.628083333E-2,1.662699040E-3,-1.945850207E-3,-1.724010799E-3
9.633583334E-2,-2.994739218E-3,-6.181271747E-4,-7.711523212E-4
1.063907500E-1,-6.373090437E-4,-1.594974776E-3,-1.089932397E-3
1.164457500E-1,2.202147152E-4,1.617412665E-3,-3.916555084E-3
1.265007500E-1,4.066359834E-4,1.663485309E-3,-3.625471843E-3
1.365557500E-1,-1.129302109E-4,6.986072403E-4,-2.945592627E-3
1.466107500E-1,-1.279128483E-3,3.489341761E-4,-3.538145917E-3
1.566657500E-1,-1.750170602E-3,2.531915670E-4,-3.320370801E-3
1.667207500E-1,-9.134053253E-4,-9.867763147E-4,-4.043418914E-3
1.767757500E-1,-6.091952091E-4,-1.516904449E-3,-3.975459374E-3
1.868307500E-1,-3.419096349E-3,-8.362004883E-4,-1.295786817E-3
1.968857500E-1,-1.192184631E-3,-1.250158995E-3,-7.774899714E-4
2.069397500E-1,-4.505157005E-3,3.418786800E-4,1.175140031E-3
2.169947500E-1,-2.225324279E-4,1.852458576E-3,2.153634559E-3
2.270497500E-1,1.723971916E-3,5.213368218E-3,9.661302902E-4
2.371047500E-1,1.678855973E-3,7.293010713E-4,-3.420058638E-4
2.471597500E-1,-3.953729756E-3,-2.173544606E-3,-7.425453514E-4
2.572147500E-1,-1.973774517E-3,-3.725020215E-3,1.761248801E-3
2.672697500E-1,-5.852022441E-4,1.156819984E-3,1.206512097E-3
2.773247500E-1,1.110649668E-3,2.362272702E-3,1.382896677E-3
2.873797500E-1,-3.107531229E-3,4.104418622E-4,1.450806856E-3
2.974347500E-1,1.247631153E-3,-1.233329764E-3,1.033856068E-3
3.074897500E-1,-1.506077358E-3,-1.180598978E-3,-2.440503333E-3
3.175447500E-1,2.346717520E-3,3.119577421E-3,-1.884973608E-4
3.275997500E-1,-5.920805270E-4,3.769655246E-3,-1.877740026E-3
3.376547500E-1,-1.208546804E-3,-7.474923623E-4,-1.497809310E-3
3.477097500E-1,-7.166610449E-4,-2.923561260E-3,1.473479439E-3
3.577637500E-1,1.720082248E-3,4.931411240E-4,1.173172146E-3
3.678187500E-1,3.208574490E-4,4.587863223E-4,-1.020473428E-3
3.778737500E-1,1.398259657E-3,-8.965586312E-5,-7.270742208E-5
3.879287500E-1,-2.177300397E-3,-1.927202102E-4,-1.249052584E-4
3.979837500E-1,-5.281961057E-4,-2.529335325E-4,-2.926276065E-4
4.080387500E-1,-1.205970533E-3,-1.125651412E-3,-1.752572134E-3
4.180937500E-1,-3.902532044E-4,-5.870698369E-4,-1.144608948E-3
4.281487500E-1,-1.196924713E-3,-7.729584468E-4,-5.214288831E-4
4.382037500E-1,-1.519809244E-3,-5.359900533E-4,-1.942317467E-3
4.482587500E-1,-3.487086156E-3,-9.543726337E-4,-2.284267452E-3
4.583137500E-1,-7.638236857E-4,-5.819051876E-4,-3.294674912E-3
4.683687500E-1,-2.096198732E-4,-7.845716900E-4,-4.384345375E-4
4.784237500E-1,-7.911784342E-4,2.837995999E-3,-9.872103110E-4
4.884787500E-1,2.219791291E-3,4.159190226E-3,-1.403728966E-3
4.985337500E-1,2.027456649E-3,1.180200488E-3,2.133473754E-5
5.085877500E-1,7.986739511E-4,-1.694149105E-3,5.574286915E-4
5.186427500E-1,1.396026695E-3,-1.384961070E-3,-2.269739751E-3
5.286977500E-1,6.660543149E-4,8.004289120E-4,-1.957350876E-3
5.387527500E-1,-2.267478034E-3,1.992731355E-3,-6.808796898E-4
5.488077500E-1,-3.122619120E-3,-8.142404840E-4,-1.788740046E-4
5.588627500E-1,1.593641005E-3,-3.983842325E-4,-1.860691700E-3
5.689177500E-1,-5.507362657E-4,1.749943767E-4,7.785004564E-4
5.789727500E-1,-8.162515587E-4,-1.408079523E-3,-4.407423548E-4
5.890277500E-1,-4.267974291E-3,1.135771861E-3,-2.161144745E-3
5.990827500E-1,-2.300828055E-4,9.470062214E-4,-3.769132541E-3
6.091377500E-1,-1.155531267E-3,9.752357146E-4,-1.347519923E-3
