"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.343833334E-3,-8.951385498E-2,1.785786438E-1,-9.786947937E0
8.711166665E-3,-7.604187012E-2,1.785786438E-1,-9.783205719E0
1.876616667E-2,-8.098159790E-2,1.893562317E-1,-9.790690155E0
2.882116667E-2,-6.750961304E-2,1.877096558E-1,-9.787247314E0
3.887716667E-2,-5.029541016E-2,1.881587219E-1,-9.785900116E0
4.893216667E-2,-4.086502075E-2,1.974394226E-1,-9.784552917E0
5.898716667E-2,-5.014572144E-2,1.941462708E-1,-9.786349182E0
6.904316667E-2,-5.284011841E-2,1.983375549E-1,-9.785151672E0
7.909816667E-2,-4.565505981E-2,2.008822632E-1,-9.797126770E0
8.915316667E-2,-5.478607178E-2,1.995350647E-1,-9.779014435E0
9.920916667E-2,-7.978408813E-2,2.035766602E-1,-9.776320038E0
1.092641667E-1,-7.679031372E-2,2.034269714E-1,-9.792336731E0
1.193191667E-1,-8.457412720E-2,2.125579834E-1,-9.789342957E0
1.293751667E-1,-9.460327148E-2,2.116598511E-1,-9.788594513E0
1.394301667E-1,-9.624984741E-2,2.076182556E-1,-9.794881439E0
1.494851667E-1,-9.954299927E-2,2.055226135E-1,-9.783355408E0
1.595401667E-1,-9.430389404E-2,2.091151428E-1,-9.793534241E0
1.695961667E-1,-8.397537231E-2,2.037263489E-1,-9.782606964E0
1.796511667E-1,-7.484436035E-2,1.930984497E-1,-9.778864746E0
1.897061667E-1,-6.406677246E-2,1.992356873E-1,-9.782008209E0
1.997621667E-1,-6.167175293E-2,1.990859985E-1,-9.788444824E0
2.098171667E-1,-6.855743408E-2,2.076182556E-1,-9.789941711E0
2.198721667E-1,-7.918533325E-2,2.237846375E-1,-9.792187042E0
2.299281667E-1,-9.295669556E-2,2.444416809E-1,-9.783954163E0
2.399831667E-1,-1.103205872E-1,2.459385681E-1,-9.784403229E0
2.500381667E-1,-8.756790161E-2,2.258802795E-1,-9.780062256E0
2.600931667E-1,-5.583389282E-2,1.935475159E-1,-9.788145447E0
2.701491667E-1,-2.963836670E-2,1.468446350E-1,-9.778715057E0
2.802041667E-1,-1.062789917E-2,1.312770081E-1,-9.778715057E0
2.902591667E-1,-1.242416382E-2,1.390608215E-1,-9.793833618E0
3.003151667E-1,-2.739303589E-2,1.477427673E-1,-9.796228638E0
3.103701667E-1,-2.260299683E-2,1.776805115E-1,-9.785301361E0
