"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.074812500E-2,2.801239316E-4,-1.874058507E-3,2.083522268E-4
3.080412500E-2,-2.887280716E-4,1.027012942E-3,9.287637658E-4
4.085912500E-2,1.621450938E-4,1.014229725E-3,1.979913563E-3
5.091412500E-2,-3.443862370E-4,4.698176053E-5,-3.545386717E-4
6.096912500E-2,-3.441199369E-4,-3.993640421E-4,-3.854731331E-3
7.102412500E-2,-4.905957030E-4,1.594906324E-3,7.870290428E-4
8.107912500E-2,4.156780487E-4,-7.348270155E-4,-1.782122534E-3
9.113512500E-2,-2.759078518E-3,-6.042777677E-4,3.765103873E-3
1.011901250E-1,2.022094559E-3,1.059872739E-4,2.101427410E-3
1.112451250E-1,7.799846935E-4,-2.985469764E-3,2.621631138E-4
1.213001250E-1,1.631663647E-3,-8.269778336E-4,6.730891764E-4
1.313551250E-1,7.402909687E-4,2.345909597E-3,2.653552219E-3
1.414101250E-1,3.641747753E-5,-1.577991759E-3,-7.212050259E-4
1.514661250E-1,2.893968194E-4,1.871490385E-3,1.292468049E-3
1.615211250E-1,1.438284526E-3,1.040317817E-3,1.170760952E-3
1.715761250E-1,-2.957202669E-4,1.429737778E-3,-1.098411158E-4
1.816311250E-1,-1.620110357E-3,-1.820383943E-3,-2.504289150E-3
1.916861250E-1,-3.228134476E-3,-5.039477255E-4,-2.414845396E-3
2.017411250E-1,1.019074814E-3,3.107132507E-4,-8.590263315E-4
2.117971250E-1,-3.617845941E-4,-8.831287269E-4,-3.491519252E-3
2.218521250E-1,-3.037276911E-4,6.830763305E-4,5.362452939E-4
2.319071250E-1,-9.372967761E-4,-2.149158972E-4,1.289149746E-3
2.419621250E-1,1.186041627E-3,-8.735156152E-4,4.752879031E-4
2.520171250E-1,1.534113544E-3,2.615078702E-4,-9.395261295E-4
2.620721250E-1,1.508676796E-4,-1.280196011E-3,-2.117708325E-3
2.721281250E-1,-9.716621717E-4,-1.414958388E-4,-1.850791741E-3
2.821831250E-1,-2.200444695E-3,5.581165897E-4,-1.295522787E-3
2.922381250E-1,-3.655292094E-4,4.039041232E-4,-8.635544218E-4
3.022931250E-1,-3.519470920E-4,-9.091122774E-5,-6.536976434E-4
3.123481250E-1,1.116518280E-3,-2.049132949E-3,-4.670396447E-5
3.224031250E-1,1.486697700E-3,1.461978769E-3,-2.146339975E-3
3.324591250E-1,-5.527847679E-5,1.320956973E-3,-4.121824168E-4
3.425141250E-1,-1.022538636E-3,-1.050321618E-3,-1.542428043E-3
3.525691250E-1,1.142868306E-3,-1.537747798E-3,6.369487382E-4
3.626241250E-1,7.467437536E-5,-1.016567228E-3,-1.387053635E-3
3.726791250E-1,-1.000337070E-4,2.649286180E-4,1.146480907E-3
3.827341250E-1,-7.122944808E-4,6.468259380E-4,-5.393004976E-4
3.927901250E-1,3.380409034E-4,7.987159188E-4,3.226806410E-3
4.028451250E-1,-3.115040599E-4,2.746058162E-4,3.421749920E-3
4.129000417E-1,6.317788502E-4,-7.225699374E-4,1.209444366E-3
4.229550417E-1,2.024345798E-3,2.625333145E-4,2.070443705E-3
4.330100417E-1,-1.156278537E-3,-2.236564411E-3,7.236804813E-4
4.430650417E-1,4.101927625E-4,-1.715494727E-4,1.179613639E-3
4.531210417E-1,2.237566368E-4,-7.266864413E-4,-7.770587690E-4
4.631760417E-1,-8.361814544E-4,-8.465286810E-4,-2.378150821E-3
4.732310417E-1,7.875423180E-4,-7.579918602E-4,-9.954394773E-5
4.832860417E-1,5.947294412E-4,-2.111143898E-3,2.203015611E-4
4.933410417E-1,9.081784519E-4,9.862275328E-4,3.314696718E-3
5.033970417E-1,1.739449508E-4,-1.125126611E-3,-2.545322757E-3
5.134520417E-1,1.088997582E-3,-1.021581818E-3,-1.541086938E-3
