"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.069533333E-2,-4.914631136E-4,2.797579858E-3,1.760009211E-3
2.075033334E-2,-7.420666516E-4,9.846626199E-5,7.512170356E-3
3.080533334E-2,1.432609512E-3,1.208590344E-3,7.691315841E-3
4.086033333E-2,2.858523512E-4,3.056557849E-3,1.032438315E-2
5.091512500E-2,9.787220042E-4,2.297432860E-3,3.066811711E-3
6.097012500E-2,4.195554182E-3,1.310731750E-3,5.104439333E-4
7.102512500E-2,-2.363760432E-4,7.466704701E-4,-9.309059940E-3
8.108012500E-2,2.208405873E-3,-9.787916206E-4,-9.367915802E-3
9.113512500E-2,1.703384332E-3,1.414851169E-3,-1.077733189E-2
1.011901250E-1,9.105612990E-4,2.385329572E-4,-5.881642923E-3
1.112451250E-1,-5.910064792E-4,8.066123119E-4,3.294984344E-3
1.213001250E-1,-2.711148933E-3,-8.717117598E-4,9.468458593E-3
1.313551250E-1,8.548749611E-4,-3.112543200E-4,8.848056197E-3
1.414101250E-1,-2.542786067E-3,5.433540791E-4,5.744941067E-3
1.514651250E-1,-1.911579981E-3,-5.899983225E-4,2.076328732E-3
1.615201250E-1,9.859392885E-4,-3.641622607E-4,-6.410100497E-3
1.715751250E-1,3.024273319E-4,4.436707532E-4,-8.023075759E-3
1.816301250E-1,2.296868712E-3,7.659132825E-4,-7.906429470E-3
1.916841250E-1,1.672873972E-3,-7.382771582E-5,-3.972386010E-3
2.017391250E-1,1.978605054E-3,-8.528023027E-4,1.983773895E-3
2.117941250E-1,6.338891108E-4,1.288648928E-3,6.254453678E-3
2.218491250E-1,-2.503847238E-3,1.107021468E-3,6.708256435E-3
2.319041250E-1,-8.678346057E-4,1.645346405E-3,6.259138696E-3
2.419591250E-1,8.520347765E-4,1.465316745E-3,4.191726446E-3
2.520141250E-1,-4.574563354E-4,-2.100436483E-3,-3.566306317E-3
2.620691250E-1,1.080252929E-3,-6.032073288E-4,-8.041216061E-3
2.721241250E-1,-5.968767800E-4,-2.024946269E-3,-8.633955382E-3
2.821791250E-1,1.714214450E-3,1.998291118E-3,-5.204336252E-3
2.922341250E-1,-3.228011075E-3,-3.264538245E-4,1.482666936E-3
3.022891250E-1,9.299822268E-4,-1.621016534E-3,6.873171311E-3
3.123441250E-1,7.883952931E-4,-4.609394236E-4,9.766167030E-3
3.223991250E-1,-1.455051592E-3,-8.268577512E-4,7.403943688E-3
3.324541250E-1,-2.035691636E-3,2.933044452E-3,3.090063110E-3
3.425091250E-1,8.634254336E-4,-8.148222696E-4,-1.409613527E-3
3.525641250E-1,1.821817714E-3,2.006295836E-3,-6.611104123E-3
3.626191250E-1,4.878403270E-4,-4.640524276E-4,-9.112345055E-3
3.726741250E-1,-1.062406227E-4,1.658423804E-3,-5.468803458E-3
3.827291250E-1,3.971325234E-3,1.658690162E-3,-3.397396766E-3
3.927841250E-1,3.602313576E-3,-4.877615429E-4,5.375999957E-3
4.028391250E-1,2.762917429E-4,-1.019328483E-3,7.649807259E-3
4.128941250E-1,-2.046391834E-3,-2.120161371E-4,8.632699959E-3
4.229491250E-1,-2.467171289E-3,2.491092309E-3,7.584745996E-3
