"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.199345832E-2,5.522260666E0,3.347730255E1,-4.242570496E1
2.204962500E-2,5.530794144E0,3.348388672E1,-4.232330322E1
3.210562500E-2,5.520574570E0,3.360115814E1,-4.232743835E1
4.216062499E-2,5.450771332E0,3.334860992E1,-4.207426453E1
5.221662499E-2,5.390058517E0,3.329692841E1,-4.196470642E1
6.227262499E-2,5.595333099E0,3.322933960E1,-4.238993835E1
7.232762499E-2,5.514621735E0,3.320567322E1,-4.239819336E1
8.238362499E-2,5.635391235E0,3.338285065E1,-4.263076782E1
9.243962499E-2,5.575996399E0,3.304259491E1,-4.218434143E1
1.024956250E-1,5.543657303E0,3.320375061E1,-4.203549194E1
1.125506250E-1,5.570278168E0,3.330307770E1,-4.239285278E1
1.226066250E-1,5.556350708E0,3.324777222E1,-4.218380737E1
1.326626250E-1,5.390699387E0,3.322152710E1,-4.218759155E1
1.427176250E-1,5.447265625E0,3.319626617E1,-4.226367188E1
1.527736250E-1,5.615545273E0,3.355167389E1,-4.234681702E1
1.628296250E-1,5.467868805E0,3.340365601E1,-4.225273132E1
1.728856250E-1,5.364358902E0,3.348163605E1,-4.258950806E1
1.829406250E-1,5.637022018E0,3.341721344E1,-4.239712524E1
1.929966250E-1,5.561515808E0,3.334864044E1,-4.253027344E1
2.030526250E-1,5.462818146E0,3.325462341E1,-4.253918457E1
2.131076250E-1,5.510822296E0,3.321581268E1,-4.234873962E1
2.231636250E-1,5.315202713E0,3.345275116E1,-4.300703430E1
2.332196250E-1,5.375326157E0,3.346748352E1,-4.271546936E1
2.432756250E-1,5.432727814E0,3.350338745E1,-4.268074036E1
2.533306250E-1,5.532932281E0,3.340778351E1,-4.274508667E1
2.633866250E-1,5.544181824E0,3.350296021E1,-4.242446899E1
2.734426250E-1,5.853534698E0,3.345321655E1,-4.221080017E1
2.834976250E-1,5.872709274E0,3.329602814E1,-4.254028320E1
2.935536250E-1,5.588008881E0,3.364654541E1,-4.255247498E1
3.036096250E-1,5.536344528E0,3.381070709E1,-4.242887878E1
3.136656250E-1,5.620998383E0,3.363552856E1,-4.252056885E1
3.237206250E-1,5.430679321E0,3.362516785E1,-4.269313049E1
3.337766250E-1,5.486185074E0,3.346785736E1,-4.266770935E1
3.438326250E-1,5.515954971E0,3.359062958E1,-4.242340088E1
3.538876250E-1,5.447078705E0,3.346886444E1,-4.237144470E1
3.639436250E-1,5.512466431E0,3.333269501E1,-4.253628540E1
3.739996250E-1,5.518861771E0,3.330097961E1,-4.259344482E1
3.840556250E-1,5.372814178E0,3.340129852E1,-4.245957947E1
3.941106250E-1,5.536075592E0,3.335692596E1,-4.233726501E1
4.041666250E-1,5.769870758E0,3.366941071E1,-4.232620239E1
4.142226250E-1,5.487394333E0,3.363643646E1,-4.237174988E1
4.242776250E-1,5.532182693E0,3.338692474E1,-4.236996460E1
4.343336250E-1,5.616167068E0,3.343621063E1,-4.209478760E1
4.443896250E-1,5.473722458E0,3.348732758E1,-4.231346130E1
4.544456250E-1,5.508861542E0,3.337955475E1,-4.225923157E1
4.645006250E-1,5.531764984E0,3.348455811E1,-4.244641113E1
4.745566250E-1,5.463769913E0,3.330776978E1,-4.230163574E1
4.846126250E-1,5.455411911E0,3.328615570E1,-4.208674622E1
4.946676250E-1,5.756399155E0,3.331353760E1,-4.223735046E1
5.047236250E-1,5.736591339E0,3.317705536E1,-4.191833496E1
5.147796250E-1,5.562335968E0,3.323758698E1,-4.190208435E1
5.248356250E-1,5.425500870E0,3.331054688E1,-4.189010620E1
5.348906250E-1,5.433723450E0,3.349233246E1,-4.197387695E1
5.449466250E-1,5.473930359E0,3.360681152E1,-4.224012756E1
5.550026250E-1,5.363933563E0,3.336380768E1,-4.196211243E1
5.650576250E-1,5.622535706E0,3.317412567E1,-4.201699829E1
5.751136250E-1,5.592630386E0,3.358275604E1,-4.211650085E1
5.851696250E-1,5.527387619E0,3.332817841E1,-4.206929016E1
5.952256250E-1,5.481594086E0,3.346558380E1,-4.261825562E1
6.052806250E-1,5.326784134E0,3.346002197E1,-4.243832397E1
6.153366250E-1,5.312864304E0,3.337406921E1,-4.211882019E1
6.253926250E-1,5.246637344E0,3.328781128E1,-4.226663208E1
6.354476250E-1,5.381364822E0,3.325781250E1,-4.209251404E1
6.455036250E-1,5.241550446E0,3.321678925E1,-4.234594727E1
6.555596250E-1,5.223480225E0,3.341985321E1,-4.208633423E1
6.656156250E-1,5.451503754E0,3.364559937E1,-4.219573975E1
6.756706250E-1,5.359363556E0,3.362091827E1,-4.210752869E1
6.857266250E-1,5.099515915E0,3.346793365E1,-4.205258179E1
6.957826250E-1,5.395317078E0,3.340679932E1,-4.193589783E1
7.058376250E-1,5.532163620E0,3.338734436E1,-4.227583313E1
7.158936250E-1,5.440774918E0,3.340918732E1,-4.220878601E1
7.259496250E-1,5.377607346E0,3.322632599E1,-4.225506592E1
7.360046250E-1,5.421871185E0,3.329595184E1,-4.206648254E1
7.460606250E-1,5.351181030E0,3.337362671E1,-4.218589783E1
7.561166250E-1,5.142160416E0,3.324862671E1,-4.205551147E1
7.661726250E-1,5.424722672E0,3.352412415E1,-4.201084900E1
7.762276250E-1,5.208490372E0,3.359492493E1,-4.203192139E1
7.862836250E-1,5.066879272E0,3.334895325E1,-4.215287781E1
7.963396250E-1,5.269817352E0,3.329482269E1,-4.216419983E1
8.063946250E-1,5.480911255E0,3.340099335E1,-4.230993652E1
8.164506250E-1,5.338062286E0,3.357331848E1,-4.200128174E1
8.265066250E-1,5.147443771E0,3.341864777E1,-4.180400085E1
8.365626250E-1,5.390422821E0,3.348824310E1,-4.185830688E1
8.466176250E-1,5.121694565E0,3.343213654E1,-4.167414856E1
8.566736250E-1,5.324432373E0,3.316502380E1,-4.178630066E1
8.667296250E-1,5.398593903E0,3.341899109E1,-4.187606812E1
8.767846250E-1,5.300771713E0,3.332434845E1,-4.190924072E1
8.868406250E-1,5.364122391E0,3.329505157E1,-4.198309326E1
8.968966250E-1,5.609457016E0,3.345698547E1,-4.215550232E1
9.069526250E-1,5.399755478E0,3.340730286E1,-4.194303894E1
9.170076250E-1,5.336786270E0,3.351953888E1,-4.193304443E1
9.270636250E-1,5.257997513E0,3.329075623E1,-4.225598145E1
9.371196250E-1,5.437551498E0,3.353659058E1,-4.232202148E1
9.471746250E-1,5.363950729E0,3.345552826E1,-4.194549561E1
9.572306250E-1,5.578493118E0,3.348476410E1,-4.161167908E1
9.672866250E-1,5.720857620E0,3.351531982E1,-4.216851807E1
9.773426250E-1,5.710691452E0,3.352751160E1,-4.199575806E1
9.873976250E-1,5.451894760E0,3.342646027E1,-4.180706787E1
9.974536250E-1,5.468820572E0,3.360259247E1,-4.222686768E1
1.007509625E0,5.462568283E0,3.329737854E1,-4.226881409E1
1.017564833E0,5.638130188E0,3.343422699E1,-4.230422974E1
1.027620833E0,5.496488571E0,3.348773193E1,-4.221118164E1
1.037676833E0,5.420480728E0,3.343234253E1,-4.207769775E1
1.047732833E0,5.652339935E0,3.349089050E1,-4.190794373E1
1.057787833E0,5.417079926E0,3.344770813E1,-4.178852844E1
1.067843833E0,5.595754623E0,3.342698669E1,-4.195632935E1
1.077899833E0,5.448001862E0,3.329197693E1,-4.165731812E1
1.087954833E0,5.446001053E0,3.306858826E1,-4.180757141E1
1.098010833E0,5.365810394E0,3.322627258E1,-4.194873047E1
1.108066833E0,5.562789917E0,3.317199707E1,-4.191395569E1
1.118122833E0,5.608329773E0,3.315280151E1,-4.163859558E1
1.128177833E0,5.272731781E0,3.357085419E1,-4.183245850E1
1.138233833E0,5.272731781E0,3.357085419E1,-4.183245850E1
1.148289833E0,5.205577850E0,3.369751740E1,-4.200776672E1
1.158344833E0,5.555032730E0,3.348807526E1,-4.211299133E1
1.168400833E0,5.636533737E0,3.340588379E1,-4.193986511E1
1.178456833E0,5.541805267E0,3.356539917E1,-4.182856750E1
1.188512833E0,5.557056427E0,3.355863953E1,-4.183523560E1
1.198567833E0,5.603380203E0,3.357929230E1,-4.198191833E1
1.208623833E0,5.781482697E0,3.359284210E1,-4.198794556E1
1.218679833E0,5.854015350E0,3.374466705E1,-4.168479919E1
1.228734833E0,5.742389679E0,3.364696503E1,-4.185578918E1
1.238790833E0,5.838239670E0,3.370549774E1,-4.212583923E1
1.248846833E0,5.619068146E0,3.352622986E1,-4.204512024E1
1.258902833E0,5.638919830E0,3.363719177E1,-4.264370728E1
1.268957833E0,5.707576752E0,3.370100403E1,-4.183357239E1
1.279013833E0,5.554197311E0,3.375305939E1,-4.200898743E1
1.289069833E0,5.470188141E0,3.377478790E1,-4.192439270E1
1.299124833E0,5.529808044E0,3.374571991E1,-4.210292053E1
1.309180833E0,5.571249008E0,3.373493195E1,-4.232469177E1
1.319236833E0,5.408802032E0,3.363883972E1,-4.187054443E1
1.329292833E0,5.581827164E0,3.355630493E1,-4.216989136E1
1.339347833E0,5.461894989E0,3.349054718E1,-4.203997803E1
1.349403833E0,5.428821564E0,3.364513397E1,-4.212171936E1
1.359459833E0,5.264280319E0,3.364214325E1,-4.241867065E1
1.369514833E0,5.221893311E0,3.346192169E1,-4.202056885E1
1.379570833E0,5.344062805E0,3.361885834E1,-4.198445129E1
1.389626833E0,5.364435196E0,3.361736298E1,-4.191996765E1
1.399681833E0,5.293222427E0,3.357826996E1,-4.168008423E1
1.409737833E0,5.307928085E0,3.364872742E1,-4.181272888E1
1.419793833E0,5.346117020E0,3.358123016E1,-4.201744080E1
1.429849833E0,5.361255646E0,3.340082550E1,-4.190570068E1
1.439904833E0,5.328994751E0,3.360441589E1,-4.173728943E1
1.449960833E0,5.714361191E0,3.326980591E1,-4.146946716E1
1.460016833E0,5.600992203E0,3.311989594E1,-4.143431091E1
1.470071833E0,5.395097733E0,3.329617310E1,-4.156452942E1
1.480127833E0,5.376056671E0,3.336973572E1,-4.163090515E1
1.490183833E0,5.609523773E0,3.340229797E1,-4.152825928E1
1.500239833E0,5.660448074E0,3.319829559E1,-4.165440369E1
1.510294833E0,5.740644455E0,3.319004822E1,-4.156172180E1
1.520350833E0,5.730743408E0,3.328530121E1,-4.182220459E1
1.530406833E0,5.822469711E0,3.330354309E1,-4.150984192E1
1.540461833E0,6.102209091E0,3.348464966E1,-4.146318054E1
1.550517833E0,6.209081650E0,3.357303619E1,-4.167086792E1
1.560573833E0,6.537822723E0,3.372599792E1,-4.159098816E1
1.570629833E0,6.945646286E0,3.392195129E1,-4.143222046E1
1.580684833E0,7.432216644E0,3.410756683E1,-4.160633850E1
1.590740833E0,8.117218018E0,3.400261688E1,-4.142794800E1
1.600796833E0,8.864395142E0,3.426110077E1,-4.102267456E1
1.610851833E0,1.002291870E1,3.445103455E1,-4.061840820E1
1.620907833E0,1.117536163E1,3.495589447E1,-3.992515564E1
1.630963833E0,1.252590370E1,3.526873016E1,-3.922604370E1
1.641019833E0,1.414157104E1,3.560030365E1,-3.831039429E1
1.651074833E0,1.564910126E1,3.615711212E1,-3.721865845E1
1.661130833E0,1.750159264E1,3.629199219E1,-3.621852112E1
1.671186833E0,1.959578705E1,3.673068237E1,-3.478865051E1
1.681241833E0,2.205564499E1,3.748151398E1,-3.341845703E1
1.691297833E0,2.461463928E1,3.789894867E1,-3.119483948E1
1.701353833E0,2.719848633E1,3.860527039E1,-2.840393066E1
1.711409833E0,2.983882332E1,3.891963959E1,-2.520002747E1
1.721464833E0,3.220087814E1,3.937590790E1,-2.074723816E1
1.731520833E0,3.402638245E1,4.004772949E1,-1.672372437E1
1.741576833E0,3.548063278E1,4.039962006E1,-1.262786865E1
1.751631833E0,3.627984619E1,4.065579224E1,-8.864547729E0
1.761687833E0,3.738267517E1,4.054470825E1,-5.316024780E0
1.771743833E0,3.800058365E1,4.066416931E1,-2.094421387E0
1.781799833E0,3.842979431E1,3.991944885E1,1.949005127E-1
1.791854833E0,3.904135132E1,3.970433044E1,1.402130127E0
1.801910833E0,3.975614929E1,3.943732452E1,2.500305176E0
1.811966833E0,4.048629761E1,3.873876190E1,2.881271362E0
1.822021833E0,4.135229492E1,3.800209808E1,2.867065430E0
1.832077833E0,4.204471588E1,3.719739532E1,1.987640381E0
1.842133833E0,4.317163086E1,3.622309113E1,1.089355469E0
1.852189833E0,4.418647003E1,3.527168274E1,1.733245850E-1
1.862244833E0,4.536939621E1,3.415824127E1,-1.092102051E0
1.872300833E0,4.634933472E1,3.308908844E1,-2.730346680E0
1.882356833E0,4.747468567E1,3.163752937E1,-4.571029663E0
1.892411833E0,4.835047150E1,3.014712334E1,-6.143615723E0
1.902467833E0,4.932904053E1,2.865764809E1,-7.506042480E0
1.912523833E0,5.014294434E1,2.694583702E1,-8.573730469E0
1.922579833E0,5.103514099E1,2.504304314E1,-9.856338501E0
1.932634833E0,5.205064392E1,2.304446602E1,-1.074865723E1
1.942690833E0,5.289772415E1,2.085030556E1,-1.125402832E1
1.952746833E0,5.389183044E1,1.863247490E1,-1.138839722E1
1.962801833E0,5.455969238E1,1.619860268E1,-1.123910522E1
1.972857833E0,5.543052673E1,1.402792931E1,-1.156604004E1
1.982913833E0,5.598702240E1,1.190309334E1,-1.172253418E1
1.992969833E0,5.656492996E1,9.665376663E0,-1.161047363E1
2.003024833E0,5.695850372E1,7.793806076E0,-1.193627930E1
2.013080833E0,5.691451645E1,6.122688293E0,-1.191882324E1
2.023136333E0,5.707548523E1,4.424612045E0,-1.234196472E1
2.033191333E0,5.724154663E1,2.262660980E0,-1.251036072E1
2.043247333E0,5.699332428E1,2.683658600E-1,-1.241079712E1
2.053303333E0,5.704866028E1,-1.645553589E0,-1.289984131E1
2.063358333E0,5.682434845E1,-3.994949341E0,-1.344837952E1
2.073414333E0,5.668554688E1,-6.488828659E0,-1.376765442E1
2.083470333E0,5.619268799E1,-8.990537643E0,-1.416744995E1
2.093526333E0,5.552265167E1,-1.158416939E1,-1.474391174E1
2.103581333E0,5.477407837E1,-1.445246601E1,-1.500254822E1
2.113637333E0,5.348110962E1,-1.748324966E1,-1.501643372E1
2.123693333E0,5.267152405E1,-2.004647636E1,-1.538923645E1
2.133748333E0,5.147627640E1,-2.270334435E1,-1.526849365E1
2.143804333E0,5.021496201E1,-2.544132233E1,-1.522431946E1
2.153860333E0,4.905268097E1,-2.786497498E1,-1.490512085E1
2.163916333E0,4.719398499E1,-3.014965057E1,-1.491279602E1
2.173971333E0,4.614096069E1,-3.219897079E1,-1.468562317E1
2.184027333E0,4.441736603E1,-3.435130310E1,-1.442869568E1
2.194083333E0,4.286198425E1,-3.619488525E1,-1.455960083E1
2.204138333E0,4.134174347E1,-3.768074036E1,-1.378240967E1
2.214194333E0,3.978984451E1,-3.954865265E1,-1.365153503E1
2.224250333E0,3.830720901E1,-4.085697174E1,-1.298043823E1
2.234306333E0,3.703955078E1,-4.196568298E1,-1.285363770E1
2.244361333E0,3.566341400E1,-4.305712891E1,-1.222731018E1
