"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.050904166E-2,-8.531955719E0,3.645500946E1,4.302545166E1
2.056504166E-2,-8.761653900E0,3.640065765E1,4.295763397E1
3.062004167E-2,-8.743240356E0,3.640731049E1,4.295915222E1
4.067504167E-2,-8.781122208E0,3.634297180E1,4.266851044E1
5.073004166E-2,-8.905866623E0,3.636707306E1,4.254877472E1
6.078504167E-2,-8.967153549E0,3.635546112E1,4.259568787E1
7.084004166E-2,-9.068397522E0,3.647554779E1,4.260449982E1
8.089504167E-2,-9.062271118E0,3.659214020E1,4.271368408E1
9.095004166E-2,-8.840810776E0,3.666033173E1,4.239813232E1
1.010050417E-1,-8.975730896E0,3.641004944E1,4.240322113E1
1.110600417E-1,-8.837837219E0,3.647634888E1,4.265766907E1
1.211150417E-1,-8.832933426E0,3.663163757E1,4.271985626E1
1.311700417E-1,-9.104700089E0,3.663224792E1,4.273699188E1
1.412250417E-1,-9.040237427E0,3.658198547E1,4.266859436E1
1.512800417E-1,-9.027338028E0,3.647206116E1,4.270421600E1
1.613350417E-1,-8.998592377E0,3.646434021E1,4.243407440E1
1.713900417E-1,-9.201755524E0,3.632363129E1,4.253086853E1
1.814450417E-1,-8.943920135E0,3.647123718E1,4.224903870E1
1.915000417E-1,-8.872589111E0,3.652065277E1,4.244704437E1
2.015550417E-1,-8.973947525E0,3.649080658E1,4.256465149E1
2.116100417E-1,-8.886287689E0,3.647850800E1,4.268726349E1
2.216650417E-1,-8.730041504E0,3.654175568E1,4.266978455E1
2.317200417E-1,-8.860708237E0,3.653437042E1,4.276435852E1
2.417750417E-1,-8.869756699E0,3.626457214E1,4.292283630E1
2.518300417E-1,-9.006925583E0,3.644165039E1,4.317726898E1
2.618850417E-1,-9.006252289E0,3.652624512E1,4.302559662E1
2.719400417E-1,-9.061481476E0,3.648629761E1,4.300686646E1
2.819950417E-1,-8.987470627E0,3.647936249E1,4.315616608E1
2.920500417E-1,-8.627824783E0,3.641466522E1,4.311928558E1
3.021050417E-1,-9.074279785E0,3.651648712E1,4.283844757E1
3.121600417E-1,-8.867893219E0,3.657102203E1,4.297276306E1
3.222160417E-1,-9.005228043E0,3.634108734E1,4.266065216E1
3.322710417E-1,-8.918899536E0,3.632749939E1,4.248666382E1
3.423260417E-1,-9.157449722E0,3.651684570E1,4.269609070E1
3.523810417E-1,-9.181035995E0,3.628582764E1,4.248706055E1
3.624360417E-1,-9.210681915E0,3.625583649E1,4.233467102E1
3.724910417E-1,-9.286832809E0,3.646025085E1,4.228827667E1
3.825460417E-1,-9.255998611E0,3.641497803E1,4.275363159E1
3.926010417E-1,-9.096790314E0,3.637947845E1,4.287900543E1
4.026560417E-1,-9.229747772E0,3.632249451E1,4.257037354E1
4.127110417E-1,-9.168437958E0,3.620229340E1,4.281797791E1
4.227660417E-1,-9.242540359E0,3.636528015E1,4.314528656E1
4.328210417E-1,-9.384853363E0,3.635173798E1,4.290119934E1
4.428760417E-1,-9.217090607E0,3.640815735E1,4.317472076E1
4.529310417E-1,-9.035873413E0,3.650305939E1,4.257154846E1
4.629860417E-1,-9.225170135E0,3.631721497E1,4.270067596E1
4.730410417E-1,-9.054187775E0,3.652025604E1,4.251309204E1
4.830960417E-1,-9.229412079E0,3.635897064E1,4.267912292E1
4.931510417E-1,-9.242527008E0,3.644301605E1,4.238671875E1
5.032060417E-1,-9.273605347E0,3.653298950E1,4.256848907E1
5.132610417E-1,-9.291816711E0,3.651508331E1,4.244380951E1
5.233160417E-1,-9.038747787E0,3.661759949E1,4.252029419E1
5.333710417E-1,-9.221426010E0,3.654721832E1,4.243953705E1
5.434260417E-1,-9.168056488E0,3.646669006E1,4.255731201E1
5.534810417E-1,-8.993547440E0,3.627606964E1,4.252540588E1
5.635360417E-1,-9.145204544E0,3.643798828E1,4.268974304E1
5.735910417E-1,-8.973934174E0,3.648101807E1,4.256709290E1
5.836460417E-1,-8.973688126E0,3.640535736E1,4.253214264E1
