"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.516208333E-2,-1.105066622E-3,-2.650008537E-3,-6.318269297E-4
2.521708334E-2,6.205346435E-4,-2.121128491E-4,-1.984657254E-3
3.527308334E-2,-1.876178780E-3,1.205221517E-3,-1.471732743E-3
4.532908334E-2,-1.011253451E-3,-7.906170795E-4,5.724499933E-4
5.538408335E-2,1.553104375E-3,3.092684201E-4,7.586050779E-4
6.544008334E-2,-5.226258072E-4,-2.051001880E-3,-1.391866244E-4
7.549608334E-2,-9.173063445E-4,-2.160837466E-4,1.298654359E-3
8.555108334E-2,1.177761296E-4,7.327090716E-4,1.893902197E-3
9.560708333E-2,-8.699903265E-4,-1.367992372E-3,1.251282170E-3
1.056630833E-1,1.777119032E-4,-3.585276427E-4,-3.848779015E-4
1.157180833E-1,-1.809805282E-3,3.341605479E-4,1.320877112E-3
1.257740833E-1,-4.480267817E-4,1.349023078E-3,-6.380099803E-4
1.358290833E-1,6.318850210E-4,1.476711041E-4,-1.512858085E-3
1.458850833E-1,1.017479110E-3,-1.245409076E-4,-1.804786734E-3
1.559410833E-1,9.881843580E-4,9.865298634E-4,-2.732025459E-4
1.659960833E-1,1.013916451E-3,-6.075754645E-4,2.122848760E-3
1.760520833E-1,1.493019052E-3,4.241331480E-4,1.779834274E-3
1.861080833E-1,1.599114737E-3,6.505311467E-4,3.401472233E-3
1.961630833E-1,1.794857089E-3,4.582509282E-4,3.328502178E-3
2.062190833E-1,-5.917184753E-4,8.547846228E-4,4.163871985E-3
2.162740833E-1,2.574247308E-3,1.440413645E-3,4.341238644E-3
2.263300833E-1,-5.023478298E-5,-2.761094947E-5,1.551610418E-3
2.363860833E-1,-4.635573714E-4,-1.957337605E-3,-5.255429540E-3
2.464410833E-1,1.346401521E-3,-1.846697531E-3,-1.143270545E-2
2.564970833E-1,1.555725932E-3,-1.500486513E-3,-8.881397545E-3
2.665530833E-1,-1.333200606E-3,-1.224091393E-3,-1.114657708E-2
2.766080833E-1,1.235950855E-3,-2.130897716E-3,-2.186903730E-3
2.866640833E-1,-3.471274977E-5,-1.952389022E-3,3.463685513E-3
2.967190833E-1,2.286738891E-4,7.440615445E-4,1.013224013E-2
3.067750833E-1,-3.866636427E-3,-1.084958669E-3,9.014058858E-3
3.168310833E-1,1.008013496E-3,5.366401747E-4,5.999627523E-3
3.268860833E-1,-2.222157083E-3,-1.858525793E-3,-6.197262555E-4
3.369420833E-1,-5.354493624E-5,-1.525364234E-3,-7.667515893E-3
3.469980000E-1,5.895602517E-4,-4.499777278E-4,-1.025694609E-2
3.570530000E-1,8.960900595E-4,8.515090449E-4,-8.133075200E-3
3.671090000E-1,-4.452244029E-4,-5.373582826E-5,-3.597033909E-3
3.771640000E-1,-2.078274731E-3,2.439782023E-3,2.889627125E-3
3.872200000E-1,9.645978571E-5,1.466928283E-3,8.090781048E-3
3.972760000E-1,-9.530920070E-4,2.052557422E-3,6.466785911E-3
4.073310000E-1,1.391041093E-3,2.024105750E-3,3.514563199E-3
4.173870000E-1,3.649251885E-4,-6.233426393E-4,-8.761901408E-4
4.274430000E-1,1.750805997E-3,-1.278638374E-3,-7.289599627E-3
4.374980000E-1,1.433357247E-3,-5.934070796E-4,-6.603303365E-3
4.475540000E-1,3.298176918E-3,-8.037182270E-4,-6.994055584E-3
4.576090000E-1,5.287556560E-4,1.645857352E-3,-2.073066309E-3
4.676650000E-1,2.699689474E-3,-2.731462591E-4,3.363137599E-3
4.777210000E-1,2.747093793E-3,8.959814440E-4,7.570932154E-3
4.877760000E-1,6.809386541E-4,-3.177021572E-4,7.047607563E-3
4.978320000E-1,-1.140149252E-4,9.401087882E-4,6.870773621E-3
5.078880000E-1,1.385452779E-4,9.274784243E-4,-8.117416874E-4
5.179430000E-1,-4.529427679E-4,-1.143129310E-3,-5.762558430E-3
5.279990000E-1,2.562822192E-5,2.000893233E-3,-1.021572202E-2
5.380550000E-1,1.395558240E-3,-2.702781931E-3,-9.981096722E-3
5.481100000E-1,-3.110826015E-3,1.213125652E-3,-5.925941747E-3
5.581660000E-1,-5.047564628E-6,2.554293489E-3,1.979119144E-3
5.682210000E-1,-1.659671892E-3,2.486862359E-4,5.519167054E-3
5.782770000E-1,-2.607757226E-3,5.336444592E-4,8.546382189E-3
5.883330000E-1,8.248870727E-4,-1.957440982E-3,7.635394111E-3
5.983880000E-1,-1.220953185E-3,1.291881781E-3,2.611607313E-3
6.084440000E-1,6.693099858E-4,-4.786241043E-4,-3.147067735E-3
6.185000000E-1,2.256554086E-3,-1.225640881E-3,-7.408391684E-3
6.285550000E-1,-2.589487121E-4,-1.533799921E-3,-7.077214774E-3
6.386110000E-1,1.636955654E-3,1.582098543E-3,-6.436191965E-3
6.486660000E-1,-4.186150327E-4,3.190829302E-4,-1.364147291E-3
6.587220000E-1,1.077016233E-3,1.345258643E-4,6.219736300E-3
6.687780000E-1,2.571231162E-4,-2.858497901E-4,6.972251926E-3
6.788330000E-1,2.210551873E-3,3.961857874E-4,5.967973266E-3
6.888890000E-1,-6.617826293E-4,-1.303947065E-4,4.291009158E-3
6.989450000E-1,4.178628442E-4,-5.492445780E-6,-1.148497220E-3
7.090000000E-1,-2.234474756E-3,2.365559340E-4,-3.619191702E-3
7.190560000E-1,1.301936805E-3,-3.187131661E-4,-5.049575586E-3
7.291110000E-1,3.334188659E-4,1.729980286E-4,-5.129456520E-3
7.391670000E-1,2.013260819E-4,1.187662361E-3,-1.362415031E-3
7.492230000E-1,-1.015304937E-3,-1.573835034E-4,2.737081610E-3
7.592780000E-1,-1.653132029E-3,1.539400255E-4,6.065234542E-3
7.693340000E-1,-8.039941313E-4,-2.619137522E-3,8.439415134E-3
7.793900000E-1,-1.244480954E-3,3.630702558E-4,3.929086030E-3
7.894450000E-1,1.922196097E-4,-1.850233297E-3,-1.023967285E-3
7.995010000E-1,2.785872202E-3,1.663541421E-3,-5.728707649E-3
8.095560000E-1,-1.067652716E-3,6.136671873E-4,-6.086796522E-3
8.196120000E-1,3.856342519E-4,-1.453744713E-3,-5.691051017E-3
8.296680000E-1,-9.809390176E-4,1.717630541E-3,-2.472076565E-3
8.397230000E-1,1.143464586E-3,1.610038802E-3,-1.195818186E-6
8.497790000E-1,4.574089253E-4,9.721621173E-4,3.061015159E-3
8.598350000E-1,-4.584521812E-4,4.965215921E-4,5.982503295E-3
8.698900000E-1,3.426931798E-4,-9.230093565E-4,2.612379380E-3
8.799460000E-1,1.249233261E-3,-2.046064474E-3,8.190064691E-4
8.900010000E-1,8.547893958E-4,-4.534336622E-4,-4.536943045E-3
9.000570000E-1,3.810099093E-3,4.009083787E-4,-6.346294656E-3
9.101130000E-1,3.570118453E-3,-1.463243505E-3,-6.986850873E-3
9.201680000E-1,9.255994810E-4,-1.792942872E-3,-2.756685950E-3
9.302240000E-1,-4.976465716E-4,1.764075831E-3,9.808465838E-4
9.402800000E-1,1.393197803E-3,1.453018747E-3,6.269351579E-3
9.503350000E-1,-3.909256775E-3,6.910557859E-4,9.335901588E-3
9.603910000E-1,7.603298291E-4,2.649810864E-3,7.201111875E-3
9.704460000E-1,4.839637550E-4,-1.360259776E-4,3.290006891E-3
9.805020000E-1,1.980393892E-3,1.479713945E-3,-2.233388834E-3
9.905580000E-1,-4.130168236E-4,5.232883268E-5,-9.316664189E-3
1.000613000E0,3.276082862E-4,5.372904707E-4,-8.132090792E-3
1.010669000E0,-4.750713706E-4,8.645959315E-4,-7.283341140E-3
1.020725000E0,-7.208811003E-4,1.214268967E-3,-1.262732781E-3
1.030780000E0,-7.775137201E-4,1.228676643E-3,5.536930636E-3
1.040836000E0,-8.704580832E-4,7.690149941E-4,8.591841906E-3
1.050891000E0,1.000869321E-3,-6.822388386E-4,7.101523690E-3
1.060947000E0,1.412061392E-3,-1.886254060E-3,2.946459688E-3
1.071003000E0,-2.204054734E-3,-1.775683952E-3,-2.116582822E-3
1.081058000E0,-9.534342680E-4,-2.134735987E-4,-5.711051170E-3
1.091114000E0,1.050129300E-3,-2.002264373E-3,-8.086391725E-3
1.101170000E0,-4.146092688E-4,-2.162853023E-3,-4.715096205E-3
1.111225000E0,4.406504158E-4,2.650003415E-3,-4.049611278E-3
1.121281000E0,5.475836224E-5,1.490196679E-3,3.351046704E-3
1.131336000E0,1.580383541E-4,4.950719303E-4,4.954854958E-3
1.141392000E0,-5.487645976E-4,-1.004108635E-4,5.356726237E-3
1.151448000E0,3.827053297E-4,3.105312353E-3,2.642177511E-3
1.161503000E0,4.128809087E-5,1.577989548E-3,-1.099328510E-4
1.171559000E0,-2.396061551E-3,-8.912320482E-4,-4.552151542E-3
1.181615000E0,-1.376070781E-3,-1.113606035E-3,-7.637157105E-3
1.191670000E0,-6.449391367E-5,-2.300935332E-3,-5.189952441E-3
1.201726000E0,1.303571975E-3,5.992470542E-4,-1.152600627E-3
1.211781000E0,9.823725559E-4,-8.207995561E-4,2.854766324E-3
1.221837000E0,-8.662036271E-5,-1.101762988E-3,4.977572709E-3
1.231893000E0,-2.325083129E-3,-3.950673854E-4,9.782699868E-3
1.241948000E0,1.411864534E-3,-7.531806827E-3,7.000229321E-3
1.252004000E0,-2.530245576E-3,-5.636991002E-3,3.939117305E-4
1.262060000E0,1.835208037E-3,-6.307841279E-3,-2.071642783E-3
1.272115000E0,1.254976611E-3,-5.990838399E-4,-5.944223609E-3
1.282171000E0,-1.964461699E-4,-3.923507873E-3,-4.868572578E-3
1.292227000E0,-3.908164217E-5,-6.933306344E-3,-2.159169316E-2
1.302282000E0,-1.926730270E-3,-9.631888010E-3,-6.657594442E-2
1.312338000E0,1.791525865E-3,-1.092942711E-2,-1.391272396E-1
1.322393000E0,4.248824436E-3,-1.732999925E-3,-2.176225781E-1
1.332449000E0,-4.943510983E-3,3.069542721E-2,-2.099622637E-1
1.342504833E0,3.497879370E-4,1.456093229E-2,-2.547896802E-1
1.352559833E0,-5.585699109E-4,7.463736460E-3,-2.236454636E-1
1.362615833E0,3.807269677E-4,2.988027874E-3,-8.878644556E-2
1.372671833E0,2.374993870E-3,1.140998094E-3,4.200362600E-4
1.382726833E0,3.482336178E-3,1.718904125E-3,8.876188844E-2
