"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.118875000E-3,-2.110610962E-2,1.531315613E-1,-9.729617157E0
1.217387500E-2,-9.280700684E-3,1.562750244E-1,-9.856403503E0
2.222887500E-2,-1.317260742E-2,1.559756470E-1,-9.817185059E0
3.228387500E-2,-4.026626587E-2,1.854643250E-1,-9.780361633E0
4.233987500E-2,-5.358856201E-2,2.134561157E-1,-9.804760895E0
5.239487500E-2,-5.643264771E-2,2.439926147E-1,-9.798773346E0
6.244987500E-2,-1.067280579E-1,3.014730835E-1,-9.771979065E0
7.250587500E-2,-1.484912109E-1,3.668870544E-1,-9.788744202E0
8.256087500E-2,-1.260379028E-1,3.573069763E-1,-9.777218170E0
9.261587500E-2,-7.933502197E-2,2.466870117E-1,-9.778265991E0
1.026718750E-1,-2.769241333E-2,1.556762695E-1,-9.773925018E0
1.127268750E-1,6.167175293E-2,8.831634521E-2,-9.793085175E0
1.227818750E-1,5.029541016E-2,7.334747314E-2,-9.778864746E0
1.328368750E-1,1.481918335E-2,1.071771240E-1,-9.799821167E0
1.428928750E-1,-3.143463135E-2,1.697470093E-1,-9.812844086E0
1.529478750E-1,-8.202941895E-2,2.264790344E-1,-9.772577820E0
1.630028750E-1,-9.969268799E-2,2.685415649E-1,-9.792935486E0
1.730588750E-1,-7.664062500E-2,2.815644836E-1,-9.802515564E0
1.831138750E-1,-3.787124634E-2,2.667453003E-1,-9.783654785E0
1.931688750E-1,-3.442840576E-3,2.377056885E-1,-9.809700623E0
2.032248750E-1,-5.837860107E-3,2.173480225E-1,-9.812095642E0
2.132798750E-1,-4.400848389E-2,2.073188782E-1,-9.759105835E0
2.233348750E-1,-9.190887451E-2,1.857637024E-1,-9.798174591E0
2.333898750E-1,-1.056802368E-1,1.655557251E-1,-9.772278442E0
2.434458750E-1,-9.804611206E-2,1.528321838E-1,-9.793983307E0
2.535008750E-1,-6.122268677E-2,1.306782532E-1,-9.767338715E0
2.635558750E-1,-7.334747314E-3,1.360670471E-1,-9.820777588E0
2.736118750E-1,4.251159668E-2,1.419049072E-1,-9.745035095E0
2.836668750E-1,6.346801758E-2,1.669029236E-1,-9.782307587E0
2.937218750E-1,8.023315430E-2,2.101629639E-1,-9.775870972E0
3.037768750E-1,6.900650024E-2,2.353106689E-1,-9.774972839E0
3.138328750E-1,3.742218018E-2,2.513273621E-1,-9.767638092E0
3.238878750E-1,-9.430389404E-3,2.646496582E-1,-9.827064514E0
3.339428750E-1,-5.942642212E-2,2.498304749E-1,-9.758656769E0
3.439988750E-1,-9.864486694E-2,2.171983337E-1,-9.757608948E0
3.540538750E-1,-1.104702759E-1,1.872605896E-1,-9.793833618E0
3.641088750E-1,-1.041833496E-1,1.516346741E-1,-9.790989532E0
3.741638750E-1,-9.250762939E-2,1.254391479E-1,-9.765991516E0
3.842198750E-1,-5.568420410E-2,1.234931946E-1,-9.812993774E0
3.942748750E-1,-2.200424194E-2,1.389111328E-1,-9.779014435E0
4.043298750E-1,-1.392105103E-2,1.631607056E-1,-9.769883423E0
4.143858750E-1,-2.544708252E-3,2.031275940E-1,-9.781559143E0
4.244408750E-1,1.676513672E-2,2.540217590E-1,-9.784552917E0
4.344958750E-1,1.437011719E-2,2.624043274E-1,-9.771679688E0
4.445518750E-1,9.580078125E-3,2.580633545E-1,-9.779762878E0
4.546068750E-1,4.041595459E-3,2.534230042E-1,-9.782307587E0
4.646618750E-1,-1.167572021E-2,2.152523804E-1,-9.779164124E0
4.747168750E-1,-2.350112915E-2,1.767823792E-1,-9.777068481E0
4.847728750E-1,-4.685256958E-2,1.553768921E-1,-9.784852295E0
4.948278750E-1,-6.676116943E-2,1.330732727E-1,-9.767488403E0
5.048828750E-1,-8.247848511E-2,1.261875916E-1,-9.762698364E0
5.149388750E-1,-6.990463257E-2,1.390608215E-1,-9.725874939E0
5.249938750E-1,-5.568420410E-2,2.266287231E-1,-9.616003418E0
5.350488750E-1,-5.986051941E-1,1.923799438E0,-1.014380585E1
5.451038750E-1,1.586700439E-1,-5.080435181E-1,-9.944420471E0
5.551598750E-1,3.692820740E-1,-7.117698669E-1,-9.543105011E0
5.652148750E-1,-1.362167358E-1,3.986210632E-1,-9.714648285E0
5.752698750E-1,-1.242416382E-2,2.294728088E-1,-9.975106659E0
5.853258750E-1,1.362167358E-2,1.875599670E-1,-9.580227814E0
5.953808750E-1,3.023712158E-2,1.580712891E-1,-9.756261749E0
6.054358750E-1,3.412902832E-2,3.132984924E-1,-9.877359924E0
6.154918750E-1,-1.571731567E-2,3.091072083E-1,-9.700577545E0
6.255468750E-1,-1.275347900E-1,1.514849854E-1,-9.748777313E0
6.356018750E-1,6.436614990E-2,-1.730401611E-1,-1.000459534E1
6.456568750E-1,-5.313949585E-2,1.404080200E-1,-9.735604706E0
6.557128750E-1,1.591191101E-1,1.234931946E-1,-9.628128204E0
6.657678750E-1,1.308878174E0,-8.128097534E-2,-9.829758911E0
6.758228750E-1,1.631008301E0,-7.628137207E-1,-9.839338989E0
6.858788750E-1,1.331780548E0,-1.663939819E0,-9.671987000E0
6.959338750E-1,1.122665405E0,-2.587818604E0,-9.871372375E0
7.059888750E-1,4.793032837E-1,-2.578986969E0,-9.830956421E0
7.160441250E-1,2.109114075E-1,-2.859653320E0,-9.711355133E0
7.261001250E-1,-4.640350342E-2,-2.450254669E0,-9.816137238E0
7.361551250E-1,-1.710942078E-1,-2.891237640E0,-9.840386810E0
7.462101250E-1,-3.312611389E-1,-2.494263153E0,-9.728419647E0
7.562661250E-1,-9.071136475E-2,-2.195634155E0,-9.820777588E0
7.663211250E-1,6.286926270E-2,-1.905088348E0,-9.803264008E0
7.763761250E-1,3.778143311E-1,-1.657054138E0,-9.730215912E0
7.864321250E-1,4.872367859E-1,-1.548829193E0,-9.811646576E0
7.964871250E-1,4.794529724E-1,-1.563947754E0,-9.818532257E0
8.065421250E-1,3.552113342E-1,-1.552272034E0,-9.752968597E0
8.165971250E-1,1.941462708E-1,-1.344653778E0,-9.793833618E0
8.266531250E-1,-2.814147949E-1,-1.075812836E0,-9.795929260E0
8.367081250E-1,-4.809498596E-1,-7.544311523E-1,-9.783056030E0
8.467631250E-1,-4.466711426E-1,-5.813909912E-1,-9.762249298E0
8.568191250E-1,-5.231620789E-1,-5.098397827E-1,-9.794582062E0
8.668741250E-1,-8.634045410E-1,-2.752775574E-1,-9.732760620E0
8.769291250E-1,-9.292675781E-1,-9.026229858E-2,-9.791887665E0
8.869841250E-1,-1.028361511E0,4.489164734E-1,-9.815388794E0
8.970401250E-1,-9.562115479E-1,8.322692871E-1,-9.789043579E0
9.070951250E-1,-7.162605286E-1,1.131646729E0,-9.780361633E0
9.171501250E-1,-7.821235657E-1,1.298250275E0,-9.798024902E0
9.272061250E-1,-8.105644226E-1,1.572779388E0,-9.772128754E0
9.372611250E-1,-6.577322388E-1,1.913770294E0,-9.780211945E0
9.473161250E-1,-3.908372498E-1,2.142494659E0,-9.790390778E0
9.573711250E-1,-9.250762939E-2,2.251617737E0,-9.757459259E0
9.674271250E-1,-7.095245361E-2,2.070344696E0,-9.774523773E0
9.774821250E-1,-1.706451416E-2,2.108215942E0,-9.816735992E0
9.875371250E-1,1.936972046E-1,1.917063446E0,-9.788893890E0
9.975931250E-1,8.831634521E-3,1.677561493E0,-9.806108093E0
1.007648125E0,-1.095721436E-1,1.898352356E0,-9.945168915E0
1.017703125E0,-1.968406677E-1,1.591191101E0,-1.020472916E1
1.027759125E0,-9.132508850E-1,2.207908630E-1,-1.018437149E1
1.037814125E0,-1.487007751E0,-1.484912109E-1,-9.878707123E0
1.047869125E0,-1.447489929E0,1.016386414E-1,-9.338031464E0
1.057924125E0,-1.094374237E0,2.549198914E-1,-9.283095703E0
1.067980125E0,2.668949890E-1,1.344803467E0,-9.592951355E0
