"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.366025000E-2,-1.408714294E0,3.458960724E1,4.187277222E1
2.371525000E-2,-1.389839172E0,3.454895020E1,4.164108276E1
3.377025001E-2,-1.363533020E0,3.453672791E1,4.167349243E1
4.382525000E-2,-1.390922546E0,3.453418732E1,4.144331360E1
5.388025001E-2,-1.423767090E0,3.464492798E1,4.173768616E1
6.393525000E-2,-1.473396301E0,3.468994904E1,4.221647644E1
7.399025001E-2,-1.496025085E0,3.467752838E1,4.199850464E1
8.404525001E-2,-1.356636047E0,3.455424500E1,4.178715515E1
9.410025000E-2,-1.366416931E0,3.458660126E1,4.170324707E1
1.041562500E-1,-1.131332397E0,3.462551880E1,4.177130127E1
1.142112500E-1,-1.040962219E0,3.445652008E1,4.160993958E1
1.242662500E-1,-9.651947021E-1,3.458424377E1,4.155630493E1
1.343212500E-1,-1.166816711E0,3.460555267E1,4.175460815E1
1.443762500E-1,-1.325592041E0,3.459189606E1,4.142083740E1
1.544312500E-1,-1.240989685E0,3.444306183E1,4.153096008E1
1.644862500E-1,-1.270637512E0,3.451020813E1,4.149856567E1
1.745412500E-1,-1.222740173E0,3.445921326E1,4.182655334E1
1.845962500E-1,-1.043594360E0,3.433849335E1,4.129063416E1
1.946512500E-1,-8.554611206E-1,3.458946228E1,4.136082458E1
2.047062500E-1,-8.558349609E-1,3.474811554E1,4.185787964E1
2.147612500E-1,-1.213973999E0,3.475905609E1,4.171871948E1
2.248162500E-1,-1.078109741E0,3.459255981E1,4.180833435E1
2.348712500E-1,-1.015914917E0,3.449062347E1,4.188676453E1
2.449272500E-1,-1.164909363E0,3.454785156E1,4.185485840E1
2.549822500E-1,-1.359741211E0,3.446478271E1,4.178503418E1
2.650372500E-1,-1.409896851E0,3.460300446E1,4.212115479E1
2.750922500E-1,-1.419242859E0,3.455186462E1,4.201594543E1
2.851472500E-1,-1.387771606E0,3.467292786E1,4.189701843E1
2.952022500E-1,-1.274414062E0,3.457955933E1,4.191798401E1
3.052572500E-1,-1.477531433E0,3.457821655E1,4.212461853E1
3.153122500E-1,-1.197502136E0,3.457103729E1,4.185455322E1
3.253672500E-1,-1.215194702E0,3.452095032E1,4.140095520E1
3.354222500E-1,-1.582061768E0,3.451042175E1,4.170378113E1
3.454772500E-1,-1.515129089E0,3.455096436E1,4.143457031E1
3.555322500E-1,-1.369682312E0,3.450028229E1,4.164247131E1
3.655872500E-1,-1.462478638E0,3.440749359E1,4.157632446E1
3.756422500E-1,-1.292739868E0,3.449654388E1,4.109179688E1
3.856982500E-1,-1.392898560E0,3.465652466E1,4.170346069E1
3.957532500E-1,-1.259773254E0,3.472434235E1,4.183752441E1
4.058082500E-1,-1.209770203E0,3.464717865E1,4.210775757E1
4.158632500E-1,-1.271705627E0,3.448880005E1,4.174667358E1
4.259182500E-1,-1.067642212E0,3.454629517E1,4.189707947E1
4.359732500E-1,-1.167221069E0,3.461599731E1,4.186546326E1
4.460282500E-1,-1.152511597E0,3.457752228E1,4.173654175E1
4.560832500E-1,-1.267089844E0,3.462618256E1,4.137364197E1
4.661382500E-1,-1.103858948E0,3.463634491E1,4.160838318E1
4.761932500E-1,-1.004898071E0,3.467105865E1,4.219253540E1
4.862482500E-1,-1.026092529E0,3.474947357E1,4.213722229E1
4.963032500E-1,-8.394775391E-1,3.482751465E1,4.200663757E1
5.063582500E-1,-1.013938904E0,3.487009430E1,4.208123779E1
5.164132500E-1,-1.011360168E0,3.489615631E1,4.215887451E1
5.264692500E-1,-9.879913330E-1,3.479235840E1,4.176026917E1
5.365242500E-1,-1.267433167E0,3.487361145E1,4.187806702E1
5.465792500E-1,-1.001243591E0,3.479582977E1,4.173608398E1
5.566342500E-1,-1.084861755E0,3.472689056E1,4.148765564E1
5.666892500E-1,-1.227348328E0,3.464076996E1,4.154067993E1
5.767442500E-1,-1.280105591E0,3.488275146E1,4.176925659E1
5.867992500E-1,-9.484939575E-1,3.475768280E1,4.197264099E1
5.968542500E-1,-1.019210815E0,3.473736572E1,4.150006104E1
6.069092500E-1,-8.635406494E-1,3.464601135E1,4.153950500E1
6.169642500E-1,-9.360961914E-1,3.476887512E1,4.119331360E1
6.270192500E-1,-9.460601807E-1,3.477145386E1,4.139367676E1
6.370742500E-1,-1.035118103E0,3.448888397E1,4.157794189E1
6.471292500E-1,-1.124977112E0,3.462972260E1,4.156068420E1
6.571842500E-1,-1.207756042E0,3.447033691E1,4.169967651E1
6.672402500E-1,-1.008430481E0,3.449498749E1,4.191659546E1
6.772952500E-1,-1.138023376E0,3.435630798E1,4.198992920E1
6.873502500E-1,-1.234336853E0,3.437236023E1,4.210343933E1
6.974052500E-1,-1.030662537E0,3.458444977E1,4.199143982E1
7.074602500E-1,-1.152046204E0,3.475270081E1,4.201045227E1
7.175152500E-1,-1.092819214E0,3.505995941E1,4.153019714E1
7.275702500E-1,-1.051078796E0,3.476244354E1,4.142343140E1
