"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.342500030E-4,6.107299805E-2,2.601589966E-1,9.835896149E0
9.319750010E-3,6.496490479E-2,2.689906311E-1,9.846224670E0
1.937475000E-2,8.622070312E-2,2.667453003E-1,9.837842102E0
2.942974999E-2,1.302291870E-1,2.550695801E-1,9.846673737E0
3.948475001E-2,1.734892273E-1,2.353106689E-1,9.844129028E0
4.953875000E-2,2.143542480E-1,2.026785278E-1,9.857601013E0
5.959374999E-2,2.245330811E-1,1.755848694E-1,9.861193542E0
6.964875001E-2,2.134561157E-1,1.582209778E-1,9.852361908E0
7.970274999E-2,1.691482544E-1,1.477427673E-1,9.847272491E0
8.975775001E-2,1.348695374E-1,1.631607056E-1,9.842931519E0
9.981275001E-2,1.312770081E-1,1.986369324E-1,9.853709106E0
1.098677500E-1,1.290316772E-1,2.360591125E-1,9.843530273E0
1.199217500E-1,1.454974365E-1,2.695893860E-1,9.858499146E0
1.299767500E-1,1.556762695E-1,2.827619934E-1,9.840835876E0
1.400317500E-1,1.691482544E-1,2.809657288E-1,9.855205994E0
1.500857500E-1,1.751358032E-1,2.610571289E-1,9.856104126E0
1.601407500E-1,1.634600830E-1,2.142045593E-1,9.851463776E0
1.701957500E-1,1.375639343E-1,1.706451416E-1,9.856852570E0
1.802507500E-1,1.231938171E-1,1.314266968E-1,9.843979340E0
1.903047500E-1,1.290316772E-1,1.170565796E-1,9.863438873E0
2.003597500E-1,1.396595764E-1,1.371148682E-1,9.843230896E0
2.104147500E-1,1.619631958E-1,1.734892273E-1,9.852810974E0
2.204687500E-1,1.911524963E-1,2.192939758E-1,9.844578094E0
2.305237500E-1,1.935475159E-1,2.613565063E-1,9.855655060E0
2.405787500E-1,1.941462708E-1,2.893482971E-1,9.850865021E0
2.506337500E-1,1.689985657E-1,2.963836670E-1,9.852810974E0
2.606877500E-1,1.357676697E-1,2.739303589E-1,9.850266266E0
2.707427500E-1,1.074765015E-1,2.505789185E-1,9.845326538E0
2.807977500E-1,9.460327148E-2,2.058219910E-1,9.857451324E0
2.908517500E-1,9.071136475E-2,1.721420288E-1,9.839039612E0
3.009067500E-1,1.115180969E-1,1.481918335E-1,9.850266266E0
3.109617500E-1,1.423539734E-1,1.465452576E-1,9.849966888E0
3.210167500E-1,1.637594604E-1,1.579216003E-1,9.873617706E0
3.310707500E-1,1.781295776E-1,1.791773987E-1,9.863139496E0
3.411257500E-1,1.694476318E-1,2.062710571E-1,9.849966888E0
3.511807500E-1,1.592687988E-1,2.308200073E-1,9.862091675E0
3.612347500E-1,1.398092651E-1,2.442919922E-1,9.847272491E0
3.712897500E-1,1.354682922E-1,2.535726929E-1,9.846973114E0
3.813447500E-1,1.408570862E-1,2.559677124E-1,9.843829651E0
3.913987500E-1,1.682501221E-1,2.489323425E-1,9.852661285E0
4.014537500E-1,1.901046753E-1,2.311193848E-1,9.846823425E0
4.115087500E-1,2.101629639E-1,2.083666992E-1,9.835896149E0
4.215637500E-1,2.198927307E-1,1.935475159E-1,9.858499146E0
4.316177500E-1,2.080673218E-1,1.707948303E-1,9.839638367E0
4.416727500E-1,1.826202393E-1,1.501377869E-1,9.846823425E0
4.517277500E-1,1.579216003E-1,1.441502380E-1,9.871671753E0
4.617817500E-1,1.219963074E-1,1.630110168E-1,9.876761169E0
4.718367500E-1,9.924362183E-2,2.040257263E-1,9.856253815E0
4.818917500E-1,1.091230774E-1,2.477348328E-1,9.838889923E0
4.919467500E-1,1.348695374E-1,2.760260010E-1,9.832004242E0
5.020007500E-1,1.778302002E-1,2.930905151E-1,9.835447083E0
5.120557500E-1,2.206411743E-1,2.939886475E-1,9.862540741E0
5.221107500E-1,2.267784119E-1,2.570155334E-1,9.868977356E0
5.321647500E-1,2.139051819E-1,2.136058044E-1,9.848919067E0
5.422197500E-1,1.821711731E-1,1.637594604E-1,9.848919067E0
5.522747500E-1,1.547781372E-1,1.284329224E-1,9.845027161E0
5.623297500E-1,1.170565796E-1,1.121168518E-1,9.850415955E0
5.723837500E-1,9.190887451E-2,1.324745178E-1,9.862091675E0
5.824387500E-1,9.490264893E-2,1.713935852E-1,9.869127045E0
5.924940000E-1,1.040336609E-1,2.139051819E-1,9.833650818E0
6.025480000E-1,1.266366577E-1,2.683918762E-1,9.845176849E0
6.126030000E-1,1.535806274E-1,2.915936279E-1,9.859996033E0
6.226580000E-1,1.697470093E-1,2.802172852E-1,9.853409729E0
6.327130000E-1,1.700463867E-1,2.588117981E-1,9.853559418E0
6.427670000E-1,1.598675537E-1,2.160008240E-1,9.865534515E0
6.528220000E-1,1.600172424E-1,1.752854919E-1,9.848619690E0
6.628770000E-1,1.607656860E-1,1.504371643E-1,9.854307861E0
6.729310000E-1,1.763333130E-1,1.393601990E-1,9.863438873E0
6.829860000E-1,2.086660767E-1,1.573228455E-1,9.857451324E0
6.930410000E-1,2.210902405E-1,1.806742859E-1,9.868079224E0
7.030950000E-1,2.186952209E-1,2.109114075E-1,9.860295410E0
7.131500000E-1,2.022294617E-1,2.408491516E-1,9.838740234E0
7.232050000E-1,1.616638184E-1,2.460882568E-1,9.852212219E0
7.332600000E-1,1.119671631E-1,2.435435486E-1,9.849966888E0
7.433140000E-1,8.292755127E-2,2.272274780E-1,9.843530273E0
7.533690000E-1,8.008346558E-2,2.145039368E-1,9.859397278E0
7.634240000E-1,1.008901978E-1,2.035766602E-1,9.852960663E0
7.734780000E-1,1.260379028E-1,1.993853760E-1,9.839937744E0
7.835330000E-1,1.698966980E-1,1.972897339E-1,9.848470001E0
7.935880000E-1,2.065704346E-1,1.984872437E-1,9.859696655E0
8.036430000E-1,2.204914856E-1,1.926493835E-1,9.847721558E0
8.136970000E-1,2.206411743E-1,1.923500061E-1,9.850865021E0
8.237520000E-1,1.963916016E-1,1.890568542E-1,9.866133270E0
8.338070000E-1,1.585203552E-1,1.884580994E-1,9.859846344E0
8.438610000E-1,1.408570862E-1,1.866618347E-1,9.873617706E0
8.539160000E-1,1.184037781E-1,2.068698120E-1,9.857900391E0
8.639710000E-1,1.088237000E-1,2.206411743E-1,9.821825409E0
8.740260000E-1,1.239422607E-1,2.234852600E-1,9.804162140E0
8.840800000E-1,1.335223389E-1,2.365081787E-1,9.787097626E0
8.941350000E-1,4.041595459E-3,2.772235107E-1,9.835596771E0
9.041900000E-1,-2.408491516E-1,3.564088440E-1,9.908195801E0
9.142440000E-1,-1.886077881E-1,3.412902832E-1,9.889784088E0
9.242990000E-1,-5.284011841E-2,1.996847534E-1,9.832153931E0
9.343540000E-1,5.613327026E-2,-6.077362061E-2,9.823471985E0
9.444080000E-1,2.074685669E-1,-1.267863464E-1,9.800120544E0
9.544630000E-1,7.252418518E-1,5.837860107E-3,1.000384689E1
9.645180000E-1,5.328918457E-1,-1.107696533E-1,9.881251831E0
9.745730000E-1,2.157014465E-1,-1.413061523E-1,9.834698639E0
9.846270000E-1,-8.128097534E-2,-1.496887207E-3,9.863139496E0
9.946820000E-1,-1.898052979E-1,1.434017944E-1,9.869725800E0
1.004737000E0,5.538482666E-3,1.893562317E-1,9.842183075E0
1.014791000E0,2.064207458E-1,2.386038208E-1,9.839937744E0
1.024846000E0,2.975811768E-1,2.026785278E-1,9.846374359E0
1.034901000E0,1.803749084E-1,-1.646575928E-3,9.879305878E0
1.044956000E0,1.231938171E-1,-8.307723999E-2,9.820328522E0
1.055010000E0,2.402503967E-1,-5.942642212E-2,9.874216461E0
1.065065000E0,4.105961609E-1,-1.067280579E-1,9.914931793E0
1.075120000E0,3.782633972E-1,3.757186890E-1,9.948462067E0
1.085174000E0,3.685336304E-1,7.264393616E-1,9.871372375E0
1.095229000E0,4.719685364E-1,3.339555359E-1,9.839488678E0
1.105284000E0,4.590953064E-1,2.161505127E-1,9.851014709E0
1.115338000E0,1.841171265E-1,3.981719971E-2,9.925410004E0
1.125393000E0,-6.481521606E-2,-2.109114075E-1,1.011461655E1
1.135448000E0,-3.353027344E-2,-4.138893127E-1,1.007614655E1
1.145503000E0,9.610015869E-2,-3.366499329E-1,9.882898407E0
1.155557000E0,1.927990723E-1,-1.784289551E-1,9.847272491E0
1.165612000E0,3.638932800E-1,-1.061293030E-1,9.803862762E0
1.175667000E0,2.628533936E-1,-1.905537415E-1,9.846374359E0
1.185721000E0,8.217910767E-2,-4.168830872E-1,9.840536499E0
1.195776000E0,1.184037781E-1,-6.966513062E-1,1.000309845E1
1.205831000E0,-4.415817261E-2,-6.863227844E-1,9.913285217E0
1.215886000E0,-2.664459229E-2,-6.216572571E-1,1.015398468E1
1.225940000E0,3.995191956E-1,-7.155120850E-2,1.118653748E1
1.235995000E0,8.663983154E-1,4.665797424E-1,1.190309738E1
1.246050000E0,7.400610352E-1,1.595681763E-1,1.247191452E1
1.256104000E0,2.007325745E-1,-4.649331665E-1,1.336600525E1
1.266159000E0,-4.589456177E-1,-8.806187439E-1,1.379216904E1
1.276214000E0,-1.012344818E0,-8.906478882E-1,1.376821884E1
1.286268000E0,-1.064885559E0,-7.885601807E-1,1.354308701E1
1.296323000E0,-7.921527100E-1,-6.259982300E-1,1.314132248E1
1.306378000E0,-7.036866760E-1,-4.426295471E-1,1.255050110E1
1.316433000E0,-1.070873108E0,-4.406835938E-1,1.190249863E1
1.326487000E0,-1.919458466E0,-4.182302856E-1,1.146450943E1
1.336542000E0,-3.121159515E0,1.392105103E-2,1.157722504E1
1.346597000E0,-4.036955109E0,5.589376831E-1,1.183888092E1
1.356651000E0,-4.510270844E0,1.052611084E0,1.201237015E1
1.366706000E0,-5.229674835E0,1.671573944E0,1.232776428E1
1.376761000E0,-6.214177551E0,2.413281555E0,1.271665558E1
1.386816000E0,-7.048991547E0,2.670596466E0,1.326646225E1
1.396870000E0,-7.048542480E0,2.179767151E0,1.352168152E1
1.406925000E0,-6.597380676E0,1.395847321E0,1.286604492E1
1.416980000E0,-6.286327515E0,7.009922791E-1,1.130838409E1
1.427034000E0,-6.234535217E0,1.058299255E-1,9.358688507E0
1.437089000E0,-6.304739227E0,-2.564167786E-1,7.542215881E0
1.447144000E0,-6.639143829E0,-2.210902405E-1,6.164331207E0
1.457198000E0,-6.822961578E0,-2.050735474E-1,5.047952728E0
1.467253000E0,-6.618486786E0,2.649490356E-2,3.646716614E0
1.477308000E0,-6.299350433E0,5.448669434E-2,2.210004272E0
1.487363000E0,-6.100863190E0,-2.856060791E-1,9.901908875E-1
1.497417000E0,-6.194119263E0,-5.457650757E-1,-2.005828857E-2
1.507472000E0,-6.509962463E0,-6.188131714E-1,-1.150956573E0
1.517527000E0,-7.248376923E0,-4.400848389E-2,-2.553090820E0
1.527581000E0,-7.956254883E0,8.848100281E-1,-4.088148651E0
1.537636000E0,-8.741521912E0,2.185455322E0,-5.620512085E0
1.547691000E0,-9.869576111E0,3.894900513E0,-6.890471191E0
1.557746000E0,-1.093356354E1,5.746549988E0,-7.857909393E0
1.567800000E0,-1.129640900E1,7.251969452E0,-8.568032684E0
1.577855000E0,-1.102771774E1,7.782316589E0,-8.959319000E0
1.587910042E0,-1.038136185E1,7.509583740E0,-8.895551605E0
1.597964042E0,-9.518106995E0,7.052284698E0,-8.468339996E0
1.608019042E0,-8.692274323E0,6.896159363E0,-7.946674805E0
1.618074042E0,-8.081095276E0,7.124284973E0,-7.466473389E0
1.628128042E0,-7.638765106E0,7.462282104E0,-6.783892822E0
1.638183042E0,-7.006779327E0,7.448959808E0,-5.903274078E0
1.648238042E0,-6.129453735E0,7.287295990E0,-5.109923859E0
1.658293042E0,-5.310357056E0,7.112309875E0,-4.533173218E0
1.668347042E0,-4.875511322E0,7.059469757E0,-4.120182037E0
1.678402042E0,-4.904101868E0,7.011120300E0,-3.945195923E0
1.688457042E0,-5.060526581E0,6.678212585E0,-4.096680908E0
1.698511042E0,-5.110821991E0,6.195466461E0,-4.504732361E0
1.708566042E0,-5.076243896E0,5.955066376E0,-4.832400970E0
1.718621042E0,-5.011129303E0,6.153403931E0,-4.752018127E0
1.728676042E0,-4.794829102E0,6.539600830E0,-4.309987335E0
1.738730042E0,-4.320465546E0,6.738537140E0,-3.683390350E0
1.748785042E0,-3.909420319E0,6.711742859E0,-3.071163483E0
1.758840042E0,-3.760180664E0,6.613247681E0,-2.626438293E0
1.768894042E0,-3.697161713E0,6.506369934E0,-2.353106689E0
1.778949042E0,-3.428470459E0,6.346951447E0,-2.164648590E0
1.789004042E0,-2.968477020E0,6.111491089E0,-2.083666992E0
1.799058042E0,-2.586920471E0,6.042185211E0,-2.045945435E0
1.809113042E0,-2.303410034E0,6.339616699E0,-1.810934143E0
1.819168042E0,-1.924547882E0,6.664590912E0,-1.460812225E0
1.829223042E0,-1.403032379E0,6.739285583E0,-1.044378204E0
1.839277042E0,-8.979826355E-1,6.624025269E0,-6.849755859E-1
1.849332042E0,-6.162684631E-1,6.418203278E0,-3.700305176E-1
1.859387042E0,-5.545967102E-1,6.352938995E0,-8.502319336E-2
1.869441042E0,-4.790039062E-1,6.325545959E0,4.640350342E-2
1.879496042E0,-3.734733582E-1,6.280489655E0,1.633103943E-1
1.889551042E0,-2.097138977E-1,6.411167908E0,3.706292725E-1
1.899605042E0,1.929487610E-1,6.660399628E0,5.806425476E-1
1.909660042E0,7.366181946E-1,6.937623138E0,8.804690552E-1
1.919715042E0,1.312620392E0,7.103029175E0,1.304686890E0
1.929770042E0,1.633103943E0,7.127428436E0,1.705852661E0
1.939824042E0,1.502575378E0,7.137607269E0,1.910028076E0
1.949879042E0,9.933343506E-1,7.206464081E0,1.980381775E0
1.959934042E0,4.574487305E-1,7.392377472E0,2.028880920E0
1.969988042E0,2.643502808E-1,7.591613159E0,2.119741974E0
1.980043042E0,3.917353821E-1,7.807913361E0,2.369871826E0
1.990098042E0,7.424560547E-1,8.055049438E0,2.736459503E0
2.000153042E0,1.119671631E0,8.292605438E0,3.209176483E0
2.010207042E0,1.100661163E0,8.508157196E0,3.754043427E0
2.020262042E0,6.536906433E-1,8.748407593E0,4.211192780E0
2.030317042E0,1.841171265E-2,8.758736115E0,4.446952515E0
2.040371042E0,-5.357359314E-1,8.447682953E0,4.662803650E0
2.050426042E0,-6.953041077E-1,8.259673920E0,4.793781281E0
2.060481042E0,-4.014651489E-1,8.195457458E0,4.909340973E0
2.070535042E0,2.031275940E-1,8.190667419E0,5.038073273E0
2.080590042E0,7.635621643E-1,8.395441589E0,5.167703705E0
2.090645042E0,8.713380432E-1,8.916508026E0,5.459746399E0
2.100700042E0,6.444099426E-1,9.445058899E0,5.925727386E0
2.110754042E0,5.192701721E-1,9.528884583E0,6.292015686E0
2.120809042E0,5.060975647E-1,9.172924805E0,6.453529816E0
2.130864042E0,4.083508301E-1,8.694519653E0,6.379882965E0
2.140918042E0,1.131646729E-1,8.388106842E0,6.070626068E0
2.150973042E0,-3.601510620E-1,8.310418396E0,5.662574615E0
2.161028042E0,-7.128176880E-1,8.425828400E0,5.359754333E0
2.171082042E0,-8.428971863E-1,8.710386658E0,5.393583984E0
2.181137042E0,-7.595205688E-1,9.024882660E0,5.755681000E0
2.191192042E0,-4.291575623E-1,9.154213715E0,6.246809692E0
2.201247042E0,3.038681030E-2,8.991651764E0,6.524631958E0
