"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.166766667E-2,-5.021125793E0,3.222935486E1,4.236482239E1
2.172366666E-2,-4.960342407E0,3.225005341E1,4.224101257E1
3.177866669E-2,-5.072837830E0,3.213820648E1,4.216758728E1
4.183366668E-2,-5.056137085E0,3.209512329E1,4.219448853E1
5.188866667E-2,-5.331497192E0,3.206826019E1,4.217800903E1
6.194366666E-2,-5.236099243E0,3.209413910E1,4.189916992E1
7.199866668E-2,-4.979141235E0,3.210053253E1,4.187802124E1
8.205466668E-2,-5.279556274E0,3.186227417E1,4.180058289E1
9.210966667E-2,-5.106895447E0,3.186836243E1,4.182754517E1
1.021646667E-1,-5.187164307E0,3.179560852E1,4.174694824E1
1.122196667E-1,-5.359214783E0,3.176532745E1,4.154441833E1
1.222746667E-1,-5.190979004E0,3.202709961E1,4.178746033E1
1.323296667E-1,-5.099227905E0,3.200852203E1,4.218353271E1
1.423856667E-1,-5.224121094E0,3.198879242E1,4.232031250E1
1.524406667E-1,-5.231758118E0,3.217406464E1,4.219050598E1
1.624956667E-1,-5.283729553E0,3.220460510E1,4.177258301E1
1.725506667E-1,-5.188392639E0,3.198625183E1,4.176408386E1
1.826056667E-1,-5.336868286E0,3.196788788E1,4.171144104E1
1.926606667E-1,-5.280746460E0,3.208538055E1,4.176100159E1
2.027166667E-1,-5.035621643E0,3.220748138E1,4.154313660E1
2.127716667E-1,-5.189537048E0,3.220501709E1,4.164080811E1
2.228266667E-1,-5.071395874E0,3.219710541E1,4.178170776E1
2.328816667E-1,-5.213142395E0,3.199044037E1,4.167045593E1
2.429374167E-1,-5.119262695E0,3.208950043E1,4.173524475E1
2.529924167E-1,-5.274299622E0,3.221915436E1,4.154127502E1
2.630484167E-1,-4.929824829E0,3.216395569E1,4.177426147E1
2.731034167E-1,-5.099586487E0,3.225971222E1,4.182826233E1
2.831584167E-1,-5.219703674E0,3.198366547E1,4.176040649E1
2.932134167E-1,-5.100524902E0,3.181253052E1,4.166664124E1
3.032684167E-1,-5.228172302E0,3.186429596E1,4.168728638E1
3.133234167E-1,-5.218032837E0,3.182323456E1,4.174594116E1
3.233794167E-1,-5.379997253E0,3.221196747E1,4.188174438E1
3.334344167E-1,-5.461997986E0,3.201084900E1,4.187210083E1
3.434894167E-1,-5.261711121E0,3.190345764E1,4.169216919E1
3.535444167E-1,-5.207618713E0,3.199148560E1,4.168643188E1
3.635994167E-1,-5.251403809E0,3.203910828E1,4.193965149E1
3.736544167E-1,-5.044105530E0,3.211801147E1,4.175372314E1
3.837104167E-1,-5.041603088E0,3.205871582E1,4.199693298E1
3.937654167E-1,-5.093017578E0,3.215858459E1,4.210737610E1
4.038204167E-1,-5.044044495E0,3.210716248E1,4.217070007E1
4.138754167E-1,-5.115608215E0,3.209445953E1,4.216853333E1
4.239304167E-1,-5.045639038E0,3.189694977E1,4.218782043E1
4.339854167E-1,-5.175949097E0,3.214347839E1,4.216027832E1
4.440414167E-1,-5.191108704E0,3.209314728E1,4.196803284E1
4.540964167E-1,-5.067039490E0,3.225798798E1,4.199673462E1
4.641514167E-1,-5.079353333E0,3.224313354E1,4.191096497E1
4.742064167E-1,-5.193817139E0,3.228358459E1,4.207452393E1
4.842614167E-1,-5.001876831E0,3.241148376E1,4.243728638E1
4.943164167E-1,-5.067214966E0,3.211996460E1,4.208947754E1
