"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.303075001E-2,7.793902187E-4,-1.069018617E-3,-4.355977755E-3
2.308575000E-2,-8.179089054E-4,1.178451348E-4,-1.068891492E-3
3.313975001E-2,3.203261294E-4,8.952218923E-4,-7.527745329E-4
4.319475000E-2,-8.312541759E-4,-8.371998556E-4,1.321366988E-3
5.324875002E-2,1.543817343E-4,6.962483749E-4,3.547503147E-3
6.330275000E-2,-1.123440219E-3,-1.735274680E-3,2.462030388E-4
7.335774999E-2,1.213483745E-3,-9.618927143E-4,7.010707632E-4
8.341175001E-2,1.659261063E-3,-2.066126559E-3,-6.929985248E-4
9.346575002E-2,-1.864101039E-3,-4.724909377E-4,-2.601153450E-3
1.035207500E-1,8.050060133E-4,-5.956547102E-4,-5.083585158E-3
1.135747500E-1,-4.874260339E-4,-1.272363937E-3,-4.422588740E-3
1.236287500E-1,-5.814018077E-4,-1.003009849E-3,-3.733887570E-3
1.336837500E-1,8.071703487E-4,4.625276197E-4,2.222805284E-3
1.437377500E-1,1.157836756E-3,1.465243055E-3,2.382855397E-3
1.537917500E-1,1.562637277E-3,-8.375924663E-4,2.825739328E-3
1.638467500E-1,-3.174908692E-3,1.536393422E-3,3.573818598E-3
1.739007500E-1,2.411604393E-3,1.147838309E-3,-4.345052876E-4
1.839557500E-1,-6.401243154E-4,-1.294738613E-3,-1.719743945E-3
1.940097500E-1,-1.149853342E-3,-1.157319522E-3,-6.875027902E-4
2.040637500E-1,1.098423731E-3,2.191449516E-3,-2.093644347E-3
2.141187500E-1,-2.173003275E-3,-1.909019426E-3,-2.181262244E-3
2.241727500E-1,-2.145129256E-3,-3.569106630E-4,-2.795062028E-4
2.342267500E-1,-1.682537957E-3,-9.635786992E-4,3.265959676E-3
2.442817500E-1,-1.485055313E-3,-2.839411318E-4,2.734113950E-3
2.543357500E-1,1.365858596E-3,6.833189982E-4,1.382293180E-3
2.643897500E-1,3.631569911E-3,1.528557856E-3,2.717090305E-3
2.744447500E-1,-1.506200293E-3,8.702244377E-4,5.162535235E-4
2.844987500E-1,1.563920989E-3,-6.546411314E-4,6.984495558E-4
2.945537500E-1,-5.026919534E-4,-4.517082707E-4,-4.285123665E-3
3.046077500E-1,-1.462345012E-3,-1.062277704E-3,-6.169290282E-4
3.146617500E-1,1.178711886E-3,3.233649768E-4,-1.652898733E-3
3.247167500E-1,1.732887700E-3,-8.802990778E-4,3.045447636E-3
3.347707500E-1,-8.290733094E-4,8.371734875E-4,9.298324585E-4
3.448247500E-1,6.161255878E-4,1.521490747E-3,1.979968045E-3
3.548797500E-1,1.764746848E-3,7.696803659E-4,1.906197984E-3
3.649337500E-1,-7.013871218E-4,-1.796443015E-3,2.030798234E-3
3.749877500E-1,-5.557122058E-4,8.528695325E-4,9.618056938E-4
3.850427500E-1,-1.149114454E-3,4.968099529E-4,-1.016928349E-3
3.950967500E-1,-5.115536042E-4,-5.178544088E-4,-2.570882672E-3
4.051507500E-1,-4.323107714E-4,-2.169322222E-3,-3.096869681E-3
4.152057500E-1,-2.959916834E-3,-9.341481491E-4,1.684320159E-4
4.252597500E-1,5.944890436E-4,-8.964518784E-4,1.673934981E-3
4.353147500E-1,-2.654034877E-3,1.008814434E-5,1.045695040E-3
4.453687500E-1,-1.753951074E-3,-1.636405359E-4,-2.616276033E-4
4.554227500E-1,-7.555318298E-4,2.578882501E-3,1.606846228E-3
4.654777500E-1,-1.040855888E-3,1.178326318E-3,1.116781030E-3
4.755317500E-1,-8.054325008E-4,-5.873495829E-4,-1.848116051E-3
4.855857500E-1,1.878841780E-3,2.006633207E-3,-3.434020560E-3
4.956407500E-1,4.620400723E-4,1.621280098E-4,-9.319810197E-4
5.056947500E-1,3.799315891E-4,7.080201758E-4,-1.638793852E-3
5.157487500E-1,-3.489755909E-4,-1.009718748E-3,1.492550597E-3
5.258037500E-1,1.770480536E-3,-1.347645768E-3,2.565049101E-3
5.358577500E-1,-8.290308178E-4,-2.384391555E-4,2.469975036E-3
5.459127500E-1,-1.666961121E-3,2.648390364E-5,3.651073668E-3
