"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.361833332E-3,-4.026626587E-2,1.904040527E-1,-9.789043579E0
8.693166659E-3,-3.832031250E-2,2.005828857E-1,-9.783205719E0
1.874816665E-2,-2.484832764E-2,1.871109009E-1,-9.790839844E0
2.880316664E-2,-1.901046753E-2,1.745370483E-1,-9.800868988E0
3.885816666E-2,-2.424957275E-2,1.758842468E-1,-9.783355408E0
4.891216665E-2,-4.026626587E-2,1.781295776E-1,-9.783205719E0
5.896716667E-2,-5.224136353E-2,1.890568542E-1,-9.784852295E0
6.902216666E-2,-8.906478882E-2,1.875599670E-1,-9.780361633E0
7.907716665E-2,-1.128652954E-1,2.008822632E-1,-9.798473969E0
8.913216664E-2,-1.158590698E-1,2.189945984E-1,-9.788594513E0
9.918616666E-2,-1.119671631E-1,2.210902405E-1,-9.783505096E0
1.092411666E-1,-8.681945801E-2,2.143542480E-1,-9.781559143E0
1.192961667E-1,-5.284011841E-2,1.945953369E-1,-9.791288910E0
1.293511667E-1,-8.681945801E-3,1.757345581E-1,-9.789043579E0
1.394061667E-1,1.227447510E-2,1.621128845E-1,-9.783804474E0
1.494611666E-1,5.688171387E-3,1.721420288E-1,-9.787247314E0
1.595151667E-1,-1.481918335E-2,1.868115234E-1,-9.779014435E0
1.695701666E-1,-5.763015747E-2,2.224374390E-1,-9.793384552E0
1.796251667E-1,-7.155120850E-2,2.435435486E-1,-9.792785797E0
1.896801667E-1,-8.652008057E-2,2.459385681E-1,-9.786498871E0
1.997351667E-1,-7.918533325E-2,2.302212524E-1,-9.793085175E0
2.097891667E-1,-7.499404907E-2,2.010319519E-1,-9.794432373E0
2.198441667E-1,-5.957611084E-2,1.718426514E-1,-9.791588287E0
2.298991666E-1,-5.553451538E-2,1.501377869E-1,-9.791737976E0
2.399541667E-1,-6.122268677E-2,1.263372803E-1,-9.790091400E0
2.500091667E-1,-5.822891235E-2,1.279838562E-1,-9.790839844E0
2.600631666E-1,-6.406677246E-2,1.389111328E-1,-9.783056030E0
2.701181667E-1,-1.619631958E-1,1.941462708E-1,-9.774972839E0
2.801731667E-1,-1.884580994E-1,2.351609802E-1,-9.813293152E0
2.902281666E-1,-1.872605896E-1,2.787203979E-1,-9.797875214E0
3.002831667E-1,-1.821711731E-1,2.975811768E-1,-9.788295135E0
3.103386667E-1,-1.309776306E-1,2.805166626E-1,-9.749675446E0
3.203926666E-1,-4.490661621E-4,2.167492676E-1,-9.794582062E0
3.304476667E-1,1.046324158E-1,1.556762695E-1,-9.790540466E0
3.405026667E-1,1.496887207E-1,1.056802368E-1,-9.750573578E0
3.505576667E-1,1.163081360E-1,9.774673462E-2,-9.777966614E0
