"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.335083333E-3,-4.924758911E-2,1.537303162E-1,-9.782457275E0
1.439808333E-2,-4.969665527E-2,1.857637024E-1,-9.811796265E0
2.445508333E-2,-6.032455444E-2,2.248324585E-1,-9.771380310E0
3.451008333E-2,-6.526428223E-2,2.523751831E-1,-9.806856537E0
4.456508333E-2,-7.185058594E-2,2.695893860E-1,-9.806706848E0
5.462108333E-2,-6.646179199E-2,2.475851440E-1,-9.797725525E0
6.467608333E-2,-6.855743408E-2,2.332150269E-1,-9.778715057E0
7.473108333E-2,-5.748046875E-2,2.073188782E-1,-9.789492645E0
8.478608333E-2,-6.152206421E-2,1.713935852E-1,-9.771679688E0
9.484108333E-2,-6.242019653E-2,1.562750244E-1,-9.790390778E0
1.048960833E-1,-6.915618896E-2,1.604663086E-1,-9.805060272E0
1.149520833E-1,-7.319778442E-2,1.462458801E-1,-9.787247314E0
1.250070833E-1,-6.271957397E-2,1.579216003E-1,-9.785451050E0
1.350620833E-1,-5.134323120E-2,1.755848694E-1,-9.800868988E0
1.451170833E-1,-4.445755005E-2,1.660047913E-1,-9.777517548E0
1.551720833E-1,-5.463638306E-2,1.782792664E-1,-9.791588287E0
1.652270833E-1,-6.092330933E-2,1.836680603E-1,-9.786349182E0
1.752830833E-1,-5.388793945E-2,1.948947144E-1,-9.784552917E0
1.853380833E-1,-6.137237549E-2,2.023791504E-1,-9.793234863E0
1.953930833E-1,-5.433700562E-2,2.032772827E-1,-9.788444824E0
2.054487917E-1,-4.071533203E-2,1.957928467E-1,-9.784552917E0
2.155037917E-1,-2.050735474E-2,1.854643250E-1,-9.791887665E0
2.255597917E-1,-1.107696533E-2,1.805245972E-1,-9.776619415E0
2.356147917E-1,-1.781295776E-2,1.799258423E-1,-9.762997742E0
2.456697917E-1,-2.694396973E-2,1.878593445E-1,-9.795629883E0
2.557247917E-1,-5.224136353E-2,1.942959595E-1,-9.790540466E0
2.657797917E-1,-8.307723999E-2,1.996847534E-1,-9.780511322E0
2.758347917E-1,-1.004411316E-1,2.019300842E-1,-9.802365875E0
2.858907917E-1,-1.023870850E-1,1.907034302E-1,-9.773475952E0
2.959457917E-1,-8.442443848E-2,1.643582153E-1,-9.795031128E0
3.060007917E-1,-6.421646118E-2,1.648072815E-1,-9.805659027E0
3.160557917E-1,-3.427871704E-2,1.683998108E-1,-9.775272217E0
3.261107917E-1,-1.586700439E-2,1.872605896E-1,-9.773925018E0
3.361667917E-1,-1.347198486E-3,2.101629639E-1,-9.796378326E0
3.462217917E-1,5.987548828E-3,2.426454163E-1,-9.788295135E0
3.562767917E-1,-2.335144043E-2,2.432441711E-1,-9.781259766E0
3.663317917E-1,-4.700225830E-2,2.356100464E-1,-9.792336731E0
3.763867917E-1,-6.930587769E-2,2.037263489E-1,-9.799072723E0
3.864417917E-1,-7.095245361E-2,1.640588379E-1,-9.778715057E0
3.964977917E-1,-6.930587769E-2,1.434017944E-1,-9.788594513E0
4.065527917E-1,-5.134323120E-2,1.297801208E-1,-9.787097626E0
4.166077917E-1,-2.664459229E-2,1.344204712E-1,-9.785451050E0
4.266627917E-1,-2.664459229E-2,1.826202393E-1,-9.798024902E0
4.367177917E-1,-5.957611084E-2,2.118095398E-1,-9.783654785E0
4.467737917E-1,-8.173004150E-2,2.531236267E-1,-9.755363617E0
4.568287917E-1,-9.999206543E-2,2.591111755E-1,-9.790091400E0
4.668837917E-1,-1.047821045E-1,2.432441711E-1,-9.797276459E0
4.769387917E-1,-9.535171509E-2,2.079176331E-1,-9.781110077E0
4.869937917E-1,-6.556365967E-2,1.751358032E-1,-9.786648560E0
4.970487917E-1,-4.176315308E-2,1.468446350E-1,-9.784852295E0
5.071047917E-1,-1.481918335E-2,1.429527283E-1,-9.774823151E0
5.171597917E-1,-5.688171387E-3,1.466949463E-1,-9.783205719E0
5.272147917E-1,-1.871109009E-2,1.679507446E-1,-9.786049805E0
5.372697917E-1,-3.158432007E-2,2.052232361E-1,-9.788893890E0
5.473247917E-1,-4.520599365E-2,2.284249878E-1,-9.780661011E0
5.573807917E-1,-6.541397095E-2,2.585124207E-1,-9.781259766E0
5.674357917E-1,-7.708969116E-2,2.562670898E-1,-9.779014435E0
5.774907917E-1,-7.768844604E-2,2.327659607E-1,-9.774972839E0
5.875457917E-1,-7.364685059E-2,1.981878662E-1,-9.785151672E0
5.976007917E-1,-6.541397095E-2,1.648072815E-1,-9.780810699E0
6.076557917E-1,-5.703140259E-2,1.279838562E-1,-9.781708832E0
6.177117917E-1,-5.613327026E-2,1.107696533E-1,-9.773176575E0
6.277667917E-1,-6.242019653E-2,1.200503540E-1,-9.791438599E0
6.378217917E-1,-6.331832886E-2,1.432521057E-1,-9.782307587E0
6.478767917E-1,-6.855743408E-2,1.691482544E-1,-9.797575836E0
6.579317917E-1,-5.448669434E-2,2.130070496E-1,-9.789492645E0
6.679877917E-1,-2.918930054E-2,2.451901245E-1,-9.772877197E0
6.780427917E-1,-1.736389160E-2,2.552192688E-1,-9.778864746E0
6.880977917E-1,-8.681945801E-3,2.594105530E-1,-9.777816925E0
6.981527917E-1,-1.930984497E-2,2.347119141E-1,-9.776918793E0
7.082077917E-1,-3.023712158E-2,2.001338196E-1,-9.779762878E0
7.182627917E-1,-5.852828979E-2,1.642085266E-1,-9.798174591E0
7.283187917E-1,-8.412506104E-2,1.255888367E-1,-9.796078949E0
7.383737917E-1,-1.043330383E-1,1.116677856E-1,-9.774523773E0
7.484287917E-1,-1.029858398E-1,1.204994202E-1,-9.793683929E0
7.584837917E-1,-1.044827271E-1,1.549278259E-1,-9.783954163E0
7.685387917E-1,-9.909393311E-2,1.922003174E-1,-9.766440582E0
7.785947917E-1,-6.541397095E-2,2.311193848E-1,-9.781110077E0
7.886497917E-1,-3.472778320E-2,2.484832764E-1,-9.779313812E0
7.987047917E-1,-2.125579834E-2,2.573149109E-1,-9.765243073E0
8.087597917E-1,-5.688171387E-3,2.486329651E-1,-9.786049805E0
8.188147917E-1,7.634124756E-3,2.415975952E-1,-9.790989532E0
8.288707917E-1,-1.796264648E-2,2.032772827E-1,-9.781858521E0
8.389257917E-1,-4.311035156E-2,1.760339355E-1,-9.778864746E0
8.489807917E-1,-6.361770630E-2,1.558259583E-1,-9.780361633E0
8.590357917E-1,-8.442443848E-2,1.390608215E-1,-9.783056030E0
8.690907917E-1,-1.083746338E-1,1.393601990E-1,-9.781559143E0
8.791457917E-1,-8.696914673E-2,1.486408997E-1,-9.770033112E0
8.892017917E-1,-8.756790161E-2,1.802252197E-1,-9.685159607E0
8.992567917E-1,-6.900650024E-2,2.318678284E-1,-9.955796814E0
9.093117917E-1,-5.194198608E-2,2.233355713E-1,-9.733509064E0
9.193667917E-1,-5.763015747E-2,2.377056885E-1,-9.670490112E0
9.294217917E-1,-3.547622681E-2,2.293231201E-1,-9.857451324E0
9.394777917E-1,-2.679428101E-2,2.157014465E-1,-9.810449066E0
9.495327917E-1,-4.236190796E-2,1.643582153E-1,-9.671987000E0
9.595877917E-1,-3.817062378E-2,1.466949463E-1,-9.867929535E0
9.696427917E-1,-2.050735474E-2,1.552272034E-1,-9.796977081E0
9.796977917E-1,-3.278182983E-2,1.210981750E-1,-9.687704315E0
9.897527917E-1,-3.412902832E-2,1.486408997E-1,-9.819430389E0
9.998087917E-1,-3.622467041E-2,1.847158813E-1,-9.840237122E0
1.009863792E0,-5.209167480E-2,1.930984497E-1,-9.711953888E0
1.019918792E0,-5.538482666E-2,2.157014465E-1,-9.811347198E0
1.029973792E0,-8.502319336E-2,2.574645996E-1,-9.766440582E0
1.040028792E0,-6.159690857E-1,7.255412292E-1,-9.726174316E0
1.050084792E0,-9.705816650E-1,1.002764740E0,-9.827214203E0
1.060139792E0,-8.894503784E-1,8.277786255E-1,-9.820478210E0
1.070194792E0,-9.401948547E-1,7.939489746E-1,-9.725126495E0
1.080249792E0,-1.311572571E0,9.569599915E-1,-9.829758911E0
1.090304792E0,-1.418150940E0,7.954458618E-1,-9.775421906E0
1.100360792E0,3.796105957E-1,-1.550775146E0,-9.769584045E0
1.110415792E0,3.171454926E0,-2.776276703E0,-9.754615173E0
1.120470792E0,2.877466278E0,-8.460406494E-1,-9.747579803E0
1.130525792E0,2.154320068E0,-5.010081482E-1,-9.800569611E0
1.140580792E0,8.292755127E-2,9.190887451E-2,-1.009710297E1
1.150635792E0,-4.574487305E-1,1.764830017E-1,-1.147079636E1
1.160691792E0,9.484277344E-1,-8.990304565E-1,-1.121303238E1
1.170746792E0,2.440824280E0,-5.550457764E-1,-8.938212891E0
1.180801792E0,1.508113861E0,1.957329712E0,-8.420738983E0
1.190856792E0,-1.985022125E0,3.356021118E0,-9.724976807E0
1.200911292E0,-3.267854462E0,1.999541931E0,-1.037881714E1
1.210967292E0,-3.885021057E0,9.581575012E-1,-1.225277023E1
1.221022292E0,-2.560724945E0,1.724414063E0,-1.347303268E1
1.231077292E0,1.092727661E-1,6.420149231E-1,-1.254870483E1
1.241132292E0,3.721560974E0,-2.716101837E0,-1.160357025E1
1.251187292E0,6.277795258E0,-4.734953613E0,-1.095706467E1
1.261243292E0,5.968987427E0,-4.730762329E0,-1.153441406E1
1.271298292E0,6.657405853E0,-3.236868896E0,-1.329565155E1
1.281353292E0,8.643775177E0,-4.812791748E0,-1.543620026E1
1.291408292E0,1.026400589E1,-3.590134277E0,-1.483355347E1
1.301463292E0,1.206431213E1,-6.459068298E-1,-1.446052917E1
1.311518292E0,1.450468735E1,8.027806091E-1,-1.456156906E1
1.321574292E0,1.390937531E1,3.583547974E-1,-1.495300507E1
1.331629292E0,8.989107056E0,-3.358715515E0,-1.546164734E1
1.341684292E0,4.240232391E0,-3.880530396E0,-1.251622238E1
1.351739292E0,4.085005188E0,-1.604962463E0,-7.851921844E0
1.361794292E0,5.968688049E0,-1.164578247E-1,-4.508923645E0
1.371850292E0,7.525151367E0,1.728305969E0,-2.393971710E0
1.381905292E0,6.609206085E0,3.238665161E0,-2.091001740E0
1.391960292E0,4.493056641E0,3.191962280E0,-3.130589905E0
1.402015292E0,1.362317047E0,1.573527832E0,-4.846322021E0
1.412070292E0,-1.076561279E0,1.610950012E0,-5.721551971E0
1.422126292E0,-4.231700134E-1,2.291734314E0,-5.987249451E0
1.432181292E0,1.238674164E0,3.273842010E0,-5.512885895E0
1.442236292E0,2.380499725E0,4.351301422E0,-4.357738037E0
1.452291292E0,3.262166290E0,4.392615509E0,-3.990401917E0
1.462346292E0,3.319646759E0,4.776118011E0,-4.171974335E0
1.472402292E0,2.443668365E0,4.991370392E0,-4.695286102E0
1.482457292E0,1.285377045E0,3.737727356E0,-5.388793945E0
1.492512292E0,1.248403931E-1,2.491119690E0,-5.774541779E0
1.502567292E0,-1.248254242E0,2.595602417E0,-5.295986938E0
1.512622292E0,-2.540966034E0,3.551963654E0,-6.169270935E0
1.522677292E0,-8.988807678E-1,4.244872742E0,-8.089627533E0
1.532733292E0,2.367027740E0,4.236190796E0,-7.561226349E0
1.542788292E0,4.902305603E0,4.855902100E0,-8.084388428E0
1.552843292E0,7.166946259E0,6.262826385E0,-1.005279510E1
1.562898292E0,5.269791412E0,6.058800659E0,-6.090834045E0
1.572953292E0,3.962260437E0,4.770729218E0,-5.485792236E0
1.583009292E0,3.657643890E0,4.692591705E0,-3.713328094E0
1.593064292E0,4.481829987E0,4.708608398E0,-2.836601257E0
1.603119292E0,4.973407745E0,4.419559479E0,-3.014730835E0
1.613174292E0,5.340145111E0,4.470303955E0,-4.118236084E0
1.623229292E0,5.326373749E0,4.625231781E0,-5.596711578E0
1.633285292E0,4.859494629E0,4.581822052E0,-6.585704956E0
1.643340292E0,4.685256958E0,4.605622559E0,-6.977889404E0
1.653395292E0,4.257895660E0,4.872667236E0,-6.894512787E0
1.663450292E0,3.684737549E0,5.874833221E0,-6.291267242E0
1.673505292E0,3.484454041E0,6.224506073E0,-5.967789917E0
1.683560292E0,3.191962280E0,5.991141357E0,-6.712640991E0
1.693616292E0,3.034489746E0,6.187383270E0,-7.548053741E0
1.703671292E0,3.638334045E0,6.478976898E0,-6.988068237E0
1.713726292E0,5.073998566E0,6.784341888E0,-6.712790680E0
1.723781292E0,5.717959442E0,6.196813660E0,-7.058272247E0
1.733836292E0,5.272635498E0,5.213059387E0,-7.294181671E0
1.743892292E0,4.769382019E0,4.910388794E0,-7.623347168E0
1.753947292E0,5.468877411E0,5.515280914E0,-7.948620758E0
1.764002292E0,6.421646118E0,5.706433411E0,-8.126900024E0
1.774057292E0,6.629713440E0,5.641767883E0,-7.672295380E0
1.784112292E0,6.074817352E0,5.449417877E0,-7.101382599E0
1.794167292E0,5.507497101E0,5.261558533E0,-6.784491577E0
1.804223292E0,5.230123901E0,5.088218994E0,-6.624773712E0
1.814278292E0,5.342390442E0,4.957989807E0,-6.452931061E0
1.824333292E0,5.580694885E0,5.023703156E0,-6.629863129E0
1.834388292E0,5.678890686E0,5.151088257E0,-6.680158539E0
1.844443292E0,5.331912231E0,5.173242188E0,-6.621181183E0
1.854499292E0,4.862189026E0,5.076393585E0,-6.668333130E0
1.864554292E0,4.597689056E0,4.997807007E0,-6.812034302E0
1.874609292E0,4.506079559E0,4.768932953E0,-6.959926758E0
1.884664292E0,4.451443176E0,4.460574188E0,-7.165449371E0
1.894719292E0,4.493356018E0,4.308041382E0,-7.314389648E0
1.904775292E0,4.870272217E0,4.324507141E0,-7.527396698E0
1.914830292E0,5.419929199E0,4.363875275E0,-7.730973358E0
1.924885292E0,5.824537811E0,4.479135590E0,-7.666307831E0
1.934940292E0,5.824986877E0,4.652175751E0,-7.740852814E0
