"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.686791667E-3,-1.214186545E-3,-3.307217266E-3,-1.447809860E-3
1.774079167E-2,1.924881479E-3,1.985680283E-4,-2.323430963E-4
2.779579167E-2,7.774165133E-4,1.362199895E-3,-9.641046636E-4
3.784979167E-2,-1.211698400E-3,1.621858217E-3,7.499055937E-4
4.790479167E-2,-4.390889080E-5,7.297702250E-4,-5.758251064E-4
5.795879167E-2,2.615556587E-4,-2.417067299E-5,3.299340606E-3
6.801379167E-2,1.191204530E-3,-9.070868837E-4,9.047240019E-5
7.806779167E-2,-1.612038817E-3,1.012519584E-3,2.127524465E-3
8.812279167E-2,1.603712444E-3,-1.110286801E-3,-6.379042752E-4
9.817779167E-2,-6.623712834E-4,-2.988614375E-3,-2.686141524E-3
1.082317917E-1,6.951107644E-4,-5.476992228E-4,3.263889812E-4
1.182867917E-1,-1.509754802E-4,1.212117728E-3,-1.586026978E-3
1.283407917E-1,-2.630648203E-3,2.628923161E-3,2.688513603E-3
1.383957917E-1,9.744729614E-4,3.894723719E-3,3.948987927E-3
1.484497917E-1,-3.285796149E-3,2.609462827E-4,1.880417112E-3
1.585047917E-1,-1.255402109E-3,-2.285427181E-4,9.187492542E-4
1.685587917E-1,1.183281303E-3,-2.709006367E-4,6.819637492E-4
1.786137917E-1,2.306336304E-3,1.180255786E-3,-1.021926757E-3
1.886677917E-1,3.627531230E-3,3.375447704E-4,-8.932435885E-4
1.987227917E-1,-1.080138609E-3,1.841431833E-3,-1.341453288E-3
2.087767917E-1,-8.303711656E-4,-4.046772607E-3,-1.291814260E-4
2.188317917E-1,1.083376352E-3,2.100239362E-4,4.117065109E-4
2.288857917E-1,1.329952851E-3,3.861017758E-4,7.925583050E-4
2.389407917E-1,-7.611612673E-4,-4.871487326E-4,-3.004032187E-4
2.489947917E-1,2.980496502E-4,9.854356176E-5,1.954752952E-4
2.590497917E-1,2.502614399E-3,1.368605066E-3,-1.599228941E-3
2.691037917E-1,3.400876594E-4,6.178995827E-4,1.208629459E-3
2.791587917E-1,-9.017443517E-4,-2.092781942E-4,-1.513387077E-3
2.892127917E-1,2.782108495E-4,-1.046777470E-3,-2.928421833E-3
2.992677917E-1,-6.038281135E-4,1.647808822E-3,-1.249565277E-3
3.093217917E-1,1.258082571E-3,-8.429252775E-4,-1.066895202E-4
3.193767917E-1,1.474331366E-3,4.290003562E-4,-2.092608716E-3
3.294307917E-1,2.330821590E-4,7.231592899E-4,2.123358194E-3
3.394857917E-1,3.627454862E-5,4.216894740E-4,1.100438181E-3
3.495397917E-1,-4.385133274E-3,-1.298325020E-3,3.681615926E-4
3.595947917E-1,2.479683026E-4,5.355275935E-4,-5.977666005E-4
3.696487917E-1,-2.181024989E-3,2.140461729E-4,1.706633717E-3
3.797037917E-1,3.888585372E-3,-2.221414819E-3,-1.818592660E-3
3.897587917E-1,7.290615758E-5,-7.389445091E-5,-2.639064100E-3
3.998127917E-1,4.027433693E-3,6.858466077E-5,-2.983943792E-3
4.098677917E-1,2.718783915E-3,-2.921119449E-4,3.413371742E-4
4.199217917E-1,-3.148228570E-4,2.202204661E-3,-1.758486032E-4
4.299767917E-1,3.206066613E-4,-1.885942911E-4,-1.314114779E-4
4.400307917E-1,-4.740806180E-4,4.751200322E-6,1.476877369E-4
4.500857917E-1,-1.363958465E-3,7.562834071E-6,-6.767841987E-4
4.601397917E-1,-1.533364411E-5,-1.204974367E-3,-3.177758772E-3
4.701947917E-1,4.005560186E-3,7.918219198E-4,-2.911727177E-3
4.802487917E-1,3.273723647E-3,-1.349093276E-3,-1.007300802E-3
4.903037917E-1,1.191484509E-3,-7.508398849E-4,-8.037160151E-4
5.003577917E-1,1.881243195E-3,-1.257639378E-3,-4.750820808E-4
5.104127917E-1,1.177077298E-3,-8.309020777E-4,2.250471152E-4
5.204667917E-1,-4.771043314E-5,-8.455494535E-4,2.166224644E-3
5.305217917E-1,-8.169640787E-4,6.573391147E-4,2.785784192E-3
5.405757917E-1,-2.811359882E-4,1.379854744E-3,9.817588143E-4
5.506307917E-1,-4.532792664E-4,1.410930709E-4,1.412462443E-4
5.606847917E-1,-1.235449570E-3,7.221948472E-4,-1.037202310E-3
5.707397917E-1,-2.219452057E-3,-6.129873218E-4,-4.435945302E-4
5.807937917E-1,1.244255109E-3,2.227126679E-4,8.664093912E-5
5.908487917E-1,-1.269055996E-3,-5.763758090E-4,-2.661678009E-3
6.009027917E-1,1.536051626E-3,2.468072926E-4,-3.556766547E-3
6.109577917E-1,6.836627726E-4,-6.987899542E-4,4.355969373E-3
6.210117917E-1,-1.389608136E-3,-2.320921281E-3,2.010523807E-3
6.310667917E-1,-4.978053737E-3,-1.760968822E-3,2.021588385E-3
6.411207917E-1,-4.669254704E-4,-2.975617826E-4,5.022552796E-4
6.511757917E-1,-4.433707218E-4,3.862155427E-5,8.063316345E-4
6.612307917E-1,-7.791953394E-4,-1.423187554E-3,-4.629306495E-4
6.712847917E-1,-2.039876301E-3,-1.312435372E-3,-4.925911315E-3
6.813397917E-1,1.160444459E-3,1.271896064E-3,-1.187365502E-3
6.913937917E-1,7.677052636E-4,-1.122430665E-3,-1.200659201E-3
7.014494167E-1,-1.750537776E-4,-2.195684705E-3,-3.814706579E-4
7.115034167E-1,1.643924770E-4,4.078157363E-4,-1.940932591E-3
7.215584167E-1,2.274947707E-3,1.147908159E-3,8.146404289E-4
7.316124167E-1,-2.354258904E-3,7.508975687E-4,2.761769574E-3
7.416674167E-1,-1.773955999E-3,2.933665237E-4,1.105816569E-3
7.517214167E-1,1.543798484E-3,-2.688298235E-3,-1.069555059E-3
7.617764167E-1,-8.232760592E-5,-2.280701301E-4,1.176819205E-4
7.718304167E-1,-5.029286840E-4,-1.051991479E-3,1.078124158E-3
7.818854167E-1,3.111996630E-4,1.759507693E-3,-1.240956597E-3
7.919394167E-1,-5.982368020E-5,-6.475917762E-4,-9.742612019E-5
8.019944167E-1,1.224352513E-3,-8.622425376E-4,-1.608096063E-4
8.120484167E-1,2.056032245E-4,-1.231932314E-3,2.536279615E-3
8.221034167E-1,4.271782236E-4,1.942555653E-3,-4.579117522E-4
8.321574167E-1,-2.105109394E-3,-1.467601163E-3,8.897450753E-4
8.422124167E-1,1.505880937E-4,-5.237769801E-4,1.241016202E-3
8.522664167E-1,-3.776132653E-4,1.072330866E-3,-2.650273964E-4
8.623214167E-1,8.658166043E-4,5.711240228E-4,-1.513783354E-3
8.723754167E-1,2.525777556E-3,-1.778203296E-3,-3.695348278E-5
8.824304167E-1,2.365243563E-4,1.081232680E-3,9.782435372E-4
8.924844167E-1,-5.693157436E-4,-6.895005936E-4,-9.741522372E-4
9.025394167E-1,1.240302110E-3,3.432732774E-4,-1.491052099E-4
9.125934167E-1,-1.806748798E-3,-3.397220571E-4,-9.500845335E-4
9.226484167E-1,-9.097961010E-4,-1.819907106E-3,1.178430393E-4
9.327034167E-1,2.811950166E-3,2.601257758E-3,-7.339371368E-4
9.427574167E-1,-4.392433446E-3,2.410309156E-3,-1.701197587E-3
9.528124167E-1,1.595402602E-3,-9.829468327E-4,2.682849765E-3
9.628664167E-1,-3.112799954E-3,-3.411483485E-3,1.197071746E-3
9.729214167E-1,9.330278262E-4,-1.740873995E-4,6.059990264E-4
9.829754167E-1,2.410016954E-3,9.811918717E-4,5.077286623E-4
9.930304167E-1,2.196163638E-3,-2.112669405E-3,1.113677397E-3
1.003084417E0,3.586866427E-3,2.505016164E-5,-7.446762174E-4
1.013139417E0,1.666972530E-3,-5.131907528E-4,-2.864049748E-4
1.023193417E0,-5.082974676E-4,1.983256312E-3,-2.255812753E-3
1.033248417E0,-8.717268938E-4,-2.890323987E-3,1.172555611E-3
1.043302417E0,1.063858625E-3,-3.797929501E-3,7.640263066E-4
1.053357417E0,-1.100434223E-3,3.920684685E-4,1.656861976E-3
1.063411417E0,8.063891437E-4,-7.602813421E-4,1.721044071E-3
1.073466417E0,-3.622696386E-5,1.767417765E-3,6.974646822E-4
1.083520417E0,4.551262537E-4,1.846247353E-3,2.540485002E-4
1.093575417E0,4.006314091E-3,3.850552021E-3,-6.870389916E-4
1.103629417E0,-5.633817636E-5,3.208197420E-3,4.472010769E-4
1.113684417E0,-7.725849864E-4,3.509656759E-3,1.883781049E-3
1.123738417E0,2.657814766E-4,1.815087278E-3,-9.642038494E-4
1.133793417E0,-2.197525173E-4,1.800908591E-3,-1.011200249E-3
1.143847417E0,-3.017778799E-4,7.662704447E-4,1.105746720E-3
1.153902417E0,-2.171799075E-3,2.032646211E-3,8.730008267E-4
1.163956417E0,1.043435303E-3,1.775118522E-3,5.214633420E-4
1.174011417E0,3.351944615E-4,-6.752986228E-4,-1.411714125E-3
1.184065417E0,-3.252022341E-2,-9.775870293E-2,-2.055052109E-2
1.194120417E0,-1.664165780E-2,-8.818969876E-2,-1.168014258E-1
1.204174417E0,-2.083754865E-3,-4.013570957E-3,-1.262764186E-1
1.214229417E0,9.216904873E-4,-4.691484384E-3,-1.628751755E-1
1.224284417E0,4.982479149E-4,-1.702618669E-3,-2.274419218E-1
1.234338417E0,1.187589718E-3,-3.319764277E-3,-3.306210935E-1
1.244393417E0,-7.022128557E-5,-8.667924441E-3,-4.529603124E-1
1.254447417E0,1.915582223E-3,9.141507559E-3,-5.845289230E-1
1.264502417E0,3.811752889E-3,1.303398330E-2,-6.488328576E-1
1.274556417E0,5.482967012E-3,2.661747858E-2,-3.601008356E-1
1.284611417E0,4.001450259E-3,5.065863207E-2,1.101902425E-1
1.294665417E0,4.666442052E-3,5.798099563E-2,1.774057746E-1
1.304720417E0,2.911951393E-3,5.005036667E-2,5.852039531E-2
1.314774417E0,8.462846279E-3,5.704635009E-2,-8.562000096E-2
1.324829417E0,2.095706575E-2,6.734612584E-2,-3.562903702E-1
1.334883417E0,1.010054164E-2,6.863306463E-2,-4.692585468E-1
1.344938417E0,1.677548699E-2,8.824004978E-2,-6.153292060E-1
1.354992417E0,3.253357857E-2,1.620182991E-1,-7.435461879E-1
1.365047417E0,6.675546616E-2,3.039951622E-1,-8.344089389E-1
1.375101417E0,9.115524590E-2,5.502660871E-1,-7.291687131E-1
1.385156417E0,1.033543870E-1,1.032802105E0,-8.566275835E-1
1.395210417E0,8.705471456E-2,7.573994994E-1,-9.718984962E-1
1.405265417E0,1.244340464E-1,3.910497129E-1,-9.138075113E-1
1.415319417E0,1.559031308E-1,2.823660672E-1,-9.038547873E-1
1.425374417E0,2.207013071E-1,1.697172672E-1,-9.746162891E-1
1.435428417E0,2.581773400E-1,1.757701784E-1,-9.097633958E-1
1.445483417E0,2.766266465E-1,7.005870938E-1,-6.560632586E-1
1.455537417E0,3.104452789E-1,1.682997346E0,-3.466098011E-1
1.465592417E0,3.188238442E-1,3.006920338E0,-2.217927575E-1
1.475646417E0,3.413754106E-1,4.474101067E0,-2.943514287E-1
1.485701417E0,4.183972180E-1,5.739326954E0,-4.497309029E-1
1.495755417E0,5.013398528E-1,6.538226604E0,-5.754901171E-1
1.505810417E0,5.952972770E-1,6.994705200E0,-5.718343854E-1
1.515865417E0,6.992895603E-1,6.839950085E0,-3.310796916E-1
1.525919417E0,5.578045845E-1,6.846401215E0,3.741204366E-2
1.535974417E0,7.670944929E-1,7.231688499E0,3.688108921E-1
1.546028417E0,1.293752909E0,7.466512203E0,4.558131695E-1
1.556083417E0,1.950856566E0,7.066781044E0,-2.453280985E-2
1.566137417E0,2.365484238E0,6.434828281E0,-1.039221644E0
1.576192417E0,2.131827593E0,5.617167950E0,-1.656093359E0
1.586246417E0,1.610250354E0,5.558912754E0,-1.831011653E0
1.596301417E0,6.959511042E-1,5.847153664E0,-1.915689468E0
1.606355417E0,-6.725533605E-1,5.814459801E0,-2.321914911E0
1.616410417E0,-1.957164645E0,5.291254044E0,-2.870900393E0
1.626464417E0,-2.926650763E0,4.630959988E0,-3.188246250E0
1.636519417E0,-3.573737860E0,3.891943932E0,-3.212006092E0
1.646573417E0,-3.955046654E0,2.970056534E0,-3.054257393E0
1.656628417E0,-4.173183441E0,2.011331558E0,-2.829507828E0
1.666682417E0,-4.219055176E0,9.415903091E-1,-2.473981857E0
1.676737417E0,-3.877353907E0,3.817916811E-1,-2.310250759E0
1.686791417E0,-3.224782944E0,-8.100950718E-2,-2.346689463E0
1.696846667E0,-2.324525833E0,-4.456169605E-1,-2.531107903E0
1.706900667E0,-1.318684697E0,-9.604842663E-1,-2.593323946E0
1.716955667E0,-3.481159806E-1,-1.222780347E0,-2.508210182E0
1.727009667E0,4.346096814E-1,-1.405927420E0,-2.243695736E0
1.737064667E0,1.051750422E0,-1.453165531E0,-1.923446774E0
1.747118667E0,1.445305109E0,-1.371690392E0,-1.636059999E0
1.757173667E0,1.617459416E0,-1.215380430E0,-1.458954215E0
1.767228667E0,1.618529439E0,-1.147057056E0,-1.362914205E0
1.777282667E0,1.106402159E0,-1.525100827E0,-1.615277767E0
1.787337667E0,6.932336688E-1,-1.227985859E0,-1.703030825E0
1.797391667E0,1.667064577E-1,-1.199633002E0,-1.637696028E0
1.807446667E0,-4.779684246E-1,-1.281462312E0,-1.199831247E0
1.817500667E0,-1.041513801E0,-1.349798799E0,-1.111351609E0
1.827555667E0,-1.373568654E0,-1.165125847E0,-1.145101070E0
1.837609667E0,-1.370589256E0,-8.203057051E-1,-1.077967286E0
1.847664667E0,-1.123900175E0,-3.745053113E-1,-9.688546658E-1
1.857718667E0,-8.019848466E-1,9.625904262E-3,-8.519365191E-1
1.867773667E0,-5.436624885E-1,2.612959445E-1,-8.909520507E-1
1.877827667E0,-3.183500469E-1,3.430047333E-1,-1.184494019E0
1.887882667E0,-1.220748276E-1,2.828990519E-1,-1.668711543E0
1.897936667E0,1.588690877E-1,2.426934689E-1,-2.042184830E0
1.907991667E0,6.222223639E-1,4.089618027E-1,-2.074274302E0
1.918045667E0,1.383048654E0,6.459203959E-1,-2.023991823E0
1.928100667E0,2.534393072E0,3.991012871E-1,-2.131049633E0
1.938154667E0,3.466444969E0,7.280406952E-1,-2.352173805E0
1.948209667E0,3.018376112E0,-4.174655974E-1,-2.299141407E0
1.958263667E0,2.490766525E0,-3.227221966E-1,-1.956103921E0
1.968318667E0,1.926790714E0,8.495476842E-2,-1.405226707E0
1.978372667E0,1.260450482E0,3.704834282E-1,-9.257802963E-1
1.988427667E0,5.713530183E-1,-7.835829258E-2,-3.119168580E-1
1.998481667E0,6.256965548E-2,-7.159954309E-1,4.435156286E-1
2.008536667E0,-2.762906849E-1,-1.023158073E0,9.374843240E-1
2.018591667E0,-5.005769730E-1,-8.713342547E-1,1.003368378E0
2.028645667E0,-5.337871313E-1,-8.928706646E-1,9.122928977E-1
2.038700667E0,-4.534918368E-1,-1.104440689E0,1.055251718E0
2.048754667E0,-2.711102962E-1,-1.211305141E0,1.368355274E0
2.058809667E0,-4.313848168E-2,-1.121442437E0,1.630107284E0
2.068863667E0,1.452561468E-2,-9.300713539E-1,1.789798141E0
2.078918667E0,-1.434470266E-1,-7.396827936E-1,1.845202208E0
2.088972667E0,-4.412219822E-1,-6.167459488E-1,1.799117804E0
2.099027667E0,-7.423791289E-1,-5.923618078E-1,1.734307647E0
2.109081667E0,-9.369227886E-1,-5.490476489E-1,1.720741749E0
2.119136667E0,-9.804059863E-1,-5.538285375E-1,1.741625667E0
2.129190667E0,-8.675795794E-1,-6.167081594E-1,1.763050795E0
2.139245667E0,-6.179730892E-1,-6.556539536E-1,1.765886188E0
2.149299667E0,-2.923547328E-1,-6.610311270E-1,1.734431386E0
2.159354667E0,4.251215979E-2,-6.696295142E-1,1.687886477E0
2.169408667E0,3.026960790E-1,-6.010850668E-1,1.625254035E0
2.179463667E0,4.213816226E-1,-5.230395794E-1,1.490896702E0
2.189517667E0,4.117630720E-1,-5.313600898E-1,1.268197060E0
2.199572667E0,3.076961637E-1,-5.778278112E-1,9.793372750E-1
2.209626667E0,1.214152128E-1,-6.741167903E-1,7.158550620E-1
2.219681667E0,-1.200166792E-1,-7.644673586E-1,5.035362840E-1
2.229735667E0,-3.709602356E-1,-8.538047075E-1,3.800841272E-1
2.239790667E0,-5.361710191E-1,-9.285629988E-1,4.053073227E-1
2.249844667E0,-5.680029988E-1,-1.000267267E0,5.280468464E-1
2.259899667E0,-4.830973446E-1,-1.009373903E0,6.123605967E-1
2.269954667E0,-3.315182030E-1,-9.440193772E-1,5.669494271E-1
2.280008667E0,-1.879128814E-1,-9.068514109E-1,3.723748624E-1
2.290063667E0,-1.266718954E-1,-8.610594273E-1,1.260045022E-1
2.300117667E0,-1.689030379E-1,-7.977781296E-1,-6.935054809E-2
2.310172667E0,-2.856850326E-1,-7.362849116E-1,-1.654411405E-1
2.320226667E0,-3.918510675E-1,-6.501467824E-1,-1.981103271E-1
2.330281667E0,-4.512425065E-1,-5.618803501E-1,-2.258162498E-1
2.340335667E0,-4.897703826E-1,-5.336110592E-1,-2.431073636E-1
2.350390667E0,-5.499215722E-1,-4.988954365E-1,-2.515935302E-1
2.360444667E0,-6.275289059E-1,-5.259724259E-1,-2.661765218E-1
