"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.733875002E-3,-5.843138695E0,3.408988190E1,4.293829346E1
1.978887500E-2,-5.783408165E0,3.410833740E1,4.295074463E1
2.984487500E-2,-5.725203514E0,3.409464264E1,4.294259644E1
3.989987500E-2,-5.581822395E0,3.403279114E1,4.280213928E1
4.995587500E-2,-5.601500511E0,3.382795715E1,4.297061157E1
6.001087500E-2,-5.616629601E0,3.385171509E1,4.330850220E1
7.006587500E-2,-5.664763451E0,3.404638672E1,4.317610168E1
8.012187500E-2,-5.689280510E0,3.410695267E1,4.307534790E1
9.017687500E-2,-5.482218742E0,3.398907471E1,4.302040100E1
1.002328750E-1,-5.744544029E0,3.387387085E1,4.320326233E1
1.102878750E-1,-5.688561440E0,3.390642929E1,4.316658020E1
1.203428750E-1,-5.429059029E0,3.383855057E1,4.307713318E1
1.303988750E-1,-5.567540169E0,3.396540833E1,4.344259644E1
1.404538750E-1,-5.430191994E0,3.376480103E1,4.288735962E1
1.505098750E-1,-5.372849464E0,3.386178589E1,4.322210693E1
1.605648750E-1,-5.696015358E0,3.403083420E1,4.293876648E1
1.706198750E-1,-5.466254234E0,3.395338440E1,4.278250122E1
1.806758750E-1,-5.525696754E0,3.404671097E1,4.295133972E1
1.907308750E-1,-5.611102104E0,3.388105392E1,4.247625732E1
2.007868750E-1,-5.539774895E0,3.386321259E1,4.319541931E1
2.108418750E-1,-5.458878517E0,3.378695297E1,4.278938293E1
2.208968750E-1,-5.675036430E0,3.379078293E1,4.265470886E1
2.309528750E-1,-5.554171562E0,3.383940887E1,4.255485535E1
2.410078750E-1,-5.659224510E0,3.396298981E1,4.260046387E1
2.510638750E-1,-5.549529076E0,3.395120239E1,4.256019592E1
2.611188750E-1,-5.686078072E0,3.399392319E1,4.252668762E1
2.711738750E-1,-5.546956062E0,3.391872025E1,4.238339233E1
2.812298750E-1,-5.684144020E0,3.398809433E1,4.249609375E1
2.912848750E-1,-5.645794868E0,3.396176147E1,4.253979492E1
3.013408750E-1,-5.560957909E0,3.378285217E1,4.228672791E1
3.113958750E-1,-5.548514366E0,3.403124237E1,4.233328247E1
3.214518750E-1,-5.692229271E0,3.403701782E1,4.242274475E1
3.315068750E-1,-5.409068108E0,3.427643204E1,4.259448242E1
3.415618750E-1,-5.562952995E0,3.410477066E1,4.291842651E1
3.516178750E-1,-5.549103737E0,3.407880402E1,4.289825439E1
3.616728750E-1,-5.626452446E0,3.409898758E1,4.295872498E1
3.717278750E-1,-5.460122108E0,3.403089523E1,4.301580811E1
3.817838750E-1,-5.672659874E0,3.409888840E1,4.276870728E1
3.918388750E-1,-5.831732750E0,3.397130966E1,4.262373352E1
4.018948750E-1,-5.856331825E0,3.397571564E1,4.282295227E1
4.119498750E-1,-5.722647667E0,3.393993378E1,4.281295776E1
4.220048750E-1,-5.865260124E0,3.398347855E1,4.282406616E1
4.320608750E-1,-5.798075676E0,3.401544189E1,4.281927490E1
4.421158750E-1,-5.788733482E0,3.408078003E1,4.278031921E1
4.521718750E-1,-5.761797905E0,3.393779755E1,4.279563904E1
4.622268750E-1,-5.589802742E0,3.406752396E1,4.280044556E1
4.722818750E-1,-5.726063728E0,3.405008316E1,4.269998169E1
4.823378750E-1,-5.627717018E0,3.409615326E1,4.257167053E1
4.923928750E-1,-5.753708839E0,3.398078156E1,4.255938721E1
5.024486250E-1,-5.503348351E0,3.378905487E1,4.256466675E1
5.125036250E-1,-5.558850288E0,3.383685684E1,4.269038391E1
5.225586250E-1,-5.643582344E0,3.384022141E1,4.282757568E1
5.326146250E-1,-5.619633675E0,3.375793457E1,4.280039978E1
5.426696250E-1,-6.016982079E0,3.386319351E1,4.248890686E1
5.527256250E-1,-5.926346779E0,3.405905151E1,4.257823181E1
5.627806250E-1,-5.618742943E0,3.390064240E1,4.292395020E1
5.728356250E-1,-5.568888664E0,3.398405075E1,4.275119019E1
5.828916250E-1,-5.795529366E0,3.399046707E1,4.252107239E1
5.929466250E-1,-5.874966621E0,3.400061035E1,4.290873718E1
6.030026250E-1,-5.455094337E0,3.391244888E1,4.269789124E1
6.130576250E-1,-5.772105217E0,3.398100281E1,4.271302795E1
6.231126250E-1,-5.645974159E0,3.415715027E1,4.254473877E1
6.331686250E-1,-5.498154640E0,3.404853058E1,4.243705750E1
6.432236250E-1,-5.416359901E0,3.408840561E1,4.245387268E1
6.532796250E-1,-5.594130516E0,3.409274673E1,4.251979065E1
6.633346250E-1,-5.542716026E0,3.393437958E1,4.258026123E1
6.733896250E-1,-5.773999214E0,3.410187531E1,4.221469116E1
6.834456250E-1,-5.649743080E0,3.404687881E1,4.235263062E1
6.935006250E-1,-5.719882011E0,3.391426468E1,4.240965271E1
7.035566250E-1,-5.473362923E0,3.390625381E1,4.224557495E1
7.136116250E-1,-5.514687538E0,3.390936661E1,4.225839233E1
7.236666250E-1,-5.488089561E0,3.416090775E1,4.262454224E1
7.337226250E-1,-5.471600533E0,3.398323059E1,4.298831177E1
7.437776250E-1,-5.614699364E0,3.416392899E1,4.256958008E1
7.538336250E-1,-5.719557762E0,3.414601898E1,4.257873535E1
7.638886250E-1,-5.801678658E0,3.416616821E1,4.258526611E1
7.739436250E-1,-5.788243294E0,3.410862350E1,4.216525269E1
7.839996250E-1,-5.705080986E0,3.440507889E1,4.230374146E1
7.940546250E-1,-5.553400993E0,3.440726471E1,4.209902954E1
8.041106250E-1,-5.481194496E0,3.425625229E1,4.230000305E1
8.141656250E-1,-5.504548073E0,3.423436356E1,4.238388062E1
8.242206250E-1,-5.414599419E0,3.436003113E1,4.235076904E1
8.342766250E-1,-5.499926567E0,3.434698105E1,4.262181091E1
8.443316250E-1,-5.668488503E0,3.416892624E1,4.255345154E1
8.543876250E-1,-5.609616280E0,3.423857880E1,4.239364624E1
8.644426250E-1,-5.618296623E0,3.397721863E1,4.228750610E1
8.744976250E-1,-5.485419273E0,3.410968018E1,4.250177002E1
8.845536250E-1,-5.386853218E0,3.397192383E1,4.274330139E1
8.946086250E-1,-5.196097374E0,3.399656677E1,4.272242737E1
9.046646250E-1,-5.017823219E0,3.420917130E1,4.263119507E1
9.147196250E-1,-5.176550865E0,3.421445847E1,4.261080933E1
9.247746250E-1,-5.286971092E0,3.406121826E1,4.245703125E1
9.348306250E-1,-5.325373650E0,3.415415192E1,4.232516479E1
9.448856250E-1,-5.500391960E0,3.403353882E1,4.247070312E1
9.549416250E-1,-5.317027092E0,3.422966003E1,4.253376770E1
9.649966250E-1,-5.544529915E0,3.389312744E1,4.256213379E1
9.750516250E-1,-5.574698448E0,3.433382416E1,4.269081116E1
9.851076250E-1,-5.902750969E0,3.442944717E1,4.257975769E1
9.951626250E-1,-5.873312950E0,3.467242813E1,4.245553589E1
1.005218625E0,-5.785292625E0,3.447954559E1,4.247108459E1
1.015273625E0,-5.828793526E0,3.443826294E1,4.247097778E1
1.025328625E0,-5.994236946E0,3.468971634E1,4.261846924E1
1.035384625E0,-5.659209251E0,3.477528000E1,4.257594299E1
1.045439625E0,-5.802088737E0,3.497365189E1,4.289828491E1
1.055495625E0,-5.909264565E0,3.497480011E1,4.246009827E1
1.065550625E0,-6.078717232E0,3.500662231E1,4.227766418E1
1.075605625E0,-6.758271217E0,3.499857330E1,4.211956787E1
1.085661625E0,-7.496365547E0,3.485066986E1,4.221405029E1
1.095716625E0,-8.289282799E0,3.496574783E1,4.160339355E1
1.105772625E0,-9.940703392E0,3.519297791E1,4.146438599E1
1.115827625E0,-1.224347591E1,3.523934174E1,4.071925354E1
1.125882625E0,-1.450445652E1,3.539809418E1,4.011164856E1
1.135938625E0,-1.705259705E1,3.527922821E1,3.902160645E1
1.145993625E0,-1.946412659E1,3.543842697E1,3.758821106E1
1.156049625E0,-2.169610977E1,3.575634003E1,3.595767212E1
1.166104625E0,-2.457173920E1,3.595346069E1,3.396772766E1
1.176159625E0,-2.768391418E1,3.651323700E1,3.154916382E1
1.186215625E0,-3.043836975E1,3.681047058E1,2.871537781E1
1.196270625E0,-3.280301285E1,3.672028732E1,2.588899231E1
1.206326625E0,-3.468540573E1,3.692984772E1,2.321296692E1
1.216381625E0,-3.635501862E1,3.682257843E1,2.110449219E1
1.226436625E0,-3.772301483E1,3.644512558E1,1.882208252E1
1.236492625E0,-3.949298096E1,3.579794693E1,1.680998230E1
1.246547625E0,-4.127917480E1,3.471611023E1,1.485682678E1
1.256603625E0,-4.299039841E1,3.354219818E1,1.289875793E1
1.266658625E0,-4.464040756E1,3.221830750E1,1.145318604E1
1.276713625E0,-4.577293396E1,3.100188828E1,1.012461853E1
1.286769625E0,-4.663808060E1,3.003143311E1,8.913848877E0
1.296824625E0,-4.752051544E1,2.891666412E1,8.286697388E0
1.306880625E0,-4.840181351E1,2.777288628E1,7.873596191E0
1.316935625E0,-4.935526657E1,2.638315582E1,8.378799438E0
1.326990625E0,-5.029010391E1,2.503772736E1,8.303024292E0
1.337046625E0,-5.059008026E1,2.337083435E1,9.122711182E0
1.347101625E0,-5.119214630E1,2.222924423E1,1.036282349E1
1.357157625E0,-5.100936127E1,2.105528259E1,1.195285034E1
1.367212625E0,-5.082862854E1,2.012808228E1,1.393992615E1
1.377267625E0,-5.088421631E1,1.903127098E1,1.566677856E1
1.387323625E0,-5.069883728E1,1.796984482E1,1.731030273E1
1.397378625E0,-5.057821655E1,1.672489548E1,1.881385803E1
1.407434625E0,-5.029241562E1,1.570625591E1,2.005931091E1
1.417489625E0,-4.971174240E1,1.492941189E1,2.185537720E1
1.427544625E0,-4.943479538E1,1.435273743E1,2.384335327E1
1.437600625E0,-4.879350662E1,1.382265091E1,2.497761536E1
1.447655625E0,-4.838354111E1,1.298885727E1,2.623542786E1
1.457711625E0,-4.777262115E1,1.218945503E1,2.705468750E1
1.467766625E0,-4.765935135E1,1.128101921E1,2.800608826E1
1.477821625E0,-4.774318314E1,1.052381706E1,2.867446899E1
1.487877625E0,-4.755673599E1,9.709688187E0,2.874488831E1
1.497932583E0,-4.742424774E1,8.999279022E0,2.909228516E1
1.507988583E0,-4.734776306E1,8.561119080E0,2.978515625E1
1.518043583E0,-4.750902557E1,7.716461182E0,2.976522827E1
1.528098583E0,-4.722592545E1,7.077936172E0,3.070989990E1
1.538154583E0,-4.704158401E1,6.638183594E0,3.056976318E1
1.548209583E0,-4.712926865E1,6.368192673E0,3.080015564E1
1.558265583E0,-4.719257355E1,5.990713120E0,3.071856689E1
1.568320583E0,-4.749361038E1,5.457183838E0,3.061198425E1
1.578375583E0,-4.755515289E1,4.876579285E0,3.012117004E1
1.588431583E0,-4.776253891E1,4.095397949E0,3.000085449E1
1.598486583E0,-4.818811417E1,3.152589798E0,2.926109314E1
1.608542583E0,-4.849611664E1,2.660598755E0,2.909269714E1
1.618597583E0,-4.868117142E1,1.769979477E0,2.910473633E1
1.628652583E0,-4.866693497E1,1.076541901E0,2.883230591E1
1.638708583E0,-4.859381866E1,4.094238281E-1,2.865101624E1
1.648763583E0,-4.887616730E1,-1.859397888E-1,2.851145935E1
1.658819583E0,-4.874366379E1,-4.694690704E-1,2.867388916E1
1.668874583E0,-4.866408920E1,-4.341049194E-1,2.853982544E1
1.678929583E0,-4.854394150E1,-4.546375275E-1,2.874357605E1
1.688985583E0,-4.890956497E1,-8.810310364E-1,2.814834595E1
1.699040583E0,-4.909721756E1,-8.559494019E-1,2.834356689E1
1.709095583E0,-4.911552048E1,-1.031118393E0,2.822434998E1
1.719151583E0,-4.933609009E1,-1.047536850E0,2.773382568E1
1.729206583E0,-4.954841614E1,-8.299827576E-1,2.736245728E1
1.739262583E0,-4.984324646E1,-2.860031128E-1,2.725654602E1
1.749317583E0,-4.975589752E1,-9.954643250E-2,2.724105835E1
1.759372583E0,-4.985877609E1,4.533958435E-1,2.725093079E1
1.769428583E0,-4.938381195E1,9.681358337E-1,2.739956665E1
1.779483583E0,-4.925783539E1,1.473575592E0,2.770971680E1
1.789539583E0,-4.932511520E1,1.772535324E0,2.809384155E1
1.799594583E0,-4.923622894E1,2.292776108E0,2.803572083E1
1.809649583E0,-4.894478989E1,2.668506622E0,2.809681702E1
1.819705583E0,-4.877131653E1,2.867235184E0,2.868489075E1
1.829760583E0,-4.839912415E1,2.872915268E0,2.912287903E1
1.839816583E0,-4.838711548E1,2.809080124E0,2.950433350E1
1.849871583E0,-4.798143387E1,2.522968292E0,2.984027100E1
1.859926583E0,-4.792483139E1,2.699951172E0,2.990534973E1
1.869982583E0,-4.781691742E1,2.848217010E0,3.019509888E1
1.880037583E0,-4.770652771E1,2.612176895E0,3.045834351E1
1.890093583E0,-4.774967957E1,2.457124710E0,3.083813477E1
1.900148583E0,-4.741876221E1,2.283683777E0,3.114253235E1
1.910203583E0,-4.713266373E1,2.079608917E0,3.119319153E1
1.920259583E0,-4.681106567E1,2.051229477E0,3.174665833E1
1.930314583E0,-4.644498825E1,2.002021790E0,3.209211731E1
1.940370583E0,-4.621321106E1,2.166002274E0,3.264721680E1
1.950425583E0,-4.616459274E1,2.637620926E0,3.286984253E1
1.960480583E0,-4.595411301E1,2.898004532E0,3.274967957E1
1.970536583E0,-4.581208801E1,3.225570679E0,3.296984863E1
1.980591583E0,-4.558700180E1,3.277645111E0,3.332020569E1
1.990647583E0,-4.552787399E1,3.361455917E0,3.307702637E1
2.000702583E0,-4.556756592E1,3.347669601E0,3.314239502E1
2.010757583E0,-4.539823532E1,3.590513229E0,3.353092957E1
