"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.961458337E-3,1.546376501E-3,2.512897830E-3,2.197934780E-3
1.601645834E-2,1.059367321E-3,1.264038379E-3,3.214011900E-3
2.607145833E-2,2.780568320E-3,1.611048356E-3,-8.923164569E-4
3.612645833E-2,-8.008852019E-4,-6.899227737E-4,-1.454483718E-3
4.618145833E-2,-2.640863182E-3,-1.673428225E-3,-1.522660721E-3
5.623545834E-2,-2.004404087E-3,-3.355390392E-3,-4.511303268E-4
6.629045834E-2,-3.846694599E-4,-6.731628673E-6,6.865723990E-4
7.634545834E-2,7.618211675E-4,2.742565237E-3,-9.116698056E-4
8.640045833E-2,1.126940595E-3,2.413132228E-3,1.239897683E-3
9.645545833E-2,-3.473364341E-4,3.540557344E-3,2.199539915E-3
1.065104583E-1,2.795726294E-3,1.080352376E-5,1.204050146E-3
1.165644583E-1,-9.909351356E-4,-6.218359922E-4,1.336864661E-3
1.266194583E-1,-2.678870223E-4,-1.119314460E-3,-4.360014573E-4
1.366744583E-1,-3.986740485E-4,-1.821669284E-3,-2.254931256E-3
1.467294583E-1,-1.222922350E-3,-9.153955616E-4,-3.672265681E-3
1.567844583E-1,1.295215916E-4,-1.367679448E-3,-1.830338500E-3
1.668384583E-1,4.027619143E-4,-8.110788185E-4,4.732958041E-4
1.768934583E-1,1.893712091E-3,-1.575469068E-4,1.144979149E-3
1.869484583E-1,1.927800477E-3,2.697361633E-3,9.580245242E-4
1.970034583E-1,2.377493540E-3,-1.921236253E-4,7.017189637E-5
2.070584583E-1,3.689366626E-3,4.044244415E-4,2.512666397E-4
2.171134583E-1,-1.046227058E-3,-2.827000804E-3,1.843407750E-3
2.271674583E-1,-1.291504130E-3,-2.321266569E-3,-1.512174960E-3
2.372224583E-1,-1.009647385E-3,-4.799434682E-4,-2.252334729E-3
2.472774583E-1,-7.646365557E-4,1.585870516E-3,-1.962316222E-3
2.573324583E-1,1.365535893E-3,-1.584636280E-3,2.272622660E-4
2.673874583E-1,4.595284699E-4,1.848178334E-3,1.601506956E-4
2.774424583E-1,-8.331997087E-4,1.120662084E-3,-2.168454230E-4
2.874964583E-1,4.963812535E-5,1.259146491E-3,-1.599025913E-3
2.975514583E-1,2.193613618E-4,1.921585790E-4,7.267901674E-4
