"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.661791666E-3,-3.764818192E0,3.401009750E1,4.011383057E1
1.271579166E-2,-3.727296829E0,3.412035751E1,4.018777466E1
2.277079167E-2,-3.617393494E0,3.417607498E1,4.021353149E1
3.282579167E-2,-3.629407883E0,3.418931198E1,4.035078430E1
4.288079167E-2,-3.317737579E0,3.447838974E1,4.013609314E1
5.293579167E-2,-3.691707611E0,3.442455292E1,4.004168701E1
6.299079167E-2,-3.567859650E0,3.429341125E1,4.038685608E1
7.304579167E-2,-3.541276932E0,3.424864197E1,4.023855591E1
8.309979167E-2,-3.588947296E0,3.452395248E1,4.013591003E1
9.315479167E-2,-3.851289749E0,3.440608215E1,4.017715454E1
1.032097917E-1,-3.729608536E0,3.436082077E1,4.029161072E1
1.132647917E-1,-3.822530746E0,3.418013000E1,4.005166626E1
1.233197917E-1,-3.866344452E0,3.420838928E1,4.055006409E1
1.333747917E-1,-3.973041534E0,3.405146790E1,4.033383179E1
1.434287917E-1,-3.812717438E0,3.433753967E1,4.008375549E1
1.534837917E-1,-3.955530167E0,3.416600418E1,3.967832947E1
1.635387917E-1,-3.913028717E0,3.394322586E1,4.004653931E1
1.735937917E-1,-3.587240219E0,3.406002045E1,4.019456482E1
1.836487917E-1,-3.589212418E0,3.409951782E1,3.994734192E1
1.937037917E-1,-3.857740402E0,3.421758270E1,3.999433899E1
2.037577917E-1,-3.726631165E0,3.424551773E1,4.004521179E1
2.138127917E-1,-3.550136566E0,3.442384720E1,4.025765991E1
2.238677917E-1,-3.678829193E0,3.427600479E1,4.062203979E1
2.339227917E-1,-3.519416809E0,3.428838730E1,4.024919128E1
2.439777917E-1,-3.642730713E0,3.434796524E1,4.061804199E1
2.540327917E-1,-3.609657288E0,3.413714981E1,4.060249329E1
2.640877917E-1,-3.697254181E0,3.426115036E1,4.066848755E1
2.741417917E-1,-3.700910568E0,3.435076141E1,4.039651489E1
2.841967917E-1,-4.045881271E0,3.422817612E1,4.059173584E1
2.942517917E-1,-3.844429016E0,3.420465088E1,4.035054016E1
3.043067917E-1,-3.809461594E0,3.405947495E1,4.002668762E1
3.143617917E-1,-3.702781677E0,3.440921402E1,4.052508545E1
3.244164583E-1,-3.944086075E0,3.419544983E1,4.046833801E1
3.344704583E-1,-3.909858704E0,3.411021423E1,4.036405945E1
3.445254583E-1,-3.784461975E0,3.419954681E1,4.026744080E1
3.545804583E-1,-3.737878799E0,3.400406647E1,4.011093140E1
3.646354583E-1,-3.638963699E0,3.414936066E1,4.041786194E1
3.746904583E-1,-3.500581741E0,3.418365097E1,4.026254272E1
3.847454583E-1,-3.582124710E0,3.410173798E1,4.022731018E1
3.947994583E-1,-3.791799545E0,3.427013016E1,4.023519897E1
4.048544583E-1,-3.601116180E0,3.424844742E1,4.041555786E1
4.149094583E-1,-3.593664169E0,3.411617279E1,3.992115784E1
4.249644583E-1,-3.575857162E0,3.426862717E1,4.001152039E1
4.350194583E-1,-3.568082809E0,3.433388138E1,3.993394470E1
4.450744583E-1,-3.716739655E0,3.444776154E1,4.031385803E1
4.551294583E-1,-3.659505844E0,3.432043839E1,4.051786804E1
4.651834583E-1,-3.694238663E0,3.448694611E1,4.052752686E1
4.752384583E-1,-3.336908340E0,3.425442886E1,4.031330872E1
4.852934583E-1,-3.219009399E0,3.423545074E1,4.051768494E1
4.953484583E-1,-3.268329620E0,3.421657944E1,4.055857849E1
5.054034583E-1,-3.569675446E0,3.414002609E1,4.030541992E1
5.154584583E-1,-3.536817551E0,3.436568069E1,4.019593811E1
5.255124583E-1,-3.535837173E0,3.437755203E1,4.059852600E1
5.355674583E-1,-3.401641846E0,3.441054535E1,4.084251404E1
5.456224583E-1,-3.353984833E0,3.437788773E1,4.073744202E1
5.556774583E-1,-3.626483917E0,3.442174149E1,4.063258362E1
5.657324583E-1,-3.889154434E0,3.408950806E1,4.076173401E1
5.757874583E-1,-3.630668640E0,3.426881027E1,4.045753479E1
5.858414583E-1,-3.515413284E0,3.422303772E1,4.031323242E1
5.958964583E-1,-3.569349289E0,3.427634811E1,4.041366577E1
6.059514583E-1,-3.491891861E0,3.434303284E1,4.022560120E1
6.160064583E-1,-3.383764267E0,3.420772552E1,4.036514282E1
6.260614583E-1,-3.524141312E0,3.428116989E1,4.045848083E1
6.361164583E-1,-3.524141312E0,3.428116989E1,4.045848083E1
6.461704583E-1,-3.520572662E0,3.411736298E1,4.036132812E1
6.562254583E-1,-3.404708862E0,3.420338440E1,4.047007751E1
6.662804583E-1,-3.489385605E0,3.405274200E1,4.025335693E1
6.763354583E-1,-3.467933655E0,3.417942429E1,4.032029724E1
6.863904583E-1,-3.257284164E0,3.412895966E1,4.044927979E1
6.964454583E-1,-3.483722687E0,3.411162949E1,4.051031494E1
7.065004583E-1,-3.869165421E0,3.413580704E1,4.037281799E1
7.165544583E-1,-3.676874161E0,3.418561172E1,4.033711243E1
7.266094583E-1,-3.626468658E0,3.434125900E1,4.018621826E1
7.366644583E-1,-3.539903641E0,3.421026611E1,4.014677429E1
7.467194583E-1,-3.621522903E0,3.426110077E1,4.005667114E1
7.567744583E-1,-3.814397812E0,3.417333984E1,4.017649841E1
7.668294583E-1,-3.962066650E0,3.407834625E1,4.017773438E1
7.768834583E-1,-3.757949829E0,3.418495560E1,4.014697266E1
7.869384583E-1,-3.902730942E0,3.425000763E1,4.018112183E1
7.969934583E-1,-3.486949921E0,3.426862335E1,3.998619080E1
8.070484583E-1,-3.824684143E0,3.417421341E1,4.020417786E1
