X,Y,Z
-84.92051696777344,-71.16752624511719,-249.6448974609375
-84.23971557617188,-71.04830932617188,-250.03956604003906
-83.65045166015625,-70.60102844238281,-250.79483032226562
-83.93055725097656,-70.29530334472656,-250.47068786621094
-83.51710510253906,-70.16110229492188,-250.7046356201172
-83.4156494140625,-69.92001342773438,-250.25396728515625
-83.068603515625,-70.08602905273438,-250.75018310546875
-83.09623718261719,-69.35650634765625,-250.88616943359375
-82.94313049316406,-69.45223999023438,-250.79261779785156
-83.08187866210938,-69.29615783691406,-251.39462280273438
-83.06382751464844,-69.45841979980469,-251.2861785888672
-82.58641052246094,-69.43693542480469,-250.76158142089844
-82.74627685546875,-69.32902526855469,-250.408203125
-82.50840759277344,-69.38397216796875,-250.81993103027344
-82.26071166992188,-69.79335021972656,-250.44949340820312
-82.40727233886719,-70.08982849121094,-249.98910522460938
-82.14117431640625,-70.16151428222656,-249.68017578125
-81.77935791015625,-70.34501647949219,-248.9652862548828
-82.04931640625,-70.32838439941406,-249.0662384033203
-82.48419189453125,-70.58094787597656,-249.29664611816406
-82.52598571777344,-70.578369140625,-248.87313842773438
-82.29928588867188,-70.46315002441406,-248.87857055664062
-81.75901794433594,-70.57080078125,-248.44920349121094
-81.85430908203125,-70.50169372558594,-248.51644897460938
-81.45011901855469,-70.62791442871094,-248.0570831298828
-81.18302917480469,-70.54005432128906,-247.67864990234375
-80.99859619140625,-70.46481323242188,-248.02713012695312
-80.81620788574219,-70.42152404785156,-248.62973022460938
-80.9759521484375,-70.39340209960938,-248.66299438476562
-81.14830017089844,-70.04080200195312,-248.7487335205078
-80.96560668945312,-69.7359619140625,-249.61474609375
-80.65290832519531,-69.60084533691406,-249.20982360839844
-80.08578491210938,-69.81877136230469,-248.63294982910156
-79.507080078125,-69.51802062988281,-248.05599975585938
-78.20024108886719,-69.75611877441406,-247.22621154785156
-77.46121215820312,-69.26617431640625,-244.68202209472656
-75.68516540527344,-69.82217407226562,-242.67083740234375
-74.84886169433594,-69.45556640625,-240.40170288085938
-73.52622985839844,-69.36280822753906,-238.15704345703125
