X,Y,Z
-46.70513916015625,-19.888748168945312,-263.60699462890625
-46.39262390136719,-19.624618530273438,-263.8177490234375
-46.31269836425781,-19.486785888671875,-263.8082275390625
-47.00111389160156,-19.60247802734375,-264.1021728515625
-47.256439208984375,-19.792831420898438,-264.2449645996094
-47.23612976074219,-19.504119873046875,-264.03900146484375
-47.298492431640625,-19.816787719726562,-264.839599609375
-47.00233459472656,-19.552322387695312,-264.32427978515625
-47.08918762207031,-19.71624755859375,-264.5059814453125
-47.673248291015625,-19.554519653320312,-265.07427978515625
-47.33723449707031,-19.471710205078125,-265.52923583984375
-47.451202392578125,-19.316635131835938,-265.8062744140625
-47.49365234375,-19.179412841796875,-266.8009338378906
-47.827911376953125,-19.03118896484375,-267.1446533203125
-47.66477966308594,-18.978546142578125,-267.2760314941406
-47.96174621582031,-18.681533813476562,-267.62322998046875
-47.952972412109375,-19.135879516601562,-267.57318115234375
-47.98408508300781,-18.583053588867188,-267.9081726074219
-47.96356201171875,-18.4251708984375,-268.298583984375
-47.37355041503906,-18.09637451171875,-268.00555419921875
-47.13224792480469,-18.079421997070312,-267.77581787109375
-47.23316955566406,-17.89129638671875,-267.78607177734375
-47.19512939453125,-17.916213989257812,-267.76092529296875
-46.899688720703125,-17.669265747070312,-268.169677734375
-47.19960021972656,-17.511795043945312,-268.7689514160156
-46.5537109375,-17.46697998046875,-267.93170166015625
-46.89961242675781,-17.304473876953125,-268.3429260253906
-46.534423828125,-17.590469360351562,-268.3955078125
-46.77391052246094,-16.937591552734375,-268.15130615234375
-46.15837097167969,-17.422805786132812,-268.1598815917969
-45.68836975097656,-16.855667114257812,-267.98968505859375
-45.9217529296875,-16.751907348632812,-267.491455078125
-45.67539978027344,-16.753662109375,-267.337646484375
-45.84991455078125,-16.362091064453125,-267.5699462890625
-45.099700927734375,-16.267440795898438,-268.1104431152344
-45.18870544433594,-15.9232177734375,-268.00360107421875
-44.78240966796875,-15.527008056640625,-269.0084228515625
