"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.241783332E-2,-9.181365967E0,-1.591276455E1,4.394598389E1
2.239183334E-2,-9.232345581E0,-1.584985256E1,4.391275024E1
3.236583332E-2,-9.137496948E0,-1.577384853E1,4.396109772E1
4.233983334E-2,-9.382217407E0,-1.572945309E1,4.376009369E1
5.231383332E-2,-9.446121216E0,-1.559126186E1,4.434520721E1
6.228783334E-2,-9.551208496E0,-1.565161610E1,4.419490051E1
7.226183332E-2,-9.552154541E0,-1.588822651E1,4.394131088E1
8.223583334E-2,-9.504943848E0,-1.572307968E1,4.412509537E1
9.221045833E-2,-9.592163086E0,-1.571301746E1,4.404933548E1
1.021834583E-1,-9.373947144E0,-1.582596111E1,4.431005096E1
1.121574583E-1,-9.158126831E0,-1.592599201E1,4.408027649E1
1.221314583E-1,-9.377532959E0,-1.602098465E1,4.428068161E1
1.321054583E-1,-9.428207397E0,-1.591058826E1,4.392857742E1
1.420794583E-1,-9.237365723E0,-1.615187073E1,4.398069000E1
1.520534583E-1,-9.159561157E0,-1.604529572E1,4.442912292E1
1.620274583E-1,-9.415039062E0,-1.606885910E1,4.420255280E1
1.720014583E-1,-9.144805908E0,-1.604598999E1,4.389447784E1
1.819754583E-1,-8.970046997E0,-1.586429310E1,4.340145111E1
1.919494583E-1,-8.979873657E0,-1.599667835E1,4.368275070E1
2.019234583E-1,-9.170837402E0,-1.592510891E1,4.409439468E1
2.118974583E-1,-9.195541382E0,-1.611841965E1,4.408934784E1
2.218704583E-1,-9.246292114E0,-1.605381012E1,4.382554626E1
2.318444583E-1,-9.322937012E0,-1.614589310E1,4.392380142E1
2.418184583E-1,-9.475173950E0,-1.613178635E1,4.402832031E1
2.517924583E-1,-9.542449951E0,-1.592608738E1,4.416048050E1
2.617664583E-1,-9.485671997E0,-1.592490673E1,4.409738159E1
2.717404583E-1,-9.483657837E0,-1.600233841E1,4.381991959E1
2.817144583E-1,-9.330032349E0,-1.593615055E1,4.394794083E1
2.916884583E-1,-9.286773682E0,-1.606202698E1,4.377192688E1
3.016624583E-1,-9.351989746E0,-1.591561031E1,4.405805969E1
3.116364583E-1,-9.172088623E0,-1.577419949E1,4.404466629E1
3.216104583E-1,-9.131210327E0,-1.588982105E1,4.406825256E1
3.315834583E-1,-9.108108521E0,-1.583202744E1,4.398274994E1
3.415574583E-1,-9.358856201E0,-1.587588978E1,4.374479675E1
3.515314583E-1,-9.109802246E0,-1.590395069E1,4.394269180E1
3.615054583E-1,-9.069610596E0,-1.589583683E1,4.417716599E1
3.714794583E-1,-9.173889160E0,-1.592482281E1,4.419476318E1
3.814534583E-1,-9.195037842E0,-1.591460323E1,4.398324585E1
3.914274583E-1,-9.080673218E0,-1.582599258E1,4.377743530E1
4.014014583E-1,-9.353698730E0,-1.579254246E1,4.362784195E1
4.113754583E-1,-9.166427612E0,-1.566166973E1,4.398143005E1
4.213494583E-1,-9.280761719E0,-1.560776424E1,4.379887009E1
