"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.134125015E-3,2.267696867E-2,6.919711947E-2,-1.939521432E-3
1.710912501E-2,-2.122159441E-2,5.933812916E-2,2.173351586E-2
2.708412500E-2,-2.411362956E-2,6.600395501E-2,-1.276154816E-2
3.705912500E-2,2.010067632E-2,6.172905564E-2,-3.065344334E-2
4.703412502E-2,9.476589260E-3,3.719296932E-2,-2.569909751E-2
5.700812500E-2,-2.767282516E-2,1.603774309E-2,-2.994242191E-2
6.698312500E-2,-2.433606586E-3,2.676212132E-2,-3.673513234E-2
7.695812502E-2,1.306034088E-2,5.147888660E-2,-2.593824863E-2
8.693312501E-2,7.694981480E-4,5.545382380E-2,-8.046353459E-3
9.690812501E-2,-2.766668558E-2,5.703257203E-2,-8.418821096E-3
1.068831250E-1,-2.092017045E-2,5.482875645E-2,-1.466072381E-2
1.168581250E-1,-7.555765214E-3,6.147821009E-2,2.769826055E-3
1.268331250E-1,-1.181050082E-2,5.320615411E-2,-2.151015222E-2
1.368081250E-1,-1.376551509E-2,4.239816070E-2,-2.692175031E-2
1.467831250E-1,-1.408915391E-2,3.203046262E-2,-1.497881234E-2
1.567581250E-1,-2.146892478E-2,1.402103841E-2,-2.639491618E-2
1.667331250E-1,-8.456531069E-3,2.038163960E-2,-5.385811865E-2
1.767081250E-1,1.021362851E-2,1.766151488E-2,-5.628120482E-2
1.866831250E-1,1.882849121E-4,1.201427400E-2,-4.457157075E-2
1.966581250E-1,-1.323546956E-2,1.855789304E-2,-4.836056650E-2
2.066331250E-1,-9.550842047E-3,3.257893145E-2,-2.551023245E-2
2.166081250E-1,-5.972638428E-3,3.787066162E-2,-1.573368788E-2
2.265831250E-1,-1.265980889E-2,4.159299910E-2,-2.323975861E-2
2.365581250E-1,-4.017358750E-2,3.628372729E-2,-1.433327973E-2
2.465331250E-1,-1.510832360E-2,4.739109814E-2,-1.819244206E-2
2.565081250E-1,-5.306348205E-3,5.821254015E-2,-5.871773958E-3
2.664831250E-1,-1.032003870E-2,5.383005202E-2,1.279955506E-3
2.764581250E-1,-2.212761363E-2,5.461357892E-2,-1.365266383E-2
2.864321250E-1,-1.208502531E-2,4.480487466E-2,-2.824555993E-2
2.964071250E-1,1.492179742E-2,4.569423616E-2,-2.839524865E-2
3.063821250E-1,-2.677147686E-3,3.307009757E-2,-3.322738767E-2
3.163571250E-1,-1.703264683E-2,2.203815579E-2,-3.512539387E-2
3.263321250E-1,-6.690968871E-3,2.582013488E-2,-4.287763238E-2
3.363071250E-1,-1.762731323E-2,3.445530295E-2,-3.619251072E-2
3.462821250E-1,-2.644724876E-2,3.771921873E-2,-3.233042479E-2
3.562571250E-1,-2.069914341E-2,3.811098218E-2,-2.595695972E-2
3.662321250E-1,-3.643114564E-3,3.655737698E-2,-3.155566871E-2
3.762071250E-1,7.870642345E-3,3.203514040E-2,-3.204917371E-2
3.861821250E-1,-5.511297681E-3,3.430619895E-2,-3.757128417E-2
3.961571250E-1,-5.279160936E-3,4.512764096E-2,-2.196623504E-2
4.061321250E-1,-9.566341736E-3,4.212217212E-2,-1.973493755E-2
4.161071250E-1,6.615245144E-3,6.435913324E-2,-2.922613800E-2
4.260821250E-1,1.190317690E-2,5.664899468E-2,-1.642365932E-2
4.360571250E-1,-1.559393486E-2,4.696015835E-2,-1.742879570E-2
4.460321250E-1,-1.193562438E-2,4.630000770E-2,-2.646508276E-2
4.560071250E-1,7.800185680E-4,4.819684446E-2,-1.139037609E-2
4.659821250E-1,-2.209399214E-2,3.696843624E-2,-2.441387951E-2
4.759571250E-1,-3.284907281E-2,2.992955804E-2,-2.172357559E-2
4.859321250E-1,-2.107511938E-2,3.028740764E-2,-3.215033054E-2
4.959071250E-1,-2.551727195E-3,3.283270061E-2,-3.349694431E-2
5.058811250E-1,-9.519851804E-3,3.347764850E-2,-4.109189272E-2
5.158561250E-1,-1.096733689E-2,6.651792526E-2,-6.614370346E-2
5.258311250E-1,-7.221608260E-3,6.270671010E-2,2.555233240E-2
5.358061250E-1,-1.764982273E-2,6.128174365E-2,1.096996129E-2
5.457811250E-1,-4.338955611E-2,5.884871721E-2,-2.123357892E-2
5.557561250E-1,-2.110255561E-3,4.302673638E-2,-2.476705134E-2
5.657311250E-1,1.165203899E-2,1.841989875E-2,-3.648545623E-2
5.757061250E-1,-3.674687245E-3,-3.028272986E-3,-6.077186644E-2
5.856811250E-1,1.284921071E-3,-4.844418168E-3,-6.200095117E-2
5.956561250E-1,-4.590071139E-3,-9.817475080E-4,-4.991768003E-2
6.056311250E-1,1.837137143E-2,3.651059926E-2,-3.355541646E-2
6.156061250E-1,-5.800730288E-3,7.063319564E-2,-1.830412388E-2
6.255811250E-1,-2.448228737E-2,7.803635538E-2,-1.315038800E-3
6.355561250E-1,-4.442860633E-2,5.188702226E-2,-7.093842030E-3
6.455311250E-1,-2.726264298E-2,2.692759752E-2,-4.776941299E-2
6.555061250E-1,8.900332453E-3,2.430395186E-2,-4.080713332E-2
6.654811250E-1,-1.213531137E-2,2.864083171E-2,-2.389640093E-2
6.754561250E-1,-2.626247674E-2,3.843199432E-2,-3.850976229E-2
6.854311250E-1,-5.823242068E-3,6.040290713E-2,-2.416420341E-2
6.954061250E-1,-3.446344337E-3,5.364586473E-2,-2.921853662E-3
7.053811250E-1,-2.086491197E-2,3.218132079E-2,-3.531718254E-2
7.153561250E-1,2.490913868E-3,3.452371538E-2,-4.959374428E-2
7.253311250E-1,1.941567957E-2,4.938382924E-2,-3.174687266E-2
7.353061250E-1,-1.968231261E-2,5.170751274E-2,-2.014716625E-2
7.452811250E-1,-3.640885770E-2,5.062870145E-2,1.075887680E-3
7.552551250E-1,-2.015564700E-2,4.957327902E-2,-1.434029639E-2
7.652301250E-1,-7.884680231E-3,4.551414192E-2,-3.097445548E-2
7.752051250E-1,-1.322610945E-2,3.057509065E-2,-3.125219822E-2
7.851801250E-1,-9.188022316E-3,1.347198486E-2,-4.356877327E-2
7.951551250E-1,9.525159979E-4,1.240135968E-2,-3.865301907E-2
8.051301250E-1,-2.119611106E-3,2.705272794E-2,-4.196488202E-2
8.151051250E-1,6.014742949E-3,4.524750888E-2,-3.964119852E-2
8.250801250E-1,6.814998365E-4,4.382312715E-2,-1.113485277E-2
8.350551250E-1,-7.972386181E-3,3.469503880E-2,-3.912255049E-2
8.450301250E-1,4.435410001E-3,3.505464256E-2,-3.323031127E-2
8.550051250E-1,9.483313558E-3,3.838170826E-2,-2.766610086E-2
8.649801250E-1,-1.999367684E-2,4.545391560E-2,-2.958223343E-2
8.749551250E-1,-2.483810186E-2,5.060472786E-2,-1.575532258E-2
8.849301250E-1,-2.541580448E-2,6.022281289E-2,-7.782644033E-3
