"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.313499995E-3,-4.319053650E1,-3.431968689E1,4.695884705E0
1.628849999E-2,-4.304724121E1,-3.449290466E1,4.612533569E0
2.626250003E-2,-4.310404968E1,-3.451217651E1,4.619644165E0
3.623750003E-2,-4.292180634E1,-3.447389603E1,4.442375183E0
4.621150001E-2,-4.286849976E1,-3.443205261E1,4.356803894E0
5.618650001E-2,-4.299534607E1,-3.439076996E1,4.319152832E0
6.616150000E-2,-4.296488190E1,-3.438142014E1,4.220466614E0
7.613549998E-2,-4.307922363E1,-3.441179276E1,4.420494080E0
8.611050004E-2,-4.312974548E1,-3.446271133E1,4.035987854E0
9.608550003E-2,-4.301371765E1,-3.441537857E1,4.477210999E0
1.060595000E-1,-4.286991882E1,-3.425482178E1,4.581718445E0
1.160345000E-1,-4.284126282E1,-3.446519470E1,4.392913818E0
1.260085000E-1,-4.289936829E1,-3.411878586E1,4.303382874E0
1.359835000E-1,-4.298498535E1,-3.438436508E1,4.418327332E0
1.459585000E-1,-4.319107819E1,-3.416833878E1,4.498580933E0
1.559325000E-1,-4.300621796E1,-3.429788589E1,4.727264404E0
1.659075000E-1,-4.302822876E1,-3.439054871E1,4.195854187E0
1.758825000E-1,-4.309137726E1,-3.423066330E1,4.366233826E0
1.858565000E-1,-4.323825836E1,-3.421773148E1,4.304954529E0
1.958315000E-1,-4.318956757E1,-3.443470764E1,4.681526184E0
2.058065000E-1,-4.304431152E1,-3.439152527E1,4.784301758E0
2.157805000E-1,-4.294484711E1,-3.443525314E1,4.702995300E0
2.257555000E-1,-4.293668365E1,-3.429138184E1,4.749595642E0
2.357295000E-1,-4.305083466E1,-3.446087265E1,4.452323914E0
2.457045000E-1,-4.307250977E1,-3.444979477E1,4.255226135E0
2.556795000E-1,-4.318093109E1,-3.433797455E1,4.626525879E0
2.656535000E-1,-4.292881012E1,-3.456396103E1,4.593193054E0
2.756285000E-1,-4.313888550E1,-3.422641754E1,4.686424255E0
2.856035000E-1,-4.301003265E1,-3.423571396E1,4.447036743E0
2.955775000E-1,-4.316315460E1,-3.432220459E1,4.465934753E0
3.055525000E-1,-4.329729462E1,-3.438450241E1,4.414131165E0
3.155275000E-1,-4.331263733E1,-3.451533508E1,4.839950562E0
3.255015000E-1,-4.320582581E1,-3.418840027E1,4.479782104E0
3.354765000E-1,-4.318167877E1,-3.419991684E1,4.373802185E0
3.454505000E-1,-4.320809174E1,-3.427890778E1,4.496009827E0
3.554255000E-1,-4.347188568E1,-3.439542007E1,4.726043701E0
3.654005000E-1,-4.332700348E1,-3.462980652E1,4.565605164E0
3.753745000E-1,-4.338801575E1,-3.444233704E1,4.766624451E0
3.853495000E-1,-4.323033142E1,-3.445086288E1,4.490722656E0
3.953245000E-1,-4.341542053E1,-3.446359253E1,4.646247864E0
4.052985000E-1,-4.353434753E1,-3.439479065E1,4.569725037E0
4.152735000E-1,-4.334931183E1,-3.479052734E1,3.948158264E0
4.252475000E-1,-4.340328217E1,-3.448381042E1,4.412521362E0
4.352225000E-1,-4.307016754E1,-3.466976547E1,4.492584229E0
4.451975000E-1,-4.323374176E1,-3.450996780E1,4.568565369E0
4.551715000E-1,-4.325093079E1,-3.433847427E1,4.425315857E0
4.651465000E-1,-4.335996246E1,-3.450310516E1,4.395439148E0
4.751215000E-1,-4.329892731E1,-3.425695419E1,4.833137512E0
4.850955000E-1,-4.323138428E1,-3.443325043E1,4.599861145E0
4.950705000E-1,-4.324195099E1,-3.435340500E1,4.596054077E0
5.050455000E-1,-4.320433044E1,-3.404075241E1,4.658248901E0
5.150195000E-1,-4.337867737E1,-3.442936325E1,4.098999023E0
5.249945000E-1,-4.350878143E1,-3.415784073E1,4.269668579E0
5.349685000E-1,-4.349185944E1,-3.417579651E1,4.018058777E0
5.449435000E-1,-4.345000458E1,-3.430284882E1,4.164169312E0
5.549185000E-1,-4.351248169E1,-3.402427673E1,4.463119507E0
5.648925000E-1,-4.330326843E1,-3.426121902E1,4.442474365E0
5.748675000E-1,-4.330184174E1,-3.439190292E1,4.719993591E0
5.848425000E-1,-4.319721985E1,-3.431912994E1,4.429901123E0
5.948165000E-1,-4.316128540E1,-3.433542252E1,4.097991943E0
6.047915000E-1,-4.310873413E1,-3.441022873E1,4.143112183E0
6.147665000E-1,-4.335913849E1,-3.452687073E1,3.784690857E0
6.247405000E-1,-4.339064789E1,-3.424820709E1,4.133522034E0
6.347155000E-1,-4.353262329E1,-3.407792282E1,4.256446838E0
6.446895000E-1,-4.351409149E1,-3.413069534E1,4.227684021E0
6.546645000E-1,-4.360884857E1,-3.411301041E1,4.413635254E0
6.646395000E-1,-4.342757416E1,-3.431171036E1,4.423751831E0
6.746135000E-1,-4.312094879E1,-3.421796036E1,4.344543457E0
6.845885000E-1,-4.311169434E1,-3.426511383E1,4.698333740E0
6.945635000E-1,-4.324650574E1,-3.426957321E1,4.381645203E0
7.045375000E-1,-4.329985046E1,-3.452533722E1,4.645713806E0
7.145125000E-1,-4.319129944E1,-3.459546661E1,4.066940308E0
7.244875000E-1,-4.323223114E1,-3.451691055E1,4.744522095E0
7.344615000E-1,-4.324233246E1,-3.444695663E1,4.635543823E0
7.444365000E-1,-4.336572266E1,-3.427007675E1,4.545921326E0
7.544105000E-1,-4.326182556E1,-3.440013123E1,4.432479858E0
7.643855000E-1,-4.324388123E1,-3.453399277E1,4.047355652E0
7.743605000E-1,-4.334017944E1,-3.456553268E1,4.856834412E0
7.843345000E-1,-4.323787689E1,-3.440442657E1,5.076713562E0
7.943095000E-1,-4.324318695E1,-3.460123825E1,4.827209473E0
8.042845000E-1,-4.299392700E1,-3.456589508E1,4.803497314E0
8.142585000E-1,-4.295217133E1,-3.451980209E1,4.205863953E0
8.242335000E-1,-4.303137970E1,-3.444565201E1,4.452972412E0
8.342086667E-1,-4.322741699E1,-3.454691696E1,4.520370483E0
