"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.541250136E-4,-2.561772766E0,9.137747955E0,2.549797668E0
1.085212501E-2,-2.808908844E0,9.262738037E0,2.582429810E0
2.085012500E-2,-2.884801025E0,9.476643219E0,2.378104706E0
3.084812500E-2,-2.721490631E0,9.652826843E0,2.326462097E0
4.084612499E-2,-2.515668640E0,9.850715332E0,2.341131592E0
5.084412498E-2,-2.434986420E0,9.833351440E0,2.415826263E0
6.084212498E-2,-2.439926147E0,9.594448242E0,2.516267395E0
7.084012497E-2,-2.296224976E0,9.452543335E0,2.559377747E0
8.083812497E-2,-2.086211700E0,9.265133057E0,2.617307281E0
9.083612496E-2,-1.994901581E0,9.101972351E0,2.760709076E0
1.008351250E-1,-1.911974030E0,9.233698425E0,2.906356201E0
1.108331250E-1,-1.806593170E0,9.432335358E0,3.246299286E0
1.208311250E-1,-1.754052429E0,9.697733459E0,3.729344788E0
1.308291251E-1,-1.744771729E0,9.860744476E0,4.258943481E0
1.408271251E-1,-1.691482544E0,1.006267456E1,4.559967499E0
1.508251250E-1,-1.672172699E0,1.018571869E1,4.693639526E0
1.608231250E-1,-1.746268616E0,9.906698914E0,4.685556335E0
1.708211250E-1,-1.816622314E0,9.411678314E0,4.216731262E0
1.808191250E-1,-1.803150330E0,8.885223083E0,3.522474976E0
1.908171250E-1,-1.879940643E0,8.655450897E0,3.084485779E0
2.008151250E-1,-2.038161621E0,8.708740082E0,2.959346008E0
2.108131250E-1,-2.159559174E0,9.009015656E0,3.150648193E0
2.208111250E-1,-2.266736298E0,9.357191620E0,3.659889221E0
2.308091250E-1,-2.140548706E0,9.657317505E0,3.789220276E0
2.408071250E-1,-2.019600220E0,9.636959839E0,3.651057587E0
2.508051250E-1,-1.922302551E0,9.176667023E0,3.545527039E0
2.608031250E-1,-1.629212036E0,8.753497009E0,3.230881348E0
2.708011250E-1,-1.205592957E0,8.679550781E0,2.739752655E0
2.807991250E-1,-9.834548950E-1,8.751101990E0,2.407892761E0
2.907971250E-1,-1.141226807E0,8.789422302E0,2.133812714E0
3.007951250E-1,-1.530118103E0,8.898695068E0,2.079924774E0
3.107931250E-1,-1.901795197E0,9.054371338E0,2.212848358E0
3.207911249E-1,-2.212249603E0,9.027427368E0,2.280208282E0
3.307891251E-1,-2.190095673E0,8.811576233E0,2.115251312E0
3.407871251E-1,-1.966011658E0,8.443192291E0,1.784888306E0
3.507851250E-1,-1.852397919E0,8.134833527E0,1.378633118E0
3.607831250E-1,-1.922152863E0,7.904612274E0,9.464817810E-1
3.707821250E-1,-2.291285248E0,7.630083160E0,5.306465149E-1
3.807801250E-1,-2.712808685E0,7.536378021E0,-1.190025330E-1
3.907781250E-1,-3.207380219E0,7.526947632E0,-9.804611206E-1
4.007761250E-1,-3.856280823E0,7.426057434E0,-1.990710297E0
4.107741250E-1,-4.349056091E0,7.289541321E0,-2.862647095E0
4.207721250E-1,-4.524640961E0,7.173981628E0,-3.347039795E0
4.307701250E-1,-4.675377502E0,7.101232910E0,-3.497776337E0
4.407681250E-1,-4.853058014E0,7.045997772E0,-3.332070923E0
4.507661250E-1,-5.125491486E0,7.046895905E0,-2.904709625E0
4.607641250E-1,-5.379812622E0,7.069498901E0,-2.395169220E0
4.707621250E-1,-5.640570374E0,7.115902405E0,-1.933978271E0
4.807601250E-1,-5.817652130E0,7.203021240E0,-1.463057556E0
4.907581250E-1,-5.955216064E0,7.357050934E0,-9.773176575E-1
5.007561250E-1,-6.054908752E0,7.524402924E0,-5.405259705E-1
5.107541250E-1,-6.293362885E0,7.518115997E0,-3.827540588E-1
5.207521250E-1,-6.543941803E0,7.401059418E0,-4.580474854E-1
5.307501249E-1,-6.565646667E0,7.346722412E0,-5.421725464E-1
5.407481251E-1,-6.457870789E0,7.406298523E0,-5.719606018E-1
5.507461251E-1,-6.577921143E0,7.514673157E0,-5.777984619E-1
5.607441250E-1,-6.648274841E0,7.771239624E0,-5.050497437E-1
5.707421250E-1,-6.868766327E0,7.930807800E0,-4.809498596E-1
5.807401250E-1,-7.243287506E0,8.072113953E0,-1.101708984E-1
5.907381250E-1,-7.436086578E0,8.114326172E0,1.258582764E0
6.007361250E-1,-7.691455536E0,8.028853912E0,1.837279358E0
6.107341250E-1,-8.098159790E0,7.847281494E0,1.023421783E0
6.207331250E-1,-8.168064423E0,7.660919037E0,-4.565505981E-2
6.307311250E-1,-7.865543518E0,7.570207672E0,-7.705975342E-1
6.407291250E-1,-7.726482697E0,7.631580048E0,-1.253942413E0
6.507271250E-1,-7.908803558E0,7.676336975E0,-1.654359741E0
6.607251250E-1,-7.872429199E0,7.796087952E0,-1.825753326E0
6.707231250E-1,-7.392527161E0,8.042774963E0,-1.813029785E0
6.807211250E-1,-6.841073914E0,8.429720306E0,-1.554217987E0
6.907191250E-1,-6.788383484E0,8.544531555E0,-1.377884674E0
7.007171250E-1,-7.203021240E0,8.216713257E0,-1.553020477E0
7.107151250E-1,-7.589517517E0,8.191415863E0,-2.373015289E0
7.207131250E-1,-7.110214233E0,8.819210358E0,-2.711311798E0
7.307111250E-1,-6.647825775E0,8.825796661E0,-2.423011322E0
7.407091249E-1,-6.446793823E0,8.230334930E0,-2.027533722E0
7.507071251E-1,-6.204148407E0,7.597001953E0,-1.772464142E0
7.607051251E-1,-5.788313141E0,7.487429810E0,-1.660796356E0
7.707031250E-1,-5.093158722E0,7.661966858E0,-1.735940094E0
7.807011250E-1,-4.583318939E0,7.905061340E0,-1.786834259E0
7.906991250E-1,-4.182003479E0,7.902217255E0,-1.911524963E0
8.006971250E-1,-3.713777161E0,7.655530243E0,-2.220332794E0
8.106951250E-1,-3.403472443E0,7.606731720E0,-2.510579224E0
8.206931250E-1,-3.280578003E0,7.253166962E0,-2.976260834E0
8.306911250E-1,-3.102149048E0,6.915020142E0,-3.547323303E0
8.406891250E-1,-2.755020905E0,6.691534882E0,-4.393813019E0
8.506871250E-1,-2.324665833E0,6.682104492E0,-5.322332153E0
8.606851250E-1,-2.062111816E0,6.900650024E0,-5.961502991E0
8.706831250E-1,-1.960772552E0,6.620133362E0,-6.272705841E0
8.806811250E-1,-1.826950836E0,6.315965881E0,-6.447841644E0
8.906801250E-1,-1.516795807E0,6.351442108E0,-6.429429932E0
9.006781250E-1,-9.566606140E-1,6.407874756E0,-6.202651520E0
9.106761250E-1,-1.255738678E0,6.080804901E0,-5.991440735E0
9.206741250E-1,-2.185455322E0,5.682183838E0,-6.355034637E0
9.306721250E-1,-2.872227173E0,5.647306366E0,-6.938371582E0
9.406700000E-1,-3.024759979E0,5.680686951E0,-7.702233124E0
9.506680000E-1,-3.129392395E0,5.662873993E0,-8.426277466E0
9.606660000E-1,-3.213966522E0,5.451064453E0,-8.930578766E0
9.706640000E-1,-3.262166290E0,5.470523987E0,-9.172775116E0
9.806620000E-1,-3.381617889E0,5.564827881E0,-9.270222473E0
9.906600000E-1,-3.282973022E0,5.647456055E0,-9.132808228E0
1.000658000E0,-3.038830719E0,5.761069794E0,-8.503666534E0
1.010656000E0,-2.750979309E0,5.760321350E0,-7.862100677E0
1.020654000E0,-2.583477631E0,5.823340302E0,-7.450157318E0
1.030652000E0,-2.326462097E0,5.786666565E0,-7.124284973E0
1.040650000E0,-2.116897888E0,5.704038391E0,-7.184310150E0
1.050648000E0,-1.947001190E0,5.828130341E0,-7.540269928E0
1.060646000E0,-1.957180023E0,5.857020264E0,-7.771089935E0
1.070644000E0,-2.003583527E0,5.798641663E0,-7.850574646E0
1.080642000E0,-2.072739716E0,5.890849915E0,-7.785460052E0
1.090640000E0,-2.167193298E0,5.865702209E0,-7.629933472E0
1.100638000E0,-2.115700378E0,5.731281738E0,-7.613767090E0
1.110636000E0,-2.037413177E0,5.667664032E0,-7.573949890E0
1.120634000E0,-1.990261230E0,5.639372864E0,-7.413633270E0
1.130632000E0,-1.930984497E0,5.643115082E0,-7.294481049E0
1.140630000E0,-1.413360901E0,5.174439697E0,-7.181316376E0
1.150629000E0,-1.137634277E0,4.892575836E0,-7.522906036E0
1.160627000E0,-1.278491364E0,5.236859894E0,-8.211623840E0
1.170625000E0,-1.295705566E0,5.215304718E0,-8.576265564E0
1.180623000E0,-1.480271759E0,4.986730042E0,-8.806037750E0
1.190621000E0,-1.581760712E0,4.841232605E0,-8.810528412E0
1.200619000E0,-1.406175842E0,4.824018402E0,-8.771759033E0
1.210617000E0,-1.401385803E0,4.723128204E0,-8.658744049E0
1.220615000E0,-1.776805115E0,4.596641235E0,-8.568332062E0
