"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.116208326E-3,-1.095454407E1,1.216484833E2,-2.282136383E2
1.918320834E-2,-1.105419922E1,1.216204529E2,-2.276423492E2
2.925020833E-2,-1.107896423E1,1.214917755E2,-2.280394592E2
3.931620833E-2,-1.112652588E1,1.216281128E2,-2.276139069E2
4.938220834E-2,-1.114147949E1,1.214329681E2,-2.277031708E2
5.944820833E-2,-1.138429260E1,1.213775787E2,-2.277548523E2
6.951320833E-2,-1.134017944E1,1.217122498E2,-2.282195587E2
7.957920834E-2,-1.100009155E1,1.217281342E2,-2.276940918E2
8.964520833E-2,-1.096537781E1,1.217284851E2,-2.280222931E2
9.971220834E-2,-1.107366943E1,1.217960815E2,-2.279988556E2
1.097782083E-1,-1.126091003E1,1.215106964E2,-2.274629517E2
1.198452083E-1,-1.112464905E1,1.215224762E2,-2.284052582E2
1.299112083E-1,-1.126811218E1,1.216409760E2,-2.273511200E2
1.399782083E-1,-1.130509949E1,1.215657806E2,-2.272044220E2
1.500442083E-1,-1.096731567E1,1.216104889E2,-2.277271881E2
1.601112083E-1,-1.123484802E1,1.213108368E2,-2.273416748E2
1.701772083E-1,-1.092263794E1,1.214620056E2,-2.272102051E2
1.802442083E-1,-1.082124329E1,1.213253784E2,-2.277648468E2
1.903102083E-1,-1.098501587E1,1.214745483E2,-2.276037292E2
2.003762083E-1,-1.089820862E1,1.217155762E2,-2.277016449E2
2.104412083E-1,-1.083413696E1,1.219856720E2,-2.276163177E2
2.205072083E-1,-1.104866028E1,1.218376923E2,-2.275127563E2
2.305732083E-1,-1.085295105E1,1.219221954E2,-2.270156250E2
2.406392083E-1,-1.131367493E1,1.216755524E2,-2.276979065E2
2.507062083E-1,-1.095854187E1,1.218583984E2,-2.277099762E2
2.607732083E-1,-1.082939148E1,1.219118652E2,-2.277459412E2
2.708392083E-1,-1.091886902E1,1.217307129E2,-2.282210999E2
2.809052083E-1,-1.079351807E1,1.215112000E2,-2.279333344E2
2.909712083E-1,-1.059866333E1,1.222735596E2,-2.278547211E2
3.010372083E-1,-1.091549683E1,1.219031067E2,-2.278973541E2
3.111032083E-1,-1.085203552E1,1.217709656E2,-2.280998688E2
3.211702083E-1,-1.076405334E1,1.217021790E2,-2.276093140E2
3.312362083E-1,-1.089889526E1,1.217639465E2,-2.277122040E2
3.413032083E-1,-1.111094666E1,1.217409515E2,-2.277084351E2
3.513702083E-1,-1.083598328E1,1.215562592E2,-2.278542328E2
3.614362083E-1,-1.113714600E1,1.219490662E2,-2.278874512E2
3.715042083E-1,-1.121878052E1,1.219941864E2,-2.276934509E2
3.815702083E-1,-1.126937866E1,1.216850433E2,-2.276747589E2
3.916372083E-1,-1.103330994E1,1.217146759E2,-2.277691956E2
4.017032083E-1,-1.100531006E1,1.216257629E2,-2.281589813E2
4.117692083E-1,-1.105494690E1,1.217199554E2,-2.274173889E2
4.218372083E-1,-1.096954346E1,1.220826416E2,-2.275970764E2
4.319042083E-1,-1.098321533E1,1.216242676E2,-2.276966858E2
4.419712083E-1,-1.096006775E1,1.216127014E2,-2.280820923E2
4.520372083E-1,-1.094544983E1,1.216915894E2,-2.275837402E2
4.621032083E-1,-1.085110474E1,1.217649536E2,-2.276549377E2
4.721692083E-1,-1.086238098E1,1.217952728E2,-2.274493713E2
4.822352083E-1,-1.083941650E1,1.217584534E2,-2.278915710E2
4.923012083E-1,-1.079939270E1,1.215932007E2,-2.274454041E2
5.023682083E-1,-1.096191406E1,1.220628357E2,-2.277166595E2
5.124352083E-1,-1.077215576E1,1.219736786E2,-2.271690216E2
5.225022083E-1,-1.093023682E1,1.220161743E2,-2.277508698E2
5.325692083E-1,-1.104162598E1,1.219305878E2,-2.279534454E2
5.426362083E-1,-1.079365540E1,1.219817047E2,-2.275014954E2
5.527032083E-1,-1.106594849E1,1.216370239E2,-2.278648682E2
5.627692083E-1,-1.090895081E1,1.217230835E2,-2.273748932E2
5.728362083E-1,-1.107214355E1,1.217339783E2,-2.278689270E2
5.829042083E-1,-1.085688782E1,1.218928833E2,-2.274499969E2
5.929702083E-1,-1.110127258E1,1.217216797E2,-2.273531647E2
6.030372083E-1,-1.096656799E1,1.217283478E2,-2.275216370E2
6.131052083E-1,-1.125926208E1,1.216972046E2,-2.274298401E2
6.231722083E-1,-1.087007141E1,1.214713745E2,-2.276195374E2
6.332392083E-1,-1.075692749E1,1.215328217E2,-2.276945190E2
6.433072083E-1,-1.104553223E1,1.215431061E2,-2.283818817E2
6.533742083E-1,-1.118757629E1,1.214720764E2,-2.278200531E2
6.634412083E-1,-1.058647156E1,1.217278595E2,-2.277571564E2
6.735082083E-1,-1.095671082E1,1.215528412E2,-2.274974976E2
6.835752083E-1,-1.093601990E1,1.215457153E2,-2.280465088E2
6.936442083E-1,-1.084822083E1,1.216819153E2,-2.279042664E2
7.037112083E-1,-1.075819397E1,1.218517761E2,-2.276627502E2
7.137792083E-1,-1.050965881E1,1.218260803E2,-2.279547272E2
7.238462083E-1,-1.079895020E1,1.215792694E2,-2.282075958E2
7.339132083E-1,-1.095285034E1,1.218114624E2,-2.275033417E2
7.439812083E-1,-1.077989197E1,1.216170044E2,-2.277614288E2
7.540482083E-1,-1.079747009E1,1.218138885E2,-2.279686432E2
7.641142083E-1,-1.087403870E1,1.218111877E2,-2.277311249E2
7.741802083E-1,-1.068032837E1,1.219911652E2,-2.276490173E2
7.842462083E-1,-1.059149170E1,1.218727722E2,-2.278009644E2
7.943132083E-1,-1.054867554E1,1.215551453E2,-2.270639038E2
8.043792083E-1,-1.075509644E1,1.217222748E2,-2.275075836E2
8.144462083E-1,-1.044418335E1,1.219632263E2,-2.278764038E2
8.245132083E-1,-1.090101624E1,1.216405945E2,-2.276543579E2
8.345792083E-1,-1.084020996E1,1.218786163E2,-2.275095215E2
8.446462083E-1,-1.089356995E1,1.216990509E2,-2.277612762E2
8.547132083E-1,-1.079605103E1,1.218598938E2,-2.275084991E2
8.647792083E-1,-1.074575806E1,1.216852875E2,-2.279246674E2
8.748442083E-1,-1.076403809E1,1.215652313E2,-2.278511658E2
8.849102083E-1,-1.053950500E1,1.214973450E2,-2.274768524E2
8.949762083E-1,-1.106887817E1,1.217280273E2,-2.274263458E2
9.050422083E-1,-1.086087036E1,1.213588104E2,-2.276430511E2
9.151072083E-1,-1.066462708E1,1.216578979E2,-2.278306732E2
9.251742083E-1,-1.088786316E1,1.216215363E2,-2.275831909E2
9.352412083E-1,-1.087513733E1,1.219589996E2,-2.276117554E2
9.453092083E-1,-1.095973206E1,1.216937256E2,-2.278534546E2
9.553762083E-1,-1.115071106E1,1.214536743E2,-2.273717651E2
9.654432083E-1,-1.090701294E1,1.217334900E2,-2.278503113E2
9.755102083E-1,-1.118417358E1,1.217546844E2,-2.279220581E2
9.855772083E-1,-1.097291565E1,1.215950012E2,-2.280369110E2
9.956462083E-1,-1.085118103E1,1.217518921E2,-2.277984772E2
1.005715208E0,-1.099536133E1,1.216192780E2,-2.277207642E2
1.015783208E0,-1.071600342E1,1.218122864E2,-2.277338715E2
1.025851208E0,-1.082408142E1,1.218046265E2,-2.277051849E2
1.035919208E0,-1.095805359E1,1.218923492E2,-2.278527527E2
1.045987208E0,-1.059349060E1,1.217561188E2,-2.274045105E2
1.056054208E0,-1.084642029E1,1.218138275E2,-2.277356415E2
1.066122208E0,-1.077947998E1,1.219195251E2,-2.277403564E2
1.076190708E0,-1.052850342E1,1.217225647E2,-2.275273895E2
