"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.771666623E-4,1.586700439E-2,1.469943237E-1,-9.786049805E0
1.033216667E-2,8.532257080E-3,1.794767761E-1,-9.783355408E0
2.038616667E-2,-1.901046753E-2,2.269281006E-1,-9.791288910E0
3.044116666E-2,-4.595443726E-2,2.525248718E-1,-9.785151672E0
4.049616666E-2,-6.481521606E-2,2.432441711E-1,-9.855954437E0
5.055016666E-2,7.544311523E-2,7.559280396E-2,-9.718989258E0
6.060516667E-2,1.049317932E-1,7.783813477E-2,-9.690847778E0
7.066016666E-2,7.200027466E-2,1.266366577E-1,-9.914333038E0
8.071416666E-2,1.242416382E-2,2.022294617E-1,-9.764045563E0
9.076916667E-2,-7.469467163E-2,2.472857666E-1,-9.716294861E0
1.008241667E-1,-9.699829102E-2,2.990780640E-1,-9.918374634E0
1.108781667E-1,-9.849517822E-2,2.971321106E-1,-9.726623383E0
1.209331667E-1,-1.089733887E-1,2.562670898E-1,-9.759854279E0
1.309881667E-1,-7.679031372E-2,2.576142883E-1,-9.854607239E0
1.410421667E-1,-3.966751099E-2,2.100132751E-1,-9.748627625E0
1.510971667E-1,-1.242416382E-2,1.595681763E-1,-9.772877197E0
1.611521667E-1,1.167572021E-2,1.715432739E-1,-9.821226654E0
1.712061667E-1,2.664459229E-2,1.694476318E-1,-9.767638092E0
1.812611667E-1,1.227447510E-2,1.582209778E-1,-9.770332489E0
1.913161667E-1,2.110610962E-2,1.661544800E-1,-9.803413696E0
2.013701667E-1,1.077758789E-2,1.419049072E-1,-9.775272217E0
2.114251667E-1,-2.619552612E-2,1.600172424E-1,-9.789342957E0
2.214801667E-1,-3.472778320E-2,1.960922241E-1,-9.791887665E0
2.315341667E-1,-5.418731689E-2,2.371069336E-1,-9.790390778E0
2.415891667E-1,-7.619155884E-2,2.689906311E-1,-9.785750427E0
2.516441667E-1,-6.541397095E-2,2.793191528E-1,-9.777068481E0
2.616981667E-1,-5.733078003E-2,2.540217590E-1,-9.780810699E0
2.717531667E-1,-2.978805542E-2,2.191442871E-1,-9.783505096E0
2.818081667E-1,-3.742218018E-3,1.737886047E-1,-9.761500854E0
2.918621667E-1,2.769241333E-2,1.194515991E-1,-9.819729767E0
3.019171667E-1,7.140151978E-2,7.065307617E-2,-9.776769104E0
3.119721667E-1,9.565109253E-2,4.086502075E-2,-9.741741943E0
3.220261667E-1,7.783813477E-2,6.331832886E-2,-9.835147705E0
3.320811667E-1,2.709365845E-2,1.336720276E-1,-9.783654785E0
3.421361667E-1,-3.098556519E-2,2.293231201E-1,-9.770332489E0
3.521901667E-1,-9.774673462E-2,3.240760803E-1,-9.806706848E0
3.622451667E-1,-1.249900818E-1,3.800596619E-1,-9.798773346E0
3.723001667E-1,-1.339714050E-1,3.749702454E-1,-9.779912567E0
3.823541667E-1,-1.155596924E-1,3.311114502E-1,-9.799072723E0
3.924091667E-1,-7.918533325E-2,2.535726929E-1,-9.787397003E0
4.024641667E-1,-2.095642090E-2,1.586700439E-1,-9.768087158E0
4.125181667E-1,1.691482544E-2,9.969268799E-2,-9.809700623E0
4.225731667E-1,-2.439926147E-2,1.049317932E-1,-9.785750427E0
4.326281667E-1,-2.245330811E-2,9.280700684E-2,-9.766889648E0
4.426821667E-1,-2.215393066E-2,1.100212097E-1,-9.821675720E0
4.527371667E-1,-2.200424194E-2,1.582209778E-1,-9.787097626E0
4.627921667E-1,-2.200424194E-2,2.079176331E-1,-9.749974823E0
4.728461667E-1,-2.215393066E-2,2.616558838E-1,-9.828112335E0
4.829011667E-1,-1.302291870E-2,2.854563904E-1,-9.768985291E0
4.929561667E-1,-1.975891113E-2,3.106040955E-1,-9.764344940E0
5.030101667E-1,-3.367996216E-2,3.059637451E-1,-9.822723541E0
5.130651667E-1,-6.092330933E-2,2.796185303E-1,-9.743388519E0
5.231201667E-1,-7.125183105E-2,2.155517578E-1,-9.764494629E0
5.331741667E-1,-7.514373779E-2,1.643582153E-1,-9.841434631E0
5.432291667E-1,-5.044509888E-2,1.155596924E-1,-9.744136963E0
5.532841667E-1,-1.407073975E-2,8.202941895E-2,-9.778116302E0
5.633381667E-1,3.757186890E-2,9.041198730E-2,-9.834698639E0
5.733931667E-1,7.499404907E-2,1.190025330E-1,-9.751471710E0
5.834481667E-1,8.247848511E-2,1.694476318E-1,-9.786648560E0
5.935021667E-1,6.451583862E-2,2.453398132E-1,-9.816885681E0
6.035571667E-1,2.170486450E-2,2.821632385E-1,-9.764644318E0
6.136111667E-1,-5.194198608E-2,2.974314880E-1,-9.787696381E0
6.236661667E-1,-1.029858398E-1,2.909948730E-1,-9.807006226E0
6.337211667E-1,-1.378633118E-1,2.574645996E-1,-9.786349182E0
