"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.417537505E-2,5.576004041E-4,4.737840500E-4,-7.240832783E-4
2.423037501E-2,-2.997719450E-3,-3.352842468E-4,-4.821889102E-3
3.428437503E-2,-1.974672079E-3,-1.824987703E-3,-5.508868955E-3
4.433837504E-2,-3.167768242E-3,-3.201043233E-3,-3.130133264E-3
5.439237499E-2,-3.670303850E-3,-3.358846065E-3,1.009602100E-3
6.444637501E-2,1.861081691E-3,3.683350515E-3,3.757451195E-3
7.450137503E-2,4.813645501E-4,3.414967097E-3,5.984860472E-3
8.455537504E-2,-3.546133870E-3,-4.477044567E-3,5.809358321E-3
9.460937500E-2,-2.286503790E-3,-2.405218314E-3,5.532246549E-3
1.046633750E-1,1.229135203E-3,2.526157070E-3,7.018051110E-4
1.147183750E-1,9.437216795E-4,2.512441715E-3,-7.655736990E-4
1.247723750E-1,-8.496510563E-4,5.385067780E-4,-3.785331734E-3
1.348263750E-1,-9.407160687E-4,-4.144739360E-3,-5.007863976E-3
1.448803750E-1,-7.284620660E-4,-4.319975153E-3,-2.830729820E-3
1.549353750E-1,-1.691453625E-3,1.022202661E-3,-1.636791509E-3
1.649893750E-1,-8.965000161E-4,4.496229813E-4,-3.038793802E-4
1.750433750E-1,-7.411953411E-4,-8.076715749E-4,1.246367581E-3
1.850973750E-1,-9.672977612E-4,-8.225852507E-4,3.448002972E-3
1.951513750E-1,1.780487946E-3,8.507072926E-5,3.100906964E-3
2.052063750E-1,-9.862701409E-4,-4.773888504E-4,2.428724896E-3
2.152603750E-1,5.459337845E-4,-3.746547736E-3,-3.386697033E-3
2.253143750E-1,-2.502053976E-3,-4.355079960E-3,-1.803980675E-3
2.353683750E-1,2.738028415E-4,-5.323480582E-4,-2.267799806E-3
2.454233750E-1,4.229398619E-4,-6.905398332E-4,-2.283246256E-3
2.554773750E-1,1.100499649E-4,-1.045214245E-3,4.687425680E-4
2.655313750E-1,2.146302955E-3,6.112720002E-4,5.233371630E-4
2.755853750E-1,1.785509405E-3,2.949962392E-3,3.616229165E-3
2.856403750E-1,1.484572189E-3,2.643166110E-3,7.629180327E-4
2.956943750E-1,6.342405686E-4,2.545958851E-3,-1.439944841E-3
3.057483750E-1,1.199097140E-3,-6.056260318E-4,-3.628264414E-3
3.158023750E-1,-9.591049748E-4,-1.826195745E-3,-4.414778203E-3
3.258563750E-1,-1.489074086E-3,-1.689841971E-3,-3.744726535E-3
3.359113750E-1,-5.671546678E-4,-9.394486435E-3,-5.643153563E-4
3.459653750E-1,3.678811772E-4,2.984418999E-3,-4.167761654E-4
3.560193750E-1,-1.050301653E-4,4.775789101E-3,2.577661071E-3
3.660733750E-1,1.690164953E-2,2.899058163E-2,5.909428000E-4
3.761283750E-1,3.199165687E-2,6.414379179E-2,-5.077022128E-3
3.861823750E-1,6.872863322E-2,1.368267983E-1,-7.260812819E-2
3.962363750E-1,1.070007086E-1,2.107384950E-1,-2.139281332E-1
4.062903750E-1,7.288561016E-2,1.337342560E-1,-4.110499918E-1
4.163453750E-1,1.034587100E-1,1.859439760E-1,-4.725806713E-1
4.263993750E-1,7.349628210E-2,1.339297742E-1,-3.125201464E-1
4.364533750E-1,4.600921273E-2,8.041519672E-2,-1.571615785E-1
4.465073750E-1,3.337198123E-2,5.858420581E-2,-7.645396143E-2
4.565613750E-1,1.320893294E-3,4.401073791E-3,-3.166876733E-2
4.666163750E-1,8.977169637E-4,-1.755685662E-4,3.981100768E-2
4.766703750E-1,-1.909061219E-3,1.348013524E-3,7.093989849E-2
4.867243750E-1,-1.098394976E-3,1.916864654E-3,4.290080816E-2
4.967783750E-1,1.506798551E-3,-1.220528386E-3,1.653350331E-2
5.068338750E-1,-3.030695254E-3,-6.795323454E-3,3.713045735E-3
5.168878750E-1,-7.336129248E-2,-1.295408607E-1,-6.672526896E-2
5.269418750E-1,-1.410474032E-1,-2.682846189E-1,2.781747840E-2
5.369958750E-1,-9.863237292E-2,-1.864273697E-1,3.250858486E-1
5.470508750E-1,-1.868907921E-2,-4.282812774E-2,5.610410571E-1
5.571048750E-1,-6.603951007E-2,-1.369749606E-1,6.417882442E-1
5.671588750E-1,-7.492514700E-2,-1.547603458E-1,5.757231712E-1
5.772128750E-1,-5.340553075E-2,-1.093062907E-1,5.546933413E-1
5.872668750E-1,-5.533792078E-2,-1.184867397E-1,6.146338582E-1
5.973218750E-1,-1.676943898E-2,-4.692633823E-2,6.867494583E-1
6.073758750E-1,1.794514101E-4,3.857746255E-3,7.041121721E-1
6.174298750E-1,-4.162750393E-2,1.771300137E-1,6.089182496E-1
6.274838750E-1,-1.156324893E-1,3.518157899E-1,4.436510205E-1
6.375388750E-1,-1.720703542E-1,3.317436874E-1,3.002272546E-1
6.475928750E-1,-1.801956594E-1,2.130783051E-1,2.571194470E-1
6.576468750E-1,-1.548514217E-1,1.344596595E-1,3.069112599E-1
6.677008750E-1,-3.512235731E-2,1.586451530E-1,3.619822264E-1
6.777558750E-1,-9.358918667E-2,5.330999568E-2,3.872339129E-1
6.878098750E-1,-1.386799663E-1,-1.588718779E-2,3.940566480E-1
6.978638750E-1,-1.513294876E-1,-4.676986486E-2,3.931663930E-1
7.079178750E-1,-1.626069099E-1,-9.847007692E-2,4.464900494E-1
7.179728750E-1,-1.692620516E-1,-4.918636382E-2,5.216208100E-1
7.280268750E-1,-1.749428511E-1,-5.574169569E-3,5.484668016E-1
7.380808750E-1,-1.700429469E-1,5.884405971E-2,5.394580960E-1
7.481348750E-1,-1.784742475E-1,1.280851811E-1,5.456643701E-1
7.581888750E-1,-2.078571171E-1,3.067629635E-1,4.642667472E-1
7.682438750E-1,-2.547918856E-1,6.949943304E-1,3.349404633E-1
7.782978750E-1,-3.204264939E-1,1.174167991E0,2.350269258E-1
7.883518750E-1,-3.813588321E-1,1.773214817E0,2.197174728E-1
7.984058750E-1,-4.273256958E-1,2.323523998E0,2.731630504E-1
8.084608750E-1,-5.009386539E-1,2.721099377E0,2.247702181E-1
8.185148750E-1,-5.133485794E-1,3.125043392E0,1.069561392E-1
8.285688750E-1,-4.143543541E-1,3.494729280E0,3.928557970E-3
8.386228750E-1,-1.679996699E-1,3.857027292E0,1.701027621E-3
8.486768750E-1,1.910974979E-1,4.095360279E0,-5.656753667E-3
8.587318750E-1,4.773681462E-1,4.264822006E0,-8.839447051E-2
8.687858750E-1,7.810066342E-1,4.601060867E0,-5.770659819E-2
8.788398750E-1,1.105181813E0,4.733706474E0,6.826174259E-2
8.888938750E-1,1.317391992E0,4.897219181E0,7.582645118E-2
8.989488750E-1,1.384572983E0,4.920946121E0,1.354517043E-2
9.090028750E-1,1.341967106E0,5.017264366E0,-6.976170838E-2
9.190568750E-1,1.293966889E0,5.038446903E0,-2.001279145E-1
9.291108750E-1,1.315628529E0,5.047362804E0,-2.214566320E-1
9.391658750E-1,1.419663191E0,4.939412117E0,-1.085503548E-1
9.492198750E-1,1.588320017E0,4.767947674E0,-2.904035151E-2
9.592738750E-1,1.783288002E0,4.736257553E0,-5.581140891E-2
9.693278750E-1,2.013339281E0,4.889119625E0,-1.827589720E-1
9.793828750E-1,2.144088984E0,4.874768257E0,-3.831764162E-1
9.894368750E-1,2.171657562E0,5.401479721E0,-3.065176010E-1
9.994908750E-1,2.373173714E0,5.818130970E0,3.748768568E-1
1.009544875E0,2.935329437E0,5.435531616E0,9.750609994E-1
1.019598875E0,3.492425919E0,4.965055943E0,1.144845724E0
1.029653875E0,3.833799124E0,4.825401783E0,1.059400797E0
1.039707875E0,3.980955839E0,4.671144009E0,7.432236671E-1
1.049761875E0,4.012961864E0,4.338179111E0,3.164870441E-1
1.059815875E0,4.004443645E0,3.895892143E0,9.386933409E-3
1.069870875E0,3.980370760E0,3.409434080E0,-1.307392865E-1
1.079924875E0,3.989178896E0,2.880275249E0,-1.662576795E-1
1.089978875E0,4.004601955E0,2.476124525E0,-1.313332468E-1
1.100032875E0,3.988081932E0,2.307092190E0,-8.861028589E-3
1.110087875E0,3.916069984E0,2.379314423E0,2.954216301E-1
1.120141875E0,3.851583481E0,2.412058115E0,6.829006672E-1
1.130195875E0,3.811430693E0,2.252698183E0,9.933464527E-1
1.140249875E0,3.747085333E0,2.028375626E0,1.145350099E0
1.150304875E0,3.704712391E0,1.813203216E0,1.124642730E0
1.160358875E0,3.719743967E0,1.453382969E0,9.483467937E-1
1.170412875E0,3.792653799E0,9.326043129E-1,6.958962083E-1
1.180466875E0,3.897352934E0,3.522451520E-1,4.974800050E-1
1.190520875E0,4.042247772E0,-1.970043778E-1,4.432212710E-1
1.200575875E0,4.183028698E0,-6.230131984E-1,6.094971299E-1
1.210629875E0,4.272367477E0,-8.630047441E-1,9.720215201E-1
1.220683875E0,4.282971382E0,-9.661548734E-1,1.397237778E0
1.230737875E0,4.221646309E0,-1.076972723E0,1.835656643E0
