"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.127875003E-3,-2.709365845E-2,1.942959595E-1,-9.797725525E0
1.118387500E-2,-5.837860107E-2,1.772314453E-1,-9.797426147E0
2.123887499E-2,-1.002914429E-1,1.565744019E-1,-9.791737976E0
3.129387500E-2,-1.052311707E-1,1.526824951E-1,-9.788295135E0
4.134987500E-2,-9.864486694E-2,1.438508606E-1,-9.784852295E0
5.140487500E-2,-6.975494385E-2,1.441502380E-1,-9.772278442E0
6.145987500E-2,-2.350112915E-2,1.507365417E-1,-9.787995758E0
7.151587500E-2,7.933502197E-3,1.595681763E-1,-9.769733734E0
8.157087500E-2,2.514770508E-2,1.776805115E-1,-9.774224396E0
9.162687500E-2,7.783813477E-3,2.038760376E-1,-9.801318054E0
1.016818750E-1,-3.353027344E-2,2.177970886E-1,-9.800419922E0
1.117368750E-1,-7.619155884E-2,2.341131592E-1,-9.785451050E0
1.217928750E-1,-1.146615601E-1,2.380050659E-1,-9.803563385E0
1.318478750E-1,-1.279838562E-1,2.254312134E-1,-9.804162140E0
1.419028750E-1,-1.077758789E-1,1.966909790E-1,-9.788145447E0
1.519588750E-1,-7.125183105E-2,1.733395386E-1,-9.812095642E0
1.620138750E-1,-1.751358032E-2,1.465452576E-1,-9.801617432E0
1.720688750E-1,1.451980591E-2,1.411564636E-1,-9.777367859E0
1.821248750E-1,2.095642090E-2,1.441502380E-1,-9.792187042E0
1.921798750E-1,1.347198486E-3,1.685494995E-1,-9.807006226E0
2.022348750E-1,-3.981719971E-2,2.011816406E-1,-9.774523773E0
2.122908750E-1,-8.277786255E-2,2.266287231E-1,-9.795330505E0
2.223458750E-1,-1.026864624E-1,2.429447937E-1,-9.804311829E0
2.324018750E-1,-9.879455566E-2,2.374063110E-1,-9.777816925E0
2.424568750E-1,-7.933502197E-2,2.218386841E-1,-9.800120544E0
2.525118750E-1,-4.864883423E-2,1.805245972E-1,-9.810748444E0
2.625678750E-1,-2.095642090E-2,1.543290710E-1,-9.779613190E0
2.726228750E-1,-7.933502197E-3,1.484912109E-1,-9.793833618E0
2.826778750E-1,-2.454895020E-2,1.465452576E-1,-9.789043579E0
2.927338750E-1,-5.807922363E-2,1.529818726E-1,-9.782008209E0
3.027888750E-1,-8.607101440E-2,1.769320679E-1,-9.806257782E0
3.128438750E-1,-9.789642334E-2,2.101629639E-1,-9.802665253E0
3.228998750E-1,-1.007405090E-1,2.218386841E-1,-9.770631866E0
3.329548750E-1,-7.125183105E-2,2.130070496E-1,-9.794881439E0
3.430098750E-1,-2.439926147E-2,2.168989563E-1,-9.801318054E0
3.530658750E-1,1.886077881E-2,2.058219910E-1,-9.787995758E0
3.631208750E-1,2.784210205E-2,1.947450256E-1,-9.791588287E0
3.731768750E-1,2.469863892E-2,1.930984497E-1,-9.801767120E0
3.832318750E-1,-1.721420288E-2,1.898052979E-1,-9.781858521E0
3.932868750E-1,-6.601272583E-2,1.806742859E-1,-9.786798248E0
4.033428750E-1,-1.016386414E-1,1.835183716E-1,-9.792785797E0
4.133978750E-1,-1.221459961E-1,1.845661926E-1,-9.790390778E0
4.234528750E-1,-1.154100037E-1,1.788780212E-1,-9.786798248E0
4.335088750E-1,-8.442443848E-2,1.676513672E-1,-9.793234863E0
4.435638750E-1,-4.685256958E-2,1.779798889E-1,-9.788594513E0
4.536188750E-1,-7.634124756E-3,1.865121460E-1,-9.789193268E0
4.636748750E-1,-2.095642090E-3,1.911524963E-1,-9.805808716E0
4.737298750E-1,-1.916015625E-2,1.983375549E-1,-9.792037354E0
4.837858750E-1,-3.592529297E-2,2.067201233E-1,-9.790839844E0
4.938408750E-1,-6.242019653E-2,2.195933533E-1,-9.798324280E0
5.038958750E-1,-8.083190918E-2,2.134561157E-1,-9.790540466E0
5.139518750E-1,-8.681945801E-2,1.977388000E-1,-9.802665253E0
5.240068750E-1,-6.975494385E-2,1.817221069E-1,-9.787995758E0
5.340618750E-1,-3.832031250E-2,1.561253357E-1,-9.793833618E0
5.441178750E-1,-1.107696533E-2,1.474433899E-1,-9.792636108E0
5.541728750E-1,-1.287322998E-2,1.510359192E-1,-9.789492645E0
5.642278750E-1,-2.409988403E-2,1.739382935E-1,-9.791737976E0
5.742838750E-1,-4.311035156E-2,2.010319519E-1,-9.803264008E0
5.843388750E-1,-7.155120850E-2,2.312690735E-1,-9.785900116E0
5.943938750E-1,-8.816665649E-2,2.368075562E-1,-9.796528015E0
6.044498750E-1,-1.044827271E-1,2.375559998E-1,-9.811496887E0
6.145048750E-1,-8.592132568E-2,2.218386841E-1,-9.794282684E0
6.245598750E-1,-4.939727783E-2,1.927990723E-1,-9.792486420E0
6.346158750E-1,-1.945953369E-2,1.689985657E-1,-9.768536224E0
6.446708750E-1,1.047821045E-3,1.577719116E-1,-9.767638092E0
6.547268750E-1,-2.993774414E-3,1.460961914E-1,-9.847721558E0
6.647818750E-1,-3.083587646E-2,1.465452576E-1,-9.776769104E0
6.748368750E-1,-6.661148071E-2,1.478924561E-1,-9.758507080E0
6.848928750E-1,-7.768844604E-2,1.739382935E-1,-9.819280701E0
6.949478750E-1,-8.981323242E-2,1.895059204E-1,-9.789792023E0
7.050028750E-1,-9.280700684E-2,2.011816406E-1,-9.752968597E0
7.150588750E-1,-6.960525513E-2,2.200424194E-1,-9.848769379E0
7.251138750E-1,-4.221221924E-2,2.263293457E-1,-9.774823151E0
7.351688750E-1,-2.020797729E-2,2.198927307E-1,-9.764794006E0
7.452248750E-1,-1.047821045E-2,2.309696960E-1,-9.815089417E0
7.552798750E-1,-2.829116821E-2,2.341131592E-1,-9.797875214E0
7.653348750E-1,-7.634124756E-2,2.171983337E-1,-9.761201477E0
7.753908750E-1,-8.652008057E-2,1.945953369E-1,-9.823022919E0
7.854458750E-1,-8.547225952E-2,1.689985657E-1,-9.781858521E0
7.955018750E-1,-6.616241455E-2,1.363664246E-1,-9.779762878E0
8.055568750E-1,-3.592529297E-2,1.169068909E-1,-9.819131012E0
8.156118750E-1,-1.122665405E-2,1.264869690E-1,-9.792187042E0
8.256678750E-1,-2.095642090E-2,1.428030396E-1,-9.778265991E0
8.357228750E-1,-1.751358032E-2,1.919009399E-1,-9.806856537E0
8.457778750E-1,-2.769241333E-2,2.261796570E-1,-9.785001984E0
8.558338750E-1,-4.086502075E-2,2.291734314E-1,-9.782008209E0
8.658888750E-1,-2.903961182E-2,2.116598511E-1,-9.798623657E0
8.759438750E-1,3.367996216E-2,1.350192261E-1,-9.796827393E0
8.859998750E-1,1.624122620E-1,-1.210981750E-1,-9.789941711E0
8.960548750E-1,3.146456909E-1,-8.249345398E-1,-9.790091400E0
9.061098750E-1,2.002835083E-1,-9.413923645E-1,-9.809850311E0
9.161658750E-1,1.187031555E-1,-5.995033264E-1,-9.812095642E0
9.262208750E-1,1.716929626E-1,-4.553530884E-1,-9.786049805E0
9.362768750E-1,3.441343689E-1,-9.250762939E-2,-9.791438599E0
9.463318750E-1,7.171586609E-1,-7.725434875E-1,-9.792935486E0
9.563870000E-1,8.330177307E-1,-1.207239532E0,-9.786349182E0
9.664430000E-1,8.443940735E-1,-1.891915741E0,-9.794731750E0
9.764980000E-1,9.011260986E-1,-2.630330200E0,-9.804012451E0
9.865530000E-1,8.556207275E-1,-3.625011749E0,-9.834998016E0
9.966090000E-1,8.881031799E-1,-4.212839355E0,-9.744885406E0
1.006664000E0,6.568341064E-1,-5.327271881E0,-9.814939728E0
1.016719000E0,5.987548828E-4,-6.060596924E0,-9.833201752E0
1.026775000E0,-9.580078125E-2,-5.775888977E0,-9.805060272E0
1.036830000E0,-3.213816833E-1,-5.169799347E0,-9.766739960E0
1.046885000E0,-2.954855347E-1,-4.035009155E0,-9.836345215E0
1.056941000E0,-1.960922241E-1,-3.204685822E0,-9.768685913E0
1.066996000E0,-4.622387695E-1,-2.781216431E0,-9.799821167E0
1.077052000E0,-5.734574890E-1,-2.249671783E0,-9.793683929E0
1.087107000E0,-6.837780762E-1,-1.663939819E0,-9.795031128E0
1.097162000E0,-7.562274170E-1,-1.490450592E0,-9.747130737E0
1.107218000E0,-7.692503357E-1,-8.764274597E-1,-9.823621674E0
1.117273000E0,-2.998265076E-1,3.562591553E-2,-9.766141205E0
1.127328000E0,1.136137390E-1,1.120569763E0,-9.794132996E0
1.137384000E0,8.093669128E-1,2.241588593E0,-9.778565369E0
1.147439000E0,1.939965820E0,4.427792358E0,-9.812993774E0
1.157494000E0,3.703897705E0,8.445138245E0,-9.761500854E0
1.167550000E0,5.449866943E0,9.779164124E0,-9.788594513E0
