"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.550966666E-2,-4.431918335E1,7.130503845E1,-1.639449005E2
2.557866665E-2,-4.469847107E1,7.113424683E1,-1.636498413E2
3.564766666E-2,-4.433181763E1,7.126080322E1,-1.641175385E2
4.571766665E-2,-4.441566467E1,7.118371582E1,-1.640720825E2
5.578766666E-2,-4.477774048E1,7.113635254E1,-1.635173645E2
6.585666665E-2,-4.448320007E1,7.117752075E1,-1.635965424E2
7.592666666E-2,-4.447851562E1,7.122613525E1,-1.635282898E2
8.599566665E-2,-4.465130615E1,7.155683899E1,-1.641771545E2
9.606466666E-2,-4.464309692E1,7.110658264E1,-1.636437073E2
1.061336667E-1,-4.466700745E1,7.135806274E1,-1.637242126E2
1.162036667E-1,-4.436956787E1,7.078923035E1,-1.642046814E2
1.262746667E-1,-4.467570496E1,7.097810364E1,-1.641878510E2
1.363446667E-1,-4.448287964E1,7.114276123E1,-1.636324158E2
1.464146667E-1,-4.473277283E1,7.127647400E1,-1.639842987E2
1.564856667E-1,-4.485400391E1,7.147587585E1,-1.640272827E2
1.665556667E-1,-4.467962646E1,7.103536987E1,-1.640424500E2
1.766266667E-1,-4.467211914E1,7.113945007E1,-1.634840393E2
1.866976667E-1,-4.465165710E1,7.122370911E1,-1.637001190E2
1.967686667E-1,-4.453779602E1,7.103887939E1,-1.637339783E2
2.068406667E-1,-4.481492615E1,7.140292358E1,-1.639610901E2
2.169116667E-1,-4.471682739E1,7.141757202E1,-1.639655457E2
2.269836667E-1,-4.434634399E1,7.131616211E1,-1.640742645E2
2.370566667E-1,-4.432080078E1,7.109648132E1,-1.638806915E2
2.471296667E-1,-4.415936279E1,7.089723206E1,-1.638343353E2
2.572016667E-1,-4.432505798E1,7.114416504E1,-1.638382568E2
2.672726667E-1,-4.434390259E1,7.102098083E1,-1.638779755E2
2.773436667E-1,-4.463214111E1,7.107131958E1,-1.631198578E2
2.874156667E-1,-4.419348145E1,7.100250244E1,-1.638507996E2
2.974876667E-1,-4.463670349E1,7.120008850E1,-1.637698364E2
3.075577917E-1,-4.483192444E1,7.127616882E1,-1.634931641E2
3.176287917E-1,-4.465466309E1,7.121269226E1,-1.638383789E2
3.276997917E-1,-4.466781616E1,7.070193481E1,-1.639779968E2
3.377697917E-1,-4.446324158E1,7.121557617E1,-1.638344116E2
3.478407917E-1,-4.453178406E1,7.117248535E1,-1.633572388E2
3.579107917E-1,-4.418292236E1,7.113208008E1,-1.633865662E2
3.679807917E-1,-4.434634399E1,7.118249512E1,-1.640538635E2
3.780507917E-1,-4.444615173E1,7.065869141E1,-1.636737823E2
3.881217917E-1,-4.451982117E1,7.141308594E1,-1.635455017E2
3.981927917E-1,-4.454161072E1,7.107916260E1,-1.638508301E2
4.082627917E-1,-4.427453613E1,7.139064026E1,-1.638186188E2
4.183347917E-1,-4.421549988E1,7.104145813E1,-1.639914093E2
4.284077917E-1,-4.432437134E1,7.101895142E1,-1.638756866E2
4.384777917E-1,-4.457072449E1,7.105039978E1,-1.637809448E2
4.485477917E-1,-4.469264221E1,7.104830933E1,-1.635507202E2
4.586177917E-1,-4.460289001E1,7.108876038E1,-1.633955536E2
4.686877917E-1,-4.481192017E1,7.119674683E1,-1.639696045E2
4.787577917E-1,-4.460404968E1,7.094148254E1,-1.641360474E2
4.888287917E-1,-4.444161987E1,7.101713562E1,-1.642210846E2
4.988997917E-1,-4.449896240E1,7.105842590E1,-1.641130981E2
5.089707917E-1,-4.459008789E1,7.124122620E1,-1.639588776E2
5.190427917E-1,-4.459481812E1,7.136994934E1,-1.636865692E2
5.291147917E-1,-4.439598083E1,7.108663940E1,-1.639934998E2
5.391857917E-1,-4.486799622E1,7.098701477E1,-1.638940887E2
5.492587917E-1,-4.483233643E1,7.112371826E1,-1.634333954E2
5.593307917E-1,-4.493098450E1,7.105075073E1,-1.640449371E2
5.694017917E-1,-4.469276428E1,7.081723022E1,-1.636971130E2
5.794727917E-1,-4.474736023E1,7.117704773E1,-1.638698425E2
5.895427917E-1,-4.464027405E1,7.127470398E1,-1.639752808E2
5.996127917E-1,-4.456323242E1,7.149908447E1,-1.639684143E2
6.096837917E-1,-4.481428528E1,7.119143677E1,-1.639061584E2
6.197537917E-1,-4.464706421E1,7.125334167E1,-1.640064392E2
6.298237917E-1,-4.489976501E1,7.148126221E1,-1.642291565E2
6.398947917E-1,-4.482772827E1,7.155111694E1,-1.640222473E2
6.499647917E-1,-4.472953796E1,7.128047180E1,-1.638044281E2
6.600357917E-1,-4.449914551E1,7.119195557E1,-1.635542908E2
6.701067917E-1,-4.475358582E1,7.128421021E1,-1.637653351E2
6.801767917E-1,-4.459248352E1,7.101403809E1,-1.638578339E2
6.902477917E-1,-4.488146973E1,7.102166748E1,-1.637074890E2
7.003177917E-1,-4.482005310E1,7.113418579E1,-1.637651062E2
7.103877917E-1,-4.482113647E1,7.105004883E1,-1.635027924E2
7.204577917E-1,-4.478887939E1,7.105737305E1,-1.638301392E2
7.305287917E-1,-4.458923340E1,7.115760803E1,-1.641009827E2
7.405987917E-1,-4.481687927E1,7.101918030E1,-1.637317810E2
7.506687917E-1,-4.457775879E1,7.124650574E1,-1.638315735E2
7.607397917E-1,-4.465870667E1,7.096678162E1,-1.630369568E2
7.708097917E-1,-4.475300598E1,7.116105652E1,-1.636689606E2
7.808797917E-1,-4.455073547E1,7.111155701E1,-1.637127838E2
7.909497917E-1,-4.493084717E1,7.109286499E1,-1.633842468E2
8.010187917E-1,-4.464463806E1,7.114859009E1,-1.635942230E2
8.110887917E-1,-4.438883972E1,7.127790833E1,-1.639481354E2
8.211577917E-1,-4.497021484E1,7.127214050E1,-1.637056274E2
8.312277917E-1,-4.474794006E1,7.085772705E1,-1.635598450E2
8.412987917E-1,-4.461827087E1,7.109675598E1,-1.633245087E2
8.513687917E-1,-4.470512390E1,7.080204773E1,-1.636315460E2
8.614397917E-1,-4.490011597E1,7.077177429E1,-1.640194092E2
8.715097917E-1,-4.486070251E1,7.087823486E1,-1.638075714E2
8.815797917E-1,-4.487419128E1,7.076339722E1,-1.638185272E2
8.916497917E-1,-4.485122681E1,7.063206482E1,-1.635963593E2
9.017197917E-1,-4.483235168E1,7.096513367E1,-1.636873932E2
9.117887917E-1,-4.468110657E1,7.106192017E1,-1.631870880E2
9.218587917E-1,-4.466555786E1,7.101934814E1,-1.638361053E2
9.319277917E-1,-4.433110046E1,7.101039124E1,-1.639904938E2
9.419957917E-1,-4.509667969E1,7.106855774E1,-1.639780884E2
9.520657917E-1,-4.485874939E1,7.113977051E1,-1.639225006E2
9.621337917E-1,-4.490046692E1,7.102682495E1,-1.634880524E2
9.722037917E-1,-4.520419312E1,7.138035583E1,-1.635670624E2
9.822737917E-1,-4.483595276E1,7.118203735E1,-1.636013336E2
9.923417917E-1,-4.496859741E1,7.105668640E1,-1.634799042E2
1.002411792E0,-4.469862366E1,7.115805054E1,-1.638589478E2
1.012480792E0,-4.480395508E1,7.103843689E1,-1.636817932E2
1.022550792E0,-4.528926086E1,7.078230286E1,-1.637165833E2
1.032620792E0,-4.528767395E1,7.089340210E1,-1.633819427E2
1.042690792E0,-4.498394775E1,7.080120850E1,-1.641476135E2
1.052761792E0,-4.517771912E1,7.073857117E1,-1.634788055E2
1.062831792E0,-4.485815430E1,7.087959290E1,-1.632796936E2
1.072902792E0,-4.474870300E1,7.088961792E1,-1.633959045E2
1.082971792E0,-4.453990173E1,7.096492004E1,-1.636002502E2
1.093042792E0,-4.405633545E1,7.107501221E1,-1.635099487E2
1.103112792E0,-4.383456421E1,7.104765320E1,-1.638629608E2
1.113182792E0,-4.304104614E1,7.090594482E1,-1.632473907E2
1.123252792E0,-4.285655212E1,7.109194946E1,-1.631415253E2
1.133322792E0,-4.286090088E1,7.117454529E1,-1.631500702E2
1.143391792E0,-4.247398376E1,7.123179626E1,-1.634712524E2
1.153461792E0,-4.236177063E1,7.109480286E1,-1.633611755E2
1.163531792E0,-4.182167053E1,7.097683716E1,-1.634616089E2
1.173602792E0,-4.165385437E1,7.109548950E1,-1.632543182E2
1.183672792E0,-4.159535217E1,7.107946777E1,-1.629808960E2
1.193742792E0,-4.164102173E1,7.149661255E1,-1.635154877E2
1.203813792E0,-4.128012085E1,7.104568481E1,-1.635088501E2
1.213883792E0,-4.121105957E1,7.131501770E1,-1.640005646E2
1.223953792E0,-4.070335388E1,7.145030212E1,-1.634878235E2
1.234022792E0,-4.057722473E1,7.107174683E1,-1.639105988E2
1.244091792E0,-4.055761719E1,7.146630859E1,-1.638866425E2
1.254161792E0,-4.051725769E1,7.107263184E1,-1.636678619E2
1.264231792E0,-4.005598450E1,7.105818176E1,-1.636368256E2
1.274301792E0,-4.038227844E1,7.137220764E1,-1.635393829E2
1.284371792E0,-4.027679443E1,7.121791077E1,-1.636122894E2
1.294440792E0,-4.012501526E1,7.110226440E1,-1.636833496E2
1.304511792E0,-3.964674377E1,7.133197021E1,-1.637323914E2
1.314581083E0,-3.973721313E1,7.093528748E1,-1.631105499E2
1.324650083E0,-4.003138733E1,7.039427185E1,-1.636589813E2
1.334720083E0,-4.027801514E1,7.036497498E1,-1.629425201E2
1.344789083E0,-4.033628845E1,6.997303772E1,-1.629183655E2
1.354860083E0,-4.000183105E1,6.992373657E1,-1.624295044E2
1.364931083E0,-3.982710266E1,6.968037415E1,-1.630584717E2
1.375001083E0,-3.951681519E1,6.954461670E1,-1.625054169E2
1.385072083E0,-3.894451904E1,6.886282349E1,-1.619879456E2
1.395142083E0,-3.793609619E1,6.839514160E1,-1.614249268E2
1.405212083E0,-3.681216431E1,6.746015930E1,-1.606614227E2
1.415282083E0,-3.587512207E1,6.666238403E1,-1.601519623E2
1.425352083E0,-3.484426880E1,6.548318481E1,-1.595986023E2
1.435423083E0,-3.453660583E1,6.472657776E1,-1.589643402E2
1.445493083E0,-3.338720703E1,6.371020508E1,-1.580877533E2
1.455563083E0,-3.299093628E1,6.219194031E1,-1.576151733E2
1.465634083E0,-3.158897400E1,6.099517822E1,-1.566699829E2
1.475704083E0,-3.140391541E1,5.964492798E1,-1.560717621E2
1.485775083E0,-3.101548767E1,5.881008911E1,-1.552932587E2
1.495845083E0,-3.016920471E1,5.746131897E1,-1.549402924E2
1.505916083E0,-2.919735718E1,5.610780334E1,-1.542047882E2
1.515987083E0,-2.829367065E1,5.493939209E1,-1.541976318E2
1.526058083E0,-2.805435181E1,5.299929810E1,-1.533811951E2
1.536129083E0,-2.692691040E1,5.126568604E1,-1.534198761E2
1.546200083E0,-2.655766296E1,4.975875854E1,-1.531894531E2
1.556271083E0,-2.566876221E1,4.763528442E1,-1.521303101E2
1.566342083E0,-2.503604126E1,4.563584900E1,-1.517816925E2
1.576413083E0,-2.421479797E1,4.386016846E1,-1.518656769E2
1.586484083E0,-2.392752075E1,4.123773193E1,-1.513790131E2
1.596555083E0,-2.316787720E1,3.916490173E1,-1.515470734E2
1.606625083E0,-2.238621521E1,3.697369385E1,-1.516096344E2
1.616696083E0,-2.183673096E1,3.520964050E1,-1.516520844E2
1.626766083E0,-2.173089600E1,3.364944458E1,-1.515216675E2
1.636837083E0,-2.133993530E1,3.185505676E1,-1.515783691E2
1.646908083E0,-2.092211914E1,3.018498230E1,-1.520504303E2
1.656978083E0,-2.049842834E1,2.873171997E1,-1.526727295E2
1.667048083E0,-2.032743835E1,2.759391785E1,-1.529288635E2
1.677118083E0,-2.032418823E1,2.606723022E1,-1.526872711E2
1.687188083E0,-1.996696472E1,2.505654907E1,-1.525193024E2
1.697258083E0,-1.992166138E1,2.434561157E1,-1.534542236E2
1.707328083E0,-1.990512085E1,2.354399109E1,-1.535198669E2
1.717398083E0,-1.952218628E1,2.246028137E1,-1.536204224E2
1.727469083E0,-1.976301575E1,2.213435364E1,-1.542276459E2
1.737540083E0,-1.999440002E1,2.131362915E1,-1.541902924E2
1.747611083E0,-2.003851318E1,2.050837708E1,-1.544836121E2
1.757681083E0,-1.999378967E1,2.044163513E1,-1.545051575E2
1.767751083E0,-1.957434082E1,1.967518616E1,-1.550871887E2
1.777820083E0,-1.979042053E1,1.938522339E1,-1.548834381E2
1.787890083E0,-1.960977173E1,1.926835632E1,-1.552855835E2
