"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.078687500E-2,-8.204288483E-1,3.402372742E1,4.089733887E1
2.084287500E-2,-8.424777985E-1,3.374443054E1,4.072932434E1
3.089887500E-2,-9.157352448E-1,3.384365845E1,4.059507751E1
4.095387500E-2,-6.863355637E-1,3.398255920E1,4.029067993E1
5.100987500E-2,-8.177852631E-1,3.417185211E1,4.030764771E1
6.106587500E-2,-6.911954880E-1,3.419576263E1,4.044773865E1
7.112087500E-2,-6.948680878E-1,3.406741333E1,4.068670654E1
8.117687500E-2,-7.095251083E-1,3.403292847E1,4.029547119E1
9.123287500E-2,-8.549060822E-1,3.393505859E1,4.045449829E1
1.012878750E-1,-8.879108429E-1,3.393120575E1,4.066964722E1
1.113438750E-1,-8.896846771E-1,3.411685944E1,4.062145996E1
1.213998750E-1,-6.813449860E-1,3.384130859E1,4.073408508E1
1.314548750E-1,-7.246484756E-1,3.396733093E1,4.047795105E1
1.415108750E-1,-9.447154999E-1,3.404712677E1,4.074211121E1
1.515668750E-1,-7.097787857E-1,3.400307465E1,4.089178467E1
1.616218750E-1,-6.920032501E-1,3.418401337E1,4.067642212E1
1.716778750E-1,-7.813997269E-1,3.406974792E1,4.062861633E1
1.817338750E-1,-7.113056183E-1,3.411440277E1,4.043788147E1
1.917888750E-1,-6.484785080E-1,3.416562653E1,4.064672852E1
2.018448750E-1,-9.313764572E-1,3.422189331E1,4.045712280E1
2.119008750E-1,-7.216682434E-1,3.387043762E1,4.049897766E1
2.219558750E-1,-7.839803696E-1,3.400720215E1,4.027377319E1
2.320118750E-1,-6.600694656E-1,3.418238831E1,4.053161621E1
2.420678750E-1,-6.415157318E-1,3.414271545E1,4.020185852E1
2.521227917E-1,-4.939775467E-1,3.395883179E1,4.056852722E1
2.621787917E-1,-3.928661346E-1,3.405489349E1,4.071310425E1
2.722347917E-1,-4.975147247E-1,3.397642517E1,4.035423279E1
2.822897917E-1,-8.292245865E-1,3.394404602E1,4.067965698E1
2.923457917E-1,-8.885698318E-1,3.398464203E1,4.099296570E1
3.024017917E-1,-9.214744568E-1,3.411373901E1,4.065318298E1
3.124567917E-1,-9.059400558E-1,3.421218872E1,4.042489624E1
3.225127917E-1,-1.044834137E0,3.405820465E1,4.018949890E1
3.325687917E-1,-9.281902313E-1,3.438599396E1,4.049714661E1
3.426237917E-1,-7.086887360E-1,3.419492340E1,4.053555298E1
3.526797917E-1,-8.205013275E-1,3.424327850E1,4.064324951E1
3.627357917E-1,-8.615922928E-1,3.424237823E1,4.036399841E1
3.727907917E-1,-1.023414612E0,3.410185242E1,4.049713135E1
3.828467917E-1,-9.677009583E-1,3.400805664E1,4.017173767E1
3.929027917E-1,-1.044237137E0,3.396911621E1,4.016825867E1
4.029577917E-1,-9.719238281E-1,3.396366882E1,4.009320068E1
4.130137917E-1,-8.919382095E-1,3.405643463E1,4.051235962E1
4.230687917E-1,-7.560405731E-1,3.407553864E1,4.042062378E1
4.331247917E-1,-7.492694855E-1,3.397108459E1,4.034046936E1
4.431807917E-1,-7.292442322E-1,3.398155212E1,4.043930054E1
4.532357917E-1,-8.908758163E-1,3.381737518E1,4.062084961E1
4.632917917E-1,-1.213259697E0,3.382316589E1,4.037788391E1
4.733477917E-1,-7.305269241E-1,3.360975647E1,4.025746155E1
4.834027917E-1,-8.100261688E-1,3.371643829E1,4.028019714E1
4.934587917E-1,-9.526519775E-1,3.371282959E1,4.013996887E1
5.035147917E-1,-7.874011993E-1,3.387546539E1,4.047930908E1
5.135697917E-1,-1.133465767E0,3.402432251E1,4.039901733E1
5.236257917E-1,-9.546165466E-1,3.383536530E1,4.050642395E1
5.336817917E-1,-1.146889687E0,3.383084869E1,4.060821533E1
5.437367917E-1,-7.417650223E-1,3.395285034E1,4.068907166E1
5.537927917E-1,-6.592979431E-1,3.396529388E1,4.043095398E1
5.638487917E-1,-9.436693192E-1,3.376094818E1,4.060360718E1
5.739037917E-1,-7.838077545E-1,3.373088074E1,4.081477356E1
5.839597917E-1,-6.196861267E-1,3.382353210E1,4.046011353E1
5.940157917E-1,-7.284955978E-1,3.376248169E1,4.069415283E1
6.040707917E-1,-8.101902008E-1,3.375637054E1,4.071533203E1
6.141267917E-1,-7.240848541E-1,3.381953430E1,4.078346252E1
6.241827917E-1,-8.919076920E-1,3.390140533E1,4.102461243E1
6.342377917E-1,-9.414510727E-1,3.393343353E1,4.058830261E1
6.442937917E-1,-9.227924347E-1,3.398585510E1,4.065830994E1
6.543497917E-1,-9.643115997E-1,3.393725586E1,4.099894714E1
6.644047917E-1,-1.069295883E0,3.401148224E1,4.072097778E1
6.744607917E-1,-9.063444138E-1,3.393276978E1,4.080207825E1
6.845167917E-1,-8.464746475E-1,3.378369141E1,4.079273987E1
6.945717917E-1,-1.024406433E0,3.384768677E1,4.039852905E1
7.046277917E-1,-7.646837234E-1,3.386032867E1,4.062638855E1
7.146837917E-1,-9.680738449E-1,3.394001770E1,4.044839478E1
7.247387917E-1,-1.004314423E0,3.373132324E1,4.081794739E1
7.347947917E-1,-9.960823059E-1,3.396974182E1,4.038168335E1
7.448497917E-1,-7.322797775E-1,3.395348358E1,4.042642212E1
7.549057917E-1,-8.651590347E-1,3.418984222E1,4.067037964E1
7.649617917E-1,-8.056297302E-1,3.421699524E1,4.074723816E1
7.750167917E-1,-7.760677338E-1,3.434716797E1,4.061543274E1
7.850727917E-1,-6.366949081E-1,3.403733826E1,4.048507690E1
7.951287917E-1,-6.690082550E-1,3.401243591E1,4.045506287E1
8.051837917E-1,-7.543334961E-1,3.393333435E1,4.068244934E1
8.152397917E-1,-6.544370651E-1,3.393450165E1,3.999125671E1
8.252957917E-1,-9.552755356E-1,3.411003113E1,4.062986755E1
8.353507917E-1,-7.044658661E-1,3.408363342E1,4.073812866E1
8.454067917E-1,-9.680738449E-1,3.391591644E1,4.076643372E1
8.554627917E-1,-7.104778290E-1,3.381244659E1,4.075090027E1
8.655177917E-1,-8.810815811E-1,3.389683533E1,4.075456238E1
8.755737917E-1,-9.295167923E-1,3.383729553E1,4.087217712E1
8.856297917E-1,-9.652976990E-1,3.390733337E1,4.072654724E1
8.956847917E-1,-8.467817307E-1,3.387351227E1,4.070291138E1
9.057407917E-1,-9.401454926E-1,3.362567902E1,4.108750916E1
9.157967917E-1,-1.016549110E0,3.388444519E1,4.083538818E1
9.258517917E-1,-8.930788040E-1,3.403818512E1,4.088693237E1
9.359077917E-1,-7.412137985E-1,3.391770172E1,4.097715759E1
9.459637917E-1,-6.093206406E-1,3.403376770E1,4.091059875E1
9.560187917E-1,-7.694053650E-1,3.383502960E1,4.081626892E1
9.660747917E-1,-8.864784241E-1,3.387837982E1,4.087474060E1
9.761307917E-1,-7.969169617E-1,3.405663300E1,4.095951843E1
9.861857917E-1,-7.852792740E-1,3.409757996E1,4.123388672E1
9.962417917E-1,-7.940950394E-1,3.405460358E1,4.107646179E1
1.006297792E0,-8.829269409E-1,3.409414673E1,4.038621521E1
1.016352792E0,-1.062900543E0,3.404149628E1,4.059407043E1
1.026408792E0,-1.083295822E0,3.398738098E1,4.069648743E1
1.036464792E0,-9.419422150E-1,3.403578186E1,4.058851624E1
1.046519792E0,-9.504289627E-1,3.401768494E1,4.065643311E1
1.056575792E0,-8.636941910E-1,3.399942017E1,4.055271912E1
1.066630792E0,-6.561985016E-1,3.415113068E1,4.084388733E1
1.076686792E0,-7.644414902E-1,3.427926636E1,4.038856506E1
1.086742792E0,-9.157714844E-1,3.409886932E1,4.023876953E1
1.096797792E0,-9.923753738E-1,3.395933533E1,4.081140137E1
1.106853792E0,-8.832406998E-1,3.396891022E1,4.078883362E1
1.116909792E0,-3.954439163E-1,3.376576996E1,4.038487244E1
1.126964792E0,-4.149484634E-1,3.395129395E1,4.058930969E1
1.137020792E0,-5.715770721E-1,3.392899323E1,4.067979431E1
1.147076792E0,-6.973810196E-1,3.408236694E1,4.055189514E1
1.157131792E0,-6.108837128E-1,3.400886536E1,4.041099548E1
1.167187792E0,-6.604290009E-1,3.383715820E1,4.048956299E1
1.177243792E0,-7.583751678E-1,3.387621307E1,4.060591125E1
1.187298792E0,-8.498268127E-1,3.386743927E1,4.096649170E1
1.197354792E0,-8.876333237E-1,3.400905609E1,4.078822327E1
1.207410792E0,-7.291517258E-1,3.433301544E1,4.076844788E1
1.217465792E0,-6.708812714E-1,3.409243011E1,4.082174683E1
1.227521792E0,-5.033397675E-1,3.429724121E1,4.079119873E1
1.237577792E0,-5.686798096E-1,3.405283356E1,4.093650818E1
1.247633250E0,-9.053144455E-1,3.395067596E1,4.059089661E1
1.257689250E0,-7.439317703E-1,3.385021210E1,4.086505127E1
1.267745250E0,-7.687034607E-1,3.366392517E1,4.075744629E1
1.277800250E0,-1.152158737E0,3.363291931E1,4.063684082E1
1.287856250E0,-1.119757652E0,3.359513092E1,4.059823608E1
1.297912250E0,-1.231746674E0,3.370045471E1,4.058523560E1
1.307967250E0,-1.074664116E0,3.401068878E1,4.092935181E1
1.318023250E0,-1.024488449E0,3.408906555E1,4.107684326E1
1.328079250E0,-1.043621063E0,3.409258270E1,4.145484924E1
1.338134250E0,-9.595556259E-1,3.389885712E1,4.123941040E1
1.348190250E0,-9.529752731E-1,3.404538727E1,4.079490662E1
1.358246250E0,-9.465179443E-1,3.375648499E1,4.062300110E1
1.368301250E0,-8.833866119E-1,3.373447418E1,4.084103394E1
1.378357250E0,-8.375282288E-1,3.367494202E1,4.111618042E1
1.388412250E0,-9.113245010E-1,3.384760284E1,4.119657898E1
1.398468250E0,-9.093933105E-1,3.378098297E1,4.113380432E1
1.408524250E0,-7.654619217E-1,3.381657410E1,4.118013000E1
1.418579250E0,-7.011051178E-1,3.396704865E1,4.090545654E1
1.428635250E0,-5.386857986E-1,3.402610779E1,4.102056885E1
1.438691250E0,-5.661869049E-1,3.396856689E1,4.109776306E1
1.448746250E0,-8.269805908E-1,3.383766174E1,4.097804260E1
1.458802250E0,-8.441257477E-1,3.400876617E1,4.101121521E1
1.468858250E0,-5.881128311E-1,3.397621155E1,4.089010620E1
1.478913250E0,-7.460460663E-1,3.384330750E1,4.081027222E1
1.488969250E0,-9.042596817E-1,3.393376923E1,4.086480713E1
1.499025250E0,-9.663286209E-1,3.377446747E1,4.113871765E1
1.509080250E0,-7.662639618E-1,3.372025299E1,4.083015442E1
1.519136250E0,-7.261667252E-1,3.380233765E1,4.089627075E1
