"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.154166667E-3,1.309776306E-1,8.244854736E0,-5.437891846E0
1.312916667E-2,1.276844788E-1,8.249046021E0,-5.355413361E0
2.310316667E-2,1.435514832E-1,8.231532440E0,-5.421426086E0
3.307816667E-2,1.318757629E-1,8.157137146E0,-5.524561615E0
4.305216667E-2,7.334747314E-2,8.157735901E0,-5.549260254E0
5.302716667E-2,1.251397705E-1,8.217611389E0,-5.425916748E0
6.300216667E-2,1.748364258E-1,8.286168823E0,-5.337899780E0
7.297616667E-2,1.522334290E-1,8.275391235E0,-5.399571533E0
8.295116667E-2,1.492396545E-1,8.171357574E0,-5.501808929E0
9.292516667E-2,1.387614441E-1,8.059989166E0,-5.566474457E0
1.029001667E-1,6.137237549E-2,8.146658936E0,-5.535039825E0
1.128751667E-1,2.799179077E-2,8.369994507E0,-5.331163788E0
1.228491667E-1,1.414558411E-1,8.385861511E0,-5.101990356E0
1.328241667E-1,1.772314453E-1,8.250692596E0,-5.357209625E0
1.427981667E-1,1.383123779E-1,8.030799866E0,-5.708079987E0
1.527731667E-1,7.065307617E-2,7.989336090E0,-5.757626953E0
1.627481667E-1,2.056723022E-1,8.169860687E0,-5.494324493E0
1.727221667E-1,2.145039368E-1,8.369096375E0,-5.254523163E0
1.826971667E-1,2.242337036E-1,8.322094116E0,-5.313799896E0
1.926711667E-1,2.168989563E-1,8.076155548E0,-5.594765625E0
2.026461667E-1,1.163081360E-1,7.935448151E0,-5.821993103E0
2.126211667E-1,1.203497314E-1,8.053402863E0,-5.706283722E0
2.225951667E-1,1.353186035E-1,8.312514038E0,-5.279670868E0
2.325701667E-1,1.522334290E-1,8.465795288E0,-5.069058838E0
2.425441667E-1,1.311273193E-1,8.342451782E0,-5.273683319E0
2.525191667E-1,4.026626587E-2,8.083639984E0,-5.595214691E0
2.624941667E-1,9.879455566E-2,7.977810059E0,-5.741759949E0
2.724681667E-1,1.345701599E-1,8.143066406E0,-5.561534729E0
2.824431667E-1,1.411564636E-1,8.369096375E0,-5.262456665E0
2.924171667E-1,2.338137817E-1,8.381670227E0,-5.207820282E0
3.023921667E-1,1.956431580E-1,8.175698547E0,-5.479056244E0
3.123671667E-1,9.804611206E-2,7.991581421E0,-5.771997070E0
3.223411667E-1,1.155596924E-1,7.997868347E0,-5.755231934E0
3.323161667E-1,1.297801208E-1,8.216114502E0,-5.427413635E0
3.422901667E-1,1.489402771E-1,8.416398010E0,-5.157824249E0
3.522651667E-1,1.845661926E-1,8.371641083E0,-5.221142578E0
3.622401667E-1,1.176553345E-1,8.149802399E0,-5.517526245E0
3.722141667E-1,9.415420532E-2,7.993677063E0,-5.725144501E0
3.821891667E-1,1.386117554E-1,8.056546326E0,-5.647306366E0
3.921631667E-1,1.423539734E-1,8.268505554E0,-5.369783478E0
4.021381667E-1,1.833686829E-1,8.372688904E0,-5.216202850E0
4.121131667E-1,1.948947144E-1,8.278085632E0,-5.347180481E0
4.220871667E-1,1.264869690E-1,8.079299011E0,-5.611081696E0
4.320621667E-1,1.043330383E-1,8.013735352E0,-5.714516602E0
4.420361667E-1,1.282832336E-1,8.146509247E0,-5.539231110E0
4.520111667E-1,1.326242065E-1,8.327782288E0,-5.276826782E0
4.619860417E-1,1.600172424E-1,8.360264740E0,-5.227130127E0
4.719600417E-1,1.528321838E-1,8.220305786E0,-5.429209900E0
4.819350417E-1,1.070274353E-1,8.069419556E0,-5.653144226E0
4.919090417E-1,1.318757629E-1,8.043822784E0,-5.667065277E0
5.018840417E-1,1.428030396E-1,8.189918976E0,-5.476661224E0
5.118590417E-1,1.565744019E-1,8.327782288E0,-5.301675110E0
5.218330417E-1,1.772314453E-1,8.308322754E0,-5.310955811E0
5.318080417E-1,1.450483704E-1,8.165370026E0,-5.495671692E0
5.417820417E-1,1.143621826E-1,8.076454926E0,-5.650599518E0
5.517570417E-1,1.348695374E-1,8.111482086E0,-5.591023407E0
5.617320417E-1,1.507365417E-1,8.236921234E0,-5.405858459E0
5.717060417E-1,1.550775146E-1,8.299940186E0,-5.313500519E0
5.816810417E-1,1.610650635E-1,8.249495087E0,-5.392685852E0
5.916550417E-1,1.260379028E-1,8.139623566E0,-5.528154144E0
6.016300417E-1,1.155596924E-1,8.103847961E0,-5.585784302E0
6.116050417E-1,1.297801208E-1,8.177045746E0,-5.493276672E0
6.215790417E-1,1.510359192E-1,8.260572052E0,-5.363047485E0
6.315540417E-1,1.615141296E-1,8.266409912E0,-5.364544373E0
6.415280417E-1,1.474433899E-1,8.193062439E0,-5.475014648E0
6.515030417E-1,1.375639343E-1,8.119864655E0,-5.560187531E0
6.614780417E-1,1.401086426E-1,8.135881348E0,-5.548511810E0
