"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.952833333E-3,8.371552685E-4,-1.091145910E-3,-1.564096659E-3
1.592783333E-2,6.089294911E-4,-4.081717692E-3,4.117223434E-4
2.590183333E-2,-3.219098318E-3,-4.259084351E-3,-4.426974803E-3
3.587683333E-2,2.802287927E-3,4.520304501E-4,2.760160947E-3
4.585083333E-2,5.940290634E-3,4.750106484E-3,3.992405720E-3
5.582583333E-2,-4.160367418E-3,2.522759140E-3,-5.699093454E-4
6.580083333E-2,-1.266703662E-2,-5.757622421E-5,-9.693838656E-4
7.577483333E-2,-1.589270192E-3,6.286762655E-4,3.556762356E-3
8.574983333E-2,9.576299228E-3,2.776782960E-3,9.241811931E-3
9.572483333E-2,8.169261739E-3,-4.446720704E-4,6.406079046E-3
1.056988333E-1,-1.963800052E-3,-4.161112942E-3,-2.442540135E-3
1.156738333E-1,8.351025172E-3,-9.455762804E-3,-5.967883859E-3
1.256488333E-1,-5.005234852E-4,-3.909133375E-5,-7.580426987E-3
1.356228333E-1,7.263343781E-3,3.703059629E-3,2.141502919E-3
1.455978333E-1,2.015623823E-2,1.131330803E-2,1.224846579E-2
1.555728333E-1,8.082002169E-4,1.167654246E-2,1.692245714E-2
1.655468333E-1,-2.608466707E-2,1.070448942E-2,8.980644867E-3
1.755218333E-1,-2.954341471E-2,5.035711452E-3,4.716732074E-3
1.854958333E-1,-1.011432335E-2,6.082067266E-3,2.685538959E-3
1.954708333E-1,1.216357946E-2,2.426803112E-3,3.900999669E-3
2.054458333E-1,2.404633723E-2,-3.057443537E-3,-3.797932528E-3
2.154198333E-1,2.000238188E-2,-5.573748611E-3,-4.742836580E-3
2.253948333E-1,4.079341423E-3,-6.447798572E-3,-7.683232427E-3
2.353698333E-1,-1.505011786E-2,-3.527448513E-3,-6.496801972E-3
2.453438333E-1,-1.842487603E-2,4.450848326E-3,1.608528895E-3
2.553188333E-1,-5.661976989E-3,1.195252314E-2,7.555061020E-3
2.652938333E-1,5.002651364E-3,8.646208793E-3,1.062568557E-2
2.752678333E-1,5.522986874E-3,4.659598693E-3,4.860270303E-3
2.852428333E-1,-3.401798196E-3,-6.414092146E-3,-3.775295801E-3
2.952178333E-1,-6.604242604E-3,-5.793847144E-3,-8.601162583E-3
3.051918333E-1,6.696495111E-4,-2.263827249E-3,-4.695104901E-3
3.151668333E-1,6.731463596E-3,4.956927150E-4,2.063800115E-3
3.251418333E-1,3.612635657E-3,-5.775624886E-4,3.368482692E-3
3.351158333E-1,3.853706643E-3,1.745101064E-3,3.423637478E-3
3.450908333E-1,-7.660787087E-4,2.610096708E-3,2.456111135E-3
3.550658333E-1,-8.283291943E-3,2.893166617E-3,-1.594188623E-3
3.650398333E-1,-1.062820572E-2,-2.490147017E-3,-4.940183833E-3
3.750148333E-1,-1.557264186E-4,1.315087080E-3,-3.038120456E-3
3.849888333E-1,1.240560599E-2,5.829837173E-4,4.382511601E-3
3.949638333E-1,1.162173599E-2,2.740494907E-3,7.853411138E-3
4.049388333E-1,-1.725494862E-3,-1.203380525E-3,-1.223440748E-3
4.149128333E-1,-1.480174437E-2,-3.357779235E-3,-5.143574439E-3
4.248878333E-1,-1.140168682E-2,2.161823213E-4,-2.488669008E-3
