"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.705708332E-3,1.302995363E-2,3.829633892E-2,2.713517368E-2
1.667970833E-2,1.188561698E-2,8.576286614E-2,6.727630913E-2
2.665470833E-2,-5.438221190E-3,7.763932943E-2,2.325437665E-3
3.662970833E-2,-1.925575823E-2,1.379475117E-2,-4.838454008E-2
4.660370833E-2,-2.592070699E-3,2.656039238E-2,-7.381525040E-3
5.657870833E-2,9.627531935E-3,7.672482491E-2,7.250488937E-2
6.655370833E-2,-3.821466062E-3,1.137347764E-1,4.890669644E-2
7.652770833E-2,-1.122095302E-2,4.889324784E-2,-2.014716625E-2
8.650270833E-2,1.059880927E-2,-2.666330338E-2,-9.905651093E-2
9.647770833E-2,2.094238758E-2,-2.859639287E-2,-1.427433980E-1
1.064516250E-1,2.137555663E-2,5.176773906E-2,-5.242964387E-2
1.164266250E-1,4.804821555E-3,1.369371128E-1,9.740350306E-2
1.264016250E-1,-6.299771871E-3,1.356647587E-1,1.528947490E-1
1.363756250E-1,-6.968625734E-2,-9.350282550E-3,4.508495629E-2
1.463506250E-1,-6.144928465E-2,-6.359607160E-2,-2.036415642E-1
1.563256250E-1,-2.169083118E-2,7.712126613E-2,-2.968631387E-2
1.662996250E-1,9.511080980E-3,2.561285108E-1,4.048916173E-1
1.762746250E-1,5.135596717E-2,2.891091460E-1,3.461896652E-1
1.862496250E-1,2.095952723E-3,7.013735175E-3,-1.196439725E-1
1.962236250E-1,-3.733973444E-2,-3.237404501E-1,-4.616096091E-1
2.061986250E-1,3.823099628E-2,-2.851307005E-1,-4.541321898E-1
2.161736250E-1,1.026172094E-1,3.360336363E-2,-9.186326623E-2
2.261476250E-1,5.069362381E-2,2.685129136E-1,2.296663517E-1
2.361226250E-1,4.470695207E-2,1.829453444E-1,1.911250144E-1
2.460976250E-1,-4.242154956E-3,-8.725741446E-2,-1.670362401E-1
2.560716250E-1,-4.981566438E-2,-2.279168648E-1,-3.633430570E-1
2.660466250E-1,-6.328132695E-2,-5.631277978E-2,-1.069672090E-1
2.760216250E-1,-1.917026097E-2,2.798588508E-1,3.408663601E-1
2.859956250E-1,-4.325459506E-3,4.174824268E-1,4.974407619E-1
2.959706250E-1,1.189195756E-3,1.980808622E-1,2.099963182E-1
3.059456250E-1,1.791818937E-2,-1.650838548E-1,-2.999697644E-1
3.159196250E-1,-2.684584614E-3,-3.093627316E-1,-5.138445407E-1
3.258946250E-1,1.104741862E-2,-1.066532135E-1,-2.664956242E-1
3.358696250E-1,5.400632730E-2,1.862905365E-1,1.432901126E-1
3.458436250E-1,4.937474778E-2,2.315351218E-1,2.606285280E-1
3.558186250E-1,3.682411965E-3,7.131556571E-2,7.419531941E-3
3.657936250E-1,-1.672948698E-2,-1.076881707E-1,-2.135549337E-1
3.757676250E-1,-4.075834561E-2,-1.004610121E-1,-1.384106112E-1
3.857426250E-1,-4.545784419E-2,1.139172095E-1,9.529265821E-2
3.957176250E-1,-9.497029390E-3,2.577756715E-1,2.696893734E-1
4.056916250E-1,2.002656743E-2,1.677870226E-1,1.971856534E-1
4.156666250E-1,1.745203838E-2,-4.157955050E-3,-9.091017008E-2
4.256416250E-1,1.595544353E-2,-1.289860690E-1,-2.718709695E-1
4.356156250E-1,-2.651091032E-3,-9.709886312E-2,-2.055483413E-1
4.455906250E-1,2.763412390E-2,3.583875418E-2,-3.690060854E-2
4.555656250E-1,2.727490386E-2,1.082945269E-1,5.232614815E-2
4.655396250E-1,1.660432002E-2,9.155745685E-2,4.443357646E-2
4.755146250E-1,-6.336627603E-3,4.257123828E-2,4.639180899E-3
4.854896250E-1,-3.489210824E-2,2.380693853E-2,-3.899508119E-3
4.954636250E-1,-3.971719405E-2,4.526563525E-2,1.600909173E-2
5.054386250E-1,-2.604521614E-2,7.317848861E-2,4.193155289E-2
5.154136250E-1,9.044911712E-6,5.604907036E-2,1.884849966E-2
5.253876250E-1,4.311208745E-2,4.115562737E-2,-1.614357769E-2
5.353626250E-1,2.876466477E-2,2.776024103E-2,-4.043291152E-2
5.453376250E-1,1.081035057E-2,1.732939303E-2,-6.670679033E-2
5.553116250E-1,6.294692103E-3,-8.422329426E-3,-9.365894616E-2
5.652866250E-1,8.285212219E-3,-2.227262914E-2,-8.142481685E-2
5.752616250E-1,5.861413423E-3,2.445948780E-2,-3.474357069E-2
5.852356250E-1,4.016160071E-3,9.232928932E-2,6.691787481E-2
5.952106250E-1,-6.416898910E-3,1.401741314E-1,1.207982129E-1
6.051856250E-1,-1.502093056E-2,9.783093452E-2,6.955087602E-2
6.151596250E-1,-2.310280586E-2,-1.130851507E-3,-6.453162611E-2
6.251346250E-1,-2.307567112E-3,-4.079777777E-2,-1.351069343E-1
6.351096250E-1,1.663943985E-2,1.097580850E-2,-5.774534762E-2
6.450836250E-1,3.347063184E-2,9.855423510E-2,6.060405135E-2
6.550586250E-1,1.899875483E-2,1.148147571E-1,6.815339148E-2
6.650336250E-1,6.373008247E-3,3.168956995E-2,-3.034061730E-2
6.750076250E-1,-1.756375674E-3,-5.861716747E-2,-1.455190712E-1
6.849826250E-1,-3.086598963E-3,-4.650232136E-2,-1.179839480E-1
6.949576250E-1,-8.021502793E-3,7.396143079E-2,2.282168269E-2
7.049316250E-1,-5.669643022E-3,1.723420036E-1,1.611843467E-1
7.149066250E-1,-5.532215182E-3,1.408120626E-1,1.147802585E-1
7.248816250E-1,-1.683596112E-3,-4.678941965E-3,-6.319904566E-2
7.348556250E-1,1.945478283E-4,-8.587045491E-2,-1.778027183E-1
7.448306250E-1,7.455656771E-3,-3.896409094E-2,-1.188908511E-1
7.548056250E-1,5.875574648E-3,8.132833779E-2,3.281340480E-2
7.647796250E-1,1.365540471E-2,1.352051675E-1,1.059913087E-1
7.747546250E-1,1.262868846E-2,7.219323277E-2,2.344441116E-2
7.847296250E-1,-7.254804913E-3,-3.630009949E-2,-1.052411109E-1
7.947036250E-1,-1.398359796E-2,-4.671048224E-2,-1.233990544E-1
8.046786250E-1,-8.954590503E-3,3.745258570E-2,7.489698529E-3
8.146536250E-1,6.321022846E-4,1.345666516E-1,1.149849111E-1
8.246276250E-1,1.535040289E-3,1.301514190E-1,9.263626814E-2
8.346026250E-1,4.302107189E-3,1.764221907E-2,-3.744030654E-2
8.445776250E-1,9.351726081E-3,-6.073795259E-2,-1.416131312E-1
8.545516250E-1,9.415186644E-3,-2.623119414E-2,-1.193346548E-1
8.645266250E-1,4.067451116E-3,6.078473032E-2,-3.099024296E-5
8.745016250E-1,5.199490339E-3,1.074648070E-1,7.305511236E-2
8.844756250E-1,1.045410896E-2,7.614244223E-2,1.701130450E-2
8.944506250E-1,4.202686250E-4,1.132137895E-2,-5.709338307E-2
9.044256250E-1,-5.310148895E-3,-3.409511447E-3,-6.391240597E-2
9.143996250E-1,-2.096372992E-3,5.399728239E-2,2.068744898E-3
9.243746250E-1,-5.637994967E-4,9.564641476E-2,5.488138139E-2
9.343496250E-1,4.748998918E-3,7.757910311E-2,3.316189885E-2
9.443236250E-1,9.274433199E-3,1.927417696E-2,-3.910793245E-2
9.542986250E-1,6.064165626E-3,-1.104831398E-2,-9.387412369E-2
9.642736250E-1,6.142500043E-4,1.774279118E-2,-6.160860300E-2
9.742476250E-1,-3.687290736E-3,5.223610103E-2,-1.560037136E-3
9.842226250E-1,4.997724853E-3,6.268215179E-2,2.507286072E-3
9.941976250E-1,-7.087994814E-3,3.172582269E-2,-1.526123285E-2
1.004171625E0,9.297219068E-3,2.899049520E-2,-2.631948709E-2
1.014146625E0,-3.067577239E-3,5.217295110E-2,7.309019566E-5
1.024121625E0,-3.980345875E-3,7.693883300E-2,3.460382223E-2
1.034095625E0,-1.637848958E-2,6.792885840E-2,1.539805770E-2
1.044070625E0,-2.644421551E-3,1.918062150E-2,-4.118720233E-2
1.054045625E0,5.809062570E-3,-1.985129714E-3,-7.016892672E-2
1.064019625E0,6.620911919E-3,2.692116559E-2,-4.649355054E-2
1.073994625E0,8.260069191E-3,6.243130624E-2,1.066649079E-2
1.083969625E0,2.129446305E-3,5.653205037E-2,8.251590729E-3
1.093943625E0,-6.730327941E-4,2.946061134E-2,-3.804841697E-2
1.103918208E0,2.011021916E-3,8.046353459E-3,-5.924223483E-2
1.113893208E0,3.214378897E-3,3.479853451E-2,-2.337541401E-2
1.123867208E0,4.319265112E-4,8.500916004E-2,4.071650147E-2
1.133842208E0,5.740047153E-3,9.967865467E-2,6.788208067E-2
1.143817208E0,4.197716117E-3,3.131885648E-2,-1.287790775E-2
