"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.076633333E-2,1.001653623E-2,8.700656891E-3,-5.052579045E-2
3.074133333E-2,1.092351247E-2,-5.164845586E-3,-8.112310052E-2
4.071633333E-2,1.039629461E-2,-8.231125474E-3,-9.806891620E-2
5.069133333E-2,2.112887722E-2,-1.217507243E-2,-1.067561245E-1
6.066633333E-2,3.109229514E-2,-2.147214532E-2,-1.148656279E-1
7.064133333E-2,2.505462471E-2,-2.030387163E-2,-1.039085305E-1
8.061633333E-2,1.103117432E-2,-6.608523130E-3,-9.691643000E-2
9.059133333E-2,4.257522170E-3,9.431558847E-4,-7.375853240E-2
1.005663333E-1,-9.342571534E-4,1.983083189E-2,-4.939201534E-2
1.105413333E-1,1.312199246E-2,3.679886699E-2,-1.129214287E-2
1.205163333E-1,1.062844735E-2,3.884305358E-2,-2.162651181E-2
1.304913333E-1,4.358057734E-3,2.876186907E-2,-4.012067020E-2
1.404663333E-1,1.993578941E-2,5.988718271E-3,-6.066369295E-2
1.504413333E-1,2.087313462E-2,-8.326435089E-3,-9.134754181E-2
1.604163333E-1,2.464164684E-2,-2.935243785E-2,-1.081424993E-1
1.703913333E-1,1.866856987E-2,-2.511613011E-2,-1.162373847E-1
1.803663333E-1,2.128925538E-2,-1.008527756E-2,-1.018508953E-1
1.903413333E-1,2.200714728E-2,-2.634170651E-3,-7.727738678E-2
2.003163333E-1,1.066210538E-2,1.787376881E-2,-5.938666105E-2
2.102913333E-1,5.492161755E-3,1.406196892E-2,-5.784241140E-2
2.202663333E-1,-6.800494529E-4,2.154698968E-3,-6.478188694E-2
2.302413333E-1,6.927744560E-3,1.088283777E-2,-6.008014083E-2
2.402163333E-1,1.336231302E-2,2.405252159E-2,-3.546570182E-2
2.501913333E-1,8.661444001E-3,2.032024384E-2,-3.927106977E-2
2.601663333E-1,1.658754582E-2,3.757420778E-3,-8.020684183E-2
2.701413333E-1,1.576729110E-2,-1.851579309E-2,-1.126448554E-1
2.801163333E-1,1.284176465E-2,-1.784219384E-2,-9.629077792E-2
2.900913333E-1,2.538057044E-2,-1.775214672E-3,-7.443622470E-2
3.000663333E-1,2.012481892E-2,1.169910908E-2,-6.410477936E-2
3.100413333E-1,7.022780087E-3,1.088926971E-2,-4.803195298E-2
3.200163333E-1,1.649117639E-2,5.680570006E-3,-7.028996408E-2
3.299913333E-1,1.954344124E-2,-4.858451486E-3,-7.816207051E-2
3.399663333E-1,1.199625727E-2,1.047470212E-2,-6.931055546E-2
3.499413333E-1,1.083489060E-2,1.932797134E-2,-6.059937358E-2
3.599163333E-1,2.033530042E-2,2.040268958E-2,-4.402134776E-2
3.698913333E-1,1.058331415E-2,9.604636431E-3,-5.909663916E-2
3.798663333E-1,2.240053698E-2,-1.317845464E-2,-9.865539193E-2
3.898413333E-1,2.110581726E-2,-1.894614816E-2,-1.026642430E-1
3.998163333E-1,1.842559978E-2,1.437830329E-3,-7.979578257E-2
4.097913333E-1,1.711478194E-2,1.049399793E-2,-5.207120955E-2
4.197663333E-1,1.003334697E-2,2.041730762E-2,-4.257708549E-2
4.297413333E-1,1.629631793E-2,6.072918177E-3,-6.139985740E-2
4.397163333E-1,2.079969725E-2,-1.159152031E-2,-8.669842064E-2
4.496913333E-1,1.846145052E-2,-6.789202094E-3,-9.019564033E-2
4.596663333E-1,1.637574870E-2,6.685121655E-3,-5.726529121E-2
4.696413333E-1,1.587519050E-2,1.648388565E-2,-6.645009756E-2
4.796163333E-1,1.339074511E-2,9.162586927E-3,-5.962288857E-2
4.895913333E-1,1.077813607E-2,-8.130553365E-3,-7.568518996E-2
4.995663333E-1,1.898883283E-2,-1.238557220E-2,-9.359404206E-2
5.095413333E-1,7.432816084E-3,-1.124887347E-2,-9.248365581E-2
5.195163333E-1,1.371608784E-2,5.430309176E-3,-8.228377283E-2
5.294913333E-1,2.069110349E-2,2.229192495E-2,-6.328090668E-2
5.394663333E-1,2.320065536E-3,9.723919630E-3,-6.237692714E-2
5.494413333E-1,1.522150833E-2,-2.584469318E-3,-8.174290538E-2
5.594163333E-1,1.646544864E-2,1.124419570E-3,-8.665515125E-2
5.693913333E-1,1.206176436E-2,1.008995533E-2,-7.560391366E-2
5.793663333E-1,1.256188402E-2,9.454947710E-3,-5.949600399E-2
5.893413333E-1,1.074482521E-2,8.726384640E-3,-6.201147616E-2
5.993163333E-1,1.076576555E-2,-9.870100021E-4,-7.620617688E-2
6.092913333E-1,1.416709090E-2,-8.151018620E-3,-8.500857532E-2
6.192663333E-1,2.037506148E-2,7.661021948E-3,-8.164467216E-2
6.292413333E-1,1.200694671E-2,1.503845394E-2,-6.181617916E-2
6.392163333E-1,6.963759754E-3,9.394721389E-3,-6.144897401E-2
6.491913333E-1,1.146816233E-2,8.836897016E-3,-7.021862805E-2
6.591663333E-1,1.357195398E-2,-1.467651129E-4,-8.758485854E-2
6.691413333E-1,2.269638782E-2,3.558030725E-3,-6.893107116E-2
6.791163333E-1,1.662798297E-2,1.590793490E-2,-5.818798184E-2
6.890913333E-1,2.049259052E-2,1.133892059E-2,-6.376973391E-2
6.990663333E-1,1.860278869E-2,3.989555240E-3,-7.083141625E-2
7.090413333E-1,1.856143791E-2,-9.888811111E-3,-8.266793489E-2
7.190163333E-1,1.682371851E-2,-3.505405784E-3,-8.154877782E-2
7.289913333E-1,1.262163525E-2,8.477293253E-3,-6.192727625E-2
7.389663333E-1,5.571665615E-3,1.659088969E-2,-5.724190235E-2
7.489413333E-1,1.673999369E-2,1.619210958E-2,-5.177475572E-2
7.589163333E-1,9.086591396E-3,-9.548503160E-4,-7.816382468E-2
7.688913333E-1,1.020631492E-2,-1.516241491E-2,-7.065892339E-2
7.788663333E-1,1.550604846E-2,5.212792754E-3,-7.707214952E-2
7.888413333E-1,1.537406584E-2,1.155994534E-2,-6.291077793E-2
7.988158750E-1,8.281868342E-3,1.154883564E-2,-7.826673567E-2
8.087908750E-1,1.157984415E-2,-2.863381505E-3,-8.072022736E-2
8.187658750E-1,8.114784155E-3,-5.110466480E-3,-7.248968661E-2
8.287408750E-1,1.567567253E-2,-4.291856289E-3,-8.009223640E-2
8.387158750E-1,2.222588796E-2,1.059515476E-2,-7.362463117E-2
8.486908750E-1,9.190964196E-3,1.698966980E-2,-4.913824618E-2
8.586658750E-1,9.629213009E-3,1.196106434E-2,-5.922586262E-2
8.686408750E-1,7.382420395E-3,2.799646854E-3,-6.885154903E-2
8.786158750E-1,1.231200691E-2,-7.989635468E-3,-8.339065075E-2
8.885908750E-1,9.787800461E-3,-2.534183264E-3,-7.468180776E-2
8.985658750E-1,1.171314240E-2,1.203356981E-2,-5.021121025E-2
9.085408750E-1,1.889878571E-2,2.769826055E-2,-6.250088811E-2
9.185158750E-1,1.683444450E-2,8.484894633E-3,-7.223474801E-2
9.284908750E-1,1.894307837E-2,-5.585845113E-3,-8.330995917E-2
9.384658750E-1,1.774918657E-2,-1.919640899E-3,-9.794437051E-2
9.484408750E-1,1.078619426E-2,-2.771580219E-3,-7.504959762E-2
9.584158750E-1,4.856368415E-3,1.059924781E-2,-6.375453115E-2
9.683908750E-1,9.754781965E-3,1.196574211E-2,-5.489541471E-2
9.783658750E-1,1.450120445E-2,5.739042163E-3,-8.159555554E-2
9.883408750E-1,1.032663966E-2,2.704921961E-3,-7.611612976E-2
9.983158750E-1,1.081310973E-2,9.367239475E-3,-7.465374112E-2
1.008290875E0,9.630967174E-3,1.075946152E-2,-7.025137246E-2
1.018265875E0,1.088356867E-2,9.511080980E-3,-6.232079387E-2
1.028240875E0,1.743436882E-2,-2.865720391E-3,-6.255175889E-2
1.038215875E0,1.863301149E-2,5.591692328E-3,-7.336676896E-2
1.048190875E0,1.902024334E-2,1.485192776E-3,-7.383454621E-2
1.058165875E0,1.299836040E-2,7.066360116E-3,-7.601731181E-2
1.068140875E0,1.620367611E-2,1.438590467E-2,-7.095537722E-2
1.078115875E0,1.297921076E-2,9.118732810E-3,-6.410770297E-2
1.088090875E0,1.023480183E-2,6.575194001E-3,-6.335984409E-2
1.098065875E0,9.752680622E-3,6.012691855E-3,-7.378601432E-2
1.108040875E0,1.927755738E-2,3.213045001E-3,-7.102554381E-2
1.118015875E0,2.117786592E-2,5.149642825E-3,-6.744353950E-2
1.127990875E0,1.258960348E-2,6.740670204E-3,-6.648167253E-2
1.137965875E0,1.127944345E-2,4.367870092E-4,-7.624126017E-2
1.147940875E0,1.679068174E-2,1.242124021E-2,-7.532967925E-2
1.157915875E0,9.874777794E-3,1.213121831E-2,-6.124490619E-2
1.167890875E0,1.046503594E-2,7.144128084E-3,-6.939417064E-2
1.177865875E0,1.064905878E-2,5.736703277E-3,-6.566774011E-2
1.187840875E0,6.693326030E-3,8.093715906E-3,-6.542741954E-2
1.197815875E0,1.417482018E-2,4.353252053E-3,-6.452636361E-2
1.207790875E0,9.465637151E-3,4.042180181E-3,-7.202541769E-2
1.217765875E0,1.444117913E-2,5.999827981E-3,-7.844332159E-2
1.227740875E0,1.661411410E-2,6.316747069E-3,-6.749148667E-2
1.237715875E0,1.285015175E-2,2.547631860E-3,-7.306739151E-2
1.247690875E0,9.811646137E-3,-1.434906721E-3,-7.117874086E-2
1.257665875E0,1.091560045E-2,1.081910312E-2,-7.570331633E-2
1.267640875E0,6.480761468E-3,1.178155482E-2,-6.602909803E-2
1.277615875E0,8.976079021E-3,1.910753131E-2,-5.945858181E-2
1.287590875E0,7.964364532E-3,1.244930685E-2,-5.934046805E-2
1.297565875E0,1.658842290E-2,5.742550492E-3,-6.588584125E-2
1.307540875E0,1.658871526E-2,4.569014311E-3,-7.812406361E-2
1.317515875E0,9.157196525E-3,2.440627813E-3,-7.337963283E-2
1.327490875E0,1.763591504E-2,9.063768983E-3,-6.808790267E-2
1.337465875E0,1.394692495E-2,1.106410146E-2,-6.351362586E-2
1.347440875E0,1.083922120E-2,5.941940546E-3,-6.633139908E-2
1.357415875E0,8.344689365E-3,7.071037889E-3,-8.170022070E-2
1.367390875E0,1.076894497E-2,-1.515598297E-3,-7.115769088E-2
1.377365875E0,1.076064924E-2,1.620848179E-2,-6.440649569E-2
1.387340875E0,5.060637239E-3,1.989456654E-2,-5.827861369E-2
1.397315875E0,9.342863895E-3,8.396016955E-3,-6.272542119E-2
1.407290875E0,1.250343014E-2,9.619839191E-3,-6.972103000E-2
1.417265875E0,1.278022271E-2,4.353836775E-3,-7.425262213E-2
1.427240875E0,1.422218263E-2,5.755414367E-3,-6.908251405E-2
1.437215875E0,1.346981043E-2,1.164765358E-2,-6.316922486E-2
1.447190875E0,1.053372245E-2,1.275570095E-2,-6.352648973E-2
1.457165875E0,8.222500831E-3,6.793879867E-3,-6.363407850E-2
1.467140875E0,8.724009208E-3,-4.293025732E-3,-6.806392908E-2
1.477115875E0,9.065267332E-3,9.913369417E-3,-7.609683394E-2
1.487090875E0,1.640641004E-2,1.146171212E-2,-7.826498151E-2
1.497065875E0,1.410876492E-2,1.783751607E-2,-4.983757317E-2
1.507040875E0,2.800132904E-2,3.937982798E-2,-3.712397218E-2
1.517015875E0,6.192053368E-2,5.887502968E-2,-2.754330933E-2
1.526990875E0,1.629297588E-1,9.035117626E-2,-3.818991959E-2
1.536965875E0,5.778578112E-1,2.284758586E-1,-1.503149575E-1
1.546940875E0,1.421884679E0,1.544063128E0,-1.010243914E0
1.556915875E0,-6.115670094E-1,2.658001564E0,8.510914743E-2
1.566890875E0,-4.491789257E0,-7.790239567E0,-1.357703594E0
1.576865875E0,3.195613574E0,4.944799073E0,-5.636089652E0
1.586840875E0,7.845577615E-1,-2.948338625E0,2.054723275E-1
1.596815875E0,-1.033666105E0,-2.279461008E-1,-4.878495741E-1
1.606790875E0,3.741975358E-1,5.834708458E-1,-3.633693695E-2
1.616765875E0,-3.123857421E-1,3.112858808E-1,3.593108171E-1
1.626740875E0,4.429923669E-1,5.581740367E-1,1.028755029E0
1.636715875E0,-2.474132359E-1,6.501647723E-1,4.124111366E-1
1.646690875E0,-3.168781579E-2,-2.099413544E-1,-1.509715998E-1
1.656665875E0,-2.966729214E-2,-3.291976565E-1,-4.262824863E-1
1.666640875E0,-1.630054254E-1,-9.771282077E-2,-3.587184942E-1
1.676615875E0,5.608557891E-2,-2.941149473E-2,5.243432164E-2
1.686590875E0,3.421892926E-1,1.439496785E-1,1.386263734E-1
1.696565875E0,1.725811182E-1,1.842282236E-1,3.222868323E-2
