"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.447333333E-3,3.900633708E-2,4.895873666E-2,-8.503605723E-2
1.642333333E-2,-8.712965280E-2,1.016807413E-1,-7.643597245E-2
2.639933333E-2,-1.217517110E-1,9.171825528E-2,2.559911013E-3
3.637433333E-2,-2.517560726E-2,7.270778775E-2,2.117101371E-2
4.635033333E-2,1.923266172E-2,9.046461225E-2,-7.868013382E-3
5.632633333E-2,-7.439662809E-2,5.182679594E-2,3.592236936E-2
6.630233333E-2,-8.550016170E-2,4.052471280E-2,-7.382519066E-2
7.627833333E-2,-5.147055432E-2,-8.571725786E-2,-1.552318811E-1
8.625333333E-2,-7.046523437E-2,3.578086674E-2,-1.223085487E-1
9.622933333E-2,-1.765407612E-1,3.152076083E-1,2.902166086E-1
1.062053333E-1,-1.029837750E-1,3.873762828E-1,4.320419937E-1
1.161813333E-1,1.197473221E-1,-4.135150909E-2,1.693844819E-1
1.261573333E-1,2.894967799E-1,-4.416431218E-1,-5.123400521E-1
1.361333333E-1,4.319570264E-2,-4.025802130E-1,-7.290407878E-1
1.461083333E-1,-3.370887664E-1,-7.739491582E-2,-4.287967891E-1
1.560843333E-1,-1.733183241E-1,9.251815438E-2,7.137052953E-2
1.660603333E-1,4.537698451E-1,7.932625115E-2,2.063119876E-1
1.760363333E-1,3.991663161E-1,9.646736383E-2,1.023239350E-1
1.860123333E-1,-3.922294718E-1,1.184569877E-1,2.603063464E-2
1.959873333E-1,-5.659742224E-1,1.423949039E-1,-8.666158319E-3
2.059633333E-1,-2.751835451E-1,7.304517210E-2,-8.657095134E-2
2.159393333E-1,1.715029281E-1,3.592003047E-2,-1.651487589E-2
2.259153333E-1,3.089895330E-1,1.221594447E-1,1.443589836E-1
2.358913333E-1,3.148838919E-2,8.735506296E-2,1.280645478E-1
2.458673333E-1,-5.943566803E-2,-1.423153818E-1,-1.896591175E-1
2.558423333E-1,5.311670998E-2,-3.562883914E-1,-5.044258457E-1
2.658183333E-1,-1.032801010E-3,-4.763983870E-1,-3.486788249E-1
2.757943333E-1,-5.491487497E-2,9.145279169E-2,-4.910392302E-1
2.857703333E-1,-3.441133189E-1,4.285886282E-1,1.888615572E-1
2.957463333E-1,-5.379858669E-3,4.738811606E-1,6.155802459E-1
3.057213333E-1,3.427298677E-1,2.481406295E-1,5.859676069E-1
3.156973333E-1,6.668267056E-2,-3.446758211E-2,-2.303686023E-2
3.256733333E-1,-3.112848575E-1,-5.162682116E-2,-3.673881608E-1
3.356493333E-1,-6.449939333E-1,-6.682724297E-2,-2.830800819E-1
3.456253333E-1,-1.221168879E-1,-1.826418740E-1,-2.492498463E-1
3.556003333E-1,4.989949884E-1,-1.867431110E-1,-2.924613547E-1
3.655763333E-1,5.713982458E-1,7.803518593E-2,-4.028146863E-2
3.755523333E-1,-1.374029714E-1,2.399516040E-1,3.062555212E-1
3.855283333E-1,-3.044615954E-1,1.060912961E-1,1.291743493E-1
3.955043333E-1,-1.680727322E-2,-1.756006569E-1,-2.955241263E-1
4.054803333E-1,-9.934960261E-2,-1.271295780E-1,-3.795147014E-1
4.154553333E-1,-3.892954486E-1,1.930744761E-1,7.928707480E-2
4.254313333E-1,-2.078085642E-1,3.567111450E-1,4.305591398E-1
4.354073333E-1,4.141601485E-1,2.165405220E-1,2.617763364E-1
4.453833333E-1,3.167165920E-1,-9.275905967E-2,-7.668389440E-2
4.553593333E-1,-9.558617016E-2,-2.211721015E-1,-3.762431842E-1
4.653343333E-1,-2.956790592E-1,-1.725870019E-1,-4.245400161E-1
4.753103333E-1,-2.359344024E-1,-1.206578797E-1,-2.629767698E-1
4.852863333E-1,5.921228612E-2,3.296192408E-2,-6.850773275E-2
4.952623333E-1,2.664350872E-1,1.820226538E-1,2.183812255E-1
5.052383333E-1,8.800306236E-2,3.089078182E-1,3.174085003E-1
5.152143333E-1,-2.694821079E-1,1.668356806E-1,1.827330905E-1
5.251893333E-1,-1.156737131E-1,-8.319126070E-2,-1.885037076E-1
5.351668333E-1,-2.649007961E-2,-1.744212735E-1,-3.844988680E-1
5.451428333E-1,-1.031907848E-1,-4.506741464E-2,-1.845311093E-1
5.551188333E-1,-1.034644344E-1,8.024134040E-2,6.196411371E-2
5.650948333E-1,1.783377385E-1,4.557319880E-2,8.944602728E-2
5.750698333E-1,2.643831896E-1,-1.117695272E-2,-1.063064736E-1
5.850458333E-1,-7.439838225E-2,6.700324416E-3,-1.295421392E-1
