"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.345316667E-2,-2.683991241E1,-1.539021301E1,3.968714905E1
2.342816666E-2,-2.689309692E1,-1.537393188E1,3.962046814E1
3.340416666E-2,-2.684903717E1,-1.535965729E1,3.952452087E1
4.337916666E-2,-2.719603729E1,-1.535614014E1,3.944808960E1
5.335516666E-2,-2.699927521E1,-1.530821991E1,3.926345825E1
6.333016665E-2,-2.703678131E1,-1.529447174E1,3.903644562E1
7.330616665E-2,-2.699696350E1,-1.530238342E1,3.918286896E1
8.328116665E-2,-2.728769684E1,-1.530825806E1,3.941946411E1
9.325716665E-2,-2.715301514E1,-1.536634064E1,3.971572113E1
1.032331667E-1,-2.731984711E1,-1.524407959E1,3.949593353E1
1.132081666E-1,-2.699926758E1,-1.512430573E1,3.927285004E1
1.231841666E-1,-2.689672852E1,-1.524093628E1,3.925010681E1
1.331591667E-1,-2.694587708E1,-1.527468109E1,3.923661804E1
1.431351667E-1,-2.715515137E1,-1.523169708E1,3.923709106E1
1.531101667E-1,-2.698852539E1,-1.509915161E1,3.931121063E1
1.630861667E-1,-2.708412933E1,-1.522777557E1,3.919303131E1
1.730611667E-1,-2.733085632E1,-1.525287628E1,3.922933197E1
1.830371667E-1,-2.702719116E1,-1.531109619E1,3.924048615E1
1.930121667E-1,-2.713672638E1,-1.535472870E1,3.925402832E1
2.029881667E-1,-2.713075256E1,-1.535701752E1,3.931562805E1
2.129631666E-1,-2.730541229E1,-1.534917450E1,3.932489777E1
2.229391666E-1,-2.707320404E1,-1.511276245E1,3.902620697E1
2.329141667E-1,-2.726047516E1,-1.543111420E1,3.935585022E1
2.428901666E-1,-2.716626740E1,-1.528012848E1,3.950196075E1
2.528651667E-1,-2.713367462E1,-1.510347748E1,3.936955261E1
2.628411667E-1,-2.690422821E1,-1.515910339E1,3.928591156E1
2.728171667E-1,-2.687429810E1,-1.504834747E1,3.922650909E1
2.827921667E-1,-2.688442993E1,-1.496517181E1,3.905413055E1
2.927681667E-1,-2.723512268E1,-1.498426056E1,3.920774841E1
