"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.585000020E-3,-2.887495422E-1,7.926915894E0,-5.845045166E0
8.389999974E-3,-2.833607483E-1,7.940238190E0,-5.831722870E0
1.836499997E-2,-2.501298523E-1,7.974217529E0,-5.841752014E0
2.834099997E-2,-2.535726929E-1,7.948022003E0,-5.811664581E0
3.831599996E-2,-2.790197754E-1,7.895032196E0,-5.817352753E0
4.829099996E-2,-2.564167786E-1,7.922574921E0,-5.889353027E0
5.826600001E-2,-2.484832764E-1,7.934550018E0,-5.921985168E0
6.824100000E-2,-3.037184143E-1,7.878716125E0,-5.865402832E0
7.821599999E-2,-2.881507874E-1,7.910599823E0,-5.850583649E0
8.819099999E-2,-1.965412903E-1,8.009095001E0,-5.806575165E0
9.816599998E-2,-1.601669312E-1,8.010142822E0,-5.741310883E0
1.081410000E-1,-1.547781372E-1,8.001760254E0,-5.739514618E0
1.181160000E-1,-3.345542908E-1,7.900870056E0,-5.831273804E0
1.280920000E-1,-6.544390869E-1,7.647147675E0,-6.079158325E0
1.380670000E-1,-6.454577637E-1,7.761360168E0,-6.204447784E0
1.480420000E-1,-4.505630493E-1,7.819589081E0,-6.039640503E0
1.580170000E-1,-2.257305908E-1,7.919581146E0,-5.740412750E0
1.679920000E-1,-2.065704346E-2,8.119714966E0,-5.606740723E0
1.779670000E-1,-2.200424194E-2,8.133636017E0,-5.609734497E0
1.879420000E-1,-2.315684509E-1,7.974516907E0,-5.721701660E0
1.979170000E-1,-3.333567810E-1,7.866890717E0,-5.943839722E0
2.078920000E-1,-2.493814087E-1,7.862250366E0,-6.059549103E0
2.178670000E-1,-1.695973206E-1,7.787256317E0,-5.964197388E0
2.278430000E-1,-1.139131165E-1,7.887248383E0,-5.919739838E0
2.378180000E-1,-1.543290710E-1,7.960446167E0,-5.815257111E0
2.477930000E-1,-3.050656128E-1,7.968379669E0,-5.746699677E0
2.577680000E-1,-3.628454590E-1,8.038583679E0,-5.744753723E0
2.677430000E-1,-3.671864319E-1,8.022417297E0,-5.702242126E0
2.777180000E-1,-3.978726196E-1,7.972421265E0,-5.729186096E0
2.876930000E-1,-4.293072510E-1,7.926017761E0,-5.841452637E0
2.976680000E-1,-4.299060059E-1,7.830366669E0,-5.989943848E0
3.076430000E-1,-3.927832031E-1,7.728129272E0,-6.115233307E0
3.176180000E-1,-2.999761963E-1,7.693700867E0,-6.148015137E0
