"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.878612500E-2,8.864639282E0,-2.765207672E1,-1.977461243E1
2.876012499E-2,8.954154968E0,-2.731144714E1,-1.942222595E1
3.873312499E-2,8.775177002E0,-2.787767029E1,-1.970568848E1
4.870712501E-2,9.353786469E0,-2.631381226E1,-1.788874817E1
5.868112500E-2,9.075065613E0,-2.785140991E1,-1.952285767E1
6.865512501E-2,9.317489624E0,-2.682009125E1,-1.868601990E1
7.862912500E-2,9.365470886E0,-2.675678253E1,-1.884020996E1
8.860212500E-2,8.888813019E0,-2.770701599E1,-1.958715820E1
9.857612499E-2,9.338184357E0,-2.592378998E1,-1.800733948E1
1.085501250E-1,9.146675110E0,-2.766194916E1,-1.970960999E1
1.185241250E-1,9.263748169E0,-2.658203888E1,-1.879682922E1
1.284981250E-1,9.223178864E0,-2.683753204E1,-1.904277039E1
1.384711250E-1,8.949409485E0,-2.773577881E1,-1.987536621E1
1.484451250E-1,9.241748810E0,-2.610439301E1,-1.831732178E1
1.584191250E-1,8.673248291E0,-2.769950104E1,-2.014642334E1
1.683931250E-1,9.105003357E0,-2.680896759E1,-1.854162598E1
1.783671250E-1,8.958957672E0,-2.679127502E1,-1.857099915E1
1.883401250E-1,8.902992249E0,-2.750548553E1,-1.923228455E1
1.983141250E-1,9.061557770E0,-2.610434723E1,-1.782412720E1
2.082881250E-1,8.907917023E0,-2.798892212E1,-1.991441345E1
2.182621250E-1,9.210685730E0,-2.690650177E1,-1.868861389E1
2.282361250E-1,8.999057770E0,-2.697964478E1,-1.863331604E1
2.382091250E-1,8.862129211E0,-2.749381256E1,-1.950502014E1
2.481831250E-1,9.410526276E0,-2.630197906E1,-1.816801453E1
2.581571250E-1,8.634567261E0,-2.788659668E1,-2.000158691E1
2.681311250E-1,9.194606781E0,-2.690071106E1,-1.835394287E1
2.781051250E-1,9.180107117E0,-2.684032440E1,-1.862977600E1
2.880781250E-1,9.023975372E0,-2.747601318E1,-1.944544983E1
2.980521250E-1,9.337112427E0,-2.606203461E1,-1.818788147E1
3.080261250E-1,8.790683746E0,-2.789225006E1,-1.983999634E1
3.180001250E-1,8.968299866E0,-2.695733643E1,-1.864767456E1
3.279741250E-1,8.851486206E0,-2.687802887E1,-1.908587646E1
3.379471250E-1,8.888923645E0,-2.784172821E1,-1.944470215E1
3.479211250E-1,9.419353485E0,-2.639396667E1,-1.793444824E1
3.578951250E-1,8.706199646E0,-2.814463806E1,-1.987274170E1
3.678691250E-1,9.160587311E0,-2.694063568E1,-1.865156555E1
3.778431250E-1,9.051319122E0,-2.697409058E1,-1.898901367E1
3.878161250E-1,9.037807465E0,-2.750212097E1,-1.956881714E1
3.977901250E-1,9.203311920E0,-2.622211456E1,-1.811874390E1
4.077641250E-1,8.978282928E0,-2.766473389E1,-2.011277771E1
4.177381250E-1,9.082015991E0,-2.652974701E1,-1.875801086E1
4.277121250E-1,9.109386444E0,-2.688302612E1,-1.890043640E1
