"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.943541662E-3,-4.656910314E-4,1.612637192E-3,1.416176790E-3
1.591754166E-2,-6.967899390E-5,2.725347877E-4,6.491865497E-4
2.589254166E-2,2.626791247E-4,-6.415769458E-4,2.516120672E-3
3.586654166E-2,-8.217600407E-4,8.159708232E-4,1.584280748E-3
4.584054166E-2,1.296885312E-4,-9.905863553E-4,-8.833091706E-4
5.581554167E-2,-2.344325185E-5,-4.313234240E-4,-8.135344833E-4
6.578954167E-2,1.291038934E-4,1.103725284E-3,-7.966584526E-4
7.576354167E-2,-3.388134937E-4,2.698898315E-4,3.407776821E-4
8.573854167E-2,3.031665459E-3,-1.725789160E-3,4.097041674E-4
9.571254166E-2,-2.209967934E-3,9.669344872E-4,-1.097644912E-3
1.056865417E-1,1.491965144E-3,-1.662429422E-4,1.047195867E-3
1.156615417E-1,3.705080599E-4,-2.835262567E-3,7.907336112E-4
1.256355417E-1,1.221132930E-3,-4.638116807E-4,6.710505113E-5
1.356095417E-1,7.038092008E-5,-6.885826588E-4,7.547331043E-4
1.455845417E-1,1.592736342E-3,2.898449078E-3,1.550729387E-3
1.555585417E-1,-1.915179309E-3,-3.975702450E-3,-8.280063048E-4
1.655325417E-1,-1.733476762E-3,1.263553277E-3,-3.953257110E-4
1.755075417E-1,-3.985978197E-3,9.556915611E-4,9.535653517E-4
1.854815417E-1,4.476321046E-4,-1.553576440E-4,2.102400642E-3
1.954555417E-1,-4.469236592E-4,6.515160203E-5,-1.198054990E-3
2.054305417E-1,-1.098942128E-3,7.585678250E-4,1.770186936E-3
2.154045417E-1,-8.177123382E-4,2.525042742E-3,-7.991096936E-5
2.253785417E-1,-2.848630771E-3,-5.196221173E-5,-1.575948438E-3
2.353535417E-1,-9.908095235E-4,7.879976183E-4,-3.972335253E-4
2.453275417E-1,8.123701555E-4,-2.826881595E-3,5.999044515E-5
2.553015417E-1,-1.999927917E-3,-4.944857210E-4,-1.650025137E-3
2.652765417E-1,-4.512201704E-4,-6.394442171E-4,5.438949447E-4
2.752505417E-1,1.959739486E-3,-7.361173630E-4,-4.310880322E-4
2.852245417E-1,9.369367035E-4,3.457665443E-4,-2.749657724E-4
2.951995417E-1,4.133592593E-4,-4.989876412E-3,1.411081525E-3
3.051735417E-1,1.835702220E-3,-1.806598157E-3,1.244617160E-4
3.151475417E-1,-3.046404570E-3,9.500402957E-4,1.092520542E-3
3.251225417E-1,1.914746361E-3,2.594478428E-3,3.822878934E-4
3.350965417E-1,-7.215167861E-4,4.114862531E-4,2.057203092E-4
3.450705417E-1,1.303433906E-3,9.493306279E-4,-4.015478771E-4
3.550455417E-1,-2.349091461E-3,9.046122432E-5,-1.802636776E-3
3.650195417E-1,-9.582843632E-5,-1.919116825E-3,1.695168670E-3
3.749935417E-1,1.732964301E-3,-8.533187211E-4,8.048738819E-4
3.849685417E-1,-1.143387170E-3,-2.798611298E-3,6.128849927E-4
3.949425417E-1,-7.018350298E-4,1.041667536E-3,8.413842879E-4
4.049166667E-1,6.962507032E-4,-7.926300168E-4,5.073151551E-4
4.148916667E-1,-1.167962095E-3,6.843581796E-4,1.689758617E-3
4.248656667E-1,8.937792154E-5,-1.158364117E-3,-1.581224613E-3
4.348396667E-1,-3.072326770E-3,-1.663565636E-3,7.282688748E-4
4.448146667E-1,-9.733250481E-4,2.175647765E-3,1.735644997E-3
4.547886667E-1,-4.691886716E-4,7.924027741E-4,1.761211432E-3
4.647626667E-1,-1.543123974E-3,3.515109420E-4,-9.095971473E-5
4.747376667E-1,1.896614907E-3,2.215458080E-3,2.485932782E-4
4.847116667E-1,-6.565788644E-4,-6.112176925E-4,3.321892582E-4
4.946856667E-1,9.479756700E-4,-3.393087536E-4,5.785315298E-4
5.046606667E-1,1.763925888E-3,-2.392150462E-3,3.280737437E-4
5.146346667E-1,1.476533944E-4,1.105377451E-3,6.532457191E-4
5.246086667E-1,3.327295417E-5,-7.313936949E-4,2.240388654E-3
5.345836667E-1,-1.189384260E-3,-9.037181735E-5,-2.153827110E-3
5.445576667E-1,5.843373365E-4,-2.189040184E-3,2.907768358E-4
5.545316667E-1,-1.884945668E-3,1.259334385E-5,3.688037395E-6
5.645066667E-1,7.052855799E-4,-7.117893547E-4,-2.212514635E-3
5.744806667E-1,-1.368251629E-3,-1.717664301E-3,-4.878514446E-4
5.844546667E-1,1.623365330E-3,5.729161203E-4,7.018877659E-4
5.944296667E-1,-1.473092241E-3,1.041365787E-3,5.258526653E-4
6.044036667E-1,2.797757974E-3,1.046750695E-3,3.185679670E-4
6.143776667E-1,-9.226781549E-4,-1.100556925E-3,3.779563121E-4
6.243526667E-1,1.186321024E-4,1.402739435E-3,8.138478734E-5
6.343266667E-1,1.936239656E-3,-1.235194504E-4,-4.230178893E-4
6.443006667E-1,1.097905915E-3,5.373191088E-4,2.522694413E-4
6.542756667E-1,-1.988431672E-3,-1.387080178E-3,3.566653468E-4
6.642496667E-1,-7.851012051E-4,-2.015251666E-4,3.936926369E-4
6.742236667E-1,7.470153505E-4,-6.017982960E-4,5.279160105E-4
6.841986667E-1,-1.086884527E-3,2.824380994E-3,1.564985374E-3
6.941726667E-1,1.508898567E-3,1.546330750E-3,5.230982788E-5
7.041466667E-1,4.320277367E-5,-1.759383827E-3,1.598167233E-3
7.141216667E-1,-1.862821635E-3,-1.259243116E-3,-1.675086096E-4
7.240956667E-1,-7.035980234E-4,-2.318639308E-3,-4.583226983E-4
7.340696667E-1,-2.830132144E-3,6.910003722E-4,9.938990697E-4
7.440446667E-1,1.264518360E-3,-1.676946878E-3,-1.503522042E-3
7.540186667E-1,1.656112727E-5,-6.321892142E-4,-1.986353192E-3
7.639926667E-1,2.282110509E-4,4.599541426E-4,4.333530087E-4
7.739676667E-1,7.936001057E-4,-1.974707469E-3,1.516194432E-3
7.839416667E-1,-8.255334105E-4,2.409853041E-4,3.826315515E-5
7.939156667E-1,1.139613101E-3,7.139630616E-4,-2.280018758E-3
8.038906667E-1,2.223927295E-3,9.600054473E-4,-3.358994145E-4
8.138646667E-1,7.842224441E-4,-6.698500365E-4,-7.359061856E-4
8.238386667E-1,-3.390354977E-4,-4.153586924E-4,1.527573797E-3
8.338136667E-1,-9.592857095E-4,1.252578571E-3,9.890825022E-4
8.437876667E-1,-5.695451400E-4,-2.509988844E-4,-3.636172041E-4
8.537616667E-1,-9.093645494E-4,-8.147899061E-4,-1.480813138E-3
8.637366667E-1,1.001404598E-5,4.252027720E-4,-2.392639639E-3
8.737106667E-1,5.754031008E-4,2.882501110E-3,-4.943383392E-4
8.836846667E-1,-2.783004020E-4,6.560757756E-4,2.220794559E-4
8.936596667E-1,5.462142290E-4,3.167703748E-3,-1.204575878E-3
9.036336667E-1,-5.263061728E-3,-1.561997458E-3,-3.451935481E-4
9.136076667E-1,-2.033222117E-4,-6.099175662E-4,-1.601038966E-4
9.235826667E-1,1.008413965E-3,-1.422638074E-3,-1.330299303E-3
9.335566667E-1,-6.789649487E-4,1.219483092E-3,-1.486549154E-4
9.435306667E-1,-8.274218999E-7,-4.596505314E-4,1.475634053E-4
9.535056667E-1,2.590161981E-3,-1.213857904E-3,5.342545919E-4
9.634796667E-1,-1.044165809E-3,-2.768393606E-4,5.915667862E-4
9.734536667E-1,-5.096694222E-4,-2.340523526E-3,7.012889255E-4
9.834286667E-1,-2.103697043E-3,-5.854293704E-5,6.795325316E-5
9.934026667E-1,3.024219535E-3,-1.478539780E-3,2.027091105E-4
1.003376667E0,4.554268671E-4,-1.574806869E-3,-6.747893058E-4
1.013351667E0,4.913795274E-4,-6.479397416E-5,-2.128608990E-3
