"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.746375000E-3,1.385026550E1,-8.815599060E1,-6.198730469E0
1.372037500E-2,1.373694611E1,-8.827602386E1,-6.332733154E0
2.369437500E-2,1.388430786E1,-8.813618469E1,-6.194229126E0
3.366737500E-2,1.328630066E1,-8.817742920E1,-6.193099976E0
4.364137500E-2,1.379024506E1,-8.798738098E1,-6.003784180E0
5.361437500E-2,1.378660583E1,-8.798973083E1,-5.978332520E0
6.358837500E-2,1.363448334E1,-8.822508240E1,-6.236892700E0
7.356237500E-2,1.400361633E1,-8.810270691E1,-6.045806885E0
8.353537500E-2,1.353736877E1,-8.821263123E1,-6.206878662E0
9.351000000E-2,1.388141632E1,-8.815710449E1,-6.276199341E0
1.034830000E-1,1.389645386E1,-8.833788300E1,-6.250717163E0
1.134570000E-1,1.367550659E1,-8.834069824E1,-6.571197510E0
1.234310000E-1,1.424286652E1,-8.789127350E1,-6.053237915E0
1.334040000E-1,1.353355408E1,-8.798763275E1,-6.039215088E0
1.433780000E-1,1.424016571E1,-8.805468750E1,-5.949020386E0
1.533510000E-1,1.424016571E1,-8.805468750E1,-5.949020386E0
1.633250000E-1,1.390950012E1,-8.801483154E1,-6.358749390E0
1.732990000E-1,1.384305573E1,-8.800770569E1,-6.215820312E0
1.832720000E-1,1.423339844E1,-8.793634796E1,-6.146530151E0
1.932460000E-1,1.381455231E1,-8.846275330E1,-6.644271851E0
2.032190000E-1,1.397921753E1,-8.808151245E1,-6.504364014E0
2.131930000E-1,1.380769348E1,-8.829391479E1,-6.435943604E0
2.231670000E-1,1.390991974E1,-8.841828918E1,-6.396179199E0
2.331400000E-1,1.437129974E1,-8.803712463E1,-5.974838257E0
2.431140000E-1,1.386146545E1,-8.833423615E1,-6.799697876E0
2.530870000E-1,1.421611786E1,-8.815528870E1,-6.260833740E0
2.630610000E-1,1.387803650E1,-8.836556244E1,-6.720535278E0
2.730350000E-1,1.397060394E1,-8.835319519E1,-6.750320435E0
2.830080000E-1,1.416229248E1,-8.812389374E1,-6.526367188E0
2.929820000E-1,1.370782471E1,-8.835204315E1,-6.206878662E0
3.029550000E-1,1.418702698E1,-8.813711548E1,-6.202865601E0
3.129290000E-1,1.409544373E1,-8.828236389E1,-6.376647949E0
3.229020000E-1,1.387200165E1,-8.828286743E1,-6.689437866E0
3.328760000E-1,1.415990448E1,-8.805731201E1,-6.242294312E0
3.428500000E-1,1.347193909E1,-8.824830627E1,-6.417221069E0
3.528230000E-1,1.397849274E1,-8.797120667E1,-6.170196533E0
3.627970000E-1,1.369656372E1,-8.798019409E1,-6.455322266E0
3.727700000E-1,1.345134735E1,-8.822586060E1,-6.718093872E0
3.827440000E-1,1.400377655E1,-8.795202637E1,-5.972885132E0
3.927180000E-1,1.351699066E1,-8.813502502E1,-6.609436035E0
4.026910000E-1,1.428733826E1,-8.800590515E1,-6.228240967E0
4.126650000E-1,1.409006500E1,-8.800679016E1,-6.443984985E0
4.226380000E-1,1.392642975E1,-8.828074646E1,-6.540420532E0
4.326120000E-1,1.445748901E1,-8.808894348E1,-6.324584961E0
4.425860000E-1,1.343151855E1,-8.830932617E1,-6.427917480E0
4.525590000E-1,1.416590118E1,-8.810244751E1,-6.344604492E0
4.625330000E-1,1.373838043E1,-8.836090088E1,-6.497467041E0
4.725060000E-1,1.375108337E1,-8.828280640E1,-6.512100220E0
4.824800000E-1,1.401006317E1,-8.812553406E1,-6.229827881E0
4.924540000E-1,1.329378510E1,-8.828219604E1,-6.532699585E0
5.024270000E-1,1.383923340E1,-8.829085541E1,-6.521865845E0
5.124010000E-1,1.390220642E1,-8.836917114E1,-6.786407471E0
5.223740000E-1,1.355738831E1,-8.825597382E1,-6.503540039E0
5.323480000E-1,1.401845551E1,-8.812857056E1,-6.210723877E0
5.423220000E-1,1.361637878E1,-8.836547852E1,-6.292785645E0
5.522950000E-1,1.401216888E1,-8.809585571E1,-6.442642212E0
5.622690000E-1,1.368091583E1,-8.805546570E1,-6.541885376E0
5.722420000E-1,1.376925659E1,-8.808580017E1,-6.336120605E0
5.822160000E-1,1.416661072E1,-8.783474731E1,-6.239761353E0
5.921900000E-1,1.360527802E1,-8.836851501E1,-6.488754272E0
6.021630000E-1,1.430883789E1,-8.798013306E1,-6.184158325E0
6.121370000E-1,1.407284546E1,-8.814228058E1,-6.440429688E0
6.221100000E-1,1.381658173E1,-8.801650238E1,-6.391571045E0
6.320840000E-1,1.411074829E1,-8.782646179E1,-6.524612427E0
6.420580000E-1,1.387606812E1,-8.794753265E1,-6.750595093E0
