"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.173358341E-2,2.527657896E-2,-6.653424352E-4,7.693062071E-4
2.170758345E-2,2.709482051E-2,-6.990991533E-4,-5.606398918E-4
3.168258327E-2,2.688469738E-2,4.023749381E-3,1.141652465E-3
4.165758332E-2,2.718258090E-2,1.317754388E-3,2.791328821E-3
5.163158337E-2,2.874132805E-2,-2.975793555E-3,2.812633989E-3
6.160658342E-2,3.324306011E-2,-1.706847921E-3,-2.458160976E-3
7.158058346E-2,3.001903743E-2,-1.791004092E-3,1.830593334E-3
8.155558328E-2,2.804343402E-2,1.026602462E-3,-3.443854395E-3
9.152958333E-2,1.847629249E-2,9.195432067E-4,-7.474035956E-4
1.015045834E-1,2.459377609E-2,5.698857829E-3,1.109904144E-3
1.114795834E-1,3.252280504E-2,3.904154524E-3,2.539755311E-3
1.214535835E-1,4.289909452E-2,-1.121686772E-3,7.460589986E-4
1.314285833E-1,3.524250537E-2,-2.028226852E-3,-6.481493358E-3
1.414025833E-1,3.246103972E-2,1.047730446E-3,-2.244385192E-3
1.513775834E-1,1.599630900E-2,2.420591190E-3,-3.190872492E-3
1.613525834E-1,1.373241656E-2,5.705563352E-3,2.854141174E-3
1.713265835E-1,1.145275030E-2,1.520140097E-3,-1.834603027E-4
1.813015833E-1,1.772273704E-2,4.164010286E-3,-1.482359134E-3
1.912755833E-1,1.970119774E-2,3.707012162E-3,-6.352076307E-4
2.012505834E-1,9.848633781E-3,3.582637757E-3,9.607733227E-5
2.112255835E-1,3.167295363E-3,2.789281309E-3,1.492372481E-3
2.211995835E-1,5.119291134E-3,2.959335223E-3,-3.533135168E-5
2.311745833E-1,1.318920217E-2,3.936458379E-4,-5.400001537E-4
2.411485834E-1,1.996614784E-2,2.987297252E-3,1.481072512E-3
2.511235834E-1,1.644171961E-2,3.192627802E-3,7.678780239E-4
2.610975835E-1,5.028999411E-3,-1.896284521E-4,3.757085651E-4
2.710725833E-1,-5.018143565E-5,7.062591612E-4,-3.396925284E-3
2.810475833E-1,2.294044476E-3,3.124291077E-3,1.237741672E-4
2.910215834E-1,1.290114876E-2,2.824950963E-3,4.092650488E-4
3.009965834E-1,2.112452872E-2,2.234509215E-3,1.668996993E-3
3.109705835E-1,1.687012985E-2,2.566605806E-3,-1.241094433E-4
3.209455833E-1,5.585937295E-3,1.836931333E-3,-7.339734584E-4
3.309205833E-1,1.795459888E-3,3.567719832E-3,-3.145199735E-3
3.408945834E-1,4.884123337E-3,4.346948117E-4,1.485181274E-3
3.508695834E-1,1.051937230E-2,5.155414343E-3,8.452238981E-4
3.608435835E-1,1.093722787E-2,3.105273470E-3,-1.108927652E-3
3.708185833E-1,6.895881146E-3,9.406562895E-4,5.757880863E-4
3.807925833E-1,4.128513392E-3,2.286694944E-4,-1.726754243E-3
3.907675834E-1,7.620716933E-3,8.822083473E-4,-3.357940586E-3
4.007425834E-1,9.934628382E-3,1.815425232E-3,2.459255047E-4
4.107165835E-1,1.148964837E-2,4.235705361E-3,-1.577807358E-3
4.206915833E-1,1.167579275E-2,5.271516740E-3,-3.056546673E-3
4.306655833E-1,9.129278362E-3,3.052305430E-3,-1.268234104E-3
4.406405834E-1,7.161250338E-3,2.295235172E-3,-1.917227171E-3
4.506155835E-1,6.381210871E-3,3.754381090E-3,-2.879053354E-4
4.605895835E-1,1.023030467E-2,1.971147954E-3,1.670769416E-4
4.705645833E-1,1.242075488E-2,1.399632543E-3,7.764082402E-4
4.805385834E-1,8.308858611E-3,2.152951434E-3,-1.010591630E-3
4.905135834E-1,6.358093582E-3,3.083460033E-3,-2.093166579E-3
5.004875835E-1,8.505477570E-3,3.144580871E-3,1.991819590E-5
5.104625833E-1,8.106536232E-3,-2.237856388E-4,-3.329805797E-3
5.204375833E-1,1.042238344E-2,3.154654056E-3,-4.776932765E-4
5.304115834E-1,1.214491669E-2,3.452396020E-3,-1.284364844E-3
5.403865834E-1,9.135860018E-3,2.176178619E-3,-1.117632259E-3
5.503605835E-1,8.242103271E-3,2.756748348E-3,-2.334963065E-3
5.603355833E-1,6.813955028E-3,2.250835299E-3,-6.625733804E-4
5.703105833E-1,1.185957994E-2,3.978960216E-3,4.023499787E-5
5.802845834E-1,1.357901841E-2,7.014572620E-4,-4.753828980E-4
5.902595834E-1,1.280883234E-2,3.374738619E-3,-1.579529606E-3
6.002335835E-1,9.476803243E-3,3.343679011E-3,-2.808214631E-4
6.102085833E-1,4.919336643E-3,5.481930450E-3,1.392176375E-3
6.201825833E-1,4.766997881E-3,3.565596417E-3,1.700045890E-3
6.301575834E-1,1.361907832E-2,6.026623771E-3,-7.218329702E-4
6.401325834E-1,1.393191144E-2,1.911753789E-3,1.386800082E-3
6.501065835E-1,1.283282507E-2,2.454772592E-3,1.235798933E-3
6.600815833E-1,9.005984291E-3,3.250647336E-3,1.748109120E-3
6.700555834E-1,5.855464377E-3,3.927888349E-3,-2.122795442E-3
6.800309168E-1,5.925631151E-3,5.363751203E-3,1.014824957E-4
6.900059166E-1,1.153531391E-2,4.224451259E-3,-8.117156103E-4
6.999799167E-1,1.350442600E-2,4.788542166E-3,-1.146730501E-3
7.099549167E-1,1.257338468E-2,2.326183021E-3,4.194744397E-4
7.199289168E-1,1.238742564E-2,4.091836512E-3,-1.825524960E-4
7.299039168E-1,7.367899176E-3,3.947226331E-3,-2.181787509E-3
7.398789166E-1,9.628468193E-3,2.854272723E-3,-1.517577795E-3
7.498529167E-1,1.122556534E-2,1.807916909E-3,-8.214272093E-4
7.598279167E-1,1.277325209E-2,4.091221839E-3,-1.139369793E-3
7.698019168E-1,1.640899852E-2,3.070432693E-3,1.152546378E-3
7.797769166E-1,1.509561203E-2,3.404388204E-3,-1.857805997E-3
7.897509167E-1,1.067636255E-2,4.754876718E-3,-9.829574265E-4
7.997259167E-1,1.070579886E-2,6.998278201E-3,-4.054659046E-3
8.097009168E-1,9.777687490E-3,4.644785076E-4,8.402308449E-4
8.196749168E-1,9.589124471E-3,1.270728186E-3,-1.869265456E-3
8.296499166E-1,1.166319475E-2,3.064634278E-3,1.742779859E-3
8.396239167E-1,1.312840078E-2,2.890110016E-3,-3.390891943E-4
8.495989167E-1,1.269244123E-2,5.224902183E-3,-2.686399268E-3
8.595739168E-1,1.063508913E-2,1.921966672E-3,-1.347610494E-3
8.695479168E-1,1.207665820E-2,3.395494074E-3,-3.166549606E-3
8.795229166E-1,1.115586236E-2,5.175657570E-3,-1.141384244E-3
8.894969167E-1,1.047888584E-2,5.240373313E-3,2.703573555E-4
8.994719167E-1,1.224830747E-2,4.886493087E-3,-1.005796483E-3
9.094459168E-1,9.957722388E-3,3.998594359E-3,2.630217234E-3
9.194209168E-1,1.022643037E-2,3.725543618E-3,-2.524897456E-3
9.293959166E-1,1.416178327E-2,2.616602927E-3,1.748677227E-3
9.393699167E-1,1.312500890E-2,3.020348027E-3,-4.545766860E-4
9.493449167E-1,1.463022828E-2,5.113059655E-3,-8.607087657E-4
