"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.876666676E-3,1.625619507E-1,4.577481079E-1,9.780062256E0
8.121333318E-3,1.547781372E-1,4.727169800E-1,9.776020660E0
1.811933331E-2,1.460961914E-1,4.828958130E-1,9.792935486E0
2.811733331E-2,1.604663086E-1,5.183720398E-1,9.770482178E0
3.811533330E-2,1.689985657E-1,5.337899780E-1,9.761650543E0
4.811333329E-2,1.869612122E-1,5.439688110E-1,9.789642334E0
5.811133329E-2,1.829196167E-1,5.322930908E-1,9.786349182E0
6.810933328E-2,1.866618347E-1,5.119354248E-1,9.793833618E0
7.810633350E-2,1.865121460E-1,4.840933228E-1,9.802964630E0
8.810433350E-2,1.839674377E-1,4.580474854E-1,9.778415680E0
9.810233349E-2,1.821711731E-1,4.328997803E-1,9.782606964E0
1.081003335E-1,1.839674377E-1,4.186793518E-1,9.794881439E0
1.180983335E-1,2.008822632E-1,4.176315308E-1,9.777667236E0
1.280963335E-1,1.965412903E-1,4.233197021E-1,9.798174591E0
1.380943335E-1,1.815724182E-1,4.053570557E-1,9.799372101E0
1.480913335E-1,1.815724182E-1,4.079017639E-1,9.766590271E0
1.580893334E-1,2.058219910E-1,4.327500916E-1,9.803264008E0
1.680873334E-1,2.694396973E-1,4.740641785E-1,9.814191284E0
1.780853334E-1,3.444337463E-1,5.065466309E-1,9.762548676E0
1.880833334E-1,3.742218018E-1,5.499563599E-1,9.778565369E0
1.980813334E-1,3.456312561E-1,5.649252319E-1,9.792935486E0
2.080793334E-1,3.020718384E-1,5.424719238E-1,9.814790039E0
2.180773334E-1,2.287243652E-1,5.246589661E-1,9.762398987E0
2.280743334E-1,1.669029236E-1,4.837939453E-1,9.772727509E0
2.380722917E-1,1.055305481E-1,4.537065125E-1,9.748777313E0
2.480702917E-1,5.104385376E-2,4.318519592E-1,9.784702606E0
2.580682917E-1,5.523513794E-2,4.007167053E-1,9.788444824E0
2.680662917E-1,7.828720093E-2,4.373904419E-1,9.795330505E0
2.780642917E-1,1.225950623E-1,4.685256958E-1,9.789941711E0
2.880622917E-1,1.435514832E-1,5.025050354E-1,9.781110077E0
2.980602917E-1,1.543290710E-1,5.161267090E-1,9.792187042E0
3.080572917E-1,1.715432739E-1,5.125341797E-1,9.783205719E0
3.180552917E-1,1.736389160E-1,5.084925842E-1,9.792935486E0
3.280532917E-1,1.740879822E-1,4.954696655E-1,9.786049805E0
3.380512916E-1,2.005828857E-1,4.743635559E-1,9.795629883E0
3.480492916E-1,2.514770508E-1,4.637356567E-1,9.779463501E0
3.580472916E-1,3.115022278E-1,4.442761230E-1,9.780810699E0
3.680452916E-1,3.414399719E-1,4.248165894E-1,9.790540466E0
3.780422916E-1,3.414399719E-1,4.264631653E-1,9.784552917E0
3.880402916E-1,3.201841736E-1,4.302053833E-1,9.789941711E0
3.980382916E-1,2.412982178E-1,4.170327759E-1,9.781559143E0
4.080362918E-1,1.633103943E-1,4.363426208E-1,9.791288910E0
4.180342918E-1,8.457412720E-2,4.698728943E-1,9.789941711E0
4.280322918E-1,3.472778320E-2,4.608915710E-1,9.786648560E0
4.380302918E-1,4.311035156E-2,4.969665527E-1,9.792037354E0
4.480282918E-1,9.789642334E-2,5.298980713E-1,9.785151672E0
4.580252918E-1,1.526824951E-1,5.355862427E-1,9.789043579E0
4.680232918E-1,2.029779053E-1,5.168751526E-1,9.788295135E0
