"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.903458266E-3,2.551696777E0,3.385763550E1,-4.051141357E1
1.190145826E-2,2.542297363E0,3.393972778E1,-4.064282227E1
2.189945825E-2,2.473449707E0,3.386459732E1,-4.044302368E1
3.189745825E-2,2.642242432E0,3.392658234E1,-4.059213257E1
4.189545824E-2,2.626312256E0,3.384986496E1,-4.043927002E1
5.189245846E-2,2.670318604E0,3.388843918E1,-4.035719299E1
6.189045846E-2,2.612976074E0,3.396970749E1,-4.050172424E1
7.188845845E-2,2.562774658E0,3.382030869E1,-4.040356445E1
8.188645844E-2,2.622070312E0,3.392382050E1,-4.057536316E1
9.188445844E-2,2.514373779E0,3.375798416E1,-4.051597595E1
1.018824584E-1,2.583923340E0,3.365983963E1,-4.044824219E1
1.118804584E-1,2.607910156E0,3.379241562E1,-4.056236267E1
1.218774584E-1,2.534698486E0,3.382458115E1,-4.087503052E1
1.318754584E-1,2.714599609E0,3.386385345E1,-4.065463257E1
1.418734584E-1,2.665161133E0,3.381016922E1,-4.058764648E1
1.518714584E-1,2.868621826E0,3.387993622E1,-4.048005676E1
1.618694584E-1,2.665008545E0,3.382347870E1,-4.049229431E1
1.718674584E-1,2.557128906E0,3.382178497E1,-4.047906494E1
1.818644584E-1,2.602569580E0,3.393177414E1,-4.051669312E1
1.918624584E-1,2.426605225E0,3.388788986E1,-4.058099365E1
2.018604584E-1,2.628143311E0,3.373703766E1,-4.054872131E1
2.118584584E-1,2.493927002E0,3.364746094E1,-4.042700195E1
2.218564583E-1,2.498687744E0,3.386730194E1,-4.038102722E1
2.318544583E-1,2.536376953E0,3.382277679E1,-4.040525818E1
2.418514583E-1,2.491851807E0,3.372945786E1,-4.049740601E1
2.518494583E-1,2.605194092E0,3.379966736E1,-4.043545532E1
2.618474583E-1,2.543945312E0,3.378945541E1,-4.047106934E1
2.718454583E-1,2.795959473E0,3.361473083E1,-4.049295044E1
2.818434583E-1,2.634979248E0,3.371554565E1,-4.038555908E1
2.918414583E-1,2.622741699E0,3.368022537E1,-4.049018860E1
3.018384583E-1,2.679901123E0,3.374489212E1,-4.041567993E1
3.118364583E-1,2.617858887E0,3.379527283E1,-4.013638306E1
3.218344583E-1,2.670440674E0,3.362264252E1,-4.029046631E1
3.318324583E-1,2.705322266E0,3.367995071E1,-4.067260742E1
3.418304583E-1,2.720855713E0,3.378440857E1,-4.080772400E1
3.518284583E-1,2.577148438E0,3.371849060E1,-4.065267944E1
3.618254582E-1,2.643493652E0,3.375589371E1,-4.067417908E1
3.718234585E-1,2.754852295E0,3.365200806E1,-4.066271973E1
3.818214585E-1,2.555786133E0,3.369231415E1,-4.063708496E1
3.918194585E-1,2.486083984E0,3.386077118E1,-4.057601929E1
4.018174584E-1,2.496887207E0,3.391987991E1,-4.065896606E1
4.118154584E-1,2.584014893E0,3.386730194E1,-4.055152893E1
4.218134584E-1,2.480438232E0,3.388607788E1,-4.067039490E1
4.318104584E-1,2.502349854E0,3.379129028E1,-4.069116211E1
4.418084584E-1,2.418731689E0,3.387826157E1,-4.032371521E1
4.518064584E-1,2.442016602E0,3.390270996E1,-4.039698792E1
4.618044584E-1,2.468322754E0,3.395972824E1,-4.056532288E1
4.718024584E-1,2.408905029E0,3.404130173E1,-4.075848389E1
4.818004584E-1,2.454620361E0,3.393663788E1,-4.050552368E1
4.917974584E-1,2.451477051E0,3.391583252E1,-4.042671204E1
5.017954584E-1,2.541870117E0,3.389066696E1,-4.059336853E1
5.117934584E-1,2.677520752E0,3.387613678E1,-4.037446594E1
5.217914584E-1,2.631225586E0,3.385863876E1,-4.055192566E1
5.317894584E-1,2.594757080E0,3.387731171E1,-4.049307251E1
5.417874584E-1,2.545104980E0,3.379867172E1,-4.040690613E1
5.517844583E-1,2.561340332E0,3.376971817E1,-4.030268860E1
5.617824583E-1,2.726837158E0,3.392277527E1,-4.039247131E1
5.717804583E-1,2.528289795E0,3.387894058E1,-4.035966492E1
5.817784583E-1,2.714233398E0,3.383430862E1,-4.046170044E1
5.917764583E-1,2.538757324E0,3.374585724E1,-4.051507568E1
6.017744583E-1,2.495422363E0,3.375926208E1,-4.019554138E1
6.117714583E-1,2.619781494E0,3.388993073E1,-4.037521362E1
6.217694583E-1,2.547149658E0,3.384316635E1,-4.023338318E1
6.317674583E-1,2.460601807E0,3.391666031E1,-4.026756287E1
6.417654583E-1,2.407440186E0,3.391557312E1,-4.032115173E1
6.517634583E-1,2.501007080E0,3.396166611E1,-4.034364319E1
6.617614583E-1,2.538482666E0,3.403842545E1,-4.026849365E1
6.717584583E-1,2.519256592E0,3.384439468E1,-4.035766602E1
6.817564582E-1,2.556243896E0,3.394162750E1,-4.054374695E1
6.917547917E-1,2.499786377E0,3.391233063E1,-4.054891968E1
7.017527916E-1,2.421112061E0,3.396638489E1,-4.031755066E1
7.117507916E-1,2.503936768E0,3.386070251E1,-4.059020996E1
7.217487916E-1,2.582183838E0,3.383401871E1,-4.063121033E1
7.317457916E-1,2.604858398E0,3.377845001E1,-4.056181335E1
7.417437916E-1,2.619628906E0,3.373937225E1,-4.044450378E1
7.517417916E-1,2.757415771E0,3.370928955E1,-4.021884155E1
7.617397916E-1,2.981140137E0,3.354740143E1,-4.046713257E1
7.717377916E-1,3.025695801E0,3.347789001E1,-4.031077576E1
7.817357916E-1,3.075500488E0,3.357692719E1,-4.030503845E1
7.917337916E-1,3.012603760E0,3.357581329E1,-4.040182495E1
8.017307916E-1,3.014404297E0,3.361679077E1,-4.028384399E1
8.117287918E-1,2.946868896E0,3.352285385E1,-4.041073608E1
8.217267918E-1,3.026580811E0,3.366096115E1,-4.045729065E1
8.317247918E-1,3.177825928E0,3.368620682E1,-4.058074951E1
8.417227918E-1,3.082366943E0,3.356040192E1,-4.053750610E1
8.517207918E-1,2.947845459E0,3.367604446E1,-4.042724609E1
8.617177918E-1,2.697052002E0,3.381556320E1,-4.062023926E1
8.717157918E-1,2.769622803E0,3.369910812E1,-4.037713623E1
8.817137918E-1,2.934265137E0,3.374686432E1,-4.042538452E1
8.917117917E-1,2.583404541E0,3.385644913E1,-4.021102905E1
9.017097917E-1,2.620819092E0,3.411178970E1,-4.041513062E1
