"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.458583331E-3,-4.600616455E0,3.294833374E1,4.359715271E1
1.245458331E-2,-4.724761963E0,3.303755569E1,4.359355164E1
2.245158330E-2,-4.626159668E0,3.286441040E1,4.377220154E1
3.244858328E-2,-4.659637451E0,3.301940155E1,4.354792786E1
4.244558339E-2,-4.629089355E0,3.295566177E1,4.362664795E1
5.244158336E-2,-4.732788086E0,3.297845840E1,4.361419678E1
6.243858335E-2,-4.638519287E0,3.286256790E1,4.346517944E1
7.243558334E-2,-4.604339600E0,3.276557159E1,4.363073730E1
8.243158332E-2,-4.615661621E0,3.278390884E1,4.357685852E1
9.242858330E-2,-4.501739502E0,3.287110901E1,4.356814575E1
1.024255833E-1,-4.631683350E0,3.287968445E1,4.371701050E1
1.124225833E-1,-4.625823975E0,3.287343597E1,4.357128906E1
1.224185834E-1,-4.557220459E0,3.292354202E1,4.383421326E1
1.324155834E-1,-4.622222900E0,3.292642593E1,4.388534546E1
1.424125833E-1,-4.330383301E0,3.286542892E1,4.377981567E1
1.524095833E-1,-4.649902344E0,3.297296906E1,4.355043030E1
1.624055833E-1,-4.634460449E0,3.295914841E1,4.376632690E1
1.724025833E-1,-4.647338867E0,3.293413544E1,4.389601135E1
1.823995833E-1,-4.763519287E0,3.299446869E1,4.371260071E1
1.923965834E-1,-4.700012207E0,3.301091766E1,4.347564697E1
2.023925834E-1,-4.730743408E0,3.299592972E1,4.345080566E1
2.123895834E-1,-4.697326660E0,3.293638611E1,4.348327637E1
2.223865833E-1,-4.660766602E0,3.284279633E1,4.364642334E1
2.323835833E-1,-4.856781006E0,3.299248886E1,4.356382751E1
2.423795833E-1,-4.688507080E0,3.297322845E1,4.360134888E1
2.523765833E-1,-4.610107422E0,3.297021484E1,4.361901855E1
2.623735833E-1,-4.596008301E0,3.288973618E1,4.353239441E1
2.723705834E-1,-4.727264404E0,3.299736404E1,4.375137329E1
2.823665834E-1,-4.815368652E0,3.302437210E1,4.371604919E1
2.923635833E-1,-4.688507080E0,3.293949127E1,4.368899536E1
3.023605833E-1,-4.628723145E0,3.287701797E1,4.367665100E1
3.123575833E-1,-4.721130371E0,3.301426697E1,4.361518860E1
3.223535833E-1,-4.821746826E0,3.303950882E1,4.365705872E1
3.323505833E-1,-4.770629883E0,3.290883636E1,4.379991150E1
3.423475834E-1,-4.725952148E0,3.277323914E1,4.387518311E1
3.523445834E-1,-4.871490479E0,3.286769104E1,4.371432495E1
3.623405833E-1,-4.876312256E0,3.291236496E1,4.381494141E1
3.723375833E-1,-4.848510742E0,3.303173828E1,4.366134644E1
3.823345833E-1,-4.707489014E0,3.310960770E1,4.365925598E1
3.923315833E-1,-4.715942383E0,3.310767746E1,4.346684265E1
4.023275833E-1,-4.847534180E0,3.301198578E1,4.368267822E1
4.123245834E-1,-4.790039062E0,3.311256409E1,4.364552307E1
4.223215834E-1,-4.758789062E0,3.315760803E1,4.360231018E1
4.323185834E-1,-4.835601807E0,3.307096100E1,4.350025940E1
4.423145833E-1,-4.849975586E0,3.305945587E1,4.389785767E1
4.523115833E-1,-4.705200195E0,3.296473694E1,4.382160950E1
4.623085833E-1,-4.766998291E0,3.308236313E1,4.357197571E1
4.723045833E-1,-4.686523438E0,3.316553116E1,4.368467712E1
4.823015833E-1,-4.734344482E0,3.313923645E1,4.354884338E1
4.922985834E-1,-4.654968262E0,3.304180527E1,4.367291260E1
5.022955834E-1,-4.516784668E0,3.303159714E1,4.378507996E1
5.122915833E-1,-4.807250977E0,3.307438660E1,4.391081238E1
5.222885833E-1,-4.745941162E0,3.311376572E1,4.374844360E1
5.322855833E-1,-4.732238770E0,3.316746902E1,4.360775757E1
5.422825833E-1,-4.885925293E0,3.317499161E1,4.376022339E1
5.522785833E-1,-4.882904053E0,3.328137207E1,4.399502563E1
5.622755834E-1,-4.957946777E0,3.322450638E1,4.384924316E1
5.722725834E-1,-4.905120850E0,3.305771255E1,4.366920471E1
5.822695834E-1,-4.734893799E0,3.316364288E1,4.361799622E1
5.922655833E-1,-4.668731689E0,3.318689346E1,4.376794434E1
