"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.847750042E-3,-4.007979296E-4,7.409453392E-4,1.032178756E-3
1.184375002E-2,-1.203939319E-4,-2.069200855E-4,-3.102401970E-4
2.184075001E-2,-3.448985517E-4,1.448500785E-3,2.559478162E-4
3.183775011E-2,4.180842079E-4,-2.629109658E-4,1.329426770E-3
4.183475010E-2,-9.856680408E-4,-8.994063828E-4,-5.233343691E-4
5.183175008E-2,1.420057146E-3,6.701082457E-4,-1.144322800E-3
6.182775006E-2,5.172519013E-5,1.169184688E-3,-2.809260041E-4
7.182475005E-2,-5.415203050E-4,5.598184653E-4,4.536377965E-4
8.182175003E-2,1.449459000E-3,6.548932288E-4,4.501756048E-4
9.181875002E-2,4.275199026E-4,-2.607351635E-4,3.439242719E-4
1.018157500E-1,-3.517209552E-4,-2.211588435E-5,2.291420242E-4
1.118117501E-1,-5.124402232E-4,-1.118748914E-4,2.397081582E-3
1.218087501E-1,3.797183745E-4,1.006652834E-3,5.720172776E-4
1.318057501E-1,-6.940984167E-4,6.484815385E-4,5.433940096E-4
1.418027501E-1,1.785811037E-6,-2.796133049E-5,-2.510269405E-4
1.517997500E-1,1.198812388E-4,2.434537746E-4,7.792779943E-4
1.617957500E-1,9.635705501E-4,5.441247486E-4,1.402724069E-3
1.717927500E-1,-1.931875013E-4,-2.342902590E-4,6.302364636E-5
1.817897500E-1,2.156076953E-4,1.075452310E-3,-3.186071990E-4
1.917867501E-1,-8.150795475E-5,1.128887641E-3,6.864275783E-4
2.017837501E-1,-1.949584112E-4,-4.221373238E-4,4.129209556E-4
2.117797501E-1,7.007319946E-4,-2.015824430E-5,1.820335397E-3
2.217767501E-1,-1.089711208E-3,1.056824112E-3,7.500109496E-4
2.317737500E-1,3.162645735E-4,2.547726035E-4,7.847569650E-4
2.417707500E-1,4.590102471E-4,-6.246031262E-4,-1.244461164E-4
2.517667500E-1,-5.150274374E-4,1.338634058E-3,2.124515828E-3
2.617637501E-1,-5.032401532E-6,3.918802831E-4,4.115707707E-4
2.717607501E-1,-3.997725435E-4,1.225010259E-3,3.759399988E-4
2.817577501E-1,-1.489026472E-4,-7.292171940E-4,-1.503006788E-4
2.917547501E-1,9.145634249E-5,1.208919566E-4,-1.193030505E-3
3.017507500E-1,5.489871837E-4,8.865507552E-4,-1.105412608E-3
3.117477500E-1,1.203875290E-3,-8.354464080E-4,-4.265063908E-4
3.217447500E-1,4.938766360E-4,-4.428962711E-4,-1.505086664E-3
3.317417500E-1,9.939186275E-4,5.478546955E-4,6.667516427E-4
3.417387501E-1,4.674117081E-4,-2.966336906E-4,2.441215795E-3
3.517347501E-1,4.283841699E-4,-5.882862024E-5,1.741266809E-3
3.617317501E-1,8.875131607E-4,-1.264175167E-3,2.997213509E-3
3.717287501E-1,-7.795509882E-4,1.777654514E-3,3.260916099E-3
3.817257500E-1,5.560242571E-4,-9.741897229E-4,1.305356855E-3
3.917227500E-1,6.458556745E-4,5.789811257E-4,1.214276068E-3
4.017187500E-1,-1.389780082E-4,-3.161071800E-4,-1.418258646E-3
4.117157500E-1,-3.844168968E-4,-3.724873532E-4,-1.676162472E-3
4.217127501E-1,9.186679963E-4,-8.657048456E-4,-2.206930425E-3
4.317097501E-1,1.213946147E-3,-1.285783248E-3,-1.979973167E-4
4.417074167E-1,2.336362377E-4,-8.378394414E-4,-1.322650118E-3
4.517034168E-1,5.023586564E-4,7.618520176E-4,1.932319719E-5
4.617004168E-1,3.167362884E-4,4.249620251E-4,7.250609342E-4
4.716974167E-1,3.320458345E-4,3.482077736E-4,8.907286683E-4
4.816944167E-1,6.178030744E-4,4.620524123E-5,4.310670774E-4
4.916914167E-1,5.584629253E-4,-1.443707617E-3,-1.427473500E-3
5.016874167E-1,5.621912424E-4,-9.291847236E-4,-1.886069775E-3
5.116844167E-1,5.011253525E-4,-1.501288963E-3,-3.060743678E-3
5.216814167E-1,6.723664701E-4,-6.504636258E-5,-6.505828351E-4
5.316784168E-1,-9.340061806E-4,6.268769503E-4,2.664002823E-4
5.416754168E-1,-3.276043572E-4,9.658974595E-4,1.545782899E-3
5.516714167E-1,5.125037860E-4,1.438317122E-3,2.632608637E-3
5.616684167E-1,-1.577278599E-3,-7.023317739E-4,9.747907752E-4
5.716654167E-1,-5.490435287E-4,-5.102716386E-5,-8.613662794E-5
5.816624167E-1,-9.290766902E-4,1.335148234E-3,-4.424676299E-4
5.916594167E-1,-1.822693739E-3,-7.915704045E-4,-1.835496048E-3
6.016554168E-1,-1.760609448E-4,-4.339078441E-4,-2.000079490E-3
6.116524168E-1,1.578601077E-4,-1.000536140E-4,-2.290821401E-3
6.216494167E-1,-7.225810550E-4,-1.442620996E-4,1.131340628E-3
6.316464167E-1,-3.310064785E-4,-3.765970469E-4,9.408053593E-4
6.416434167E-1,1.804316184E-3,-4.841887858E-4,2.400217578E-3
6.516394167E-1,-8.713486604E-4,1.915611792E-4,2.962780185E-3
6.616364167E-1,7.673678920E-5,5.348424893E-4,1.645580633E-3
6.716334167E-1,-9.253993630E-5,-2.129510976E-4,-9.375938680E-5
6.816304168E-1,3.876280971E-4,-1.272889320E-3,-1.406165189E-3
6.916274168E-1,-6.529921666E-5,-8.587145712E-4,-2.547012642E-3
7.016234167E-1,6.333133206E-5,-3.020511940E-5,-2.117977478E-3
7.116204167E-1,1.367433462E-3,7.189395837E-4,-1.202807995E-3
7.216174167E-1,8.316054009E-4,1.284594880E-3,-7.141178939E-4
7.316144167E-1,-3.104517236E-5,1.713261590E-3,2.112455433E-3
7.416114167E-1,1.409458695E-3,9.510648670E-4,2.413392533E-3
7.516074167E-1,-5.535534583E-4,3.786759917E-4,2.106640721E-3
7.616044168E-1,9.577902965E-4,2.261134796E-5,7.470969576E-4
7.716014168E-1,2.458924428E-5,-6.547919475E-4,-1.466503832E-3
7.815984167E-1,2.008111682E-3,1.651952043E-4,-1.276886789E-3
7.915944167E-1,-3.990717232E-5,3.330162726E-4,-2.129063476E-3
8.015914167E-1,-1.224481035E-3,-1.716019819E-3,-1.186304260E-3
8.115884167E-1,-7.020365447E-4,-6.688542198E-4,-3.728193697E-4
8.215854167E-1,-1.893779263E-4,-5.021404941E-4,2.546271309E-3
8.315824167E-1,-6.418027915E-4,2.100957325E-3,2.012714744E-3
8.415784168E-1,1.435196493E-3,1.057797112E-3,1.854256610E-3
8.515754167E-1,1.182184089E-3,9.643911617E-4,2.035173820E-3
8.615724167E-1,1.180319814E-3,1.431509620E-3,-4.191955086E-4
8.715694167E-1,1.172567718E-4,5.927539896E-4,-1.247100532E-3
8.815664167E-1,-2.196333371E-4,1.108342083E-3,-1.872676890E-3
8.915624167E-1,1.221947139E-3,1.564092236E-3,-1.179032144E-3
9.015594167E-1,4.158080555E-4,1.042378950E-3,-1.289819484E-3
9.115564168E-1,7.176927757E-4,1.294640359E-3,-3.404711606E-4
9.215534168E-1,-9.882729501E-6,1.307157218E-3,1.810297719E-3
9.315504167E-1,6.444531027E-4,1.948272227E-3,1.819570200E-3
9.415464167E-1,3.421842121E-4,5.218831357E-4,7.907911204E-4
9.515434167E-1,1.892911270E-3,6.582597271E-4,9.204860544E-4
9.615404167E-1,1.131247263E-3,1.990905497E-3,-1.367889345E-4
9.715374167E-1,5.976448301E-4,5.101850256E-4,-1.911045751E-3
9.815344167E-1,6.082975306E-4,1.374913496E-3,-1.988543896E-3
9.915304168E-1,3.053466789E-4,1.200886909E-4,-9.392929496E-4
1.001527417E0,3.490224481E-4,5.001216196E-4,-2.359520877E-4
1.011524417E0,-1.194011420E-4,1.199711114E-4,-1.641120762E-4
1.021521417E0,-1.107966527E-3,3.756345250E-4,1.242835773E-3
1.031518417E0,2.937256359E-4,-1.669225749E-4,1.432692748E-3
1.041514417E0,9.049209766E-4,1.846146770E-4,1.002059551E-3
1.051511417E0,-3.782501444E-4,-1.414321829E-3,-1.375283813E-3
1.061508417E0,7.589196321E-4,-3.019194119E-4,-2.208586782E-3
1.071505417E0,-1.898153219E-3,-3.585333470E-4,-1.834457275E-3
1.081501417E0,-1.236890443E-3,-4.168567248E-4,-1.689581200E-3
1.091498417E0,-3.590276465E-4,2.085347660E-5,-1.236331998E-3
1.101495417E0,9.618999902E-4,6.008900236E-4,6.092386320E-4
1.111492417E0,2.941256389E-4,-7.627531886E-6,2.000747016E-3
1.121489417E0,-1.118947752E-3,6.709459703E-4,3.180527361E-3
1.131485417E0,-1.296759583E-3,9.612133726E-5,6.032497622E-4
1.141482417E0,-5.659181625E-6,-4.407719243E-4,-6.585558876E-4
1.151479417E0,3.532972187E-5,-2.769778948E-4,-1.764168846E-3
1.161476417E0,-4.333867691E-4,1.357286237E-5,-2.579628490E-3
1.171473417E0,-5.536526442E-5,5.873679183E-4,-1.763554756E-3
1.181469417E0,3.813933581E-4,1.168736024E-3,-1.353428001E-3
1.191466417E0,-7.245177403E-5,2.187921200E-4,1.066502882E-3
1.201463417E0,8.103861474E-4,1.584461192E-3,2.242288552E-3
1.211460417E0,-7.811561227E-4,8.313184371E-4,2.957968041E-3
1.221457417E0,2.449597232E-4,-9.333109483E-5,1.602685545E-3
1.231453417E0,-8.322973736E-4,5.688753445E-4,-5.583980819E-4
1.241450417E0,-7.984749973E-4,1.181136118E-3,-7.301721489E-4
1.251447417E0,3.966425080E-3,-1.252455870E-3,-1.623869757E-3
1.261444417E0,1.114998013E-4,-4.875420593E-3,-1.605227706E-3
1.271441417E0,7.714245003E-4,-6.046971306E-3,-6.103973137E-4
1.281437417E0,2.405273728E-3,-6.072005257E-3,9.415606409E-2
1.291434417E0,-1.011020038E-3,-2.814242849E-3,1.680761427E-1
1.301431417E0,-1.503970940E-3,-2.458156087E-5,7.634781301E-2
1.311428417E0,5.909893662E-5,4.883729853E-4,-5.840805173E-2
1.321425417E0,1.890288200E-3,3.758468665E-3,-1.251077056E-1
1.331421417E0,3.804514557E-2,4.366177693E-2,2.314592302E-1
1.341418417E0,6.734629162E-3,-1.204010006E-2,-4.013660178E-2
1.351415417E0,8.562460542E-3,-1.898372732E-2,-2.389806062E-1
1.361412417E0,5.322458688E-3,-1.884231344E-2,-2.337054163E-1
1.371409417E0,3.093693405E-3,-1.006135903E-2,-9.471510351E-2
1.381405417E0,1.559446333E-3,-6.657040678E-3,5.707814917E-2
1.391402417E0,3.175977618E-4,-1.472521806E-3,2.171771824E-1
1.401399417E0,-1.049669459E-3,7.256255485E-3,3.705153465E-1
1.411396417E0,-1.021714881E-3,1.153682545E-2,5.117810965E-1
1.421392417E0,-3.701653797E-3,1.768020540E-2,6.379345059E-1
1.431389417E0,-1.366886310E-3,1.455440279E-2,7.292109728E-1
1.441386500E0,-1.842526719E-3,1.205236278E-2,7.792645693E-1
1.451383500E0,-3.157209605E-3,1.092137862E-2,7.970756888E-1
1.461380500E0,-2.777709160E-3,5.442723632E-3,7.811382413E-1
1.471376500E0,-3.214630764E-3,8.591943420E-3,7.579760551E-1
1.481373500E0,-5.234372336E-3,1.056241617E-2,7.293803692E-1
1.491370500E0,-4.146342166E-3,7.111481391E-3,6.757588387E-1
1.501367500E0,-2.632601187E-3,5.519709550E-3,6.180505753E-1
1.511364500E0,-3.072521184E-3,2.285013441E-3,5.574042201E-1
1.521360500E0,-5.377486814E-3,1.572884154E-3,4.972599447E-1
1.531357500E0,-2.449341584E-3,1.972092083E-3,4.523981810E-1
1.541354500E0,-3.492768388E-3,-1.661525108E-3,4.229449630E-1
1.551351500E0,-2.537044697E-3,-1.560672419E-3,4.098536968E-1
1.561348500E0,1.301635522E-3,-5.377521738E-4,3.948417008E-1
1.571344500E0,-2.275952138E-3,-2.796707675E-3,3.636441827E-1
1.581341500E0,-4.336439539E-3,-1.367423683E-4,3.280001581E-1
1.591338500E0,-7.575727068E-4,1.821706537E-3,2.964115143E-1
1.601335500E0,-5.796733312E-4,-1.073948573E-3,2.772724330E-1
1.611332500E0,-9.172216058E-3,-2.980394056E-3,2.704936564E-1
1.621328500E0,-2.764709666E-2,-2.796369838E-3,2.667359412E-1
1.631325500E0,-9.312541783E-2,4.716191906E-3,2.510231733E-1
1.641322500E0,-3.367724121E-1,3.093661182E-2,2.339001298E-1
1.651319500E0,-7.732049227E-1,8.402224630E-2,2.426527441E-1
1.661316500E0,-1.225666881E0,1.377038509E-1,2.528020442E-1
1.671312500E0,-1.650340557E0,1.929829270E-1,2.413356304E-1
1.681309500E0,-1.984872818E0,2.485899925E-1,1.916817874E-1
1.691306500E0,-2.214406729E0,2.760252655E-1,9.174186736E-2
1.701303500E0,-2.398562193E0,2.867721915E-1,-1.416352391E-2
1.711299500E0,-2.239876747E0,2.062033862E-1,-5.042006448E-2
1.721296500E0,-1.052338719E0,-4.786270857E-2,3.510389104E-2
1.731293500E0,-1.421834081E-1,-1.536991745E-1,1.222519577E-1
1.741290500E0,-8.053283393E-2,-1.871572584E-1,1.041826755E-1
1.751287500E0,-2.940827236E-2,-4.161305726E-2,-1.336832494E-1
1.761283500E0,5.179896578E-2,-8.053676039E-2,-4.451524615E-1
1.771280500E0,1.143364385E-1,-1.657661349E-1,-6.566467881E-1
1.781277500E0,7.912225276E-2,-2.472953498E-1,-6.547961235E-1
1.791274500E0,-8.966618031E-2,-5.122287273E-1,-5.370734930E-1
1.801271500E0,-3.413436711E-1,-9.818486571E-1,-4.358725250E-1
1.811267500E0,-6.061144471E-1,-1.526744366E0,-4.174187183E-1
1.821264500E0,-8.424404263E-1,-2.000912666E0,-4.482711852E-1
1.831261500E0,-1.100284219E0,-2.303438425E0,-4.929921031E-1
1.841258500E0,-1.322935462E0,-2.563624620E0,-5.100959539E-1
1.851255500E0,-1.351916790E0,-2.915345430E0,-4.575748146E-1
1.861251500E0,-1.292495251E0,-3.038917780E0,-2.282883674E-1
1.871248500E0,-1.223752975E0,-2.955504417E0,4.857061431E-2
1.881245500E0,-1.196926117E0,-2.769167662E0,2.455374748E-1
1.891242500E0,-1.190279245E0,-2.532441378E0,4.322356880E-1
1.901238500E0,-1.175635576E0,-2.190302372E0,6.330342889E-1
1.911235500E0,-1.145244956E0,-1.804930806E0,7.958104014E-1
1.921232500E0,-1.115169287E0,-1.423238516E0,9.148792624E-1
1.931229500E0,-1.089110851E0,-1.076721907E0,9.768497944E-1
1.941226500E0,-1.045886636E0,-8.030235171E-1,1.006051898E0
1.951222500E0,-9.799758792E-1,-5.913124681E-1,1.052477360E0
1.961219500E0,-9.138802290E-1,-4.529966712E-1,1.127689838E0
1.971216500E0,-8.912250996E-1,-3.918305337E-1,1.209225893E0
1.981213500E0,-8.864018321E-1,-3.943317831E-1,1.284630060E0
1.991210500E0,-8.980918527E-1,-4.468438625E-1,1.365247011E0
2.001206500E0,-9.341933727E-1,-5.272724032E-1,1.463423729E0
2.011203500E0,-1.002085447E0,-6.377764344E-1,1.552662730E0
2.021200500E0,-1.088171005E0,-7.828468084E-1,1.616195083E0
2.031197500E0,-1.172464252E0,-9.455576539E-1,1.671318650E0
2.041194500E0,-1.246181965E0,-1.118744016E0,1.742357969E0
2.051190500E0,-1.313477993E0,-1.297323704E0,1.816997409E0
2.061187500E0,-1.391382456E0,-1.495009899E0,1.906031966E0
2.071184500E0,-1.502749801E0,-1.713937163E0,2.004446745E0
2.081181500E0,-1.635581613E0,-1.947429299E0,2.091079950E0
2.091178500E0,-1.760204196E0,-2.158309937E0,2.164817572E0
2.101174500E0,-1.848939657E0,-2.306261063E0,2.228614330E0
2.111171500E0,-1.880616069E0,-2.400789499E0,2.281452417E0
2.121168500E0,-1.870702744E0,-2.466997385E0,2.327123642E0
2.131165500E0,-1.855115414E0,-2.501001596E0,2.351759434E0
2.141162500E0,-1.862140536E0,-2.524754524E0,2.356643677E0
2.151158500E0,-1.886677504E0,-2.525311232E0,2.367309332E0
2.161155500E0,-1.919592857E0,-2.495930910E0,2.369780064E0
2.171152500E0,-1.959027171E0,-2.452578068E0,2.378390789E0
2.181149500E0,-1.999440670E0,-2.389785051E0,2.388999701E0
2.191145500E0,-1.998829961E0,-2.279782057E0,2.364846230E0
2.201142500E0,-1.963912368E0,-2.122590065E0,2.304543495E0
2.211139500E0,-1.870046020E0,-1.933606625E0,2.173794270E0
2.221136500E0,-1.727585316E0,-1.746692657E0,1.967050791E0
2.231133500E0,-1.541896582E0,-1.567832351E0,1.716389179E0
2.241129500E0,-1.328289986E0,-1.388401628E0,1.445755005E0
2.251126500E0,-1.094553471E0,-1.184648633E0,1.193847299E0
2.261123500E0,-8.654534817E-1,-9.506758451E-1,9.898207188E-1
2.271120500E0,-6.908158660E-1,-7.038056254E-1,8.328917027E-1
2.281117500E0,-5.713666677E-1,-4.590808451E-1,6.854907870E-1
2.291113500E0,-5.194467306E-1,-2.347745150E-1,5.629078746E-1
2.301110500E0,-5.096842647E-1,-4.361584783E-2,4.541153014E-1
2.311107500E0,-5.306067467E-1,6.049170718E-2,3.418501914E-1
2.321104500E0,-5.598573089E-1,1.038287953E-1,2.204787433E-1
2.331101500E0,-5.519716740E-1,1.343663931E-1,6.780403107E-2
2.341097500E0,-4.972250462E-1,1.607106477E-1,-1.116576046E-1
2.351094500E0,-4.110068977E-1,1.909067482E-1,-2.644446790E-1
2.361091500E0,-2.916858196E-1,2.231530994E-1,-4.050345421E-1
2.371088500E0,-1.589624286E-1,2.716978490E-1,-5.444420576E-1
2.381084500E0,-3.972550109E-2,3.213186860E-1,-6.682947874E-1
2.391081500E0,4.925527796E-2,3.256273270E-1,-7.742473483E-1
2.401078500E0,1.154082045E-1,2.994132936E-1,-8.655223846E-1
2.411075500E0,1.630865932E-1,2.950907946E-1,-9.215827584E-1
2.421072500E0,1.899248660E-1,3.072470725E-1,-9.616289735E-1
2.431068500E0,2.066456378E-1,3.098445833E-1,-1.027168036E0
2.441065750E0,2.025113404E-1,3.241311312E-1,-1.111143708E0
2.451062750E0,2.148284614E-1,3.373729885E-1,-1.190162063E0
2.461059750E0,2.627879977E-1,3.726891577E-1,-1.263809085E0
2.471056750E0,3.464446068E-1,4.357272089E-1,-1.317968369E0
2.481052750E0,4.343632460E-1,5.278531313E-1,-1.328853011E0
2.491049750E0,5.014736652E-1,6.393464208E-1,-1.309865236E0
2.501046750E0,5.352301002E-1,7.269473672E-1,-1.274312019E0
2.511043750E0,5.464569926E-1,7.526780963E-1,-1.226075172E0
2.521040750E0,5.397247672E-1,7.363742590E-1,-1.154720306E0
2.531036750E0,5.043367743E-1,6.842983365E-1,-1.053088069E0
2.541033750E0,4.546041191E-1,5.924259424E-1,-9.446424246E-1
2.551030750E0,4.010226130E-1,4.812344611E-1,-8.465186954E-1
2.561027750E0,3.591739833E-1,3.838487864E-1,-7.804680467E-1
2.571023750E0,3.427436650E-1,3.123335242E-1,-7.548915148E-1
2.581020750E0,3.560871482E-1,2.924413085E-1,-7.353596091E-1
2.591017750E0,3.789444268E-1,3.352842629E-1,-7.095688581E-1
2.601014750E0,4.098485410E-1,4.108461440E-1,-6.914077401E-1
2.611011750E0,4.536348879E-1,5.064819455E-1,-6.803892255E-1
2.621007750E0,4.914656281E-1,5.961650014E-1,-6.665943265E-1
2.631004750E0,5.108597875E-1,6.485085487E-1,-6.631423235E-1
2.641001750E0,5.070999861E-1,6.367541552E-1,-6.741390824E-1
2.650998750E0,4.822296500E-1,5.762969851E-1,-6.883364320E-1
2.660995750E0,4.449914694E-1,4.967438579E-1,-6.897111535E-1
2.670991750E0,4.011871517E-1,4.155248106E-1,-6.764629483E-1
2.680988750E0,3.598974943E-1,3.396859765E-1,-6.562447548E-1
2.690985750E0,3.152380288E-1,2.701365352E-1,-6.320881248E-1
2.700982750E0,2.734948397E-1,2.030688077E-1,-6.047619581E-1
2.710979750E0,2.380247116E-1,1.529336125E-1,-5.740294456E-1
2.720975750E0,2.100625932E-1,1.198089495E-1,-5.450827479E-1
2.730972750E0,1.872494370E-1,1.040866449E-1,-5.200889111E-1
2.740969750E0,1.701127887E-1,9.935287386E-2,-5.069286823E-1
2.750966750E0,1.478575617E-1,1.128455102E-1,-5.025035739E-1
2.760963750E0,1.244459748E-1,1.256824732E-1,-5.019178987E-1
2.770959750E0,1.045663580E-1,1.365410686E-1,-4.958859086E-1
2.780956750E0,8.852028102E-2,1.428961605E-1,-4.841994345E-1
2.790953750E0,6.907508522E-2,1.360110492E-1,-4.581866264E-1
2.800950750E0,5.091872066E-2,1.170956641E-1,-4.200096726E-1
2.810946750E0,2.978893742E-2,1.052003950E-1,-3.739087582E-1
2.820943750E0,-1.991363242E-3,8.518434316E-2,-3.260770440E-1
