"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.117833287E-3,-5.761394277E-5,-6.813632790E-4,2.328137634E-4
1.311483327E-2,8.652508259E-4,-2.328022383E-4,1.397309825E-4
2.311283327E-2,-1.181388274E-3,9.397875983E-4,2.333376789E-3
3.310983325E-2,6.869898643E-4,-5.415303167E-4,1.396225300E-3
4.310783325E-2,1.194322249E-3,1.153305289E-3,2.270807279E-3
5.310483347E-2,6.367701571E-4,6.633686135E-4,2.039573621E-3
6.310283346E-2,-1.282303594E-3,-4.389137030E-4,9.583302308E-4
7.309983345E-2,1.420109300E-3,-4.203342833E-4,7.373754634E-4
8.309783344E-2,6.485916674E-4,1.700873603E-3,-4.328174982E-4
9.309483343E-2,6.004795432E-4,-1.733361278E-4,-9.637695039E-4
1.030928334E-1,-1.689074561E-4,4.338645376E-4,1.656780951E-3
1.130898334E-1,-4.047225229E-4,1.621276606E-4,1.740865875E-3
1.230878334E-1,1.343642594E-3,1.327260747E-3,2.826636657E-3
1.330848334E-1,-3.448454663E-5,1.150946016E-3,5.675321445E-3
1.430828334E-1,1.252621179E-3,-3.233798780E-4,5.717931781E-3
1.530798334E-1,5.438362714E-4,1.042678487E-4,3.479165956E-3
1.630778334E-1,1.738796709E-3,4.824367352E-4,2.558777342E-3
1.730748334E-1,1.712543890E-4,-3.070840379E-3,-2.556962892E-3
1.830728333E-1,3.038798459E-4,2.107066102E-4,-6.855571177E-3
1.930698333E-1,1.670770580E-3,-1.816821750E-3,-9.484295733E-3
2.030668333E-1,-1.137799118E-3,1.153016929E-4,-7.250435650E-3
2.130648333E-1,-1.858687028E-4,1.180986874E-4,-3.206618596E-3
2.230618333E-1,1.164004207E-4,2.475283109E-4,-4.534424515E-4
2.330598333E-1,-2.688090317E-4,-1.844912535E-3,5.550555885E-3
2.430568333E-1,8.217552677E-4,-1.229126938E-4,6.745249964E-3
2.530548333E-1,-4.499186762E-4,-1.605167985E-3,6.248655729E-3
2.630518333E-1,-1.192408148E-3,2.957964316E-4,9.878472192E-4
2.730498333E-1,-8.666841313E-4,-2.606213093E-4,-1.382134156E-3
2.830468332E-1,-3.915764391E-4,8.757496253E-4,-5.619755946E-3
2.930448335E-1,2.511669882E-4,-7.402687334E-4,-6.842681672E-3
3.030418335E-1,-4.322002642E-4,1.035793452E-3,-4.109479487E-3
3.130398334E-1,1.521795522E-3,1.247082604E-3,-1.176079386E-3
3.230368334E-1,-7.994156331E-4,1.553878654E-3,1.872707391E-3
3.330348334E-1,-9.484286420E-4,1.604820136E-4,6.102920510E-3
3.430318334E-1,6.188414991E-4,-1.102921553E-3,5.760704167E-3
3.530298334E-1,-9.010350332E-4,-6.807746831E-4,1.841365709E-3
3.630268334E-1,5.969929043E-4,5.181805464E-4,-9.333817288E-4
3.730248334E-1,-9.667803533E-4,-1.443149056E-3,-5.172139499E-3
3.830213333E-1,4.495447502E-5,1.654003281E-4,-5.440852139E-3
3.930193332E-1,5.234682467E-4,-8.584822062E-4,-3.666704521E-3
4.030163335E-1,-1.828023233E-4,6.246322300E-4,-1.384109142E-3
4.130143335E-1,-7.399357855E-6,1.571815694E-3,3.172958503E-3
4.230113334E-1,1.219785074E-3,-1.147643197E-4,6.033726037E-3
4.330093334E-1,-4.853601567E-4,1.036016503E-3,6.008656230E-3
4.430063334E-1,-8.866982535E-4,1.108188182E-3,4.527693382E-4
4.530043334E-1,-2.022134140E-5,-5.688399542E-4,-1.397376880E-3
4.630013334E-1,-6.420696154E-4,5.432959879E-4,-5.294380710E-3
4.729993334E-1,2.257395536E-4,2.869929187E-3,-5.889669992E-3
4.829963334E-1,1.322695520E-3,-5.346557591E-4,-4.431589041E-3
4.929943334E-1,4.593757913E-4,1.014928101E-3,-2.297610044E-3
5.029913334E-1,6.283121184E-5,1.724926755E-3,1.297923736E-3
5.129893334E-1,7.417984307E-5,2.377084456E-4,6.100002211E-3
5.229863334E-1,3.109350801E-4,6.225351244E-4,5.967110861E-3
5.329843333E-1,1.307195518E-3,4.190974869E-5,4.619963467E-3
5.429813333E-1,-6.496952847E-4,-1.809253590E-3,7.336126873E-4
5.529793333E-1,1.509742346E-3,-1.143642236E-3,-2.813791391E-3
5.629763333E-1,-1.075654291E-3,-5.334406160E-5,-4.971484188E-3
5.729743333E-1,1.822281629E-4,5.632005632E-4,-5.739310291E-3
5.829713333E-1,-5.559204146E-5,7.283166051E-4,-1.938712783E-3
5.929693333E-1,-7.244432345E-5,5.389860598E-4,1.599359093E-3
6.029663333E-1,2.868161537E-4,6.467709318E-5,2.966626082E-3
6.129643333E-1,1.076236367E-5,1.635511406E-3,5.802914500E-3
6.229613333E-1,-9.056315757E-4,3.649173304E-4,4.176255781E-3
6.329583332E-1,-1.087807119E-3,7.218063110E-4,2.347016241E-3
6.429563335E-1,8.072983474E-4,-1.132286387E-3,-2.373170108E-3
6.529533335E-1,6.412649527E-4,-1.628469443E-3,-4.326912574E-3
6.629513334E-1,-6.695427001E-4,2.429340966E-4,-3.497071564E-3
6.729483334E-1,9.702511597E-4,-4.756154958E-4,-1.971203368E-3
6.829463334E-1,1.409426332E-4,5.771321012E-4,-6.388239563E-4
6.929433334E-1,5.072741769E-4,2.700339537E-4,3.499946557E-3
7.029413334E-1,-5.241683684E-4,-2.676583827E-4,4.324994050E-3
7.129383334E-1,-4.176734947E-4,-1.889955951E-3,4.298749845E-3
7.229363334E-1,8.710301481E-4,3.747961018E-4,3.005518578E-3
7.329333334E-1,6.886171177E-4,-8.225277998E-4,-2.122724894E-3
7.429313334E-1,-1.923562959E-4,3.886779305E-4,-5.265787244E-3
7.529283334E-1,2.178000286E-4,1.931621227E-4,-4.344695248E-3
7.629263334E-1,-1.682365313E-3,3.428319469E-4,-4.507947247E-3
7.729233333E-1,6.253877655E-5,-2.090267139E-3,-1.086051227E-3
7.829213333E-1,5.454942584E-5,7.727975026E-5,1.923853415E-3
7.929183333E-1,7.264656015E-4,-2.449937165E-5,3.798984922E-3
8.029163333E-1,2.588145435E-4,-1.557932701E-4,3.349976148E-3
8.129133333E-1,-1.321081072E-4,-9.878086857E-4,2.980448306E-3
8.229113333E-1,3.480599262E-4,1.226077089E-3,-6.374559598E-4
8.329083333E-1,1.822991995E-3,-6.724759005E-4,-3.751260228E-3
