"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.233708346E-3,-1.079255676E-1,1.610650635E-1,-9.767488403E0
1.123170834E-2,-1.065783691E-1,1.598675537E-1,-9.769434357E0
2.122970833E-2,-6.691085815E-2,1.502874756E-1,-9.798923035E0
3.122620820E-2,-4.834945679E-2,1.308279419E-1,-9.779762878E0
4.122420819E-2,-1.242416382E-2,9.175918579E-2,-9.753118286E0
5.122120841E-2,4.775070190E-2,7.080276489E-2,-9.753567352E0
6.121920841E-2,9.235794067E-2,7.050338745E-2,-9.771529999E0
7.121620839E-2,1.270857239E-1,5.822891235E-2,-9.787846069E0
8.121420839E-2,1.145118713E-1,4.445755005E-2,-9.780062256E0
9.121220838E-2,1.095721436E-1,3.757186890E-2,-9.767488403E0
1.012092084E-1,7.649093628E-2,1.736389160E-2,-9.769434357E0
1.112072084E-1,3.293151855E-3,2.754272461E-2,-9.762398987E0
1.212042083E-1,-1.390608215E-1,7.589218140E-2,-9.754465485E0
1.312022083E-1,-2.601589966E-1,1.646575928E-1,-9.731712799E0
1.412002083E-1,-3.146456909E-1,2.556683350E-1,-9.776170349E0
1.511972083E-1,-3.617976379E-1,2.773731995E-1,-9.759704590E0
1.611952083E-1,-2.409988403E-1,2.821632385E-1,-9.783804474E0
1.711922083E-1,-6.840774536E-2,2.165995789E-1,-9.771529999E0
1.811902083E-1,7.035369873E-2,1.468446350E-1,-9.745334473E0
1.911872083E-1,1.507365417E-1,7.274871826E-2,-9.749376068E0
2.011852083E-1,1.854643250E-1,2.020797729E-2,-9.769584045E0
2.111832083E-1,1.505868530E-1,-2.395019531E-3,-9.763147430E0
2.211802083E-1,6.511459351E-2,1.002914429E-2,-9.762548676E0
2.311782083E-1,1.796264648E-2,5.224136353E-2,-9.773475952E0
2.411752082E-1,-9.729766846E-3,1.142124939E-1,-9.771829376E0
2.511732082E-1,-1.871109009E-2,1.519340515E-1,-9.759554901E0
2.611702082E-1,1.032852173E-2,1.869612122E-1,-9.771380310E0
2.711682082E-1,2.844085693E-3,2.191442871E-1,-9.749974823E0
2.811662082E-1,-3.487747192E-2,2.115101624E-1,-9.757908325E0
2.911632082E-1,-1.056802368E-1,1.962419128E-1,-9.776170349E0
3.011612084E-1,-1.851649475E-1,1.733395386E-1,-9.767638092E0
3.111582084E-1,-2.579136658E-1,1.472937012E-1,-9.787995758E0
3.211562084E-1,-2.897973633E-1,9.804611206E-2,-9.782457275E0
3.311532084E-1,-2.251318359E-1,4.760101318E-2,-9.769733734E0
3.411512084E-1,-1.163081360E-1,1.586700439E-2,-9.773026886E0
3.511492084E-1,3.832031250E-2,-1.212478638E-2,-9.761949921E0
3.611462084E-1,2.038760376E-1,1.167572021E-2,-9.755363617E0
3.711442084E-1,2.983296204E-1,3.891906738E-2,-9.774224396E0
3.811412083E-1,2.975811768E-1,1.225950623E-1,-9.753118286E0
3.911392083E-1,2.134561157E-1,1.811233521E-1,-9.751322021E0
4.011362083E-1,7.364685059E-2,2.448907471E-1,-9.752968597E0
4.111342083E-1,-7.214996338E-2,2.610571289E-1,-9.766739960E0
4.211322083E-1,-1.850152588E-1,2.312690735E-1,-9.771679688E0
4.311292083E-1,-2.369572449E-1,1.689985657E-1,-9.788444824E0
4.411272083E-1,-2.130070496E-1,1.008901978E-1,-9.776320038E0
4.511242083E-1,-1.654060364E-1,2.080673218E-2,-9.771829376E0
4.611222083E-1,-9.595046997E-2,-1.272354126E-2,-9.771080933E0
4.711192083E-1,-6.691085815E-2,-7.634124756E-3,-9.751920776E0
4.811172083E-1,-4.565505981E-2,2.844085693E-2,-9.755363617E0
4.911152082E-1,-5.134323120E-2,1.065783691E-1,-9.767338715E0
