"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.483708318E-3,-4.829864502E0,3.598132706E1,4.185928345E1
1.248170831E-2,-4.758117676E0,3.591827393E1,4.205882263E1
2.247970831E-2,-4.695312500E0,3.594728851E1,4.207286072E1
3.247620841E-2,-4.706054688E0,3.589203644E1,4.211480713E1
4.247420840E-2,-4.723358154E0,3.593539047E1,4.219993591E1
5.247120839E-2,-4.563537598E0,3.588518143E1,4.212420654E1
6.246920838E-2,-4.541961670E0,3.585886002E1,4.212150574E1
7.246620837E-2,-4.539794922E0,3.589406204E1,4.205799866E1
8.246420836E-2,-4.547637939E0,3.593288803E1,4.179916382E1
9.246220835E-2,-4.568817139E0,3.593667984E1,4.185827637E1
1.024592083E-1,-4.682769775E0,3.590080643E1,4.194503784E1
1.124572083E-1,-4.641845703E0,3.591393661E1,4.227551270E1
1.224542083E-1,-4.749206543E0,3.605602264E1,4.217524719E1
1.324522083E-1,-4.738128662E0,3.583912659E1,4.222808838E1
1.424502083E-1,-4.666595459E0,3.575842285E1,4.211848450E1
1.524472083E-1,-4.744415283E0,3.580389786E1,4.206881714E1
1.624452083E-1,-4.746978760E0,3.591100311E1,4.208071899E1
1.724422083E-1,-4.657775879E0,3.599940491E1,4.217343140E1
1.824402083E-1,-4.609924316E0,3.607127762E1,4.212672424E1
1.924372083E-1,-4.727661133E0,3.594729233E1,4.227494812E1
2.024352083E-1,-4.677185059E0,3.591423035E1,4.220669556E1
2.124332082E-1,-4.769897461E0,3.598078537E1,4.214761353E1
2.224302082E-1,-4.794403076E0,3.596030045E1,4.223587036E1
2.324282082E-1,-4.677978516E0,3.583237457E1,4.215409851E1
2.424252082E-1,-4.627899170E0,3.565691757E1,4.235427856E1
2.524232082E-1,-4.706817627E0,3.583093262E1,4.249923706E1
2.624202084E-1,-4.666137695E0,3.580653381E1,4.270080566E1
2.724182084E-1,-4.734863281E0,3.582355118E1,4.232221985E1
2.824162084E-1,-4.862670898E0,3.591119385E1,4.214073181E1
2.924132084E-1,-4.656738281E0,3.576906586E1,4.227107239E1
3.024112084E-1,-4.597381592E0,3.565248871E1,4.211663818E1
3.124082084E-1,-4.586669922E0,3.574258423E1,4.202525330E1
3.224062084E-1,-4.616485596E0,3.569136810E1,4.202511597E1
3.324032084E-1,-4.680816650E0,3.582079315E1,4.198512268E1
3.424012084E-1,-4.702728271E0,3.571024323E1,4.233328247E1
3.523992084E-1,-4.669128418E0,3.583932877E1,4.214033508E1
3.623962083E-1,-4.659820557E0,3.575247955E1,4.243548584E1
3.723942083E-1,-4.634857178E0,3.579063797E1,4.223771667E1
3.823912083E-1,-4.623565674E0,3.573684311E1,4.258314514E1
3.923892083E-1,-4.637481689E0,3.569480896E1,4.235401917E1
4.023862083E-1,-4.601257324E0,3.579150391E1,4.220906067E1
4.123842083E-1,-4.581298828E0,3.560720825E1,4.224581909E1
4.223822083E-1,-4.599365234E0,3.568846512E1,4.246778870E1
4.323792083E-1,-4.613372803E0,3.565602112E1,4.222663879E1
4.423772083E-1,-4.603210449E0,3.564588928E1,4.232890320E1
4.523742083E-1,-4.763488770E0,3.587490845E1,4.208569336E1
4.623722082E-1,-4.758178711E0,3.584169006E1,4.203598022E1
4.723692082E-1,-4.791046143E0,3.575916672E1,4.222109985E1
4.823672082E-1,-4.735534668E0,3.580754852E1,4.204804993E1
4.923652082E-1,-4.734344482E0,3.599273300E1,4.203356934E1
5.023622082E-1,-4.576599121E0,3.582606888E1,4.211520386E1
5.123602082E-1,-4.481506348E0,3.591444016E1,4.198370361E1
5.223572084E-1,-4.511322021E0,3.578264236E1,4.204862976E1
5.323552084E-1,-4.600677490E0,3.578974533E1,4.211262512E1
5.423532084E-1,-4.704956055E0,3.587706375E1,4.195887756E1
5.523502084E-1,-4.697174072E0,3.573457336E1,4.209136963E1
5.623482084E-1,-4.699676514E0,3.575263977E1,4.212957764E1
5.723452084E-1,-4.709564209E0,3.581813431E1,4.203384399E1
5.823432084E-1,-4.873992920E0,3.585797501E1,4.232380676E1
5.923402084E-1,-4.792724609E0,3.583894730E1,4.217681885E1
6.023382084E-1,-4.851501465E0,3.596051407E1,4.211631775E1
6.123362083E-1,-4.721038818E0,3.580059052E1,4.217431641E1
6.223332083E-1,-4.586517334E0,3.581932831E1,4.205374146E1
6.323312083E-1,-4.688018799E0,3.598586655E1,4.200260925E1
6.423282083E-1,-4.713989258E0,3.582069778E1,4.215553284E1
6.523262083E-1,-4.838378906E0,3.588205338E1,4.215406799E1
6.623232083E-1,-4.761871338E0,3.599851227E1,4.208013916E1
6.723212083E-1,-4.755432129E0,3.596207047E1,4.230778503E1
6.823192083E-1,-4.818115234E0,3.600234604E1,4.226799011E1
6.923162083E-1,-4.663360596E0,3.597629166E1,4.213449097E1
7.023142083E-1,-4.758209229E0,3.593109512E1,4.231147766E1
7.123112082E-1,-4.746063232E0,3.601680374E1,4.244639587E1
7.223092082E-1,-4.716400146E0,3.582437515E1,4.242190552E1
7.323062082E-1,-4.650390625E0,3.584914017E1,4.242256165E1
7.423042082E-1,-4.557373047E0,3.564817429E1,4.229324341E1
7.523022082E-1,-4.525970459E0,3.582390213E1,4.217712402E1
7.622992082E-1,-4.594451904E0,3.589385986E1,4.209513855E1
7.722972082E-1,-4.602539062E0,3.587696075E1,4.198925781E1
7.822942084E-1,-4.728057861E0,3.574792862E1,4.233470154E1
7.922922084E-1,-4.690917969E0,3.591554260E1,4.207640076E1
8.022892084E-1,-4.650756836E0,3.579359055E1,4.207044983E1
8.122872084E-1,-4.614898682E0,3.581869888E1,4.216004944E1
8.222852084E-1,-4.640319824E0,3.575833130E1,4.200505066E1
8.322822084E-1,-4.461791992E0,3.573542786E1,4.207238770E1
8.422802084E-1,-4.574188232E0,3.582831192E1,4.200904846E1
