"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.890500007E-3,-4.594543457E0,3.489970398E1,4.200679016E1
1.288749999E-2,-4.686035156E0,3.496955490E1,4.218231201E1
2.288549999E-2,-4.741516113E0,3.496044159E1,4.216555786E1
3.288249997E-2,-4.674133301E0,3.497970200E1,4.221519470E1
4.287949996E-2,-4.560943604E0,3.484841919E1,4.195709229E1
5.287649995E-2,-4.576843262E0,3.497405243E1,4.211933899E1
6.287295825E-2,-4.541107178E0,3.497595596E1,4.212252808E1
7.287095836E-2,-4.512115479E0,3.498241425E1,4.211560059E1
8.286795835E-2,-4.670684814E0,3.499779129E1,4.202032471E1
9.286495834E-2,-4.687591553E0,3.496523666E1,4.204022217E1
1.028619583E-1,-4.598907471E0,3.495397568E1,4.185424805E1
1.128589583E-1,-4.501678467E0,3.490998840E1,4.169203186E1
1.228569583E-1,-4.485656738E0,3.468888474E1,4.190574646E1
1.328539583E-1,-4.493133545E0,3.469526291E1,4.193739319E1
1.428509583E-1,-4.596221924E0,3.488142776E1,4.184693909E1
1.528479583E-1,-4.537109375E0,3.471566391E1,4.174333191E1
1.628459583E-1,-4.731842041E0,3.489981842E1,4.168400574E1
1.728429584E-1,-4.482208252E0,3.487141037E1,4.180767822E1
1.828399583E-1,-4.594635010E0,3.482231140E1,4.189448547E1
1.928369583E-1,-4.518615723E0,3.485085678E1,4.184280396E1
2.028339583E-1,-4.491912842E0,3.479777527E1,4.194761658E1
2.128319583E-1,-4.523010254E0,3.477831268E1,4.189691162E1
2.228289583E-1,-4.540679932E0,3.475236130E1,4.193222046E1
2.328259583E-1,-4.397338867E0,3.481744385E1,4.163075256E1
2.428229583E-1,-4.396575928E0,3.483343506E1,4.184379578E1
2.528209583E-1,-4.497100830E0,3.487655258E1,4.203642273E1
2.628179583E-1,-4.472259521E0,3.495003128E1,4.198117065E1
2.728149584E-1,-4.559753418E0,3.485441589E1,4.188980103E1
2.828119583E-1,-4.551330566E0,3.483827209E1,4.175505066E1
2.928089583E-1,-4.562225342E0,3.478909683E1,4.170999146E1
3.028069583E-1,-4.569732666E0,3.481803131E1,4.181010437E1
3.128039583E-1,-4.586364746E0,3.475965881E1,4.190298462E1
3.228009583E-1,-4.562774658E0,3.494487000E1,4.168173218E1
3.327979583E-1,-4.619140625E0,3.495126724E1,4.163081360E1
3.427949583E-1,-4.533203125E0,3.475359726E1,4.201901245E1
3.527929583E-1,-4.595764160E0,3.475914383E1,4.196626282E1
3.627899582E-1,-4.602569580E0,3.478869247E1,4.212609863E1
3.727869584E-1,-4.565185547E0,3.472255707E1,4.226112366E1
3.827839583E-1,-4.401367188E0,3.475662231E1,4.199224854E1
3.927819583E-1,-4.487762451E0,3.487252808E1,4.200735474E1
4.027789583E-1,-4.605163574E0,3.487329102E1,4.189105225E1
4.127759583E-1,-4.656921387E0,3.496218109E1,4.182652283E1
4.227729583E-1,-4.696563721E0,3.491829300E1,4.219349670E1
4.327699583E-1,-4.753295898E0,3.491928482E1,4.229841614E1
4.427679583E-1,-4.626495361E0,3.488191605E1,4.219534302E1
