"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.355666646E-3,-6.362958811E-4,1.995919738E-4,1.225373708E-4
1.335266663E-2,-1.449563541E-3,-3.537512384E-5,-6.392642390E-4
2.334966662E-2,7.456354797E-5,-6.817241665E-4,3.072232939E-4
3.334666661E-2,3.051385283E-5,7.623507408E-4,-7.080779178E-4
4.334466660E-2,-5.628382787E-4,-2.310082782E-4,1.331370906E-3
5.334166659E-2,-2.848552540E-4,-5.337723996E-4,-1.487458358E-4
6.333866669E-2,1.194264274E-3,-1.457623206E-3,3.098504385E-4
7.333566668E-2,-1.881062053E-4,-7.873445284E-4,1.934405533E-3
8.333266666E-2,3.242855892E-4,8.510705084E-5,-1.451537479E-3
9.332966665E-2,2.288622782E-4,-7.039660122E-4,-1.029251143E-5
1.033266666E-1,-1.012969762E-3,-8.680166211E-4,-3.346655285E-4
1.133236666E-1,8.092180360E-4,-4.172194749E-4,5.193550605E-4
1.233206666E-1,-1.408396289E-3,2.144821920E-4,1.074890490E-3
1.333176666E-1,-6.016059779E-4,6.847013719E-4,8.494347567E-4
1.433146666E-1,2.711117268E-4,8.098699618E-4,1.243582577E-3
1.533116667E-1,7.213519420E-4,-3.187395632E-4,1.348247286E-3
1.633086667E-1,2.121908357E-3,-7.453779690E-4,2.093666233E-3
1.733056667E-1,8.728201501E-4,1.783057116E-3,1.720302389E-3
1.833026666E-1,-4.366561770E-4,5.473503843E-4,2.527772915E-3
1.933006666E-1,2.907840535E-4,6.415261887E-4,2.452277113E-4
2.032976666E-1,-2.437126823E-4,2.926541492E-5,-1.480766921E-3
2.132946666E-1,1.237750752E-3,6.354642101E-4,-8.961483836E-4
2.232916666E-1,1.990093850E-3,-7.053976879E-5,-2.500436734E-3
2.332886666E-1,8.267185185E-4,5.792193115E-4,-1.637674519E-3
2.432856667E-1,1.229388407E-3,1.509994036E-3,-2.354331315E-3
2.532826667E-1,7.169719320E-4,3.314942587E-4,-6.178293843E-4
2.632796667E-1,-1.806067303E-5,-1.063295640E-4,1.532939496E-3
2.732766666E-1,9.282692336E-4,-3.664651886E-4,7.710171049E-4
2.832736666E-1,2.523590811E-4,-1.314550638E-3,1.456514699E-3
2.932706666E-1,1.607883256E-3,-1.086110482E-3,5.693768617E-4
3.032676666E-1,1.671127975E-4,-8.307131939E-4,-2.135925461E-4
3.132646666E-1,9.105908684E-4,-7.194734644E-4,-1.193549484E-3
3.232616667E-1,-2.239160240E-4,4.829438403E-4,-8.641164750E-4
3.332586667E-1,-1.094816253E-3,-9.480002336E-4,-1.337663038E-3
3.432566667E-1,9.299851954E-4,4.828837700E-5,-2.368039917E-3
3.532536667E-1,-5.904706195E-4,-1.014102018E-3,-1.634598710E-3
3.632506666E-1,3.352439962E-4,3.260006197E-4,-6.247279234E-4
3.732476666E-1,1.274802722E-3,-1.145077171E-3,-4.895923194E-4
3.832446666E-1,-2.293507569E-4,2.632024698E-4,9.245460969E-4
3.932416666E-1,-5.705282092E-4,-1.707223710E-4,6.462505553E-5
4.032386666E-1,-4.322221503E-5,-1.633596607E-3,4.497180926E-4
4.132356666E-1,9.287882131E-4,-5.129585043E-4,1.789288595E-3
