"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.396625001E-3,-4.686218262E0,3.262062073E1,4.354614258E1
1.239362499E-2,-4.731811523E0,3.257966232E1,4.350512695E1
2.239062497E-2,-4.760040283E0,3.273044586E1,4.368562317E1
3.238762496E-2,-4.696197510E0,3.256638336E1,4.345632935E1
4.238462495E-2,-4.753417969E0,3.271915817E1,4.354585266E1
5.238162493E-2,-4.727691650E0,3.265713501E1,4.385209656E1
6.237862492E-2,-4.756042480E0,3.271542740E1,4.376589966E1
7.237662491E-2,-4.619628906E0,3.252013779E1,4.379634094E1
8.237362490E-2,-4.652038574E0,3.266369629E1,4.375175476E1
9.237062500E-2,-4.727630615E0,3.269777679E1,4.348298645E1
1.023676250E-1,-4.510192871E0,3.258068466E1,4.331739807E1
1.123646250E-1,-4.728393555E0,3.259085083E1,4.353608704E1
1.223616250E-1,-4.676513672E0,3.261668777E1,4.370117188E1
1.323586249E-1,-4.680084229E0,3.270131683E1,4.377642822E1
1.423556249E-1,-4.724060059E0,3.284697342E1,4.366641235E1
1.523526249E-1,-4.646545410E0,3.264623642E1,4.345452881E1
1.623496249E-1,-4.790588379E0,3.261227036E1,4.374020386E1
1.723476249E-1,-4.684020996E0,3.255376434E1,4.358557129E1
1.823443333E-1,-4.716033936E0,3.265254974E1,4.357844543E1
1.923413333E-1,-4.826293945E0,3.280595779E1,4.338156128E1
2.023383332E-1,-4.675201416E0,3.276515198E1,4.338690186E1
2.123353332E-1,-4.756378174E0,3.278752899E1,4.357678223E1
2.223323333E-1,-4.713531494E0,3.279913712E1,4.359614563E1
2.323293333E-1,-4.766571045E0,3.278711700E1,4.357203674E1
2.423263333E-1,-4.707580566E0,3.271536255E1,4.354368591E1
2.523233333E-1,-4.658386230E0,3.271441269E1,4.335520935E1
2.623213333E-1,-4.753326416E0,3.285342026E1,4.325523376E1
2.723183333E-1,-4.677337646E0,3.285446930E1,4.346365356E1
2.823153333E-1,-4.664154053E0,3.279687119E1,4.375587463E1
2.923123332E-1,-4.796051025E0,3.283414078E1,4.354954529E1
