X,Y,Z
-66.40400695800781,-86.16410827636719,-186.5172882080078
-66.20671081542969,-85.88844299316406,-186.3778533935547
-65.88217163085938,-86.07856750488281,-186.59886169433594
-66.07530212402344,-85.93731689453125,-187.0941162109375
-66.24081420898438,-86.24386596679688,-186.98727416992188
-66.92227172851562,-86.11610412597656,-186.77166748046875
-66.89671325683594,-84.96148681640625,-186.23760986328125
-67.35403442382812,-85.19383239746094,-185.8564453125
-67.13446044921875,-85.05618286132812,-185.12277221679688
-67.00692749023438,-84.91192626953125,-184.43263244628906
-66.80503845214844,-84.68939208984375,-183.59597778320312
-66.66259765625,-84.61691284179688,-183.16468811035156
-66.77110290527344,-84.63092041015625,-182.6082305908203
-66.58451843261719,-84.61491394042969,-182.0758056640625
-66.78604125976562,-84.52690124511719,-181.5828857421875
-66.86021423339844,-84.40426635742188,-181.2088623046875
-67.17924499511719,-84.39508056640625,-180.88912963867188
-67.55255126953125,-84.66419982910156,-180.5526885986328
-67.89321899414062,-84.68199157714844,-180.5124969482422
-68.74702453613281,-84.77256774902344,-180.54624938964844
-69.33058166503906,-85.096435546875,-180.8773193359375
-69.96928405761719,-85.18614196777344,-181.38101196289062
-70.29449462890625,-85.48524475097656,-182.07400512695312
-70.23118591308594,-85.70944213867188,-182.62353515625
-70.10336303710938,-86.03633117675781,-183.1774139404297
-69.54345703125,-86.36457824707031,-183.88113403320312
-68.780517578125,-86.8145751953125,-185.07420349121094
-68.17318725585938,-87.21910095214844,-185.95729064941406
-67.9254150390625,-87.55609130859375,-186.91221618652344
-67.92337036132812,-87.93453979492188,-187.7343292236328
-67.70735168457031,-88.13818359375,-189.16656494140625
-67.50921630859375,-88.48786926269531,-190.4987030029297
-67.22552490234375,-88.87113952636719,-192.09886169433594
-66.76608276367188,-89.36349487304688,-193.99835205078125
-66.7681884765625,-89.92141723632812,-196.20831298828125
-66.73577880859375,-90.10200500488281,-198.30409240722656
-66.47669982910156,-90.27726745605469,-200.97247314453125
-66.37222290039062,-90.15638732910156,-203.72850036621094
-66.2791748046875,-90.09083557128906,-206.69119262695312
-66.01506042480469,-89.98345947265625,-210.41822814941406
-65.79647827148438,-89.239501953125,-214.20089721679688
-65.46852111816406,-88.24241638183594,-218.0299072265625
-65.44068908691406,-86.98684692382812,-222.149169921875
-65.42794799804688,-84.93356323242188,-226.57498168945312
-65.34576416015625,-82.55807495117188,-230.98251342773438
-65.64019775390625,-79.52616882324219,-235.5858917236328
-66.30548095703125,-75.86582946777344,-240.203857421875
-67.05465698242188,-71.80776977539062,-244.42567443847656
-67.76506042480469,-67.15254211425781,-248.015625
-68.44670104980469,-62.05525207519531,-251.2987060546875
-68.55000305175781,-56.67689514160156,-254.08633422851562
-68.5135498046875,-51.41078186035156,-256.23626708984375
-67.96194458007812,-46.56568908691406,-257.259033203125
-67.49067687988281,-42.17662048339844,-257.8648986816406
-67.11131286621094,-38.35160827636719,-258.12738037109375
-67.12408447265625,-35.52278137207031,-258.5420227050781
-67.16802978515625,-33.06034851074219,-258.41015625
-67.36862182617188,-31.003646850585938,-258.3828125
-67.95256042480469,-29.640716552734375,-257.960205078125
-68.43304443359375,-28.616790771484375,-257.7483825683594
-68.64376831054688,-28.274871826171875,-257.4727783203125
-68.48806762695312,-28.447586059570312,-257.02655029296875
-68.00999450683594,-29.155960083007812,-256.2650146484375
-67.36289978027344,-30.220809936523438,-255.8301239013672
-66.24078369140625,-31.570785522460938,-255.30010986328125
-65.24964904785156,-32.74420166015625,-254.81727600097656
-64.61094665527344,-34.04985046386719,-254.10940551757812
-64.24421691894531,-35.02320861816406,-253.35137939453125
-63.91331481933594,-36.13151550292969,-253.26072692871094
-63.83978271484375,-37.210662841796875,-252.62387084960938
-64.02191162109375,-38.28523254394531,-252.4530029296875
-64.06355285644531,-39.658843994140625,-252.196044921875
-64.10968017578125,-41.34407043457031,-252.10777282714844
-64.04908752441406,-43.40400695800781,-251.81320190429688
-63.57084655761719,-45.81768798828125,-251.62002563476562
-62.88360595703125,-48.62953186035156,-250.89256286621094
-61.49418640136719,-51.75563049316406,-250.12387084960938
-59.570404052734375,-55.542999267578125,-248.61614990234375
-57.39979553222656,-59.571990966796875,-246.768798828125
-55.339080810546875,-63.68110656738281,-244.3351593017578
-53.23027038574219,-68.09475708007812,-241.36767578125
-51.29594421386719,-72.25253295898438,-237.8043975830078
-49.28765869140625,-76.15852355957031,-234.0543975830078
-47.78521728515625,-79.99369812011719,-229.82598876953125
-46.33155822753906,-83.21235656738281,-225.03579711914062
-45.254913330078125,-86.20130920410156,-219.7627410888672
-44.08195495605469,-88.73342895507812,-214.35350036621094
-43.129150390625,-90.71659851074219,-208.4573974609375
-42.75138854980469,-92.42420959472656,-202.04708862304688
-42.58229064941406,-93.54742431640625,-195.3925323486328
