"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.345604166E-2,-8.967315674E0,1.201620789E2,-2.286260376E2
2.352004166E-2,-8.744155884E0,1.201824036E2,-2.281434174E2
3.358404167E-2,-8.590042114E0,1.202918243E2,-2.280390778E2
4.364804167E-2,-8.791244507E0,1.200284424E2,-2.284861908E2
5.371304166E-2,-8.617675781E0,1.201377563E2,-2.283327484E2
6.377704167E-2,-8.798965454E0,1.200225067E2,-2.283723755E2
7.384204167E-2,-8.989822388E0,1.202630920E2,-2.284040680E2
8.390604166E-2,-9.077606201E0,1.202121887E2,-2.276226196E2
9.397104167E-2,-8.560897827E0,1.203982697E2,-2.283061371E2
1.040350417E-1,-8.969116211E0,1.200764923E2,-2.282609406E2
1.141000417E-1,-8.664321899E0,1.200616302E2,-2.280841370E2
1.241640417E-1,-8.696899414E0,1.201700592E2,-2.282831573E2
1.342290417E-1,-8.891571045E0,1.202724457E2,-2.280244293E2
1.442940417E-1,-8.816360474E0,1.200632782E2,-2.280392456E2
1.543580417E-1,-8.626724243E0,1.201959229E2,-2.282493439E2
1.644220417E-1,-8.566925049E0,1.203253632E2,-2.281714325E2
1.744870417E-1,-8.912353516E0,1.202895813E2,-2.282934875E2
1.845520417E-1,-8.377441406E0,1.200666656E2,-2.277324066E2
1.946180417E-1,-8.604400635E0,1.204178009E2,-2.281974792E2
2.046830417E-1,-8.460571289E0,1.205201111E2,-2.283456879E2
2.147470417E-1,-9.435974121E0,1.202633972E2,-2.282249756E2
2.248100417E-1,-9.023208618E0,1.205940704E2,-2.283567505E2
2.348740417E-1,-8.914672852E0,1.204418945E2,-2.282563782E2
2.449380417E-1,-8.839447021E0,1.203452454E2,-2.286584167E2
2.550020417E-1,-8.573104858E0,1.203943634E2,-2.283273010E2
2.650670417E-1,-9.036285400E0,1.204842072E2,-2.285060730E2
2.751320417E-1,-8.927658081E0,1.202653961E2,-2.277786865E2
2.851970417E-1,-9.226531982E0,1.201409149E2,-2.282203674E2
2.952620417E-1,-8.754699707E0,1.200509033E2,-2.280397186E2
3.053270417E-1,-8.949356079E0,1.200867767E2,-2.284632416E2
3.153920417E-1,-8.865814209E0,1.202745209E2,-2.279055939E2
3.254570417E-1,-8.785003662E0,1.202781677E2,-2.280637207E2
3.355230417E-1,-9.055191040E0,1.202085266E2,-2.275755768E2
3.455890417E-1,-8.479095459E0,1.204034882E2,-2.281588898E2
3.556550417E-1,-8.463470459E0,1.201856842E2,-2.281447449E2
3.657210417E-1,-8.577972412E0,1.201921692E2,-2.284940643E2
3.757870417E-1,-8.886871338E0,1.205421448E2,-2.280000763E2
3.858520417E-1,-8.693862915E0,1.200833282E2,-2.278005676E2
3.959180417E-1,-8.671630859E0,1.207408752E2,-2.281259155E2
4.059850417E-1,-8.582809448E0,1.201205444E2,-2.275539246E2
4.160520417E-1,-9.007095337E0,1.205563049E2,-2.280911865E2
4.261190417E-1,-8.472869873E0,1.205214844E2,-2.280668335E2
4.361840417E-1,-8.449859619E0,1.204713593E2,-2.279760590E2
4.462500417E-1,-8.756759644E0,1.206232147E2,-2.278287964E2
4.563150417E-1,-8.578735352E0,1.204790649E2,-2.281108551E2
4.663795417E-1,-8.947845459E0,1.202948914E2,-2.281089935E2
4.764445417E-1,-8.757308960E0,1.205134888E2,-2.280448608E2
4.865095417E-1,-8.581527710E0,1.204734039E2,-2.278685608E2
4.965735417E-1,-9.302368164E0,1.204130249E2,-2.278085938E2
5.066385417E-1,-8.879394531E0,1.205230865E2,-2.277056274E2
5.167035417E-1,-9.084686279E0,1.204485168E2,-2.283802795E2
5.267675417E-1,-8.812057495E0,1.202285614E2,-2.281242523E2
5.368305417E-1,-8.720703125E0,1.203385010E2,-2.282715302E2
5.468945417E-1,-9.001892090E0,1.202068329E2,-2.283380432E2
5.569595417E-1,-8.694229126E0,1.201623688E2,-2.284121552E2
5.670235417E-1,-8.720428467E0,1.200190582E2,-2.280293732E2
5.770885417E-1,-8.309661865E0,1.203066101E2,-2.282801208E2
5.871525417E-1,-8.777755737E0,1.203494720E2,-2.283154602E2
5.972175417E-1,-8.561340332E0,1.206293640E2,-2.287140350E2
6.072835417E-1,-8.488540649E0,1.204602661E2,-2.282079926E2
6.173475417E-1,-8.569000244E0,1.206213379E2,-2.283514557E2
6.274115417E-1,-8.572906494E0,1.204082947E2,-2.285190125E2
6.374755417E-1,-8.465148926E0,1.204441833E2,-2.279697723E2
6.475395417E-1,-8.443588257E0,1.202431335E2,-2.284445648E2
6.576045417E-1,-8.107620239E0,1.202871704E2,-2.286510925E2
6.676695417E-1,-8.376785278E0,1.202011566E2,-2.285534821E2
6.777335417E-1,-8.818893433E0,1.206363525E2,-2.280843201E2
6.877965417E-1,-8.515106201E0,1.202855988E2,-2.284356842E2
6.978605417E-1,-8.672103882E0,1.205236359E2,-2.282043152E2
7.079245417E-1,-8.639297485E0,1.205526581E2,-2.285187073E2
7.179885417E-1,-8.670532227E0,1.204855499E2,-2.281000366E2
7.280535417E-1,-8.522399902E0,1.202293701E2,-2.281157837E2
7.381175417E-1,-8.542633057E0,1.204769897E2,-2.278076324E2
7.481825417E-1,-8.624969482E0,1.202053680E2,-2.286927948E2
7.582475417E-1,-8.658172607E0,1.202516174E2,-2.284899139E2
7.683125417E-1,-8.877609253E0,1.203782654E2,-2.282156219E2
7.783765417E-1,-8.656265259E0,1.208633118E2,-2.286598206E2
7.884395417E-1,-8.296752930E0,1.205646057E2,-2.284487762E2
7.985045417E-1,-8.713485718E0,1.207401123E2,-2.281835175E2
8.085685417E-1,-8.672607422E0,1.201517334E2,-2.286030884E2
8.186325417E-1,-8.509063721E0,1.207439117E2,-2.285730438E2
8.286975417E-1,-8.288101196E0,1.204991150E2,-2.285260620E2
8.387615417E-1,-8.494567871E0,1.202455444E2,-2.282930145E2
8.488255417E-1,-8.645431519E0,1.205055389E2,-2.283008881E2
8.588905417E-1,-8.316436768E0,1.201085510E2,-2.285907745E2
8.689565417E-1,-8.339416504E0,1.203564148E2,-2.285973663E2
8.790215417E-1,-7.999984741E0,1.204696198E2,-2.286251831E2
8.890875417E-1,-8.324371338E0,1.206273499E2,-2.283445892E2
8.991525417E-1,-8.529739380E0,1.204486389E2,-2.286310425E2
9.092185417E-1,-8.548461914E0,1.206505127E2,-2.287171021E2
