"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.343708348E-3,2.321672058E-1,2.121089172E-1,9.881551208E0
1.339870837E-2,2.375559998E-1,2.216889954E-1,9.854906616E0
2.345270838E-2,2.622546387E-1,2.426454163E-1,9.834998016E0
3.350770834E-2,2.665956116E-1,2.353106689E-1,9.879904633E0
4.356270836E-2,2.465373230E-1,2.176473999E-1,9.876012726E0
5.361770838E-2,2.152523804E-1,1.863624573E-1,9.831704865E0
6.367270835E-2,1.761836243E-1,1.555265808E-1,9.832004242E0
7.372770837E-2,1.471440125E-1,1.311273193E-1,9.868228912E0
8.378270833E-2,1.260379028E-1,1.142124939E-1,9.841584320E0
9.383770835E-2,1.303788757E-1,1.411564636E-1,9.851613464E0
1.038927084E-1,1.673519897E-1,1.797761536E-1,9.835746460E0
1.139477083E-1,1.974394226E-1,2.107617188E-1,9.846524048E0
1.240027084E-1,2.194436646E-1,2.278262329E-1,9.836494904E0
1.340577084E-1,2.183958435E-1,2.300715637E-1,9.870773621E0
1.441127083E-1,2.073188782E-1,2.020797729E-1,9.810449066E0
1.541677084E-1,1.773811340E-1,1.570234680E-1,9.856104126E0
1.642217084E-1,1.478924561E-1,1.237925720E-1,9.879455566E0
1.742767083E-1,1.267863464E-1,1.121168518E-1,9.843530273E0
1.843317084E-1,1.270857239E-1,9.505233765E-2,9.839488678E0
1.943867084E-1,1.413061523E-1,1.113684082E-1,9.882299652E0
2.044417083E-1,2.399510193E-1,1.779798889E-1,9.917326813E0
2.144967084E-1,5.857319641E-1,3.887416077E-1,9.719138947E0
2.245517084E-1,5.715115356E-1,3.903881836E-1,9.870923309E0
2.346067083E-1,4.035607910E-1,2.927911377E-1,9.899962921E0
2.446617084E-1,1.908531189E-1,1.922003174E-1,9.861792297E0
2.547167084E-1,6.885681152E-3,7.753875732E-2,9.782756653E0
2.647717083E-1,-6.646179199E-2,1.062789917E-2,9.852960663E0
2.748267084E-1,-5.254074097E-2,2.963836670E-2,9.897118835E0
2.848807084E-1,5.284011841E-2,9.610015869E-2,9.795330505E0
2.949357083E-1,1.948947144E-1,1.785786438E-1,9.817783813E0
3.049907084E-1,2.974314880E-1,2.544708252E-1,9.913434906E0
3.150457084E-1,3.121009827E-1,2.770738220E-1,9.811347198E0
3.251007083E-1,2.444416809E-1,2.534230042E-1,9.869725800E0
3.351557084E-1,1.526824951E-1,2.170486450E-1,9.878707123E0
3.452107083E-1,8.891510010E-2,1.669029236E-1,9.806557159E0
3.552657083E-1,9.669891357E-2,1.442999268E-1,9.858349457E0
3.653207084E-1,1.743873596E-1,1.585203552E-1,9.864187317E0
3.753757083E-1,2.794688416E-1,1.904040527E-1,9.834548950E0
3.854307084E-1,4.022135925E-1,2.282752991E-1,9.855355682E0
3.954857084E-1,4.593946838E-1,2.463876343E-1,9.861792297E0
4.055407083E-1,4.282594299E-1,2.329156494E-1,9.866582336E0
4.155947083E-1,3.212319946E-1,1.844165039E-1,9.836195526E0
4.256497084E-1,1.664538574E-1,1.287322998E-1,9.845326538E0
4.357047083E-1,1.392105103E-2,8.666976929E-2,9.858199768E0
4.457597084E-1,-7.948471069E-2,6.810836792E-2,9.827513580E0
4.558147084E-1,-9.415420532E-2,1.031355286E-1,9.847871246E0
4.658697083E-1,-1.990859985E-2,1.688488770E-1,9.856403503E0
4.759247084E-1,1.161584473E-1,2.466870117E-1,9.842482452E0
4.859797084E-1,2.538720703E-1,3.047662354E-1,9.857900391E0
4.960347083E-1,3.662882996E-1,3.240760803E-1,9.876761169E0
5.060897084E-1,4.056564331E-1,2.968327332E-1,9.859996033E0
5.161447084E-1,3.773652649E-1,2.335144043E-1,9.848170624E0
5.261997083E-1,3.118016052E-1,1.468446350E-1,9.854756927E0
5.362537084E-1,2.258802795E-1,8.158035278E-2,9.859097900E0
5.463087084E-1,1.736389160E-1,6.331832886E-2,9.843081207E0
5.563637083E-1,1.553768921E-1,8.517288208E-2,9.854457550E0
5.664187084E-1,1.704954529E-1,1.432521057E-1,9.853559418E0
5.764737084E-1,2.106120300E-1,2.148033142E-1,9.843829651E0
5.865287083E-1,2.405497742E-1,2.615061951E-1,9.843679962E0
5.965837084E-1,2.315684509E-1,2.784210205E-1,9.850415955E0
6.066387084E-1,1.939965820E-1,2.646496582E-1,9.852661285E0
6.166937083E-1,1.534309387E-1,2.004331970E-1,9.839488678E0
6.267487084E-1,1.136137390E-1,1.335223389E-1,9.867330780E0
6.368037083E-1,1.088237000E-1,8.726852417E-2,9.836794281E0
6.468587084E-1,1.501377869E-1,6.346801758E-2,9.845027161E0
6.569137084E-1,2.146536255E-1,9.041198730E-2,9.854906616E0
6.669677084E-1,2.908451843E-1,1.383123779E-1,9.859696655E0
6.770227083E-1,3.508703613E-1,1.984872437E-1,9.854607239E0
6.870777084E-1,3.686833191E-1,2.573149109E-1,9.849667511E0
6.971327083E-1,3.305126953E-1,2.794688416E-1,9.865085449E0
7.071877084E-1,2.531236267E-1,2.691403198E-1,9.847721558E0
7.172427084E-1,1.522334290E-1,2.363584900E-1,9.846224670E0
7.272977083E-1,5.508544922E-2,2.004331970E-1,9.854457550E0
7.373527084E-1,2.095642090E-3,1.642085266E-1,9.829010468E0
7.474077084E-1,2.200424194E-2,1.445993042E-1,9.842332764E0
7.574627083E-1,7.334747314E-2,1.522334290E-1,9.855205994E0
7.675177084E-1,1.580712891E-1,1.722917175E-1,9.844578094E0
7.775727084E-1,2.336640930E-1,1.821711731E-1,9.830806732E0
7.876267083E-1,2.912942505E-1,1.972897339E-1,9.872869263E0
7.976817084E-1,3.168910217E-1,1.919009399E-1,9.851164398E0
8.077367084E-1,3.007246399E-1,1.760339355E-1,9.840686188E0
8.177915834E-1,2.633024597E-1,1.618135071E-1,9.861642609E0
8.278465833E-1,2.338137817E-1,1.594184875E-1,9.868378601E0
8.379015833E-1,2.216889954E-1,1.713935852E-1,9.842931519E0
8.479565834E-1,2.254312134E-1,1.956431580E-1,9.858199768E0
8.580115833E-1,2.398013306E-1,2.209405518E-1,9.850715332E0
8.680665834E-1,2.574645996E-1,2.157014465E-1,9.861193542E0
8.781215834E-1,2.770738220E-1,1.207987976E-1,9.879156189E0
8.881765833E-1,2.366578674E-1,-3.338058472E-2,9.876910858E0
8.982315834E-1,-3.793112183E-1,-2.155517578E-2,9.738299103E0
9.082855834E-1,-2.818638611E-1,3.517684937E-1,9.759255524E0
9.183405833E-1,4.950205994E-1,4.507127380E-1,9.933792572E0
9.283955834E-1,3.501219177E-1,2.240840149E-1,9.955946503E0
9.384505834E-1,-9.340576172E-2,-2.170486450E-2,9.745933228E0
9.485055833E-1,-2.694396973E-2,3.128494263E-2,9.850565643E0
9.585605834E-1,-6.691085815E-2,-1.676513672E-2,9.852062531E0
9.686155834E-1,-1.725910950E-1,-4.242178345E-1,9.833950195E0
9.786705833E-1,-4.466711426E-1,-7.975415039E-1,9.936936035E0
9.887255834E-1,-1.091230774E-1,-1.475930786E-1,9.750423889E0
9.987805834E-1,4.689747620E-1,1.158590698E-1,9.815688171E0
1.008835583E0,5.734574890E-1,1.556762695E-1,9.869875488E0
1.018890583E0,4.252656555E-1,3.891906738E-1,1.039184006E1
1.028945583E0,4.376898193E-1,9.604028320E-1,1.018646713E1
1.038999583E0,4.689747620E-1,6.867718506E-1,9.804311829E0
1.049054583E0,3.384461975E-1,2.201921082E-1,9.762548676E0
1.059109583E0,2.722837830E-1,5.942642212E-2,9.835147705E0
1.069164583E0,3.143463135E-1,1.701960754E-1,9.844877472E0
1.079219583E0,6.111790466E-1,2.469863892E-1,1.000279907E1
1.089274583E0,2.565664673E-1,2.844085693E-2,9.810449066E0
1.099329583E0,1.212478638E-1,-3.143463135E-3,9.882299652E0
1.109384583E0,4.478686523E-1,-1.654060364E-1,1.006057892E1
1.119439583E0,1.411564636E-1,-4.808001709E-1,9.986782379E0
1.129494583E0,-1.660047913E-1,-5.858816528E-1,9.959688721E0
1.139549583E0,-1.555265808E-1,-4.775070190E-2,1.036953644E1
1.149604583E0,2.981799316E-1,5.819897461E-1,1.122665405E1
1.159658583E0,4.323010254E-1,3.698808289E-1,1.145522873E1
1.169713583E0,-4.101470947E-2,-2.412982178E-1,1.129191833E1
1.179768583E0,-4.270619202E-1,-6.623725891E-1,1.090407486E1
1.189823583E0,-4.667294312E-1,-9.848020935E-1,1.147379013E1
1.199878583E0,-1.372645569E-1,-1.074465637E0,1.254166946E1
1.209933583E0,6.888674927E-1,-1.182391205E0,1.313638275E1
1.219988583E0,3.394940186E-1,-7.348219299E-1,1.374322083E1
1.230043583E0,-8.131091309E-1,-8.277786255E-1,1.393227768E1
1.240098583E0,-1.580413513E0,-1.138831787E0,1.350192261E1
1.250153583E0,-1.774410095E0,-1.272803192E0,1.259151581E1
1.260208583E0,-1.529669037E0,-1.041234741E0,1.150163223E1
1.270262583E0,-1.512604523E0,-6.001020813E-1,1.070319260E1
1.280317583E0,-2.210902405E0,-1.420545959E-1,1.042522064E1
1.290372583E0,-3.208428040E0,2.174977112E-1,9.925110626E0
1.300427583E0,-4.285588074E0,4.900808716E-1,9.744136963E0
1.310482583E0,-5.040917358E0,7.610174561E-1,9.944270782E0
1.320537583E0,-5.023703156E0,1.417103119E0,1.001806732E1
1.330592583E0,-4.834047546E0,2.121538239E0,1.006447083E1
1.340647583E0,-5.188809814E0,2.891986084E0,9.881850586E0
1.350702583E0,-6.038592682E0,3.334316254E0,9.487271118E0
1.360757583E0,-7.192992096E0,3.313958588E0,8.884175262E0
1.370812583E0,-8.425678711E0,2.995570679E0,7.958799591E0
