"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.725708361E-3,-5.297766766E-4,1.452235971E-3,-2.019913867E-3
1.777970837E-2,-8.562802104E-4,2.761841170E-4,4.949090071E-4
2.783270832E-2,-7.282402366E-4,-7.841485785E-4,-1.147645991E-3
3.788670833E-2,6.458279677E-5,-4.009197291E-4,-1.055766828E-3
4.794070835E-2,-1.033613109E-3,9.150180267E-5,-8.655944839E-5
5.799470836E-2,-4.478139454E-5,4.246632743E-4,5.751755089E-5
6.804870837E-2,-3.214084427E-4,8.948378963E-4,3.396021202E-5
7.810270833E-2,-7.773416000E-4,1.384060597E-3,6.797765382E-4
8.815670834E-2,-6.265272386E-4,-1.522866543E-3,-1.039961353E-4
9.821070835E-2,8.853149484E-5,-5.465517752E-4,4.235762171E-4
1.082647084E-1,7.849763497E-4,1.250898698E-3,2.265831456E-3
1.183187083E-1,-1.035294263E-3,1.278329175E-3,-1.312796958E-4
1.283727083E-1,1.225934539E-4,-1.689202909E-4,-2.256114967E-4
1.384267083E-1,-3.855103627E-3,4.161762190E-4,-8.506551385E-4
1.484797084E-1,-1.095842686E-3,2.705765888E-3,-3.119232133E-4
1.585337084E-1,1.724977628E-3,1.603164128E-4,-1.164401416E-3
1.685877083E-1,-1.084140735E-3,-1.861963887E-3,1.390260644E-3
1.786417083E-1,-9.967890801E-4,8.371497970E-4,4.490995780E-4
1.886957083E-1,5.681228940E-4,-1.888612518E-3,2.454752568E-3
1.987497084E-1,-2.191074891E-4,-1.494997297E-3,8.933413774E-4
2.088037084E-1,-1.195277204E-3,2.703624079E-3,2.349887509E-3
2.188577083E-1,-5.750270793E-4,4.111750168E-4,-2.293842845E-4
2.289117083E-1,3.022173187E-4,1.840454643E-3,2.318061888E-5
2.389657084E-1,-1.696948602E-4,-5.172137753E-5,4.820432514E-4
2.490197084E-1,1.873757574E-3,1.185554196E-3,3.428128548E-4
2.590727084E-1,-1.167572453E-3,-6.453355309E-5,1.636576373E-3
2.691267083E-1,2.908650320E-3,-1.372464321E-4,1.150338911E-3
2.791807083E-1,-7.518646307E-4,1.673969324E-3,4.688361660E-4
2.892347084E-1,1.175946672E-4,-4.312157398E-4,-3.109155223E-4
2.992887084E-1,7.484975504E-4,-2.356681274E-3,-2.109881025E-3
3.093427083E-1,-9.852643125E-4,-1.654397696E-3,-1.842924394E-3
3.193967083E-1,1.248595072E-3,1.066820230E-3,-3.736431943E-3
3.294507083E-1,-9.817320388E-4,2.345771936E-4,-3.654465312E-3
3.395047084E-1,-8.677487494E-4,8.117911057E-5,-3.212114098E-3
3.495587084E-1,-1.631461433E-3,-1.076190674E-4,2.485344652E-3
3.596127083E-1,-1.058615395E-3,2.239444875E-4,3.822784405E-3
3.696667083E-1,5.958889960E-5,1.165529480E-3,3.145742696E-3
3.797197083E-1,7.038075710E-4,1.104010502E-3,4.675995093E-3
3.897737084E-1,-1.784472726E-3,-9.914023394E-5,4.675168544E-3
3.998277084E-1,8.214304107E-4,-5.047396990E-4,1.076438464E-3
4.098817083E-1,-5.853029434E-4,4.081410007E-4,-4.170681816E-3
4.199357083E-1,1.369723585E-3,2.752493019E-4,-7.724403869E-3
4.299897084E-1,4.065941612E-4,5.997039843E-4,-1.937833149E-3
4.400437084E-1,-1.815813710E-3,3.696068597E-4,-2.881923690E-3
4.500977083E-1,-1.482669380E-3,-2.969096531E-4,-2.204626799E-5
4.601517083E-1,1.111249556E-3,1.285008038E-3,1.835508738E-3
4.702057083E-1,7.588447770E-4,-1.300672302E-3,4.813039675E-3
4.802597500E-1,2.334030578E-4,-1.517453580E-3,3.233784810E-3
4.903127500E-1,-3.056235146E-3,9.376044618E-4,1.249692868E-3
5.003667500E-1,1.339045935E-3,-3.686760028E-4,-1.846498344E-3
5.104207500E-1,4.238970869E-4,-5.191239761E-4,-3.483652370E-3
5.204747500E-1,5.988667253E-4,8.115253877E-5,-2.185095102E-3
5.305287500E-1,-9.357306408E-4,4.783519544E-4,-5.196794402E-3
5.405827500E-1,5.620312295E-4,7.441354101E-4,-3.250289941E-3
5.506367500E-1,3.516334691E-4,2.128653927E-3,2.658092417E-3
5.606907500E-1,4.483733210E-5,1.015452668E-3,4.597406834E-3
5.707447500E-1,2.657529898E-3,-9.387994651E-4,1.272461843E-3
5.807987500E-1,1.919568051E-3,3.575258655E-3,3.735619597E-3
5.908527500E-1,3.658098867E-4,-1.496267971E-3,1.990757883E-4
6.009067500E-1,4.209373437E-4,-4.456508905E-4,-2.111482434E-3
6.109597500E-1,-1.002558391E-3,8.677025908E-4,-3.064694116E-3
