"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.108529163E-2,3.452540588E1,1.256656952E2,-2.415598297E2
2.115429164E-2,3.484060669E1,1.256635895E2,-2.415472412E2
3.123229166E-2,3.483744812E1,1.254497223E2,-2.416366730E2
4.130429163E-2,3.473736572E1,1.260524750E2,-2.417172089E2
5.137829162E-2,3.473355103E1,1.259033966E2,-2.418177185E2
6.145029166E-2,3.479495239E1,1.257135315E2,-2.421089783E2
7.152229163E-2,3.501673889E1,1.258639832E2,-2.415387115E2
8.159429167E-2,3.474905396E1,1.259014587E2,-2.412454376E2
9.166629164E-2,3.475332642E1,1.258931732E2,-2.416901550E2
1.017382917E-1,3.455297852E1,1.258771820E2,-2.411301270E2
1.118092916E-1,3.488883972E1,1.258576813E2,-2.416774139E2
1.218812916E-1,3.486094666E1,1.257704010E2,-2.416388092E2
1.319532917E-1,3.511570740E1,1.255666199E2,-2.414288025E2
1.420252916E-1,3.492572021E1,1.257781677E2,-2.412361450E2
1.520962917E-1,3.470422363E1,1.261757507E2,-2.413017426E2
1.621692916E-1,3.518667603E1,1.258920441E2,-2.414446259E2
1.722412917E-1,3.499891663E1,1.259122162E2,-2.413090210E2
1.823132916E-1,3.494183350E1,1.258282623E2,-2.412051239E2
1.923842917E-1,3.512789917E1,1.255258331E2,-2.416951141E2
2.024572917E-1,3.483033752E1,1.257070465E2,-2.414113617E2
2.125296667E-1,3.523873901E1,1.257958679E2,-2.412689819E2
2.226016666E-1,3.517909241E1,1.259704437E2,-2.410573883E2
2.326736667E-1,3.519941711E1,1.257463989E2,-2.420594635E2
2.427456666E-1,3.510421753E1,1.260955505E2,-2.412546234E2
2.528176666E-1,3.470794678E1,1.258695221E2,-2.413347473E2
2.628896667E-1,3.508529663E1,1.257796478E2,-2.414065247E2
2.729616666E-1,3.512388611E1,1.259282990E2,-2.413929596E2
2.830336667E-1,3.498915100E1,1.261296539E2,-2.414957123E2
2.931056666E-1,3.480209351E1,1.258538818E2,-2.416632690E2
3.031766667E-1,3.519865417E1,1.257615662E2,-2.412532043E2
3.132496667E-1,3.492840576E1,1.255786896E2,-2.419450684E2
3.233206666E-1,3.477781677E1,1.257316132E2,-2.418164825E2
3.333926667E-1,3.495463562E1,1.258994141E2,-2.410977936E2
3.434646666E-1,3.500000000E1,1.258721771E2,-2.412557831E2
3.535356667E-1,3.490963745E1,1.255301208E2,-2.412766418E2
3.636076666E-1,3.488406372E1,1.259092560E2,-2.407834473E2
3.736796667E-1,3.489302063E1,1.259001465E2,-2.410722961E2
3.837496666E-1,3.507743835E1,1.259058533E2,-2.415160217E2
3.938216667E-1,3.492097473E1,1.260211487E2,-2.416840057E2
4.038946666E-1,3.492082214E1,1.256079102E2,-2.411552887E2
4.139676666E-1,3.502284241E1,1.255055847E2,-2.416492920E2
4.240396667E-1,3.501652527E1,1.257641754E2,-2.415805054E2
4.341126666E-1,3.490405273E1,1.255245667E2,-2.417098083E2
4.441836667E-1,3.497053528E1,1.257532654E2,-2.409577637E2
4.542566666E-1,3.480979919E1,1.257731934E2,-2.413594360E2
4.643296666E-1,3.472309875E1,1.255585480E2,-2.411829376E2
4.744016667E-1,3.484553528E1,1.257185669E2,-2.413600006E2
4.844746666E-1,3.477514648E1,1.257566071E2,-2.415148773E2
4.945486666E-1,3.472727966E1,1.258073120E2,-2.412262421E2
5.046226666E-1,3.461889648E1,1.259009247E2,-2.416347351E2
5.146976666E-1,3.441445923E1,1.257385559E2,-2.412077637E2
5.247706667E-1,3.463230896E1,1.256573181E2,-2.412047729E2
5.348426666E-1,3.497088623E1,1.256266937E2,-2.412598724E2
5.449156666E-1,3.512869263E1,1.253751831E2,-2.414979858E2
5.549826666E-1,3.495422363E1,1.256310425E2,-2.412263947E2
5.650606666E-1,3.485971069E1,1.258676910E2,-2.413982086E2
5.751336666E-1,3.502166748E1,1.255782623E2,-2.409814301E2
5.852066667E-1,3.475422668E1,1.256343842E2,-2.409883423E2
5.952796667E-1,3.479786682E1,1.258901825E2,-2.413409729E2
6.053526666E-1,3.481903076E1,1.256939697E2,-2.411359253E2
6.154256666E-1,3.500741577E1,1.256236267E2,-2.415150909E2
6.254986667E-1,3.493840027E1,1.255334015E2,-2.413323517E2
6.355706666E-1,3.499452209E1,1.256117096E2,-2.414860840E2
6.456386666E-1,3.473219299E1,1.254980621E2,-2.412875366E2
6.557156667E-1,3.487976074E1,1.254413452E2,-2.416374512E2
6.657886666E-1,3.475045776E1,1.255053711E2,-2.418895416E2
6.758566666E-1,3.496261597E1,1.254000854E2,-2.413245392E2
6.859296666E-1,3.492710876E1,1.255385742E2,-2.410605621E2
6.960066666E-1,3.496943665E1,1.256356964E2,-2.415018921E2
7.060806666E-1,3.485339355E1,1.258673706E2,-2.412674561E2
7.161536667E-1,3.514299011E1,1.258974762E2,-2.410974884E2
7.262266667E-1,3.496606445E1,1.257368774E2,-2.413096771E2
7.362996666E-1,3.512982178E1,1.258237915E2,-2.413366394E2
7.463716667E-1,3.483842468E1,1.256644440E2,-2.413683624E2
7.564446667E-1,3.473458862E1,1.257257996E2,-2.413416290E2
7.665176666E-1,3.489842224E1,1.257357941E2,-2.407048798E2
7.765896667E-1,3.479048157E1,1.256809235E2,-2.409485474E2
7.866616666E-1,3.444067383E1,1.258547058E2,-2.407779999E2
7.967356666E-1,3.517402649E1,1.256999969E2,-2.407540283E2
8.068086667E-1,3.450315857E1,1.255574341E2,-2.411353455E2
8.168816667E-1,3.491671753E1,1.255876617E2,-2.418251495E2
